intent_id,question,intent_label,example_context,language,notes
56,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
57,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
58,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
59,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
60,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
61,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
62,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
63,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
64,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
65,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
66,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
67,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
68,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
69,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
70,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
71,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
72,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
73,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
74,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
75,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
76,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
77,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
78,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
79,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
80,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
81,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
82,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
83,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
84,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
85,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
86,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
87,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
88,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
89,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
90,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
91,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
92,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
93,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
94,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
95,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
96,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
97,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
98,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
99,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
100,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
101,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
102,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
103,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
104,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
105,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
106,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
107,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
108,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
109,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
110,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
111,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
112,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
113,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
114,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
115,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
116,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
117,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
118,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
119,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
120,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
121,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
122,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
123,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
124,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
125,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
126,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
127,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
128,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
129,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
130,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
131,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
132,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
133,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
134,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
135,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
136,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
137,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
138,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
139,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
140,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
141,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
142,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
143,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
144,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
145,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
146,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
147,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
148,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
149,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
150,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
151,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
152,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
153,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
154,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
155,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
156,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
157,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
158,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
159,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
160,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
161,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
162,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
163,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
164,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
165,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
166,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
167,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
168,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
169,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
170,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
171,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
172,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
173,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
174,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
175,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
176,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
177,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
178,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
179,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
180,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
181,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
182,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
183,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
184,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
185,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
186,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
187,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
188,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
189,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
190,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
191,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
192,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
193,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
194,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
195,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
196,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
197,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
198,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
199,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
200,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
201,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
202,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
203,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
204,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
205,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
206,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
207,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
208,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
209,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
210,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
211,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
212,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
213,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
214,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
215,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
216,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
217,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
218,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
219,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
220,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
221,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
222,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
223,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
224,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
225,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
226,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
227,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
228,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
229,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
230,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
231,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
232,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
233,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
234,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
235,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
236,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
237,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
238,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
239,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
240,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
241,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
242,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
243,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
244,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
245,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
246,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
247,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
248,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
249,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
250,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
251,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
252,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
253,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
254,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
255,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
256,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
257,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
258,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
259,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
260,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
261,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
262,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
263,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
264,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
265,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
266,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
267,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
268,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
269,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
270,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
271,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
272,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
273,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
274,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
275,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
276,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
277,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
278,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
279,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
280,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
281,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
282,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
283,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
284,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
285,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
286,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
287,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
288,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
289,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
290,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
291,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
292,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
293,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
294,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
295,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
296,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
297,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
298,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
299,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
300,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
301,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
302,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
303,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
304,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
305,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
306,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
307,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
308,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
309,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
310,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
311,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
312,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
313,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
314,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
315,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
316,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
317,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
318,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
319,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
320,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
321,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
322,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
323,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
324,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
325,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
326,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
327,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
328,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
329,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
330,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
331,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
332,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
333,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
334,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
335,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
336,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
337,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
338,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
339,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
340,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
341,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
342,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
343,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
344,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
345,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
346,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
347,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
348,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
349,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
350,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
351,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
352,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
353,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
354,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
355,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
356,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
357,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
358,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
359,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
360,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
361,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
362,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
363,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
364,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
365,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
