source_product_no,product_name,category,mrp_inr,dp_inr,bv,pv,pack_size,sku,ingredients,benefits,usage,dosage,warnings,certifications,product_image_url,source_file,source_page,effective_date,confidence,data_status
14,Jaljeera 100g,Food Products,65,55,15.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
15,Organic Jeera 250g,Organic spice,199,165,33.0,,250g,,Organic cumin seeds,Digestion support; warm earthy flavor,Culinary use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
16,Kasuri Methi 50g,Organic spice,59,45,9.0,,50g,,Organic fenugreek leaves,Rich aroma; digestion support,Culinary use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
17,Mirchi Powder 25g,Food Products,20,15,1.0,,25g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
18,Mirchi Powder 200g,Food Products,145,110,18.0,,200g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
19,Mirchi Powder 500g,Food Products,335,275,50.0,,500g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
20,Rai 250g,Organic spice,99,80,13.0,,250g,,Organic mustard seeds,Bold pungent flavor; digestion support,Culinary use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
21,Sabji Masala 100g,Food Products,110,99,20.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
22,New Total Joy Rice Bran Oil 1 Litre,Cooking oil,299,235,24.0,,1 L,,Rice Bran Oil,Light/less greasy; Vitamins A&D; high smoke point; antioxidants; heart health (Oryzanol),Cooking use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
23,Total Joy Rice Bran Oil 2 Litre,Cooking oil,599,470,40.0,,2 L,,Rice Bran Oil,Light/less greasy; Vitamins A&D; high smoke point; antioxidants; heart health (Oryzanol),Cooking use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
24,Veg Biryani with Shahi Gravy,Ready-to-eat meal,199,135,17.0,,,,"Basmati rice, spices",Convenient; authentic taste; no preservatives,Heat & eat,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
25,Poha with Bhujia,Ready-to-eat meal,99,67,9.0,,,,"Flattened rice, spices, bhujia",Quick healthy breakfast/snack,Heat & eat,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
26,Upma with Bhujia,Ready-to-eat meal,99,71,9.0,,,,"Semolina, spices, bhujia",Light yet satisfying; South Indian semolina dish,Heat & eat,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
27,Anti Pollution Face Wash 150ml,Face cleanser,249,165,50.0,,150ml,,Aloe Vera,Hydrates; soothes; fights pollution damage; restores glow; removes impurities,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
28,Anti Pollution Aloevera Face Wash 100ml,Face cleanser,135,94,23.0,,100ml,,Aloe Vera,Hydrates; soothes; fights pollution damage; restores glow; removes impurities,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
29,Aloevera Gel 100g,Personal Care,150,115,36.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
30,BR Rich Oil 200ml,Hair oil,249,165,44.0,,200ml,,NA,Detangles hair; improves scalp health; promotes growth; shine/luster,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
31,Daily Care Cream 60g,Face cream,149,95,30.0,,60g,,NA,Evens skin tone; soothes; prevents premature aging; non-greasy; environmental protection,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
32,Luxury Saffron Soap 100g,Premium soap,125,82,20.0,,100g,,Saffron,Revitalizes dull skin; brightness; suitable all skin types; eco-friendly,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
33,Ecofriendly Toothbrush Pack of 2,Personal Care,149,100,30.0,,Pack of 2,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
34,HerboSmile Herbal Toothpaste 100g,Oral care,125,82,20.0,,100g,,Herbal blend,Supports gum health; safe for sensitive teeth; whitens naturally; fluoride-free,Daily use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
35,Hydra Aloevera Body Lotion 300ml,Body moisturizer,349,245,76.0,,300ml,,Aloe Vera,Soothes irritated skin; softness; refreshed skin; moisture; environmental protection,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
36,Kesham 100ml,Hair treatment,149,91,24.0,,100ml,,NA,Reduces frizz; restores scalp pH; healthy texture/follicles; dry/damaged hair care,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
37,Luxwash Handwash 250ml,Handwash,150,95,17.0,,250ml,,NA,Nourishes/hydrates; refreshing; long-lasting freshness; germ-free,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
38,Milk Keratin Extracts Shampoo 100ml,Hair care,175,118,33.0,,100ml,,"Milk, Keratin (paraben-free)",Smoothens hair; reduces frizz/breakage; nourishment/hydration; strength/elasticity,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
39,Milk Bath Soap 100g,Bath soap,75,52,9.0,,100g,,Milk (78% TFM),Anti-aging; non-irritating; deep moisture; nutrients; restores glow,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
40,Milk Bath Soap Pack of 3 100g,Bath soap,225,150,25.0,,Pack of 3,,Milk (78% TFM),Anti-aging; non-irritating; deep moisture; nutrients; restores glow,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
41,Neem Tulsi Herbal Soap 100g Pack of 3,Personal Care,147,107,19.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
42,Regain Aloevera Shampoo 300ml,Personal Care,349,245,76.0,,300ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
43,Sandalwood Shahi Gulab Body Lotion 150ml,Personal Care,249,169,56.0,,150ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
44,Sanitary Pad XL Pack of 10,Personal Care,249,130,40.0,,Pack of 10,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
45,Sanitary Pad XXL Pack of 10,Personal Care,275,150,45.0,,Pack of 10,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
46,Seabuckthron Facial Kit 30g Pack of 6,Personal Care,1349,799,290.0,,30g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
47,Seabuckthron Cleanser 30g,Personal Care,225,145,52.0,,30g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
48,Seabuckthron Scrub 30g,Personal Care,225,145,52.0,,30g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
49,Seabuckthron Massage Gel 30g,Personal Care,225,145,52.0,,30g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
50,Seabuckthron Massage Cream 30g,Personal Care,225,145,52.0,,30g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
51,Seabuckthron Face Pack 30g,Personal Care,225,145,52.0,,30g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
52,Seabuckthron Facial Fluid 10ml,Personal Care,225,145,52.0,,10ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
53,Deep Cleansing Face Wash 100ml,Face wash,199,139,48.0,,100ml,,NA,Improves texture; soothes/refreshes; exfoliates; removes dirt; prevents acne,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
54,Deep Cleansing Facewash 60ml,Personal Care,125,82,21.0,,60ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
55,WildMuse Premium Loofah,Bath accessory,125,99,36.0,,,,NA,Detoxifying; eco-friendly; hypoallergenic; enhances lathering; improves skin tone/texture,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
56,Amla Reetha Sikakai Shampoo 100ml,Hair care,130,110,34.0,,100ml,,"Amla, Reetha, Shikakai, Bhringraj",Strengthens hair roots; healthy growth; reduces hair fall; gentle cleansing,Regular use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
57,Haldi Chandan Facewash 60ml,Personal Care,85,68,18.0,,60ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
58,Face Serum 30ml,Skin Care,699,499,170.0,,30ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
59,Gold Facial Kit,Skin Care,449,310,100.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
60,Sunscreen SPF 50 50gm,Sun protection,349,299,92.0,,50g,,Vitamins blend,Protects/hydrates/brightens skin daily,Daily application,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
61,Hydra Max Moisturizer 50gm,Moisturizer,449,369,110.0,,50g,,"Hyaluronic Acid, Glycerin, Aloe Vera, Panthenol",Hydrates/refreshes; soothes/cools; balances oil; elasticity/texture,Apply morning & night,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
62,AgeX Anti-Ageing Night Cream 50gm,Skin Care,799,599,225.0,,50g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
63,AcneX Anti-Acne Foaming Cleanser 100ml,Skin Care,399,299,98.0,,100ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
64,Amara Beauty Kajal,Color Cosmetics,299,199,65.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
65,Amara Beauty Eyeliner,Color Cosmetics,399,299,105.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
66,Asthprash 300 grams,Health Care,2999,1499,720.0,,300 g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
67,Adicardial 120 Tab,Health Care,2099,1325,620.0,,120 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
68,Adicardial Syrup 500ml,Women's reproductive health,1399,865,400.0,,500ml,,"Ashok, Satavari, Lodhra, Guduchi, Punarnava, Ashvagandha",Regulates menstrual cycles; eases cramps/pain; reproductive detox; boosts immunity; reduces stress/anxiety,Tablet 1-2 twice daily after meal; Syrup 10-15ml twice daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
69,Adila Forte 30 Tab,Health Care,1499,1030,480.0,,30 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
70,Adila Forte 60 Tab,Health Care,2999,1875,880.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
71,Adilipo 120 Tab,Health Care,2699,1725,840.0,,120 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
72,Adilipo 60 Tab,Health Care,1499,950,450.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
73,Adiliv 60 Tab,Health Care,1199,825,375.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
74,Aloevera with Guava Juice 1L,Health Care,1499,710,285.0,,1L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
75,Astheal Cough Syrup 100ml,Cough & congestion relief,199,99,32.0,,100ml,,"Tulsi, Mulethi, Banafsha, Vasaka, Pippali, Pudina Satva",Clears chest congestion/phlegm; relief from cough/cold/throat irritation; easier breathing; reduces allergy symptoms,Adults 10-15ml every 4-6 hrs; Children 5-10ml every 4-6 hrs,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
76,Ashvagandha Extract 60 Veg Capsules,Stress & vitality,499,299,110.0,,,,Ashwagandha,Reduces stress/anxiety; combats fatigue; mental clarity; revitalizes body/mind,1-2 capsules twice daily with meals,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
77,Amla Extract 60 Veg Capsules,Immunity & skin/hair,499,275,100.0,,,,Amla,Immune support; digestion/metabolism; hair growth; antioxidant skin health,1-2 capsules twice daily before meals,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
78,Advanced Calcium Tablets,Bone health,999,325,130.0,,,,"Calcium Citrate, Magnesium, Alfalfa, Moringa Bark Extract",Bone density/joint strength; calcium absorption (D3&K2); RBC/DNA formation (B12&Folic Acid); immunity,2 tablets twice daily with meals,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
79,Arogya Churn 100g,Constipation & digestion,189,115,40.0,,100g,,"Harad, Baheda, Amla, Kali Mirch, Pipul",Improves digestion/nutrient absorption; reduces bloating; relieves constipation,8-10g with lukewarm water at bedtime,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
80,Di-beat 60 Tab,Health Care,1199,825,375.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
81,Golden Elixir - Nano Curcumin Drops Pack of 2 Bottles - each 25ml,Curcumin supplement,4999,2849,1320.0,,Pack of 2,,Nano Curcumin (SNEC30 patented),Brain function/heart health/digestion; anti-inflammatory/liver detox; immunity; mental health; diabetes support,Adults 1ml/day; Children/infants smaller doses per age,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
82,Gas-O-Free 200ml,Digestive relief,599,375,160.0,,200ml,,"Amla, Mulethi, Saunf, Nishoth, Giloe, Satavari",Relieves indigestion/bloating/flatulence; stimulates gastric juice; intestinal motility; eases constipation,5-10ml twice daily after meals,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
83,Gas-O-Free 500ml,Digestive relief,1399,865,400.0,,500ml,,"Amla, Mulethi, Saunf, Nishoth, Giloe, Satavari",Relieves indigestion/bloating/flatulence; stimulates gastric juice; intestinal motility; eases constipation,5-10ml twice daily after meals,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
84,GoPiles 60 Tab,Health Care,1199,825,375.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
85,GoPiles Syrup 500ml,Health Care,1399,865,400.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
86,Giloe Extract 60 Veg Capsules,Immunity booster,499,275,100.0,,,,Giloe (Tinospora cordifolia),Boosts immunity; digestion; toxin removal; blood formation; skin health,1 capsule twice daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
87,Eye Elixir Drops 10ml,Eye care,149,100,42.0,,10ml,,"Grape Seed Extract, Bilberry Extract, Lutein, Zeaxanthin, Glycyrrhiza Glabra",Clear vision/eye health; reduces fatigue/dryness; protects against blue light/macular degeneration; night vision,Drops: 1-2 drops 3-4x/day; Capsule: 1 twice daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
88,Eye Health 60 Capsules,Health Care,1799,1099,480.0,,60 Capsules,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
89,HB 200ml,Health Care,599,375,160.0,,200ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
90,HB 500ml,Health Care,1399,865,400.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
91,Hi-Energy 60 Tab,Health Care,1199,825,375.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
92,Kidney Kawach 300 g,Kidney & urinary wellness blend,2999,1799,840.0,,300 g,,"Safed Punarnava, Varuna, Gokhru, Giloe, Amla",Healthy urine flow; kidney/urinary tract health; eases urinary discomfort; detox; antioxidant immunity boost,5-15g twice a day,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
93,Liv-Ease 200ml,Health Care,599,375,160.0,,200ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
94,Liv-Ease 500ml,Health Care,1399,865,400.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
95,Multivitamins Tablets,Health Care,999,425,180.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
96,Nonima 500ml,Immunity & energy drink,1499,949,400.0,,500ml,,"Amlaki, Noni, Guduchi, Manduki, Garcinia",Strengthens immunity; metabolism/weight; skin repair; energy/mental clarity,Adults 5-15ml with 300ml water (escalating); Children 2.5-7ml,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
97,N-astheal 120 Tab,Health Care,2699,1725,865.0,,120 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
98,N-astheal 60 Tab,Health Care,1499,960,465.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
99,Orthofix 60 Tab,Health Care,1199,825,375.0,,60 Tab,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
100,Orthofix Oil 100ml,Joint & muscle health,525,325,112.0,,100ml,,"Tablet: Ashwagandha, Guggulu, Rasna, Sonth, Punarnava; Oil: Camphor, Peppermint, Eucalyptus, Clove, Sesame Oil",Relieves joint stiffness/swelling; flexibility; soothes muscles; blood flow to joints; warming relief,Tablet: 1-2 twice daily; Oil: apply 3-5ml twice daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
101,Omega 3-6-9,Brain/heart supplement,999,500,200.0,,,,"EPA, DHA, GLA, Oleic Acid, Olive Oil, Vitamin E",Brain/heart health; healthy weight/liver fat; nutrient absorption; anti-inflammatory/immunity,1 capsule daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
102,Quick 6 Pain Relief Gel 30g,Topical pain relief,149,99,32.0,,30g,,NA,Relieves joint/muscle pain; back/knee pain; stiffness relief; safe for all family,Apply thin film & massage,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
103,Super Rich Berry Juice 1 Ltr.,Multi-fruit wellness juice,2999,1660,740.0,,1 L,,"Aloe Vera, Ashwagandha, Moringa, Triphala, Turmeric, Amla, Spirulina",Enhances immunity; cardiovascular/liver/kidney health; antioxidant/anti-inflammatory; digestion; memory/sleep,Adults 30ml 2x/day; Children 5-10ml 2x/day,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
104,Seabuckthron Juice 1 Ltr.,Health Care,2999,1490,640.0,,1 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
105,Shatavari Extract 60 Veg Capsules,Female vitality,499,299,110.0,,,,Shatavari,Tones female reproductive system; immunity; menstrual/menopausal health; rejuvenation,1-2 tablets twice daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
106,Super Food Capsule,Multivitamin (31 nutrients),1999,999,420.0,,,,"Turmeric Root, Whole Foods Blend, Fruit & Vegetable Blend, Calcium",Heart health/stamina/immunity; bone strength/skin; antioxidants; superfoods,2 capsules daily (breakfast & dinner),,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
107,Premium Tulsi Max 30ml,Immunomodulatory tonic,299,178,58.0,,30ml,,5 Tulsi species blend,Reduces cold/cough/respiratory issues; cardiovascular health; detox/gout relief; digestion; skin/hair health,"3 drops in hot water/tea, 4-5x daily",,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
