product_id,product_code,sku,product_name,base_name,slug,pack_size,category_id,category,brand_id,brand,mrp,dp,bv,pv,currency,price_effective_date,status,country,manufacturer
16,DJP1015,DJ-FOO-0016,Kasuri Methi (50g),Kasuri Methi,kasuri-methi-50g,50g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,59.0,45.0,9.0,9.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
17,DJP1016,DJ-FOO-0017,Mirchi Powder (25g),Mirchi Powder,mirchi-powder-25g,25g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,20.0,15.0,1.0,1.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
18,DJP1017,DJ-FOO-0018,Mirchi Powder (200g),Mirchi Powder,mirchi-powder-200g,200g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,145.0,110.0,18.0,18.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
19,DJP1018,DJ-FOO-0019,Mirchi Powder (500g),Mirchi Powder,mirchi-powder-500g,500g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,335.0,275.0,50.0,50.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
20,DJP1019,DJ-FOO-0020,Rai (250g),Rai,rai-250g,250g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,99.0,80.0,13.0,13.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
21,DJP1020,DJ-FOO-0021,Sabji Masala (100g),Sabji Masala,sabji-masala-100g,100g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,110.0,99.0,20.0,20.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
22,DJP1021,DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),New Total Joy Rice Bran Oil,new-total-joy-rice-bran-oil-1-litre,1 Litre,1,FOOD PRODUCTS,9,Total Joy,299.0,235.0,24.0,24.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
23,DJP1022,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),Total Joy Rice Bran Oil,total-joy-rice-bran-oil-2-litre,2 Litre,1,FOOD PRODUCTS,9,Total Joy,599.0,470.0,40.0,40.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
24,DJP1023,DJ-FOO-0024,Veg Biryani with Shahi Gravy,Veg Biryani with Shahi Gravy,veg-biryani-with-shahi-gravy,,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,199.0,135.0,17.0,17.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
25,DJP1024,DJ-FOO-0025,Poha with Bhujia,Poha with Bhujia,poha-with-bhujia,,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,99.0,67.0,9.0,9.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
26,DJP1025,DJ-FOO-0026,Upma with Bhujia,Upma with Bhujia,upma-with-bhujia,,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,99.0,71.0,9.0,9.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
27,DJP1026,DJ-PER-0027,Anti Pollution Face Wash (150ml),Anti Pollution Face Wash,anti-pollution-face-wash-150ml,150ml,2,PERSONAL CARE,10,Wild Muse,249.0,165.0,50.0,50.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
28,DJP1027,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),Anti Pollution Aloevera Face Wash,anti-pollution-aloevera-face-wash-100ml,100ml,2,PERSONAL CARE,10,Wild Muse,135.0,94.0,23.0,23.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
29,DJP1028,DJ-PER-0029,Aloevera Gel (100g),Aloevera Gel,aloevera-gel-100g,100g,2,PERSONAL CARE,10,Wild Muse,150.0,115.0,36.0,36.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
30,DJP1029,DJ-PER-0030,BR Rich Oil (200ml),BR Rich Oil,br-rich-oil-200ml,200ml,2,PERSONAL CARE,10,Wild Muse,249.0,165.0,44.0,44.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
31,DJP1030,DJ-PER-0031,Daily Care Cream (60g),Daily Care Cream,daily-care-cream-60g,60g,2,PERSONAL CARE,10,Wild Muse,149.0,95.0,30.0,30.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
32,DJP1031,DJ-PER-0032,Luxury Saffron Soap (100g),Luxury Saffron Soap,luxury-saffron-soap-100g,100g,2,PERSONAL CARE,10,Wild Muse,125.0,82.0,20.0,20.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
33,DJP1032,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),Ecofriendly Toothbrush,ecofriendly-toothbrush-pack-of-2,Pack of 2,2,PERSONAL CARE,10,Wild Muse,149.0,100.0,30.0,30.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
34,DJP1033,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),HerboSmile Herbal Toothpaste,herbosmile-herbal-toothpaste-100g,100g,2,PERSONAL CARE,10,Wild Muse,125.0,82.0,20.0,20.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
35,DJP1034,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),Hydra Aloevera Body Lotion,hydra-aloevera-body-lotion-300ml,300ml,2,PERSONAL CARE,10,Wild Muse,349.0,245.0,76.0,76.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
36,DJP1035,DJ-PER-0036,Kesham (100ml),Kesham,kesham-100ml,100ml,2,PERSONAL CARE,10,Wild Muse,149.0,91.0,24.0,24.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
37,DJP1036,DJ-PER-0037,Luxwash Handwash (250ml),Luxwash Handwash,luxwash-handwash-250ml,250ml,2,PERSONAL CARE,10,Wild Muse,150.0,95.0,17.0,17.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
38,DJP1037,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),Milk & Keratin Extracts Shampoo,milk-keratin-extracts-shampoo-100ml,100ml,2,PERSONAL CARE,10,Wild Muse,175.0,118.0,33.0,33.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
39,DJP1038,DJ-PER-0039,Milk Bath Soap (100g),Milk Bath Soap,milk-bath-soap-100g,100g,2,PERSONAL CARE,10,Wild Muse,75.0,52.0,9.0,9.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
40,DJP1039,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),Milk Bath Soap (Pack of 3),milk-bath-soap-pack-of-3-100g,100g,2,PERSONAL CARE,10,Wild Muse,225.0,150.0,25.0,25.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
41,DJP1040,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),Neem & Tulsi Herbal Soap (100g),neem-tulsi-herbal-soap-100g-pack-of-3,Pack of 3,2,PERSONAL CARE,10,Wild Muse,147.0,107.0,19.0,19.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
42,DJP1041,DJ-PER-0042,Regain Aloevera Shampoo (300ml),Regain Aloevera Shampoo,regain-aloevera-shampoo-300ml,300ml,2,PERSONAL CARE,10,Wild Muse,349.0,245.0,76.0,76.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
43,DJP1042,DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),Sandalwood & Shahi Gulab Body Lotion,sandalwood-shahi-gulab-body-lotion-150ml,150ml,2,PERSONAL CARE,10,Wild Muse,249.0,169.0,56.0,56.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
44,DJP1043,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),Sanitary Pad (XL),sanitary-pad-xl-pack-of-10,Pack of 10,2,PERSONAL CARE,10,Wild Muse,249.0,130.0,40.0,40.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
45,DJP1044,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),Sanitary Pad (XXL),sanitary-pad-xxl-pack-of-10,Pack of 10,2,PERSONAL CARE,10,Wild Muse,275.0,150.0,45.0,45.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
46,DJP1045,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),Seabuckthron Facial Kit (30g),seabuckthron-facial-kit-30g-pack-of-6,Pack of 6,2,PERSONAL CARE,10,Wild Muse,1349.0,799.0,290.0,290.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
47,DJP1046,DJ-PER-0047,Seabuckthron Cleanser (30g),Seabuckthron Cleanser,seabuckthron-cleanser-30g,30g,2,PERSONAL CARE,10,Wild Muse,225.0,145.0,52.0,52.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
48,DJP1047,DJ-PER-0048,Seabuckthron Scrub (30g),Seabuckthron Scrub,seabuckthron-scrub-30g,30g,2,PERSONAL CARE,10,Wild Muse,225.0,145.0,52.0,52.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
49,DJP1048,DJ-PER-0049,Seabuckthron Massage Gel (30g),Seabuckthron Massage Gel,seabuckthron-massage-gel-30g,30g,2,PERSONAL CARE,10,Wild Muse,225.0,145.0,52.0,52.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
50,DJP1049,DJ-PER-0050,Seabuckthron Massage Cream (30g),Seabuckthron Massage Cream,seabuckthron-massage-cream-30g,30g,2,PERSONAL CARE,10,Wild Muse,225.0,145.0,52.0,52.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
51,DJP1050,DJ-PER-0051,Seabuckthron Face Pack (30g),Seabuckthron Face Pack,seabuckthron-face-pack-30g,30g,2,PERSONAL CARE,10,Wild Muse,225.0,145.0,52.0,52.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
52,DJP1051,DJ-PER-0052,Seabuckthron Facial Fluid (10ml),Seabuckthron Facial Fluid,seabuckthron-facial-fluid-10ml,10ml,2,PERSONAL CARE,10,Wild Muse,225.0,145.0,52.0,52.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
53,DJP1052,DJ-PER-0053,Deep Cleansing Face Wash (100ml),Deep Cleansing Face Wash,deep-cleansing-face-wash-100ml,100ml,2,PERSONAL CARE,10,Wild Muse,199.0,139.0,48.0,48.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
54,DJP1053,DJ-PER-0054,Deep Cleansing Facewash (60ml),Deep Cleansing Facewash,deep-cleansing-facewash-60ml,60ml,2,PERSONAL CARE,10,Wild Muse,125.0,82.0,21.0,21.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
55,DJP1054,DJ-PER-0055,WildMuse Premium Loofah,WildMuse Premium Loofah,wildmuse-premium-loofah,,2,PERSONAL CARE,10,Wild Muse,125.0,99.0,36.0,36.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
56,DJP1055,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),Amla Reetha Sikakai Shampoo,amla-reetha-sikakai-shampoo-100ml,100ml,2,PERSONAL CARE,10,Wild Muse,130.0,110.0,34.0,34.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
57,DJP1056,DJ-PER-0057,Haldi Chandan Facewash (60ml),Haldi Chandan Facewash,haldi-chandan-facewash-60ml,60ml,2,PERSONAL CARE,10,Wild Muse,85.0,68.0,18.0,18.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
58,DJP1057,DJ-SKI-0058,Face Serum (30ml),Face Serum,face-serum-30ml,30ml,3,SKIN CARE,2,Amara Beauty,699.0,499.0,170.0,170.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
59,DJP1058,DJ-SKI-0059,Gold Facial Kit,Gold Facial Kit,gold-facial-kit,,3,SKIN CARE,2,Amara Beauty,449.0,310.0,100.0,100.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
60,DJP1059,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),Sunscreen SPF 50+,sunscreen-spf-50-50gm,50gm,3,SKIN CARE,2,Amara Beauty,349.0,299.0,92.0,92.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
61,DJP1060,DJ-SKI-0061,Hydra Max Moisturizer (50gm),Hydra Max Moisturizer,hydra-max-moisturizer-50gm,50gm,3,SKIN CARE,2,Amara Beauty,449.0,369.0,110.0,110.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
62,DJP1061,DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),AgeX Anti-Ageing Night Cream,agex-anti-ageing-night-cream-50gm,50gm,3,SKIN CARE,2,Amara Beauty,799.0,599.0,225.0,225.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
63,DJP1062,DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),AcneX Anti-Acne Foaming Cleanser,acnex-anti-acne-foaming-cleanser-100ml,100ml,3,SKIN CARE,2,Amara Beauty,399.0,299.0,98.0,98.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
64,DJP1063,DJ-COL-0064,Amara Beauty Kajal,Amara Beauty Kajal,amara-beauty-kajal,,4,COLOR COSMETICS,2,Amara Beauty,299.0,199.0,65.0,65.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
65,DJP1064,DJ-COL-0065,Amara Beauty Eyeliner,Amara Beauty Eyeliner,amara-beauty-eyeliner,,4,COLOR COSMETICS,2,Amara Beauty,399.0,299.0,105.0,105.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
66,DJP1065,DJ-HEA-0066,Asthprash (300 grams),Asthprash,asthprash-300-grams,300 grams,5,HEALTH CARE,3,Asthprash,2999.0,1499.0,720.0,720.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
67,DJP1066,DJ-HEA-0067,Adicardial (120 Tab),Adicardial,adicardial-120-tab,120 Tab,5,HEALTH CARE,4,Curind,2099.0,1325.0,620.0,620.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
68,DJP1067,DJ-HEA-0068,Adicardial Syrup (500ml),Adicardial Syrup,adicardial-syrup-500ml,500ml,5,HEALTH CARE,4,Curind,1399.0,865.0,400.0,400.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
69,DJP1068,DJ-HEA-0069,Adila Forte (30 Tab),Adila Forte,adila-forte-30-tab,30 Tab,5,HEALTH CARE,4,Curind,1499.0,1030.0,480.0,480.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
70,DJP1069,DJ-HEA-0070,Adila Forte (60 Tab),Adila Forte,adila-forte-60-tab,60 Tab,5,HEALTH CARE,4,Curind,2999.0,1875.0,880.0,880.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
71,DJP1070,DJ-HEA-0071,Adilipo (120 Tab),Adilipo,adilipo-120-tab,120 Tab,5,HEALTH CARE,4,Curind,2699.0,1725.0,840.0,840.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
72,DJP1071,DJ-HEA-0072,Adilipo (60 Tab),Adilipo,adilipo-60-tab,60 Tab,5,HEALTH CARE,4,Curind,1499.0,950.0,450.0,450.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
73,DJP1072,DJ-HEA-0073,Adiliv (60 Tab),Adiliv,adiliv-60-tab,60 Tab,5,HEALTH CARE,4,Curind,1199.0,825.0,375.0,375.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
74,DJP1073,DJ-HEA-0074,Aloevera with Guava Juice (1L),Aloevera with Guava Juice,aloevera-with-guava-juice-1l,1L,5,HEALTH CARE,4,Curind,1499.0,710.0,285.0,285.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
75,DJP1074,DJ-HEA-0075,Astheal Cough Syrup (100ml),Astheal Cough Syrup,astheal-cough-syrup-100ml,100ml,5,HEALTH CARE,4,Curind,199.0,99.0,32.0,32.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
76,DJP1075,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),Ashvagandha Extract,ashvagandha-extract-60-veg-capsules,60 Veg Capsules,5,HEALTH CARE,4,Curind,499.0,299.0,110.0,110.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
77,DJP1076,DJ-HEA-0077,Amla Extract (60 Veg Capsules),Amla Extract,amla-extract-60-veg-capsules,60 Veg Capsules,5,HEALTH CARE,4,Curind,499.0,275.0,100.0,100.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
78,DJP1077,DJ-HEA-0078,Advanced Calcium Tablets,Advanced Calcium Tablets,advanced-calcium-tablets,,5,HEALTH CARE,4,Curind,999.0,325.0,130.0,130.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
79,DJP1078,DJ-HEA-0079,Arogya Churn (100g),Arogya Churn,arogya-churn-100g,100g,5,HEALTH CARE,4,Curind,189.0,115.0,40.0,40.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
80,DJP1079,DJ-HEA-0080,Di-beat (60 Tab),Di-beat,di-beat-60-tab,60 Tab,5,HEALTH CARE,4,Curind,1199.0,825.0,375.0,375.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
81,DJP1080,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),Golden Elixir - Nano Curcumin Drops,golden-elixir-nano-curcumin-drops-pack-of-2-bottles-each-25ml,Pack of 2 Bottles - each 25ml,5,HEALTH CARE,4,Curind,4999.0,2849.0,1320.0,1320.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
82,DJP1081,DJ-HEA-0082,Gas-O-Free (200ml),Gas-O-Free,gas-o-free-200ml,200ml,5,HEALTH CARE,4,Curind,599.0,375.0,160.0,160.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
83,DJP1082,DJ-HEA-0083,Gas-O-Free (500ml),Gas-O-Free,gas-o-free-500ml,500ml,5,HEALTH CARE,4,Curind,1399.0,865.0,400.0,400.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
84,DJP1083,DJ-HEA-0084,GoPiles (60 Tab),GoPiles,gopiles-60-tab,60 Tab,5,HEALTH CARE,4,Curind,1199.0,825.0,375.0,375.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
85,DJP1084,DJ-HEA-0085,GoPiles Syrup (500ml),GoPiles Syrup,gopiles-syrup-500ml,500ml,5,HEALTH CARE,4,Curind,1399.0,865.0,400.0,400.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
86,DJP1085,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),Giloe Extract,giloe-extract-60-veg-capsules,60 Veg Capsules,5,HEALTH CARE,4,Curind,499.0,275.0,100.0,100.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
87,DJP1086,DJ-HEA-0087,Eye Elixir Drops (10ml),Eye Elixir Drops,eye-elixir-drops-10ml,10ml,5,HEALTH CARE,4,Curind,149.0,100.0,42.0,42.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
88,DJP1087,DJ-HEA-0088,Eye Health++ (60 Capsules),Eye Health++,eye-health-60-capsules,60 Capsules,5,HEALTH CARE,4,Curind,1799.0,1099.0,480.0,480.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
89,DJP1088,DJ-HEA-0089,HB+ (200ml),HB+,hb-200ml,200ml,5,HEALTH CARE,4,Curind,599.0,375.0,160.0,160.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
90,DJP1089,DJ-HEA-0090,HB+ (500ml),HB+,hb-500ml,500ml,5,HEALTH CARE,4,Curind,1399.0,865.0,400.0,400.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
91,DJP1090,DJ-HEA-0091,Hi-Energy (60 Tab),Hi-Energy,hi-energy-60-tab,60 Tab,5,HEALTH CARE,4,Curind,1199.0,825.0,375.0,375.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
92,DJP1091,DJ-HEA-0092,Kidney Kawach (300 g),Kidney Kawach,kidney-kawach-300-g,300 g,5,HEALTH CARE,4,Curind,2999.0,1799.0,840.0,840.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
93,DJP1092,DJ-HEA-0093,Liv-Ease (200ml),Liv-Ease,liv-ease-200ml,200ml,5,HEALTH CARE,4,Curind,599.0,375.0,160.0,160.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
94,DJP1093,DJ-HEA-0094,Liv-Ease (500ml),Liv-Ease,liv-ease-500ml,500ml,5,HEALTH CARE,4,Curind,1399.0,865.0,400.0,400.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
95,DJP1094,DJ-HEA-0095,Multivitamins Tablets,Multivitamins Tablets,multivitamins-tablets,,5,HEALTH CARE,4,Curind,999.0,425.0,180.0,180.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
