sku,product_name,category,brand,image_path,original_filename,match_confidence,caption,alt_text,seo_title,slug
DJ-HEA-0086,Giloe Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0086.webp,Giloe60Veg.webp,manual_review,,,,
DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0081_1.jpeg,golden Elixir.jpeg,auto_0.765,,,,
DJ-HEA-0085,GoPiles Syrup (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0085_2.webp,GoPilesSyrup.webp,auto_0.737,,,,
DJ-HEA-0085,GoPiles Syrup (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0085_3.webp,GoPiles_60Tab.webp,auto_0.8,,,,
DJ-HEA-0090,HB+ (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0090.webp,HBPlus500ml.webp,manual_review,,,,
DJ-HEA-0089,HB+ (200ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0089_1.webp,HBplus_200ml.webp,manual_review,,,,
DJ-HEA-0091,Hi-Energy (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0091_1.webp,HiEnergy.webp,auto_0.941,,,,
DJ-HEA-0111,JuniorJoy - Kids Nutritional Drink (300g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0111.webp,Junior joy.webp,manual_review,,,,
DJ-HEA-0112,Kahwa Masala Chai (25 Pcs),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0112_1.jpeg,Kahwa Masala.jpeg,auto_1.028,,,,
DJ-HEA-0092,Kidney Kawach (300 g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0092_1.webp,Kidney_Kawach.webp,auto_1.2,,,,
DJ-HEA-0094,Liv-Ease (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0094_2.webp,LivEaseSyrup_200ml.webp,auto_0.7,,,,
DJ-HEA-0094,Liv-Ease (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0094_3.webp,LivEase_500ml.webp,auto_0.933,,,,
DJ-HEA-0115,Marine Collagen (200g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0115_1.jpeg,Marine_Collagen.jpeg,auto_1.2,,,,
DJ-HEA-0095,Multivitamins Tablets,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0095_1.webp,MultivitaminsTablets.webp,auto_0.788,,,,
DJ-HEA-0098,N-astheal (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0098_2.webp,Nastheal120N (1).webp,auto_0.941,,,,
DJ-HEA-0098,N-astheal (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0098_3.webp,Nastheal120N.webp,auto_0.941,,,,
DJ-HEA-0096,Nonima (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0096_1.webp,Nonima500ml.webp,auto_1.1,,,,
DJ-HEA-0101,Omega 3-6-9,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0101_1.webp,Omega_369_Benefits.webp,auto_0.721,,,,
DJ-HEA-0100,Orthofix Oil (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0100_2.webp,orthofix60tab.webp,auto_0.762,,,,
DJ-HEA-0100,Orthofix Oil (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0100_3.webp,Orthofixoil_100ml.webp,auto_0.842,,,,
DJ-AGR-0129,Prosperous+ (1 L),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0129_3.webp,Prosperous1ltr.webp,manual_review,,,,
DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0102_1.webp,Quick6PainReliefGel.webp,auto_0.905,,,,
DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0104_1.webp,SeabuckthronJuice_1L.webp,auto_0.971,,,,
DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0105_1.jpeg,Shatavari.jpeg,auto_0.792,,,,
DJ-HEA-0113,Shilajit Gummies (60 Gummies),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0113_1.jpeg,Shilajit Gummies.jpeg,auto_1.2,,,,
DJ-HEA-0106,Super Food Capsule,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0106_1.webp,SuperFood_Capsule.webp,auto_0.947,,,,
DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0103_1.webp,SuperRichBerry_Juice1L.webp,auto_1.052,,,,
DJ-HEA-0107,Premium Tulsi Max (30ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0107.jpg,tulsi_1.jpg,manual_review,,,,
DJ-HEA-0108,Vital Protein Powder (300gm),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0108_1.webp,VitalVeganProtein300g.webp,auto_0.8,,,,
DJ-PER-0029,Aloevera Gel (100g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0029_1.webp,AloeveraGel100gm.webp,auto_0.957,,,,
DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0056_1.jpeg,Amla.Reetha Shampoo.jpeg,auto_1.126,,,,
DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0028_1.jpg,ANTI POLLUTION Aloe Vera.jpg,auto_1.007,,,,
DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0033.webp,BamboToothbrushPack2.webp,manual_review,,,,
DJ-PER-0030,BR Rich Oil (200ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0030_1.webp,BR_RichOil_200ml.webp,auto_0.924,,,,
DJ-PER-0031,Daily Care Cream (60g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0031_1.jpeg,Daily care cream 60ml.jpeg,auto_1.3,,,,
DJ-PER-0054,Deep Cleansing Facewash (60ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0054_1.jpeg,deep cleansing.jpeg,auto_0.957,,,,
DJ-PER-0052,Seabuckthron Facial Fluid (10ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0052.webp,FacialFluid_10ml.webp,manual_review,,,,
DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0046_1.jpeg,Gold_Facial_Kit.jpeg,auto_0.832,,,,
DJ-PER-0057,Haldi Chandan Facewash (60ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0057_1.jpeg,"Haldi,chandan Facewash.jpeg",auto_1.3,,,,
DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0034_1.webp,HerboSmile_Toothpaste.webp,auto_1.057,,,,
DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0035_1.webp,HydraAloevera_BodyLotion.webp,auto_0.96,,,,
DJ-PER-0036,Kesham (100ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0036_1.webp,Kesham_100ml.webp,auto_1.1,,,,
DJ-PER-0037,Luxwash Handwash (250ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0037_1.webp,Luxwash_Handwash250ml.webp,auto_1.2,,,,
DJ-PER-0050,Seabuckthron Massage Cream (30g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0050.webp,MassageCream_30gm.webp,manual_review,,,,
DJ-PER-0049,Seabuckthron Massage Gel (30g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0049.webp,MassageGel_30gm.webp,manual_review,,,,
DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0038.jpeg,Milk keretien 100ml.jpeg,manual_review,,,,
DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0040_1.webp,milkbathSoap_100gm.webp,auto_0.923,,,,
DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0041_1.jpeg,Neem Soap.jpeg,auto_0.781,,,,
DJ-PER-0042,Regain Aloevera Shampoo (300ml),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0042_1.webp,RegainAloeveraShampoo_300ml.webp,auto_0.955,,,,
DJ-PER-0032,Luxury Saffron Soap (100g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0032_1.webp,SaffronSoap_100gm.webp,auto_0.733,,,,
DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0045_1.jpeg,Sanitary Pad XXL.jpeg,auto_1.057,,,,
DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0045_1.webp,SanitaryPads_Pack.webp,auto_0.917,,,,
DJ-PER-0051,Seabuckthron Face Pack (30g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0051_1.webp,SeabuckthornFacePack30gm.webp,auto_0.811,,,,
DJ-PER-0048,Seabuckthron Scrub (30g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0048_1.webp,SeabuckthornScrub30gm.webp,auto_0.914,,,,
DJ-PER-0047,Seabuckthron Cleanser (30g),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0047_1.webp,Seabuckthorn_Cleanser.webp,auto_1.052,,,,
DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0046_1.webp,Seabuckthorn_FacialKit.webp,auto_0.933,,,,
DJ-PER-0055,WildMuse Premium Loofah,PERSONAL CARE,Wild Muse,06_IMAGES/products/DJ-PER-0055_1.webp,WildMuse_PremiumLoofah.webp,auto_1.078,,,,
DJ-FOO-0001,Black Salt Sprinkler (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0001_2.jpg,Black salt.jpg,auto_0.867,,,,
DJ-FOO-0001,Black Salt Sprinkler (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0001_3.jpg,Black_salt_1.jpg,auto_0.887,,,,
DJ-FOO-0002,Chaat Masala (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0002_1.webp,ChaatMasala_100gm.webp,auto_0.957,,,,
DJ-FOO-0003,Chicken Masala (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0003_1.webp,Chikenmasala_100gm.webp,auto_0.923,,,,
DJ-FOO-0004,Daily Tea (250g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0004_1.webp,DayjoyChai250gm.webp,manual_review,,,,
DJ-FOO-0008,Dhaniya Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0008_2.webp,Dhaniya200gm.webp,auto_1.1,,,,
DJ-FOO-0008,Dhaniya Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0008_3.webp,Dhaniya30gm.webp,auto_1.1,,,,
DJ-FOO-0009,Garam Masala (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0009_1.webp,Garammasala100gm.webp,auto_0.957,,,,
DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_3.webp,Haldi200gm.webp,auto_1.1,,,,
DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_4.webp,Haldi30gm.webp,auto_1.1,,,,
DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_5.webp,Haldi500gm.webp,auto_1.1,,,,
DJ-FOO-0014,Jaljeera (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0014_1.webp,Jaljeera.webp,auto_1.1,,,,
DJ-FOO-0016,Kasuri Methi (50g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0016_1.webp,KasuriMethi50gm.webp,auto_0.957,,,,
DJ-FOO-0018,Mirchi Powder (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0018_1.webp,MirchiPowder200gm.webp,manual_review,,,,
DJ-FOO-0019,Mirchi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0019.webp,MirchiPowder500gm.webp,manual_review,,,,
DJ-FOO-0025,Poha with Bhujia,FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0025.jpeg,Poha.jpeg,manual_review,,,,
DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),FOOD PRODUCTS,Total Joy,06_IMAGES/products/DJ-FOO-0023_1.jpeg,Rice Bran Oil.jpeg,auto_0.843,,,,
DJ-GER-0138,Bio-Germanium & Magnetic Mattress (Pack of 2),GERMANIUM & MAGNETIC,Dayjoy,06_IMAGES/products/DJ-GER-0138_1.webp,Bio-GermaniumMattress_pack2.webp,auto_0.824,,,,
DJ-HOM-0119,All in 1 Surface Cleaner (500ml),HOME CARE,HomeShine,06_IMAGES/products/DJ-HOM-0119_1.jpg,All in 1 Surface Cleaner.jpg,auto_1.5,,,,
DJ-HOM-0116,Dishwash Liquid Gel (500ml),HOME CARE,HomeShine,06_IMAGES/products/DJ-HOM-0116.jpg,Dishwash.jpg,manual_review,,,,
DJ-HOM-0118,Liquid Detergent (1Ltr.),HOME CARE,HomeShine,06_IMAGES/products/DJ-HOM-0118_1.jpeg,liquid detergent.jpeg,auto_1.2,,,,
DJ-HOM-0117,Toilet Bowl Cleaner (500ml),HOME CARE,HomeShine,06_IMAGES/products/DJ-HOM-0117_1.jpg,Toilet Cleaner.jpg,auto_1.048,,,,
DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),SKIN CARE,Amara Beauty,06_IMAGES/products/DJ-SKI-0063.jpeg,AMARA_AcneX.jpeg,manual_review,,,,
DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),SKIN CARE,Amara Beauty,06_IMAGES/products/DJ-SKI-0062_1.jpg,Anti_Aging_Night_Cream.jpg,auto_1.18,,,,
DJ-SKI-0058,Face Serum (30ml),SKIN CARE,Amara Beauty,06_IMAGES/products/DJ-SKI-0058_1.jpeg,face serum.jpeg,auto_1.2,,,,
DJ-SKI-0061,Hydra Max Moisturizer (50gm),SKIN CARE,Amara Beauty,06_IMAGES/products/DJ-SKI-0061.jpeg,hydra.jpeg,manual_review,,,,
DJ-SKI-0060,Sunscreen SPF 50+ (50gm),SKIN CARE,Amara Beauty,06_IMAGES/products/DJ-SKI-0060_1.jpeg,Sunscreen.jpeg,auto_0.82,,,,
