Category,Problem_or_Condition,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
LIVER DISEASES,"Pale, Bloody, or Black Stool",,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,"Pale, Bloody, or Black Stool"
LIVER DISEASES,"Swollen Ankles, Legs or Abdomen",,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,"Swollen Ankles, Legs or Abdomen"
LIVER DISEASES,Nausea/Vomiting,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Nausea/Vomiting
LIVER DISEASES,Decreased Appetite,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Decreased Appetite
LIVER DISEASES,Continuous Fatigue,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Continuous Fatigue
LIVER DISEASES,Itchy Skin,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Itchy Skin
LIVER DISEASES,Easy Bruising,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Easy Bruising
LIVER DISEASES,Indigestion,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Indigestion
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Excessive Production of Gastric Acid,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Excessive Production of Gastric Acid
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Bloating,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Bloating
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Gas,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Gas
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Vomiting,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Vomiting
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Loss of Appetite,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Loss of Appetite
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Heartburn,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Heartburn
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Abdominal Pain,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Abdominal Pain
DIGESTION PROBLEMS (INDIGESTION & ACIDITY),Constipation,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Constipation
PILES/FISSURE,Bright Red Blood in Stools an Itchy Anus,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Bright Red Blood in Stools an Itchy Anus
PILES/FISSURE,Feeling Like You Still Need To Poo After going to the Toilet,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Feeling Like You Still Need To Poo After going to the Toilet
PILES/FISSURE,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom
PILES/FISSURE,Pain Around Your Anus,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Pain Around Your Anus
IMMUNITY,"Cough, Cold and Fever",,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,"Cough, Cold and Fever"
IMMUNITY,Slow Healing of Wound,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Slow Healing of Wound
IMMUNITY,Lack of Energy,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Lack of Energy
IMMUNITY,Skin Allergies,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Skin Allergies
IMMUNITY,Loss Of Appetite,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Loss Of Appetite
IMMUNITY,Nausea and Diarrhoea,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Nausea and Diarrhoea
IMMUNITY,Delayed Growth and Development,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Delayed Growth and Development
RESPIRATORY HEALTH,Running Nose,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Running Nose
RESPIRATORY HEALTH,Headache,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Headache
RESPIRATORY HEALTH,Fever,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Fever
RESPIRATORY HEALTH,"Cough, Sore Throat",,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,"Cough, Sore Throat"
RESPIRATORY HEALTH,Breathlessness,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Breathlessness
RESPIRATORY HEALTH,Pneumonia,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Pneumonia
RESPIRATORY HEALTH,Fatigue,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Fatigue
RESPIRATORY HEALTH,Irritability,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Irritability
RESPIRATORY HEALTH,Sleep Disturbances,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Sleep Disturbances
MALE HEALTH ISSUES,Hypoactive Sexual Desire Disorder,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Hypoactive Sexual Desire Disorder
MALE HEALTH ISSUES,Erectile Dysfunction,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Erectile Dysfunction
MALE HEALTH ISSUES,Premature Ejaculation,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Premature Ejaculation
MALE HEALTH ISSUES,Lack of libido,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Lack of libido
FEMALE HEALTH (HORMONAL IMBALANCE),Stress,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,Stress
FEMALE HEALTH (HORMONAL IMBALANCE),"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)",,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)"
FEMALE HEALTH (HORMONAL IMBALANCE),Depression & Anxiety,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,Depression & Anxiety
FEMALE HEALTH (HORMONAL IMBALANCE),Hormonal Imbalance,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,Hormonal Imbalance
FEMALE HEALTH (WEAKNESS),Fatigue,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Fatigue
FEMALE HEALTH (WEAKNESS),Pale or Yellowish Skin,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Pale or Yellowish Skin
FEMALE HEALTH (WEAKNESS),Irregular Heartbeats,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Irregular Heartbeats
