product_id,product_code,sku,product_name,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),What is the pack size?,This specific item comes in a 250g pack size.,dosage,10,Various Documents,,medium
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),What is Daily Tea (500g)?,"Daily Tea (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),What is the price and business volume (BV) for Daily Tea (500g)?,"The MRP is ₹329.0, Distributor Price (DP) is ₹245.0, and the Business Volume (BV) is 39.0.",pricing,2,Various Documents,,high
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),What is Dhaniya Powder (25g)?,"Dhaniya Powder (25g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),What is the price and business volume (BV) for Dhaniya Powder (25g)?,"The MRP is ₹20.0, Distributor Price (DP) is ₹15.0, and the Business Volume (BV) is 1.0.",pricing,2,Various Documents,,high
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),What is the pack size?,This specific item comes in a 25g pack size.,dosage,10,Various Documents,,medium
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),What is Dhaniya Powder (200g)?,"Dhaniya Powder (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),What is the price and business volume (BV) for Dhaniya Powder (200g)?,"The MRP is ₹95.0, Distributor Price (DP) is ₹75.0, and the Business Volume (BV) is 14.0.",pricing,2,Various Documents,,high
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),What is Dhaniya Powder (500g)?,"Dhaniya Powder (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),What is the price and business volume (BV) for Dhaniya Powder (500g)?,"The MRP is ₹210.0, Distributor Price (DP) is ₹170.0, and the Business Volume (BV) is 30.0.",pricing,2,Various Documents,,high
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),What is Garam Masala (100g)?,"Garam Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),What is the price and business volume (BV) for Garam Masala (100g)?,"The MRP is ₹110.0, Distributor Price (DP) is ₹99.0, and the Business Volume (BV) is 20.0.",pricing,2,Various Documents,,high
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),What is Haldi Powder (25g)?,"Haldi Powder (25g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),What is the price and business volume (BV) for Haldi Powder (25g)?,"The MRP is ₹20.0, Distributor Price (DP) is ₹15.0, and the Business Volume (BV) is 1.0.",pricing,2,Various Documents,,high
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),What is the pack size?,This specific item comes in a 25g pack size.,dosage,10,Various Documents,,medium
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),What is Haldi Powder (200g)?,"Haldi Powder (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),What is the price and business volume (BV) for Haldi Powder (200g)?,"The MRP is ₹135.0, Distributor Price (DP) is ₹80.0, and the Business Volume (BV) is 12.0.",pricing,2,Various Documents,,high
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),What is Haldi Powder (500g)?,"Haldi Powder (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),What is the price and business volume (BV) for Haldi Powder (500g)?,"The MRP is ₹320.0, Distributor Price (DP) is ₹200.0, and the Business Volume (BV) is 28.0.",pricing,2,Various Documents,,high
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),What is Himalayan Pink Salt Sprinkler (200g)?,"Himalayan Pink Salt Sprinkler (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),What is the price and business volume (BV) for Himalayan Pink Salt Sprinkler (200g)?,"The MRP is ₹75.0, Distributor Price (DP) is ₹60.0, and the Business Volume (BV) is 13.0.",pricing,2,Various Documents,,high
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
