Product Name,Sub-Brand,Category/Type,Key Benefits,Ingredients,How to Consume/Use,Pack Size,MRP (INR)
Haldi Chandan Face Wash,Wild Muse,Face wash,Reduces acne spots; cleanses impurities; brightens; soft/smooth skin,"Haldi (Turmeric), Chandan (Sandalwood)",Regular use,75ml,85
Premium Sanitary Pads,Wild Muse,Feminine hygiene,8-layer protection; irritation/leakage-free; odor neutralizing; secure fit,"Organic cotton, biodegradable gel core",As needed,"Pack of 10, Sizes XL/XXL",249 / 275
Sea Buckthorn Facial Kit (6 products),Wild Muse,Facial kit,Soothes/calms; hydrates; repairs/rejuvenates; brightens; environmental protection,Sea Buckthorn,6-step routine,Kit of 6 products,1349
Face Serum (Niacinamide & Hyaluronic Acid),Amara Beauty,Face serum,Hydrates/plumps skin; fades dark spots; refines pores; strengthens barrier; reduces fine lines,"Niacinamide, Hyaluronic Acid, Aloe Vera, Vitamin B5, Green Tea Extract",2-3 drops twice daily,30ml,699
Jaljira,Aayushmaan,Organic spice blend,Cooling; digestion aid; tangy zesty flavor,Organic spices/herbs,Culinary use,100g,65
YumDum Organic Black Salt,YumDum,Organic salt,Digestion; hydration; tangy chatpata flavor,Black Salt,Culinary use,Sprinkler 200g,59
Surface Cleaner,HomeShine,Home care,Multi-purpose; removes dirt/stains/germs; fresh fragrance,NA,Household use,500ml Bottle,179
Dayjoy T-shirt,Domatti,Clothing,Comfort; durability; perfect fit; moisture-wicking,Breathable fabric,Wear daily,Sizes M/L/XL,699
Joy Spread 80+ Gold,HappyGrow,Spray adjuvant,Enhances pest wetting; adjusts spray pH; uniform deposits; boosts pesticide penetration,Surfactant blend,5ml (insecticide)/15ml (herbicide) per 15L tank,100/250ml Bottle,249 / 499
JoyCalcium,HappyGrow,Animal calcium supplement,Boosts milk production; improves fat content; bone/teeth strength; digestion/immunity; reproductive health,"Calcium, Phosphorus, Zinc, Magnesium, Vitamins A/D3/E/B12, Biotin, Protein",60-70ml/day lactating cattle; 50ml dry cattle; 20-30ml calves; 10ml/bird poultry,2L Bottle,1049
