product_code,sku,product_name,brand,category,subcategory,pack_size,pack_size_confidence,mrp,distributor_price,bv,pv,pricing_confidence,source_document_id,source_version,approval_status,effective_from,effective_to,missing_fields_count,risk_level
DJP1017,DJ-FOO-0018,Mirchi Powder (200g),,,,200g,verified_from_name_or_source,145.0,110.0,18.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1018,DJ-FOO-0019,Mirchi Powder (500g),,,,500g,verified_from_name_or_source,335.0,275.0,50.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1019,DJ-FOO-0020,Rai (250g),,,,250g,verified_from_name_or_source,99.0,80.0,13.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1020,DJ-FOO-0021,Sabji Masala (100g),,,,100g,verified_from_name_or_source,110.0,99.0,20.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1021,DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),,,,1 L,verified_from_name_or_source,299.0,235.0,24.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1022,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),,,,2 L,verified_from_name_or_source,599.0,470.0,40.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1023,DJ-FOO-0024,Veg Biryani with Shahi Gravy,,,,1 serving,verified_from_name_or_source,199.0,135.0,17.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1024,DJ-FOO-0025,Poha with Bhujia,,,,1 serving,verified_from_name_or_source,99.0,67.0,9.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1025,DJ-FOO-0026,Upma with Bhujia,,,,1 serving,verified_from_name_or_source,99.0,71.0,9.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1026,DJ-PER-0027,Anti Pollution Face Wash (150ml),,,,150ml,verified_from_name_or_source,249.0,165.0,50.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1027,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),,,,100ml,verified_from_name_or_source,135.0,94.0,23.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1028,DJ-PER-0029,Aloevera Gel (100g),,,,100g,verified_from_name_or_source,150.0,115.0,36.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1029,DJ-PER-0030,BR Rich Oil (200ml),,,,200ml,verified_from_name_or_source,249.0,165.0,44.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1030,DJ-PER-0031,Daily Care Cream (60g),,,,60g,verified_from_name_or_source,149.0,95.0,30.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1031,DJ-PER-0032,Luxury Saffron Soap (100g),,,,100g,verified_from_name_or_source,125.0,82.0,20.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1032,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),,,,2,verified_from_name_or_source,149.0,100.0,30.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1033,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),,,,100g,verified_from_name_or_source,125.0,82.0,20.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1034,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),,,,300ml,verified_from_name_or_source,349.0,245.0,76.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1035,DJ-PER-0036,Kesham (100ml),,,,100ml,verified_from_name_or_source,149.0,91.0,24.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1036,DJ-PER-0037,Luxwash Handwash (250ml),,,,250ml,verified_from_name_or_source,150.0,95.0,17.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1037,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),,,,100ml,verified_from_name_or_source,175.0,118.0,33.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1038,DJ-PER-0039,Milk Bath Soap (100g),,,,100g,verified_from_name_or_source,75.0,52.0,9.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1039,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),,,,100g,verified_from_name_or_source,225.0,150.0,25.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1040,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),,,,100g,verified_from_name_or_source,147.0,107.0,19.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1041,DJ-PER-0042,Regain Aloevera Shampoo (300ml),,,,300ml,verified_from_name_or_source,349.0,245.0,76.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1042,DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),,,,150ml,verified_from_name_or_source,249.0,169.0,56.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1043,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),,,,10,verified_from_name_or_source,249.0,130.0,40.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1044,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),,,,10,verified_from_name_or_source,275.0,150.0,45.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1045,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),,,,30g,verified_from_name_or_source,1349.0,799.0,290.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1046,DJ-PER-0047,Seabuckthron Cleanser (30g),,,,30g,verified_from_name_or_source,225.0,145.0,52.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1047,DJ-PER-0048,Seabuckthron Scrub (30g),,,,30g,verified_from_name_or_source,225.0,145.0,52.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1048,DJ-PER-0049,Seabuckthron Massage Gel (30g),,,,30g,verified_from_name_or_source,225.0,145.0,52.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1049,DJ-PER-0050,Seabuckthron Massage Cream (30g),,,,30g,verified_from_name_or_source,225.0,145.0,52.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1050,DJ-PER-0051,Seabuckthron Face Pack (30g),,,,30g,verified_from_name_or_source,225.0,145.0,52.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1051,DJ-PER-0052,Seabuckthron Facial Fluid (10ml),,,,10ml,verified_from_name_or_source,225.0,145.0,52.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1052,DJ-PER-0053,Deep Cleansing Face Wash (100ml),,,,100ml,verified_from_name_or_source,199.0,139.0,48.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1053,DJ-PER-0054,Deep Cleansing Facewash (60ml),,,,60ml,verified_from_name_or_source,125.0,82.0,21.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1054,DJ-PER-0055,WildMuse Premium Loofah,,,,1 unit,verified_from_name_or_source,125.0,99.0,36.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1055,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),,,,100ml,verified_from_name_or_source,130.0,110.0,34.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1056,DJ-PER-0057,Haldi Chandan Facewash (60ml),,,,60ml,verified_from_name_or_source,85.0,68.0,18.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1057,DJ-SKI-0058,Face Serum (30ml),,,,30ml,verified_from_name_or_source,699.0,499.0,170.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1058,DJ-SKI-0059,Gold Facial Kit,,,,1 kit,verified_from_name_or_source,449.0,310.0,100.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1059,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),,,,50gm,verified_from_name_or_source,349.0,299.0,92.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1060,DJ-SKI-0061,Hydra Max Moisturizer (50gm),,,,50gm,verified_from_name_or_source,449.0,369.0,110.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1061,DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),,,,50gm,verified_from_name_or_source,799.0,599.0,225.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1062,DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),,,,100ml,verified_from_name_or_source,399.0,299.0,98.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1063,DJ-COL-0064,Amara Beauty Kajal,,,,1 unit,verified_from_name_or_source,299.0,199.0,65.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1064,DJ-COL-0065,Amara Beauty Eyeliner,,,,1 unit,verified_from_name_or_source,399.0,299.0,105.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1065,DJ-HEA-0066,Asthprash (300 grams),,,,300 g,verified_from_name_or_source,2999.0,1499.0,720.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1066,DJ-HEA-0067,Adicardial (120 Tab),,,,120 tablets,verified_from_name_or_source,2099.0,1325.0,620.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1067,DJ-HEA-0068,Adicardial Syrup (500ml),,,,500ml,verified_from_name_or_source,1399.0,865.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1068,DJ-HEA-0069,Adila Forte (30 Tab),,,,30 tablets,verified_from_name_or_source,1499.0,1030.0,480.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1069,DJ-HEA-0070,Adila Forte (60 Tab),,,,60 tablets,verified_from_name_or_source,2999.0,1875.0,880.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1070,DJ-HEA-0071,Adilipo (120 Tab),,,,120 tablets,verified_from_name_or_source,2699.0,1725.0,840.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1071,DJ-HEA-0072,Adilipo (60 Tab),,,,60 tablets,verified_from_name_or_source,1499.0,950.0,450.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1072,DJ-HEA-0073,Adiliv (60 Tab),,,,60 tablets,verified_from_name_or_source,1199.0,825.0,375.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1073,DJ-HEA-0074,Aloevera with Guava Juice (1L),,,,1L,verified_from_name_or_source,1499.0,710.0,285.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1074,DJ-HEA-0075,Astheal Cough Syrup (100ml),,,,100ml,verified_from_name_or_source,199.0,99.0,32.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1075,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),,,,60 capsules,verified_from_name_or_source,499.0,299.0,110.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1076,DJ-HEA-0077,Amla Extract (60 Veg Capsules),,,,60 capsules,verified_from_name_or_source,499.0,275.0,100.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1077,DJ-HEA-0078,Advanced Calcium Tablets,,,,not stated,unverified,999.0,325.0,130.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1078,DJ-HEA-0079,Arogya Churn (100g),,,,100g,verified_from_name_or_source,189.0,115.0,40.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1079,DJ-HEA-0080,Di-beat (60 Tab),,,,60 tablets,verified_from_name_or_source,1199.0,825.0,375.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1080,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),,,,25ml,verified_from_name_or_source,4999.0,2849.0,1320.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1081,DJ-HEA-0082,Gas-O-Free (200ml),,,,200ml,verified_from_name_or_source,599.0,375.0,160.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1082,DJ-HEA-0083,Gas-O-Free (500ml),,,,500ml,verified_from_name_or_source,1399.0,865.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1083,DJ-HEA-0084,GoPiles (60 Tab),,,,60 tablets,verified_from_name_or_source,1199.0,825.0,375.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1084,DJ-HEA-0085,GoPiles Syrup (500ml),,,,500ml,verified_from_name_or_source,1399.0,865.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1085,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),,,,60 capsules,verified_from_name_or_source,499.0,275.0,100.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1086,DJ-HEA-0087,Eye Elixir Drops (10ml),,,,10ml,verified_from_name_or_source,149.0,100.0,42.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1087,DJ-HEA-0088,Eye Health++ (60 Capsules),,,,60 Capsules,verified_from_name_or_source,1799.0,1099.0,480.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1088,DJ-HEA-0089,HB+ (200ml),,,,200ml,verified_from_name_or_source,599.0,375.0,160.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1089,DJ-HEA-0090,HB+ (500ml),,,,500ml,verified_from_name_or_source,1399.0,865.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1090,DJ-HEA-0091,Hi-Energy (60 Tab),,,,60 tablets,verified_from_name_or_source,1199.0,825.0,375.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1091,DJ-HEA-0092,Kidney Kawach (300 g),,,,300 g,verified_from_name_or_source,2999.0,1799.0,840.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1092,DJ-HEA-0093,Liv-Ease (200ml),,,,200ml,verified_from_name_or_source,599.0,375.0,160.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1093,DJ-HEA-0094,Liv-Ease (500ml),,,,500ml,verified_from_name_or_source,1399.0,865.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1094,DJ-HEA-0095,Multivitamins Tablets,,,,not stated,unverified,999.0,425.0,180.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1095,DJ-HEA-0096,Nonima (500ml),,,,500ml,verified_from_name_or_source,1499.0,949.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1096,DJ-HEA-0097,N-astheal (120 Tab),,,,120 tablets,verified_from_name_or_source,2699.0,1725.0,865.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1097,DJ-HEA-0098,N-astheal (60 Tab),,,,60 tablets,verified_from_name_or_source,1499.0,960.0,465.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1098,DJ-HEA-0099,Orthofix (60 Tab),,,,60 tablets,verified_from_name_or_source,1199.0,825.0,375.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1099,DJ-HEA-0100,Orthofix Oil (100ml),,,,100ml,verified_from_name_or_source,525.0,325.0,112.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1100,DJ-HEA-0101,Omega 3-6-9,,,,not stated,unverified,999.0,500.0,200.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1101,DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),,,,30g,verified_from_name_or_source,149.0,99.0,32.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1102,DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),,,,1 L.,verified_from_name_or_source,2999.0,1660.0,740.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1103,DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),,,,1 L.,verified_from_name_or_source,2999.0,1490.0,640.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1104,DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),,,,60 capsules,verified_from_name_or_source,499.0,299.0,110.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1105,DJ-HEA-0106,Super Food Capsule,,,,not stated,unverified,1999.0,999.0,420.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1106,DJ-HEA-0107,Premium Tulsi Max (30ml),,,,30ml,verified_from_name_or_source,299.0,178.0,58.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1107,DJ-HEA-0108,Vital Protein Powder (300gm),,,,300gm,verified_from_name_or_source,1999.0,1199.0,430.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1108,DJ-HEA-0109,L-Arginine++ - Energy Drink (100g),,,,100g,verified_from_name_or_source,1499.0,799.0,300.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1109,DJ-HEA-0110,Ample Meal - Meal Replacement Nutritional Shake (500g),,,,500g,verified_from_name_or_source,2699.0,1799.0,650.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1110,DJ-HEA-0111,JuniorJoy - Kids Nutritional Drink (300g),,,,300g,verified_from_name_or_source,1499.0,899.0,325.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1111,DJ-HEA-0112,Kahwa Masala Chai (25 Pcs),,,,25 Pcs,verified_from_name_or_source,399.0,295.0,95.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1112,DJ-HEA-0113,Shilajit Gummies (60 Gummies),,,,60 Gummies,verified_from_name_or_source,1499.0,999.0,400.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1113,DJ-HEA-0114,Apple Cider Vinegar (3X20 Tablets),,,,60 tablets,verified_from_name_or_source,1425.0,875.0,350.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1114,DJ-HEA-0115,Marine Collagen (200g),,,,200g,verified_from_name_or_source,1799.0,999.0,380.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1115,DJ-HOM-0116,Dishwash Liquid Gel (500ml),,,,500ml,verified_from_name_or_source,189.0,149.0,29.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1116,DJ-HOM-0117,Toilet Bowl Cleaner (500ml),,,,500ml,verified_from_name_or_source,149.0,115.0,21.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
