product_code,sku,product_name,category,source_document,last_updated,status,subcategory,mrp,distributor_price,bv,pv,pack_size,ingredients,benefits,features,usage,dosage,warnings,storage,target_customer,related_products,alternative_products,cross_sell_products,frequently_bought_together,certifications,search_keywords,metadata,faqs
DJP1033,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1034,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1035,DJ-PER-0036,Kesham (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1036,DJ-PER-0037,Luxwash Handwash (250ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1037,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1038,DJ-PER-0039,Milk Bath Soap (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1039,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1040,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1041,DJ-PER-0042,Regain Aloevera Shampoo (300ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1042,DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1043,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1044,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1045,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1046,DJ-PER-0047,Seabuckthron Cleanser (30g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1047,DJ-PER-0048,Seabuckthron Scrub (30g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1048,DJ-PER-0049,Seabuckthron Massage Gel (30g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1049,DJ-PER-0050,Seabuckthron Massage Cream (30g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1050,DJ-PER-0051,Seabuckthron Face Pack (30g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1051,DJ-PER-0052,Seabuckthron Facial Fluid (10ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1052,DJ-PER-0053,Deep Cleansing Face Wash (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1053,DJ-PER-0054,Deep Cleansing Facewash (60ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1054,DJ-PER-0055,WildMuse Premium Loofah,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1055,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1056,DJ-PER-0057,Haldi Chandan Facewash (60ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1057,DJ-SKI-0058,Face Serum (30ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1058,DJ-SKI-0059,Gold Facial Kit,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1059,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1060,DJ-SKI-0061,Hydra Max Moisturizer (50gm),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1061,DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1062,DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1063,DJ-COL-0064,Amara Beauty Kajal,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1064,DJ-COL-0065,Amara Beauty Eyeliner,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1065,DJ-HEA-0066,Asthprash (300 grams),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1066,DJ-HEA-0067,Adicardial (120 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1067,DJ-HEA-0068,Adicardial Syrup (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1068,DJ-HEA-0069,Adila Forte (30 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1069,DJ-HEA-0070,Adila Forte (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1070,DJ-HEA-0071,Adilipo (120 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1071,DJ-HEA-0072,Adilipo (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1072,DJ-HEA-0073,Adiliv (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1073,DJ-HEA-0074,Aloevera with Guava Juice (1L),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1074,DJ-HEA-0075,Astheal Cough Syrup (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1075,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1076,DJ-HEA-0077,Amla Extract (60 Veg Capsules),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1077,DJ-HEA-0078,Advanced Calcium Tablets,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1078,DJ-HEA-0079,Arogya Churn (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1079,DJ-HEA-0080,Di-beat (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1080,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1081,DJ-HEA-0082,Gas-O-Free (200ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1082,DJ-HEA-0083,Gas-O-Free (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1083,DJ-HEA-0084,GoPiles (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1084,DJ-HEA-0085,GoPiles Syrup (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1085,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1086,DJ-HEA-0087,Eye Elixir Drops (10ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1087,DJ-HEA-0088,Eye Health++ (60 Capsules),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1088,DJ-HEA-0089,HB+ (200ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1089,DJ-HEA-0090,HB+ (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1090,DJ-HEA-0091,Hi-Energy (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1091,DJ-HEA-0092,Kidney Kawach (300 g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1092,DJ-HEA-0093,Liv-Ease (200ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1093,DJ-HEA-0094,Liv-Ease (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1094,DJ-HEA-0095,Multivitamins Tablets,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1095,DJ-HEA-0096,Nonima (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1096,DJ-HEA-0097,N-astheal (120 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1097,DJ-HEA-0098,N-astheal (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1098,DJ-HEA-0099,Orthofix (60 Tab),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1099,DJ-HEA-0100,Orthofix Oil (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1100,DJ-HEA-0101,Omega 3-6-9,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1101,DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1102,DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1103,DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1104,DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1105,DJ-HEA-0106,Super Food Capsule,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1106,DJ-HEA-0107,Premium Tulsi Max (30ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1107,DJ-HEA-0108,Vital Protein Powder (300gm),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1108,DJ-HEA-0109,L-Arginine++ - Energy Drink (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1109,DJ-HEA-0110,Ample Meal - Meal Replacement Nutritional Shake (500g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1110,DJ-HEA-0111,JuniorJoy - Kids Nutritional Drink (300g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1111,DJ-HEA-0112,Kahwa Masala Chai (25 Pcs),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1112,DJ-HEA-0113,Shilajit Gummies (60 Gummies),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1113,DJ-HEA-0114,Apple Cider Vinegar (3X20 Tablets),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1114,DJ-HEA-0115,Marine Collagen (200g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1115,DJ-HOM-0116,Dishwash Liquid Gel (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1116,DJ-HOM-0117,Toilet Bowl Cleaner (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1117,DJ-HOM-0118,Liquid Detergent (1Ltr.),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1118,DJ-HOM-0119,All in 1 Surface Cleaner (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1119,DJ-CLO-0120,Premium Suit Length (Black),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1120,DJ-CLO-0121,Designer Mask (Pack of 5),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1121,DJ-CLO-0122,Dayjoy Necktie,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1122,DJ-CLO-0123,"T-shirt New Design (L, M, XL)",,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1123,DJ-AGR-0124,Happy Soil - Humic (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1124,DJ-AGR-0125,Nano Tech-19 (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1125,DJ-AGR-0126,Nano Tech-46 (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1126,DJ-AGR-0127,Nano Tech-50 (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1127,DJ-AGR-0128,Nano Tech-52 (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1128,DJ-AGR-0129,Prosperous+ (1 L),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1129,DJ-AGR-0130,Prosperous+ Tablets,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1130,DJ-AGR-0131,Joy-O-Zyme (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1131,DJ-AGR-0132,JoySpread 80+ Gold (250ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1132,DJ-AGR-0133,JoySpread 80+ Gold (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1133,DJ-AGR-0134,JoyGrow 2X (Granules) (2kg),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1134,DJ-AGR-0135,JoyProtect (500ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1135,DJ-AGR-0136,JoyCalcium (2 Litre),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1136,DJ-GER-0137,Bio-Germanium & Magnetic Mattress,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1137,DJ-GER-0138,Bio-Germanium & Magnetic Mattress (Pack of 2),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1138,DJ-AQU-0139,Aqua Energiser (Pack of 3),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1139,DJ-AQU-0140,Aqua Energiser (Single),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1140,DJ-AQU-0141,New Perfect-Ion,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1141,DJ-AQU-0142,Perfect-Ion Testing Solutions,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1142,DJ-AQU-0143,Perfect-Ion Leaflets (Set of 25),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1143,DJ-AQU-0144,Perfect-Ion Leaflets (Set of 50),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1144,DJ-AQU-0145,N-SF 9.5 Mineraliser,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1145,DJ-AQU-0146,N-SF 10.5 Mineraliser,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1146,DJ-PRO-0147,Dayjoy Diary,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1147,DJ-PRO-0148,Dayjoy Leather Bag,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1148,DJ-PRO-0149,Dayjoy Cap,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1149,DJ-PRO-0150,Dayjoy Mug,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1150,DJ-PRO-0151,Dayjoy Bike Sticker,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1151,DJ-PRO-0152,Dayjoy Car Sticker,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1152,DJ-PRO-0153,Dayjoy Pin,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1153,DJ-PRO-0154,Dayjoy Backpack Bag,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1154,DJ-PRO-0155,New Dayjoy Product Brochure (Hindi),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1155,DJ-PRO-0156,New Dayjoy Product Brochure (English),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1156,DJ-PRO-0157,New Dayjoy Product Brochure (Telugu),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1157,DJ-PRO-0158,Product Leaflets (Set of 48 Leaflets),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1158,DJ-PRO-0159,Hindi One-Page Compensation Plan (Set of 25 Leaflets),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1159,DJ-PRO-0160,English One-Page Compensation Plan (Set of 25 Leaflets),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1160,DJ-PRO-0161,Hindi One-Page Compensation Plan (Set of 50 Leaflets),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1161,DJ-PRO-0162,English One-Page Compensation Plan (Set of 50 Leaflets),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1162,DJ-PRO-0163,Dayjoy Business Planner Book (Hindi),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1163,DJ-PRO-0164,Dayjoy Business Planner Book (English),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1164,DJ-COM-0165,STANDARD PACKAGE,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1165,DJ-COM-0166,PREMIUM PACKAGE,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1166,DJ-COM-0167,ELITE PACKAGE,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1167,DJ-COM-0168,AGRI PRO PACKAGE,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1168,DJ-COM-0169,AGRI STARTER PACKAGE,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1169,DJ-COM-0170,LEGEND PACKAGE,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
