image_id,sku,product_name,category,brand,image_path,original_filename,match_confidence,caption,alt_text,seo_title,slug
DJ-GER-0138.webp,DJ-GER-0138,Bio-Germanium & Magnetic Mattress (Pack of 2),GERMANIUM & MAGNETIC,Dayjoy,06_IMAGES/products/DJ-GER-0138.webp,DJ-GER-0138.webp,exact_match_verified_2026-08-09,Bio-Germanium & Magnetic Mattress (Pack of 2),Bio-Germanium & Magnetic Mattress (Pack of 2),Bio-Germanium & Magnetic Mattress (Pack of 2),dj-ger-0138-bio-germanium-magnetic-mattress-pack-of-2
DJ-HEA-0066.webp,DJ-HEA-0066,Asthprash (300 grams),HEALTH CARE,Asthprash,06_IMAGES/products/DJ-HEA-0066.webp,DJ-HEA-0066.webp,exact_match_verified_2026-08-09,Asthprash (300 grams),Asthprash (300 grams),Asthprash (300 grams),dj-hea-0066-asthprash-300-grams
DJ-HEA-0067.webp,DJ-HEA-0067,Adicardial (120 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0067.webp,DJ-HEA-0067.webp,exact_match_verified_2026-08-09,Adicardial (120 Tab),Adicardial (120 Tab),Adicardial (120 Tab),dj-hea-0067-adicardial-120-tab
DJ-HEA-0070.webp,DJ-HEA-0070,Adila Forte (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0070.webp,DJ-HEA-0070.webp,exact_match_verified_2026-08-09,Adila Forte (60 Tab),Adila Forte (60 Tab),Adila Forte (60 Tab),dj-hea-0070-adila-forte-60-tab
DJ-HEA-0072.webp,DJ-HEA-0072,Adilipo (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0072.webp,DJ-HEA-0072.webp,exact_match_verified_2026-08-09,Adilipo (60 Tab),Adilipo (60 Tab),Adilipo (60 Tab),dj-hea-0072-adilipo-60-tab
DJ-HEA-0073.webp,DJ-HEA-0073,Adiliv (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0073.webp,DJ-HEA-0073.webp,exact_match_verified_2026-08-09,Adiliv (60 Tab),Adiliv (60 Tab),Adiliv (60 Tab),dj-hea-0073-adiliv-60-tab
DJ-HEA-0074.webp,DJ-HEA-0074,Aloevera with Guava Juice (1L),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0074.webp,DJ-HEA-0074.webp,exact_match_verified_2026-08-09,Aloevera with Guava Juice (1L),Aloevera with Guava Juice (1L),Aloevera with Guava Juice (1L),dj-hea-0074-aloevera-with-guava-juice-1l
DJ-HEA-0075.webp,DJ-HEA-0075,Astheal Cough Syrup (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0075.webp,DJ-HEA-0075.webp,exact_match_verified_2026-08-09,Astheal Cough Syrup (100ml),Astheal Cough Syrup (100ml),Astheal Cough Syrup (100ml),dj-hea-0075-astheal-cough-syrup-100ml
DJ-HEA-0076.webp,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0076.webp,DJ-HEA-0076.webp,exact_match_verified_2026-08-09,Ashvagandha Extract (60 Veg Capsules),Ashvagandha Extract (60 Veg Capsules),Ashvagandha Extract (60 Veg Capsules),dj-hea-0076-ashvagandha-extract-60-veg-capsules
DJ-HEA-0077.webp,DJ-HEA-0077,Amla Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0077.webp,DJ-HEA-0077.webp,exact_match_verified_2026-08-09,Amla Extract (60 Veg Capsules),Amla Extract (60 Veg Capsules),Amla Extract (60 Veg Capsules),dj-hea-0077-amla-extract-60-veg-capsules
DJ-HEA-0078.webp,DJ-HEA-0078,Advanced Calcium Tablets,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0078.webp,DJ-HEA-0078.webp,exact_match_verified_2026-08-09,Advanced Calcium Tablets,Advanced Calcium Tablets,Advanced Calcium Tablets,dj-hea-0078-advanced-calcium-tablets
DJ-HEA-0079.webp,DJ-HEA-0079,Arogya Churn (100g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0079.webp,DJ-HEA-0079.webp,exact_match_verified_2026-08-09,Arogya Churn (100g),Arogya Churn (100g),Arogya Churn (100g),dj-hea-0079-arogya-churn-100g
DJ-HEA-0080.webp,DJ-HEA-0080,Di-beat (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0080.webp,DJ-HEA-0080.webp,exact_match_verified_2026-08-09,Di-beat (60 Tab),Di-beat (60 Tab),Di-beat (60 Tab),dj-hea-0080-di-beat-60-tab
DJ-HEA-0081.jpeg,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0081.jpeg,DJ-HEA-0081.jpeg,exact_match_verified_2026-08-09,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),dj-hea-0081-golden-elixir-nano-curcumin-drops-pack-of-2-bottles-each-25ml
DJ-HEA-0083.webp,DJ-HEA-0083,Gas-O-Free (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0083.webp,DJ-HEA-0083.webp,exact_match_verified_2026-08-09,Gas-O-Free (500ml),Gas-O-Free (500ml),Gas-O-Free (500ml),dj-hea-0083-gas-o-free-500ml
DJ-HEA-0083_1.webp,DJ-HEA-0083,Gas-O-Free (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0083_1.webp,DJ-HEA-0083_1.webp,exact_match_verified_2026-08-09,Gas-O-Free (500ml),Gas-O-Free (500ml),Gas-O-Free (500ml),dj-hea-0083-gas-o-free-500ml
DJ-HEA-0083_3.webp,DJ-HEA-0083,Gas-O-Free (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0083_3.webp,DJ-HEA-0083_3.webp,exact_match_verified_2026-08-09,Gas-O-Free (500ml),Gas-O-Free (500ml),Gas-O-Free (500ml),dj-hea-0083-gas-o-free-500ml
DJ-HEA-0085.webp,DJ-HEA-0085,GoPiles Syrup (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0085.webp,DJ-HEA-0085.webp,exact_match_verified_2026-08-09,GoPiles Syrup (500ml),GoPiles Syrup (500ml),GoPiles Syrup (500ml),dj-hea-0085-gopiles-syrup-500ml
DJ-HEA-0085_1.webp,DJ-HEA-0085,GoPiles Syrup (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0085_1.webp,DJ-HEA-0085_1.webp,exact_match_verified_2026-08-09,GoPiles Syrup (500ml),GoPiles Syrup (500ml),GoPiles Syrup (500ml),dj-hea-0085-gopiles-syrup-500ml
DJ-HEA-0085_3.webp,DJ-HEA-0085,GoPiles Syrup (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0085_3.webp,DJ-HEA-0085_3.webp,exact_match_verified_2026-08-09,GoPiles Syrup (500ml),GoPiles Syrup (500ml),GoPiles Syrup (500ml),dj-hea-0085-gopiles-syrup-500ml
DJ-HEA-0086.webp,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0086.webp,DJ-HEA-0086.webp,exact_match_verified_2026-08-09,Giloe Extract (60 Veg Capsules),Giloe Extract (60 Veg Capsules),Giloe Extract (60 Veg Capsules),dj-hea-0086-giloe-extract-60-veg-capsules
DJ-HEA-0087.jpeg,DJ-HEA-0087,Eye Elixir Drops (10ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0087.jpeg,DJ-HEA-0087.jpeg,exact_match_verified_2026-08-09,Eye Elixir Drops (10ml),Eye Elixir Drops (10ml),Eye Elixir Drops (10ml),dj-hea-0087-eye-elixir-drops-10ml
DJ-HEA-0088.jpeg,DJ-HEA-0088,Eye Health++ (60 Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0088.jpeg,DJ-HEA-0088.jpeg,exact_match_verified_2026-08-09,Eye Health++ (60 Capsules),Eye Health++ (60 Capsules),Eye Health++ (60 Capsules),dj-hea-0088-eye-health-60-capsules
DJ-HEA-0089.webp,DJ-HEA-0089,HB+ (200ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0089.webp,DJ-HEA-0089.webp,exact_match_verified_2026-08-09,HB+ (200ml),HB+ (200ml),HB+ (200ml),dj-hea-0089-hb-200ml
DJ-HEA-0090.webp,DJ-HEA-0090,HB+ (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0090.webp,DJ-HEA-0090.webp,exact_match_verified_2026-08-09,HB+ (500ml),HB+ (500ml),HB+ (500ml),dj-hea-0090-hb-500ml
DJ-HEA-0091.webp,DJ-HEA-0091,Hi-Energy (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0091.webp,DJ-HEA-0091.webp,exact_match_verified_2026-08-09,Hi-Energy (60 Tab),Hi-Energy (60 Tab),Hi-Energy (60 Tab),dj-hea-0091-hi-energy-60-tab
DJ-HEA-0092.webp,DJ-HEA-0092,Kidney Kawach (300 g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0092.webp,DJ-HEA-0092.webp,exact_match_verified_2026-08-09,Kidney Kawach (300 g),Kidney Kawach (300 g),Kidney Kawach (300 g),dj-hea-0092-kidney-kawach-300-g
DJ-HEA-0094.webp,DJ-HEA-0094,Liv-Ease (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0094.webp,DJ-HEA-0094.webp,exact_match_verified_2026-08-09,Liv-Ease (500ml),Liv-Ease (500ml),Liv-Ease (500ml),dj-hea-0094-liv-ease-500ml
DJ-HEA-0094_1.webp,DJ-HEA-0094,Liv-Ease (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0094_1.webp,DJ-HEA-0094_1.webp,exact_match_verified_2026-08-09,Liv-Ease (500ml),Liv-Ease (500ml),Liv-Ease (500ml),dj-hea-0094-liv-ease-500ml
DJ-HEA-0094_3.webp,DJ-HEA-0094,Liv-Ease (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0094_3.webp,DJ-HEA-0094_3.webp,exact_match_verified_2026-08-09,Liv-Ease (500ml),Liv-Ease (500ml),Liv-Ease (500ml),dj-hea-0094-liv-ease-500ml
DJ-HEA-0095.webp,DJ-HEA-0095,Multivitamins Tablets,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0095.webp,DJ-HEA-0095.webp,exact_match_verified_2026-08-09,Multivitamins Tablets,Multivitamins Tablets,Multivitamins Tablets,dj-hea-0095-multivitamins-tablets
DJ-HEA-0096.webp,DJ-HEA-0096,Nonima (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0096.webp,DJ-HEA-0096.webp,exact_match_verified_2026-08-09,Nonima (500ml),Nonima (500ml),Nonima (500ml),dj-hea-0096-nonima-500ml
DJ-HEA-0098.webp,DJ-HEA-0098,N-astheal (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0098.webp,DJ-HEA-0098.webp,exact_match_verified_2026-08-09,N-astheal (60 Tab),N-astheal (60 Tab),N-astheal (60 Tab),dj-hea-0098-n-astheal-60-tab
DJ-HEA-0100.webp,DJ-HEA-0100,Orthofix Oil (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0100.webp,DJ-HEA-0100.webp,exact_match_verified_2026-08-09,Orthofix Oil (100ml),Orthofix Oil (100ml),Orthofix Oil (100ml),dj-hea-0100-orthofix-oil-100ml
DJ-HEA-0100_1.webp,DJ-HEA-0100,Orthofix Oil (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0100_1.webp,DJ-HEA-0100_1.webp,exact_match_verified_2026-08-09,Orthofix Oil (100ml),Orthofix Oil (100ml),Orthofix Oil (100ml),dj-hea-0100-orthofix-oil-100ml
DJ-HEA-0100_3.webp,DJ-HEA-0100,Orthofix Oil (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0100_3.webp,DJ-HEA-0100_3.webp,exact_match_verified_2026-08-09,Orthofix Oil (100ml),Orthofix Oil (100ml),Orthofix Oil (100ml),dj-hea-0100-orthofix-oil-100ml
DJ-HEA-0101.webp,DJ-HEA-0101,Omega 3-6-9,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0101.webp,DJ-HEA-0101.webp,exact_match_verified_2026-08-09,Omega 3-6-9,Omega 3-6-9,Omega 3-6-9,dj-hea-0101-omega-3-6-9
DJ-HEA-0102.webp,DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0102.webp,DJ-HEA-0102.webp,exact_match_verified_2026-08-09,Quick 6 Pain Relief Gel (30g),Quick 6 Pain Relief Gel (30g),Quick 6 Pain Relief Gel (30g),dj-hea-0102-quick-6-pain-relief-gel-30g
DJ-HEA-0103.webp,DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0103.webp,DJ-HEA-0103.webp,exact_match_verified_2026-08-09,Super Rich Berry Juice (1 Ltr.),Super Rich Berry Juice (1 Ltr.),Super Rich Berry Juice (1 Ltr.),dj-hea-0103-super-rich-berry-juice-1-ltr
DJ-HEA-0104.webp,DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0104.webp,DJ-HEA-0104.webp,exact_match_verified_2026-08-09,Seabuckthron Juice (1 Ltr.),Seabuckthron Juice (1 Ltr.),Seabuckthron Juice (1 Ltr.),dj-hea-0104-seabuckthron-juice-1-ltr
DJ-HEA-0105.jpeg,DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0105.jpeg,DJ-HEA-0105.jpeg,exact_match_verified_2026-08-09,Shatavari Extract (60 Veg Capsules),Shatavari Extract (60 Veg Capsules),Shatavari Extract (60 Veg Capsules),dj-hea-0105-shatavari-extract-60-veg-capsules
