product_code,sku,product_name,category,source_document,last_updated,status,subcategory,mrp,distributor_price,bv,pv,pack_size,ingredients,benefits,features,usage,dosage,warnings,storage,target_customer,related_products,alternative_products,cross_sell_products,frequently_bought_together,certifications,search_keywords,metadata,faqs,source_page,extraction_status,confidence,contraindications,brand,source_document_id,source_version,approval_status,effective_from,effective_to,missing_fields_count,risk_level
DJP1010,DJ-FOO-0011,Haldi Powder (200g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1011,DJ-FOO-0012,Haldi Powder (500g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Mineral-rich, naturally sourced, and free from chemicals and additives. Support digestion, hydration, and overall wellness.",,,,,,,,,,,,,,,50.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1013,DJ-FOO-0014,Jaljeera (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Warm, earthy flavor for curries, dals, and spice blends. Supporting digestion and overall wellness.",,,,,,,,,,,,,,,48.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1014,DJ-FOO-0015,Organic Jeera (250g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Warm, earthy flavor for curries, dals, and spice blends. Supporting digestion and overall wellness.",,,,,,,,,,,,,,,48.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1015,DJ-FOO-0016,Kasuri Methi (50g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Rich aroma and authentic taste for dals, curries, and breads. Supporting digestion and overall wellness.",,,,,,,,,,,,,,,48.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1016,DJ-FOO-0017,Mirchi Powder (25g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1017,DJ-FOO-0018,Mirchi Powder (200g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1018,DJ-FOO-0019,Mirchi Powder (500g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1019,DJ-FOO-0020,Rai (250g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Bold, pungent flavor for pickles, curries, and tempering. Supporting digestion and overall wellness.",,,,,,,,,,,,,,,48.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1020,DJ-FOO-0021,Sabji Masala (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1021,DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,Light and less greasy for healthier meals. Rich in Vitamins A & D. High smoke point. Strengthens immunity.,,,,,,,,,,,,,,,48.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1022,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,Light and less greasy for healthier meals. Rich in Vitamins A & D. High smoke point. Strengthens immunity.,,,,,,,,,,,,,,,48.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1023,DJ-FOO-0024,Veg Biryani with Shahi Gravy,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Tasty, nutritious, and convenient. Free from preservatives and artificial flavors, they offer a pure, homemade taste.",,,,,,,,,,,,,,,50.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1024,DJ-FOO-0025,Poha with Bhujia,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Tasty, nutritious, and convenient. Free from preservatives and artificial flavors, they offer a pure, homemade taste.",,,,,,,,,,,,,,,50.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1025,DJ-FOO-0026,Upma with Bhujia,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Tasty, nutritious, and convenient. Free from preservatives and artificial flavors, they offer a pure, homemade taste.",,,,,,,,,,,,,,,50.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1026,DJ-PER-0027,Anti Pollution Face Wash (150ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Hydrates the Skin, Soothes and Calms, Fights Skin Pollution Damage, Restores Skin's Natural Glow.",,,,,,,,,,,,,,,35.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1027,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Hydrates the Skin, Soothes and Calms, Fights Skin Pollution Damage, Restores Skin's Natural Glow.",,,,,,,,,,,,,,,35.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1028,DJ-PER-0029,Aloevera Gel (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Reduces acne & pimple, Heals minor burns & wounds, Soothes sunburn & Skin Irritation.",,,,,,,,,,,,,,,38.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1029,DJ-PER-0030,BR Rich Oil (200ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Detangles Hair, Improves Scalp Health, Promotes Hair Growth, Adds Shine and Luster, Moisturizes and Conditions.",,,,,,,,,,,,,,,39.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1030,DJ-PER-0031,Daily Care Cream (60g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Evens Skin Tone, Soothes and Calms Skin, Prevents Premature Aging, Non-Greasy, Lightweight Formula.",,,,,,,,,,,,,,,38.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1031,DJ-PER-0032,Luxury Saffron Soap (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Revitalizes Dull Skin, Enhances Skin Brightness, Suitable for All Skin Types, Cruelty-Free & Eco-Friendly.",,,,,,,,,,,,,,,36.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1032,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Biodegradable, Gentle on Gums, Non-Toxic and Safe, Reduces Plastic Waste.",,,,,,,,,,,,,,,37.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1033,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Supports Gum Health, Safe for Sensitive Teeth, Naturally Whiten Teeth, Promotes Overall Oral Health.",,,,,,,,,,,,,,,37.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1034,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Soothes Irritated Skin, Maintains Skin Softness, Leaves Skin Feeling Refreshed, Provides intense moisture to dry skin.",,,,,,,,,,,,,,,35.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1035,DJ-PER-0036,Kesham (100ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Reduces Frizz, Restores Scalp pH Balance, Promotes Healthy Hair Texture, Promotes Healthy Hair Follicles.",,,,,,,,,,,,,,,39.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1036,DJ-PER-0037,Luxwash Handwash (250ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Nourishes & Hydrates, Refreshing Experience, Long-Lasting Freshness, Suitable for All Skin Types.",,,,,,,,,,,,,,,35.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1037,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Smoothens Hair, Reduced frizz and breakage, Improved smoothness and shine, Deep nourishment and hydration.",,,,,,,,,,,,,,,37.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1038,DJ-PER-0039,Milk Bath Soap (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Anti-Aging Properties, Non-Irritating Formula, Deeply Moisturizes Skin, Rich In Essential Nutrients.",,,,,,,,,,,,,,,36.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1039,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Anti-Aging Properties, Non-Irritating Formula, Deeply Moisturizes Skin, Rich In Essential Nutrients.",,,,,,,,,,,,,,,36.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1040,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Natural Detoxification, Fights Acne & Pimples, Moisturizes & Hydrates, Gentle on Sensitive Skin.",,,,,,,,,,,,,,,36.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1041,DJ-PER-0042,Regain Aloevera Shampoo (300ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,approved,2026-05-01,,4,high
DJP1042,DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,approved,2026-05-01,,4,high
DJP1043,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"8-Layer Gel Technology locks in fluid and neutralizes odors, Ultra-soft surface for instant dry feel, Breathable Base Layer.",,,,,,,,,,,,,,,39.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1044,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"8-Layer Gel Technology locks in fluid and neutralizes odors, Ultra-soft surface for instant dry feel, Breathable Base Layer.",,,,,,,,,,,,,,,39.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1045,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Soothes and calms, Hydrates and nourishes, Repairs and rejuvenates skin, Brightens and evens skin tone.",,"6-step process including Cleanser, Scrub, Massage Gel, Massage Cream, Face Pack, and Facial Fluid.",,,,,,,,,,,,,40.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1046,DJ-PER-0047,Seabuckthron Cleanser (30g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Balances Skin's Natural Oils, Supports a Healthy Skin Barrier, Deep Cleansing Without Drying.",,,,,,,,,,,,,,,40.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1047,DJ-PER-0048,Seabuckthron Scrub (30g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Refines Skin Texture, Brightens and Revives, Soothes Sensitive Skin, Promotes Skin Renewal.",,,,,,,,,,,,,,,40.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1048,DJ-PER-0049,Seabuckthron Massage Gel (30g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Soothes irritation and calms sensitive skin, Rich in antioxidants to protect against aging, Improves skin elasticity.",,,,,,,,,,,,,,,41.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1049,DJ-PER-0050,Seabuckthron Massage Cream (30g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Deeply Hydrates, Improves Skin Texture, Protects Against Aging, Promotes Skin Elasticity.",,,,,,,,,,,,,,,41.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1050,DJ-PER-0051,Seabuckthron Face Pack (30g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Fights Signs of Aging, Repairs and Revitalizes, Nourishes and Hydrates.",,,,,,,,,,,,,,,41.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1051,DJ-PER-0052,Seabuckthron Facial Fluid (10ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Anti-Aging, Intense Hydration, Brightens and Revitalizes, Protects and Replenishes.",,,,,,,,,,,,,,,41.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1052,DJ-PER-0053,Deep Cleansing Face Wash (100ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Improves Skin Texture, Soothes and Refreshes, Exfoliates Dead Skin Cells, Removes Dirt and Impurities.",,,,,,,,,,,,,,,38.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1053,DJ-PER-0054,Deep Cleansing Facewash (60ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Improves Skin Texture, Soothes and Refreshes, Exfoliates Dead Skin Cells, Removes Dirt and Impurities.",,,,,,,,,,,,,,,38.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1054,DJ-PER-0055,WildMuse Premium Loofah,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Great for Detoxifying, Sustainable and Eco-Friendly, Hypoallergenic and Skin-Safe, Enhances Lathering.",,,,,,,,,,,,,,,36.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1055,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Helps Strengthen Hair Roots, Supports Healthy Hair Growth, Helps Reduce Hair Fall, Gently Cleanses Scalp & Hair.",,,,,,,,,,,,,,,37.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1056,DJ-PER-0057,Haldi Chandan Facewash (60ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1057,DJ-SKI-0058,Face Serum (30ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Niacinamide, Hyaluronic Acid, Aloe Vera, Vitamin B5, Green Tea Extract.","Deeply hydrates and plumps skin, fades dark spots and evens out skin tone, refines pores and controls excess oil.",,"Apply 2-3 drops of serum to face and neck, pat into skin. Follow with moisturizer.",,,,,,,,,,,,,43.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1058,DJ-SKI-0059,Gold Facial Kit,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Hyaluronic Acid, Squalane, Murumuru Butter, Licorice Extract, Witch Hazel, Gold Dust & Vitamin E.","Deeply cleanses and removes impurities, Exfoliates dead skin cells, Hydrates and nourishes the skin.",,"6-step facial treatment: Cleanser, Scrub, Massage Gel, Massage Cream, Face Pack, Serum.",,,,,,,,,,,,,44.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1059,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Vitamin C, Vitamin E, Glycerin, Zinc Oxide, Aloe Vera.","Protects skin from harmful UVA & UVB rays, helps prevent sun-induced dark spots and tanning, brightens skin.",,Apply evenly on face and neck. Reapply every 2-3 hours.,,,,,,,,,,,,,43.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1060,DJ-SKI-0061,Hydra Max Moisturizer (50gm),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Hyaluronic Acid, Glycerin, Aloe Vera, Panthenol.","Instantly hydrates and refreshes dull, tired skin, soothes and cools with aloe vera, balances oil without clogging pores.",,Apply a small amount to face and neck. Massage gently until fully absorbed.,,,,,,,,,,,,,43.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1061,DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Retinol Palmitate, Ceramide-3, Hyaluronic Acid, Niacinamide, Copper Peptides, Vitamin E.","Reduces the appearance of fine lines and wrinkles, Deeply hydrates and plumps the skin overnight, Strengthens the skin barrier.",,Apply evenly on the face and neck. Gently massage in upward circular motions until absorbed. Use every night.,,,,,,,,,,,,,45.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1062,DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Salicylic Acid 2%, Green Tea Extract 2%, Aloe Vera Extract, Allantoin.","Helps reduce acne, pimples, and blemishes, Removes excess oil and deeply cleanses pores, Soothes redness and irritation.",,"Gently massage onto the face in circular motions, avoiding the eye area. Rinse thoroughly with water.",,,,,,,,,,,,,45.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1063,DJ-COL-0064,Amara Beauty Kajal,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Castor Oil, Carnauba Wax, Aloe Extract, Camphor, Vitamin E, Candelilla Wax.","Smudge-proof and waterproof for up to 12 hours, Enriched with natural, soothing herbal extracts, Non-drying.",,Apply from inner to outer lash line. Layer for intensity.,,,,,,,,,,,,,44.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1064,DJ-COL-0065,Amara Beauty Eyeliner,,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Almond Oil, Aloe Vera, Glycerine, Vitamin E, PEG-10 Dimethicone, Carbon Black.","24-hour long stay with an intense matte finish, Ultra-fine tip for sharp, precise application, Quick-drying.",,"Start at the inner corner, glide outward.",,,,,,,,,,,,,44.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1065,DJ-HEA-0066,Asthprash (300 grams),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Tulsi, Mulethi (Licorice), Kali Mirch (Black Pepper), Adusa (Vasa Patra), Honey.","Cleans lungs from poisonous tar and air pollution, controls asthma and allergy problems, strengthens lung tissue, treats pneumonia, colds & coughs, bronchitis, and infections, boosts immunity, improves digestion.",,,Adults: Take 1 tablespoon (15-20 g) before sleeping. Children: Take 1/2 tablespoon in the morning.,,,Suitable for all age groups,,,,,,,,,18.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1066,DJ-HEA-0067,Adicardial (120 Tab),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Ashok, Satavari, Lodhra, Guduchi, Punarnava, Ashvagandha.","Helps regulate menstrual cycles and alleviate related disorders, eases menstrual cramps, abdominal pain, and spasms, supports reproductive system detoxification.",,,1-2 tablets twice daily after a meal.,,,Women,,,,,,,,,23.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1067,DJ-HEA-0068,Adicardial Syrup (500ml),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Ashok, Satavari, Lodhra, Guduchi, Punarnava, Ashvagandha.","Helps regulate menstrual cycles and alleviate related disorders, eases menstrual cramps, abdominal pain, and spasms, supports reproductive system detoxification.",,,Take 2-3 teaspoons (10-15 ml) twice daily.,,,Women,,,,,,,,,23.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1068,DJ-HEA-0069,Adila Forte (30 Tab),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Kaunch Beej, Ashwagandha, Shatavari, Gokshura, Shuddha Shilajit.","Helps support stamina, strength, and energy, promotes male vitality and overall wellness, may support healthy mood and performance, helps maintain natural testosterone levels, aids in managing fatigue and boosting confidence.",,,1 tablet with milk 2 hours before the activity.,,,Men,,,,,,,,,20.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1069,DJ-HEA-0070,Adila Forte (60 Tab),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Kaunch Beej, Ashwagandha, Shatavari, Gokshura, Shuddha Shilajit.","Helps support stamina, strength, and energy, promotes male vitality and overall wellness, may support healthy mood and performance, helps maintain natural testosterone levels, aids in managing fatigue and boosting confidence.",,,1 tablet with milk 2 hours before the activity.,,,Men,,,,,,,,,20.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1070,DJ-HEA-0071,Adilipo (120 Tab),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,"Arjuna, Guggulu, Lahasun, Pushkarmula, Atasi.","Supports cardiovascular wellness and healthy heart function, helps manage cholesterol and lipid levels, promotes better blood flow and circulation, strengthens heart muscles, rich in antioxidants and Omega-3 for heart protection.",,,Take 1-2 tablets twice daily on an empty stomach in the morning.,,,,,,,,,,,,21.0,Extracted,High,,,,,approved,2026-05-01,,4,high
