chunk_id,parent_doc_id,chunk_index,chunk_text,doc_type,source_document,source_section,product_name,product_code,sku,tags,keywords,category,confidence,source_reference,notes
intent_1,dayjoy_master_intent_dataset,1,Q: What is Multivitamins Tablets? A: Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Multivitamins Tablets,DJP1094,DJ-HEA-0095,informational;product_info,what is multivitamins tablets,informational,high,Products Master,
intent_24,dayjoy_master_intent_dataset,24,"Q: I have Focusing on tasks or remembering, what should I take? A: Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have focusing on tasks or remembering what,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_25,dayjoy_master_intent_dataset,25,"Q: What is the Super Retailer Loyalty Program? A: Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,business,,,,business;joining,what is the super retailer loyalty program,business,high,Dayjoy Brochure / Loyalty Program,
intent_26,dayjoy_master_intent_dataset,26,Q: Is cash refund available? A: No cash refunds under any circumstances will be made.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,policy,,,,policy;shipping_refund,is cash refund available,policy,high,Shipping/Refund Policy,
intent_27,dayjoy_master_intent_dataset,27,Q: Tell me about Seabuckthron Facial Kit (30g) (Pack of 6) A: This is a premium product under Wild Muse.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045,DJ-PER-0046,informational;product_discovery,tell me about seabuckthron facial kit 30g pack,informational,high,Products Master,
intent_28,dayjoy_master_intent_dataset,28,"Q: Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)? A: Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for menstrual problems painful,recommendation,high,Recommendation Chart,
intent_29,dayjoy_master_intent_dataset,29,"Q: Which product is good for Skin Disorders? A: Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for skin disorders,recommendation,high,Recommendation Chart,
intent_30,dayjoy_master_intent_dataset,30,"Q: I have Worsened pain after sitting or standing for a long time, what should I take? A: Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have worsened pain after sitting or standing,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_31,dayjoy_master_intent_dataset,31,"Q: I have Difficulty walking on your toes, what should I take? A: Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have difficulty walking on your toes what,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_32,dayjoy_master_intent_dataset,32,Q: Tell me about Dayjoy Backpack Bag A: This is a premium product under Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,informational;product_discovery,tell me about dayjoy backpack bag,informational,high,Products Master,
intent_33,dayjoy_master_intent_dataset,33,"Q: Is Dayjoy FSSAI approved? A: Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,compliance,,,,compliance;policy,is dayjoy fssai approved,compliance,high,FSSAI / Social Media Policy / Income Disclaimer,
intent_34,dayjoy_master_intent_dataset,34,Q: How much BV for New Total Joy Rice Bran Oil (1 Litre)? A: The Business Volume (BV) is 24.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,pricing;bv,how much bv for new total joy rice,pricing,high,Price List,
intent_35,dayjoy_master_intent_dataset,35,Q: How much is in one pack of Dayjoy Backpack Bag? A: The pack size is nan.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,informational;pack_size,how much is in one pack of dayjoy,informational,high,Products Master,
intent_36,dayjoy_master_intent_dataset,36,Q: What is the MRP of Seabuckthron Scrub (30g)? A: The MRP is ₹225.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,pricing;mrp,what is the mrp of seabuckthron scrub 30g,pricing,high,Price List,
intent_37,dayjoy_master_intent_dataset,37,"Q: I have Nausea/Vomiting, what should I take? A: Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have nausea vomiting what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_38,dayjoy_master_intent_dataset,38,Q: Tell me about English One-Page Compensation Plan (Set of 50 Leaflets) A: This is a premium product under Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161,DJ-PRO-0162,informational;product_discovery,tell me about english one page compensation plan,informational,high,Products Master,
intent_39,dayjoy_master_intent_dataset,39,Q: How much is in one pack of Deep Cleansing Facewash (60ml)? A: The pack size is 60ml.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Deep Cleansing Facewash (60ml),DJP1053,DJ-PER-0054,informational;pack_size,how much is in one pack of deep,informational,high,Products Master,
intent_40,dayjoy_master_intent_dataset,40,Q: What is the MRP of Milk Bath Soap (Pack of 3) (100g)? A: The MRP is ₹225.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,pricing;mrp,what is the mrp of milk bath soap,pricing,high,Price List,
intent_41,dayjoy_master_intent_dataset,41,"Q: Which product is good for Blurred Vision? A: Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for blurred vision,recommendation,high,Recommendation Chart,
intent_42,dayjoy_master_intent_dataset,42,"Q: Which product is good for Premature Ejaculation? A: Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for premature ejaculation,recommendation,high,Recommendation Chart,
intent_43,dayjoy_master_intent_dataset,43,"Q: I have Frequent Urination, what should I take? A: Dayjoy suggests DIBEAT TABLETS for Frequent Urination. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have frequent urination what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_44,dayjoy_master_intent_dataset,44,"Q: Can I sell Dayjoy products part-time? A: Yes, you can set your own work hours and commitment levels, full-time or part-time.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,business,,,,business;joining,can i sell dayjoy products part time,business,high,Dayjoy Brochure / Loyalty Program,
intent_45,dayjoy_master_intent_dataset,45,Q: How much is in one pack of Perfect-Ion Leaflets (Set of 25)? A: The pack size is Set of 25.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Perfect-Ion Leaflets (Set of 25),DJP1142,DJ-AQU-0143,informational;pack_size,how much is in one pack of perfect,informational,high,Products Master,
intent_46,dayjoy_master_intent_dataset,46,Q: Tell me about Shatavari Extract (60 Veg Capsules) A: This is a premium product under Curind.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,informational;product_discovery,tell me about shatavari extract 60 veg capsules,informational,high,Products Master,
intent_47,dayjoy_master_intent_dataset,47,Q: What is Sunscreen SPF 50+ (50gm)? A: Sunscreen SPF 50+ (50gm) is a SKIN CARE product by Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,informational;product_info,what is sunscreen spf 50 50gm,informational,high,Products Master,
intent_48,dayjoy_master_intent_dataset,48,"Q: I have Rapid Weight Gain, what should I take? A: Dayjoy suggests AMPLE MEAL for Rapid Weight Gain. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have rapid weight gain what should i,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_49,dayjoy_master_intent_dataset,49,"Q: Which product is good for Anxiety? A: Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for anxiety,recommendation,high,Recommendation Chart,
intent_50,dayjoy_master_intent_dataset,50,Q: How much is in one pack of Daily Care Cream (60g)? A: The pack size is 60g.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Daily Care Cream (60g),DJP1030,DJ-PER-0031,informational;pack_size,how much is in one pack of daily,informational,high,Products Master,
intent_51,dayjoy_master_intent_dataset,51,"Q: I have High Blood Pressure, what should I take? A: Dayjoy suggests ADILIPO TABLET for High Blood Pressure. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have high blood pressure what should i,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_52,dayjoy_master_intent_dataset,52,Q: What is Organic Jeera (250g)? A: Organic Jeera (250g) is a FOOD PRODUCTS product by Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Organic Jeera (250g),DJP1014,DJ-FOO-0015,informational;product_info,what is organic jeera 250g,informational,high,Products Master,
intent_53,dayjoy_master_intent_dataset,53,Q: Tell me about Gas-O-Free (500ml) A: This is a premium product under Curind.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Gas-O-Free (500ml),DJP1082,DJ-HEA-0083,informational;product_discovery,tell me about gas o free 500ml,informational,high,Products Master,
intent_54,dayjoy_master_intent_dataset,54,Q: Can I return it? A: You may return marketable products within 30 days of invoice with original bill (5% handling charge applies).,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,policy,,,,policy;shipping_refund,can i return it,policy,high,Shipping/Refund Policy,
intent_55,dayjoy_master_intent_dataset,55,"Q: Which product is good for Photo Damage (UV Rays)? A: Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for photo damage uv,recommendation,high,Recommendation Chart,
intent_56,dayjoy_master_intent_dataset,56,"Q: Which product is good for Itching around one or more of the veins? A: Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for itching around one,recommendation,high,Recommendation Chart,
intent_57,dayjoy_master_intent_dataset,57,Q: Tell me about Adicardial Syrup (500ml) A: This is a premium product under Curind.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,informational;product_discovery,tell me about adicardial syrup 500ml,informational,high,Products Master,
intent_58,dayjoy_master_intent_dataset,58,"Q: Do you have L-Arginine++ - Energy Drink (100g)? A: Yes, L-Arginine++ - Energy Drink (100g) is available. Code: DJP1108",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,transactional,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,transactional;availability,do you have l arginine energy drink 100g,transactional,high,Products Master,
intent_59,dayjoy_master_intent_dataset,59,Q: How much BV for Garam Masala (100g)? A: The Business Volume (BV) is 20.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Garam Masala (100g),DJP1008,DJ-FOO-0009,pricing;bv,how much bv for garam masala 100g,pricing,high,Price List,
intent_60,dayjoy_master_intent_dataset,60,Q: How much BV for HB+ (200ml)? A: The Business Volume (BV) is 160.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,HB+ (200ml),DJP1088,DJ-HEA-0089,pricing;bv,how much bv for hb 200ml,pricing,high,Price List,
intent_61,dayjoy_master_intent_dataset,61,"Q: I have Headache, what should I take? A: Dayjoy suggests ASTHPRASH OR N-ASTHEAL TABLET for Headache. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have headache what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_62,dayjoy_master_intent_dataset,62,Q: What is the MRP of Ecofriendly Toothbrush (Pack of 2)? A: The MRP is ₹149.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,pricing;mrp,what is the mrp of ecofriendly toothbrush pack,pricing,high,Price List,
intent_63,dayjoy_master_intent_dataset,63,"Q: I have Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding), what should I take? A: Dayjoy suggests ADICARDIAL TABLET for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding). This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have menstrual problems painful periods irregular periods,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_64,dayjoy_master_intent_dataset,64,"Q: I have Mental Disorder, what should I take? A: Dayjoy suggests MULTI VITAMINS TABLETS for Mental Disorder. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have mental disorder what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_65,dayjoy_master_intent_dataset,65,Q: Who leads R&D at Dayjoy? A: R&D is guided by Dr. Ram Pal Somani and Mr. Yogendra Kumar Choudhary.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,company,,,,company;info,who leads r d at dayjoy,company,high,Dayjoy Brochure,
intent_66,dayjoy_master_intent_dataset,66,"Q: Do you have Face Serum (30ml)? A: Yes, Face Serum (30ml) is available. Code: DJP1057",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,transactional,Face Serum (30ml),DJP1057,DJ-SKI-0058,transactional;availability,do you have face serum 30ml,transactional,high,Products Master,
intent_67,dayjoy_master_intent_dataset,67,"Q: Which product is good for Loss of sensation or numbness? A: Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for loss of sensation,recommendation,high,Recommendation Chart,
intent_68,dayjoy_master_intent_dataset,68,Q: How much is in one pack of Shatavari Extract (60 Veg Capsules)? A: The pack size is 60 Veg Capsules.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,informational;pack_size,how much is in one pack of shatavari,informational,high,Products Master,
intent_69,dayjoy_master_intent_dataset,69,Q: Tell me about Omega 3-6-9 A: This is a premium product under Curind.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Omega 3-6-9,DJP1100,DJ-HEA-0101,informational;product_discovery,tell me about omega 3 6 9,informational,high,Products Master,
intent_70,dayjoy_master_intent_dataset,70,Q: DP of DJP1024 A: The Distributor Price (DP) is ₹67.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Poha with Bhujia,DJP1024,DJ-FOO-0025,pricing;dp,dp of djp1024,pricing,high,Price List,
intent_71,dayjoy_master_intent_dataset,71,Q: What is the MRP of Dayjoy Bike Sticker? A: The MRP is ₹20.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Dayjoy Bike Sticker,DJP1150,DJ-PRO-0151,pricing;mrp,what is the mrp of dayjoy bike sticker,pricing,high,Price List,
intent_72,dayjoy_master_intent_dataset,72,"Q: I have Cough, Cold and Fever, what should I take? A: Dayjoy suggests HIENERGY TABLETS for Cough, Cold and Fever. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have cough cold and fever what should,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_73,dayjoy_master_intent_dataset,73,"Q: I have Shortness of Breath, what should I take? A: Dayjoy suggests MULTI VITAMINS TABLETS for Shortness of Breath. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have shortness of breath what should i,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_74,dayjoy_master_intent_dataset,74,"Q: Are New Dayjoy Product Brochure (Hindi) and Orthofix Oil (100ml) the same? A: No, New Dayjoy Product Brochure (Hindi) is in PROMOTION TOOLS while Orthofix Oil (100ml) is in HEALTH CARE.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,comparison,,,,comparison;category_difference,are new dayjoy product brochure hindi and orthofix,comparison,high,Products Master,
intent_75,dayjoy_master_intent_dataset,75,Q: DP of DJP1035 A: The Distributor Price (DP) is ₹91.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Kesham (100ml),DJP1035,DJ-PER-0036,pricing;dp,dp of djp1035,pricing,high,Price List,
intent_76,dayjoy_master_intent_dataset,76,Q: Tell me about Orthofix Oil (100ml) A: This is a premium product under Curind.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Orthofix Oil (100ml),DJP1099,DJ-HEA-0100,informational;product_discovery,tell me about orthofix oil 100ml,informational,high,Products Master,
intent_77,dayjoy_master_intent_dataset,77,"Q: I have Tenderness, what should I take? A: Dayjoy suggests ORTHOFIX TABLET for Tenderness. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have tenderness what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_78,dayjoy_master_intent_dataset,78,Q: Is Quick 6 Pain Relief Gel (30g) a food product? A: It is categorized under HEALTH CARE.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,informational;product_category,is quick 6 pain relief gel 30g a,informational,high,Products Master,
intent_79,dayjoy_master_intent_dataset,79,Q: How much is in one pack of Daily Tea (500g)? A: The pack size is 500g.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Daily Tea (500g),DJP1004,DJ-FOO-0005,informational;pack_size,how much is in one pack of daily,informational,high,Products Master,
intent_80,dayjoy_master_intent_dataset,80,"Q: Which product is good for Palpitations? A: Based on Dayjoy recommendations, you may consider ADILIPO TABLET. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for palpitations,recommendation,high,Recommendation Chart,
