chunk_id,chunk_type,document_id,source_page,product_code,sku,category,role_scope,risk_level,confidence,effective_from,approval_status,text
product_core::DJP1009::DJ-FOO-0010,product_core,dayjoy-canonical-product-master-final,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Haldi Powder (25g). Code: DJP1009. SKU: DJ-FOO-0010. Pack size: 25g. MRP: 20.0. DP: 15.0. BV: 1.0.
pricing_row::DJP1009::DJ-FOO-0010,pricing_row,India-BV-Price-May-2026,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Haldi Powder (25g): MRP INR 20; DP INR 15; BV 1; pack size 25g.
product_core::DJP1010::DJ-FOO-0011,product_core,dayjoy-canonical-product-master-final,,DJP1010,DJ-FOO-0011,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Haldi Powder (200g). Code: DJP1010. SKU: DJ-FOO-0011. Pack size: 200g. MRP: 135.0. DP: 80.0. BV: 12.0.
pricing_row::DJP1010::DJ-FOO-0011,pricing_row,India-BV-Price-May-2026,,DJP1010,DJ-FOO-0011,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Haldi Powder (200g): MRP INR 135; DP INR 80; BV 12; pack size 200g.
product_core::DJP1011::DJ-FOO-0012,product_core,dayjoy-canonical-product-master-final,,DJP1011,DJ-FOO-0012,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Haldi Powder (500g). Code: DJP1011. SKU: DJ-FOO-0012. Pack size: 500g. MRP: 320.0. DP: 200.0. BV: 28.0.
pricing_row::DJP1011::DJ-FOO-0012,pricing_row,India-BV-Price-May-2026,,DJP1011,DJ-FOO-0012,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Haldi Powder (500g): MRP INR 320; DP INR 200; BV 28; pack size 500g.
product_core::DJP1012::DJ-FOO-0013,product_core,dayjoy-canonical-product-master-final,,DJP1012,DJ-FOO-0013,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Himalayan Pink Salt Sprinkler (200g). Code: DJP1012. SKU: DJ-FOO-0013. Pack size: 200g. MRP: 75.0. DP: 60.0. BV: 13.0.
pricing_row::DJP1012::DJ-FOO-0013,pricing_row,India-BV-Price-May-2026,,DJP1012,DJ-FOO-0013,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Himalayan Pink Salt Sprinkler (200g): MRP INR 75; DP INR 60; BV 13; pack size 200g.
product_core::DJP1013::DJ-FOO-0014,product_core,dayjoy-canonical-product-master-final,,DJP1013,DJ-FOO-0014,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Jaljeera (100g). Code: DJP1013. SKU: DJ-FOO-0014. Pack size: 100g. MRP: 65.0. DP: 55.0. BV: 15.0.
pricing_row::DJP1013::DJ-FOO-0014,pricing_row,India-BV-Price-May-2026,,DJP1013,DJ-FOO-0014,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Jaljeera (100g): MRP INR 65; DP INR 55; BV 15; pack size 100g.
product_core::DJP1014::DJ-FOO-0015,product_core,dayjoy-canonical-product-master-final,,DJP1014,DJ-FOO-0015,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Organic Jeera (250g). Code: DJP1014. SKU: DJ-FOO-0015. Pack size: 250g. MRP: 199.0. DP: 165.0. BV: 33.0.
pricing_row::DJP1014::DJ-FOO-0015,pricing_row,India-BV-Price-May-2026,,DJP1014,DJ-FOO-0015,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Organic Jeera (250g): MRP INR 199; DP INR 165; BV 33; pack size 250g.
product_core::DJP1015::DJ-FOO-0016,product_core,dayjoy-canonical-product-master-final,,DJP1015,DJ-FOO-0016,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Kasuri Methi (50g). Code: DJP1015. SKU: DJ-FOO-0016. Pack size: 50g. MRP: 59.0. DP: 45.0. BV: 9.0.
pricing_row::DJP1015::DJ-FOO-0016,pricing_row,India-BV-Price-May-2026,,DJP1015,DJ-FOO-0016,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Kasuri Methi (50g): MRP INR 59; DP INR 45; BV 9; pack size 50g.
product_core::DJP1016::DJ-FOO-0017,product_core,dayjoy-canonical-product-master-final,,DJP1016,DJ-FOO-0017,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Mirchi Powder (25g). Code: DJP1016. SKU: DJ-FOO-0017. Pack size: 25g. MRP: 20.0. DP: 15.0. BV: 1.0.
pricing_row::DJP1016::DJ-FOO-0017,pricing_row,India-BV-Price-May-2026,,DJP1016,DJ-FOO-0017,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Mirchi Powder (25g): MRP INR 20; DP INR 15; BV 1; pack size 25g.
product_core::DJP1017::DJ-FOO-0018,product_core,dayjoy-canonical-product-master-final,,DJP1017,DJ-FOO-0018,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Mirchi Powder (200g). Code: DJP1017. SKU: DJ-FOO-0018. Pack size: 200g. MRP: 145.0. DP: 110.0. BV: 18.0.
pricing_row::DJP1017::DJ-FOO-0018,pricing_row,India-BV-Price-May-2026,,DJP1017,DJ-FOO-0018,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Mirchi Powder (200g): MRP INR 145; DP INR 110; BV 18; pack size 200g.
product_core::DJP1018::DJ-FOO-0019,product_core,dayjoy-canonical-product-master-final,,DJP1018,DJ-FOO-0019,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Mirchi Powder (500g). Code: DJP1018. SKU: DJ-FOO-0019. Pack size: 500g. MRP: 335.0. DP: 275.0. BV: 50.0.
pricing_row::DJP1018::DJ-FOO-0019,pricing_row,India-BV-Price-May-2026,,DJP1018,DJ-FOO-0019,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Mirchi Powder (500g): MRP INR 335; DP INR 275; BV 50; pack size 500g.
product_core::DJP1019::DJ-FOO-0020,product_core,dayjoy-canonical-product-master-final,,DJP1019,DJ-FOO-0020,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Rai (250g). Code: DJP1019. SKU: DJ-FOO-0020. Pack size: 250g. MRP: 99.0. DP: 80.0. BV: 13.0.
pricing_row::DJP1019::DJ-FOO-0020,pricing_row,India-BV-Price-May-2026,,DJP1019,DJ-FOO-0020,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Rai (250g): MRP INR 99; DP INR 80; BV 13; pack size 250g.
product_core::DJP1020::DJ-FOO-0021,product_core,dayjoy-canonical-product-master-final,,DJP1020,DJ-FOO-0021,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Sabji Masala (100g). Code: DJP1020. SKU: DJ-FOO-0021. Pack size: 100g. MRP: 110.0. DP: 99.0. BV: 20.0.
pricing_row::DJP1020::DJ-FOO-0021,pricing_row,India-BV-Price-May-2026,,DJP1020,DJ-FOO-0021,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Sabji Masala (100g): MRP INR 110; DP INR 99; BV 20; pack size 100g.
product_core::DJP1021::DJ-FOO-0022,product_core,dayjoy-canonical-product-master-final,,DJP1021,DJ-FOO-0022,,"public, distributor, internal",low,high,2026-05-05,approved,Product: New Total Joy Rice Bran Oil (1 Litre). Code: DJP1021. SKU: DJ-FOO-0022. Pack size: 1 L. MRP: 299.0. DP: 235.0. BV: 24.0.
pricing_row::DJP1021::DJ-FOO-0022,pricing_row,India-BV-Price-May-2026,,DJP1021,DJ-FOO-0022,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for New Total Joy Rice Bran Oil (1 Litre): MRP INR 299; DP INR 235; BV 24; pack size 1 L.
product_core::DJP1022::DJ-FOO-0023,product_core,dayjoy-canonical-product-master-final,,DJP1022,DJ-FOO-0023,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Total Joy Rice Bran Oil (2 Litre). Code: DJP1022. SKU: DJ-FOO-0023. Pack size: 2 L. MRP: 599.0. DP: 470.0. BV: 40.0.
pricing_row::DJP1022::DJ-FOO-0023,pricing_row,India-BV-Price-May-2026,,DJP1022,DJ-FOO-0023,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Total Joy Rice Bran Oil (2 Litre): MRP INR 599; DP INR 470; BV 40; pack size 2 L.
product_core::DJP1023::DJ-FOO-0024,product_core,dayjoy-canonical-product-master-final,,DJP1023,DJ-FOO-0024,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Veg Biryani with Shahi Gravy. Code: DJP1023. SKU: DJ-FOO-0024. Pack size: 1 serving. MRP: 199.0. DP: 135.0. BV: 17.0.
pricing_row::DJP1023::DJ-FOO-0024,pricing_row,India-BV-Price-May-2026,,DJP1023,DJ-FOO-0024,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Veg Biryani with Shahi Gravy: MRP INR 199; DP INR 135; BV 17; pack size 1 serving.
product_core::DJP1024::DJ-FOO-0025,product_core,dayjoy-canonical-product-master-final,,DJP1024,DJ-FOO-0025,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Poha with Bhujia. Code: DJP1024. SKU: DJ-FOO-0025. Pack size: 1 serving. MRP: 99.0. DP: 67.0. BV: 9.0.
pricing_row::DJP1024::DJ-FOO-0025,pricing_row,India-BV-Price-May-2026,,DJP1024,DJ-FOO-0025,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Poha with Bhujia: MRP INR 99; DP INR 67; BV 9; pack size 1 serving.
product_core::DJP1025::DJ-FOO-0026,product_core,dayjoy-canonical-product-master-final,,DJP1025,DJ-FOO-0026,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Upma with Bhujia. Code: DJP1025. SKU: DJ-FOO-0026. Pack size: 1 serving. MRP: 99.0. DP: 71.0. BV: 9.0.
pricing_row::DJP1025::DJ-FOO-0026,pricing_row,India-BV-Price-May-2026,,DJP1025,DJ-FOO-0026,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Upma with Bhujia: MRP INR 99; DP INR 71; BV 9; pack size 1 serving.
product_core::DJP1026::DJ-PER-0027,product_core,dayjoy-canonical-product-master-final,,DJP1026,DJ-PER-0027,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Anti Pollution Face Wash (150ml). Code: DJP1026. SKU: DJ-PER-0027. Pack size: 150ml. MRP: 249.0. DP: 165.0. BV: 50.0.
pricing_row::DJP1026::DJ-PER-0027,pricing_row,India-BV-Price-May-2026,,DJP1026,DJ-PER-0027,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Anti Pollution Face Wash (150ml): MRP INR 249; DP INR 165; BV 50; pack size 150ml.
product_core::DJP1027::DJ-PER-0028,product_core,dayjoy-canonical-product-master-final,,DJP1027,DJ-PER-0028,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Anti Pollution Aloevera Face Wash (100ml). Code: DJP1027. SKU: DJ-PER-0028. Pack size: 100ml. MRP: 135.0. DP: 94.0. BV: 23.0.
pricing_row::DJP1027::DJ-PER-0028,pricing_row,India-BV-Price-May-2026,,DJP1027,DJ-PER-0028,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Anti Pollution Aloevera Face Wash (100ml): MRP INR 135; DP INR 94; BV 23; pack size 100ml.
product_core::DJP1028::DJ-PER-0029,product_core,dayjoy-canonical-product-master-final,,DJP1028,DJ-PER-0029,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Aloevera Gel (100g). Code: DJP1028. SKU: DJ-PER-0029. Pack size: 100g. MRP: 150.0. DP: 115.0. BV: 36.0.
pricing_row::DJP1028::DJ-PER-0029,pricing_row,India-BV-Price-May-2026,,DJP1028,DJ-PER-0029,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Aloevera Gel (100g): MRP INR 150; DP INR 115; BV 36; pack size 100g.
product_core::DJP1029::DJ-PER-0030,product_core,dayjoy-canonical-product-master-final,,DJP1029,DJ-PER-0030,,"public, distributor, internal",low,high,2026-05-05,approved,Product: BR Rich Oil (200ml). Code: DJP1029. SKU: DJ-PER-0030. Pack size: 200ml. MRP: 249.0. DP: 165.0. BV: 44.0.
pricing_row::DJP1029::DJ-PER-0030,pricing_row,India-BV-Price-May-2026,,DJP1029,DJ-PER-0030,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for BR Rich Oil (200ml): MRP INR 249; DP INR 165; BV 44; pack size 200ml.
product_core::DJP1030::DJ-PER-0031,product_core,dayjoy-canonical-product-master-final,,DJP1030,DJ-PER-0031,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Daily Care Cream (60g). Code: DJP1030. SKU: DJ-PER-0031. Pack size: 60g. MRP: 149.0. DP: 95.0. BV: 30.0.
pricing_row::DJP1030::DJ-PER-0031,pricing_row,India-BV-Price-May-2026,,DJP1030,DJ-PER-0031,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Daily Care Cream (60g): MRP INR 149; DP INR 95; BV 30; pack size 60g.
product_core::DJP1031::DJ-PER-0032,product_core,dayjoy-canonical-product-master-final,,DJP1031,DJ-PER-0032,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Luxury Saffron Soap (100g). Code: DJP1031. SKU: DJ-PER-0032. Pack size: 100g. MRP: 125.0. DP: 82.0. BV: 20.0.
pricing_row::DJP1031::DJ-PER-0032,pricing_row,India-BV-Price-May-2026,,DJP1031,DJ-PER-0032,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Luxury Saffron Soap (100g): MRP INR 125; DP INR 82; BV 20; pack size 100g.
product_core::DJP1032::DJ-PER-0033,product_core,dayjoy-canonical-product-master-final,,DJP1032,DJ-PER-0033,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Ecofriendly Toothbrush (Pack of 2). Code: DJP1032. SKU: DJ-PER-0033. Pack size: 2. MRP: 149.0. DP: 100.0. BV: 30.0.
pricing_row::DJP1032::DJ-PER-0033,pricing_row,India-BV-Price-May-2026,,DJP1032,DJ-PER-0033,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Ecofriendly Toothbrush (Pack of 2): MRP INR 149; DP INR 100; BV 30; pack size 2.
product_core::DJP1033::DJ-PER-0034,product_core,dayjoy-canonical-product-master-final,,DJP1033,DJ-PER-0034,,"public, distributor, internal",low,high,2026-05-05,approved,Product: HerboSmile Herbal Toothpaste (100g). Code: DJP1033. SKU: DJ-PER-0034. Pack size: 100g. MRP: 125.0. DP: 82.0. BV: 20.0.
pricing_row::DJP1033::DJ-PER-0034,pricing_row,India-BV-Price-May-2026,,DJP1033,DJ-PER-0034,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for HerboSmile Herbal Toothpaste (100g): MRP INR 125; DP INR 82; BV 20; pack size 100g.
product_core::DJP1034::DJ-PER-0035,product_core,dayjoy-canonical-product-master-final,,DJP1034,DJ-PER-0035,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Hydra Aloevera Body Lotion (300ml). Code: DJP1034. SKU: DJ-PER-0035. Pack size: 300ml. MRP: 349.0. DP: 245.0. BV: 76.0.
pricing_row::DJP1034::DJ-PER-0035,pricing_row,India-BV-Price-May-2026,,DJP1034,DJ-PER-0035,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Hydra Aloevera Body Lotion (300ml): MRP INR 349; DP INR 245; BV 76; pack size 300ml.
product_core::DJP1035::DJ-PER-0036,product_core,dayjoy-canonical-product-master-final,,DJP1035,DJ-PER-0036,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Kesham (100ml). Code: DJP1035. SKU: DJ-PER-0036. Pack size: 100ml. MRP: 149.0. DP: 91.0. BV: 24.0.
pricing_row::DJP1035::DJ-PER-0036,pricing_row,India-BV-Price-May-2026,,DJP1035,DJ-PER-0036,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Kesham (100ml): MRP INR 149; DP INR 91; BV 24; pack size 100ml.
product_core::DJP1036::DJ-PER-0037,product_core,dayjoy-canonical-product-master-final,,DJP1036,DJ-PER-0037,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Luxwash Handwash (250ml). Code: DJP1036. SKU: DJ-PER-0037. Pack size: 250ml. MRP: 150.0. DP: 95.0. BV: 17.0.
pricing_row::DJP1036::DJ-PER-0037,pricing_row,India-BV-Price-May-2026,,DJP1036,DJ-PER-0037,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Luxwash Handwash (250ml): MRP INR 150; DP INR 95; BV 17; pack size 250ml.
product_core::DJP1037::DJ-PER-0038,product_core,dayjoy-canonical-product-master-final,,DJP1037,DJ-PER-0038,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Milk & Keratin Extracts Shampoo (100ml). Code: DJP1037. SKU: DJ-PER-0038. Pack size: 100ml. MRP: 175.0. DP: 118.0. BV: 33.0.
pricing_row::DJP1037::DJ-PER-0038,pricing_row,India-BV-Price-May-2026,,DJP1037,DJ-PER-0038,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Milk & Keratin Extracts Shampoo (100ml): MRP INR 175; DP INR 118; BV 33; pack size 100ml.
product_core::DJP1038::DJ-PER-0039,product_core,dayjoy-canonical-product-master-final,,DJP1038,DJ-PER-0039,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Milk Bath Soap (100g). Code: DJP1038. SKU: DJ-PER-0039. Pack size: 100g. MRP: 75.0. DP: 52.0. BV: 9.0.
pricing_row::DJP1038::DJ-PER-0039,pricing_row,India-BV-Price-May-2026,,DJP1038,DJ-PER-0039,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Milk Bath Soap (100g): MRP INR 75; DP INR 52; BV 9; pack size 100g.
product_core::DJP1039::DJ-PER-0040,product_core,dayjoy-canonical-product-master-final,,DJP1039,DJ-PER-0040,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Milk Bath Soap (Pack of 3) (100g). Code: DJP1039. SKU: DJ-PER-0040. Pack size: 100g. MRP: 225.0. DP: 150.0. BV: 25.0.
pricing_row::DJP1039::DJ-PER-0040,pricing_row,India-BV-Price-May-2026,,DJP1039,DJ-PER-0040,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Milk Bath Soap (Pack of 3) (100g): MRP INR 225; DP INR 150; BV 25; pack size 100g.
product_core::DJP1040::DJ-PER-0041,product_core,dayjoy-canonical-product-master-final,,DJP1040,DJ-PER-0041,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Neem & Tulsi Herbal Soap (100g) (Pack of 3). Code: DJP1040. SKU: DJ-PER-0041. Pack size: 100g. MRP: 147.0. DP: 107.0. BV: 19.0.
pricing_row::DJP1040::DJ-PER-0041,pricing_row,India-BV-Price-May-2026,,DJP1040,DJ-PER-0041,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Neem & Tulsi Herbal Soap (100g) (Pack of 3): MRP INR 147; DP INR 107; BV 19; pack size 100g.
product_core::DJP1041::DJ-PER-0042,product_core,dayjoy-canonical-product-master-final,,DJP1041,DJ-PER-0042,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Regain Aloevera Shampoo (300ml). Code: DJP1041. SKU: DJ-PER-0042. Pack size: 300ml. MRP: 349.0. DP: 245.0. BV: 76.0.
pricing_row::DJP1041::DJ-PER-0042,pricing_row,India-BV-Price-May-2026,,DJP1041,DJ-PER-0042,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Regain Aloevera Shampoo (300ml): MRP INR 349; DP INR 245; BV 76; pack size 300ml.
product_core::DJP1042::DJ-PER-0043,product_core,dayjoy-canonical-product-master-final,,DJP1042,DJ-PER-0043,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Sandalwood & Shahi Gulab Body Lotion (150ml). Code: DJP1042. SKU: DJ-PER-0043. Pack size: 150ml. MRP: 249.0. DP: 169.0. BV: 56.0.
pricing_row::DJP1042::DJ-PER-0043,pricing_row,India-BV-Price-May-2026,,DJP1042,DJ-PER-0043,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Sandalwood & Shahi Gulab Body Lotion (150ml): MRP INR 249; DP INR 169; BV 56; pack size 150ml.
product_core::DJP1043::DJ-PER-0044,product_core,dayjoy-canonical-product-master-final,,DJP1043,DJ-PER-0044,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Sanitary Pad (XL) (Pack of 10). Code: DJP1043. SKU: DJ-PER-0044. Pack size: 10. MRP: 249.0. DP: 130.0. BV: 40.0.
pricing_row::DJP1043::DJ-PER-0044,pricing_row,India-BV-Price-May-2026,,DJP1043,DJ-PER-0044,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Sanitary Pad (XL) (Pack of 10): MRP INR 249; DP INR 130; BV 40; pack size 10.
product_core::DJP1044::DJ-PER-0045,product_core,dayjoy-canonical-product-master-final,,DJP1044,DJ-PER-0045,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Sanitary Pad (XXL) (Pack of 10). Code: DJP1044. SKU: DJ-PER-0045. Pack size: 10. MRP: 275.0. DP: 150.0. BV: 45.0.
pricing_row::DJP1044::DJ-PER-0045,pricing_row,India-BV-Price-May-2026,,DJP1044,DJ-PER-0045,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Sanitary Pad (XXL) (Pack of 10): MRP INR 275; DP INR 150; BV 45; pack size 10.
product_core::DJP1045::DJ-PER-0046,product_core,dayjoy-canonical-product-master-final,,DJP1045,DJ-PER-0046,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Seabuckthron Facial Kit (30g) (Pack of 6). Code: DJP1045. SKU: DJ-PER-0046. Pack size: 30g. MRP: 1349.0. DP: 799.0. BV: 290.0.
pricing_row::DJP1045::DJ-PER-0046,pricing_row,India-BV-Price-May-2026,,DJP1045,DJ-PER-0046,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Seabuckthron Facial Kit (30g) (Pack of 6): MRP INR 1349; DP INR 799; BV 290; pack size 30g.
product_core::DJP1046::DJ-PER-0047,product_core,dayjoy-canonical-product-master-final,,DJP1046,DJ-PER-0047,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Seabuckthron Cleanser (30g). Code: DJP1046. SKU: DJ-PER-0047. Pack size: 30g. MRP: 225.0. DP: 145.0. BV: 52.0.
