chunk_id,parent_doc_id,chunk_index,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,source_document,source_section,page_number,document_type,tags,keywords,categories
dayjoy_master_intent_dataset_17,dayjoy_master_intent_dataset,17,How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)?,The pack size is 150ml.,informational,pack_size,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042,DJ-PER-0043,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of sandalwood,informational
dayjoy_master_intent_dataset_18,dayjoy_master_intent_dataset,18,"I have Fatigue, what should I take?","Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have fatigue what should i take,health-condition
dayjoy_master_intent_dataset_19,dayjoy_master_intent_dataset,19,Which product is good for Shortness of Breath?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for shortness of breath,recommendation
dayjoy_master_intent_dataset_20,dayjoy_master_intent_dataset,20,What is the Loyalty Offer?,Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,Dayjoy_Master_Intent_Dataset.csv,business,,intent_dataset,business;joining,what is the loyalty offer,business
dayjoy_master_intent_dataset_21,dayjoy_master_intent_dataset,21,"I have Constipation, what should I take?","Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have constipation what should i take,health-condition
dayjoy_master_intent_dataset_22,dayjoy_master_intent_dataset,22,Can I sell Dayjoy products part-time?,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,Dayjoy_Master_Intent_Dataset.csv,business,,intent_dataset,business;joining,can i sell dayjoy products part time,business
dayjoy_master_intent_dataset_23,dayjoy_master_intent_dataset,23,Do you have Sanitary Pad (XXL) (Pack of 10)?,"Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",transactional,availability,Sanitary Pad (XXL) (Pack of 10),DJP1044,DJ-PER-0045,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,transactional,,intent_dataset,transactional;availability,do you have sanitary pad xxl pack of,transactional
dayjoy_master_intent_dataset_24,dayjoy_master_intent_dataset,24,"I have Focusing on tasks or remembering, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have focusing on tasks or remembering what,health-condition
dayjoy_master_intent_dataset_25,dayjoy_master_intent_dataset,25,What is the Super Retailer Loyalty Program?,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,Dayjoy_Master_Intent_Dataset.csv,business,,intent_dataset,business;joining,what is the super retailer loyalty program,business
dayjoy_master_intent_dataset_26,dayjoy_master_intent_dataset,26,Is cash refund available?,No cash refunds under any circumstances will be made.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,Dayjoy_Master_Intent_Dataset.csv,policy,,intent_dataset,policy;shipping_refund,is cash refund available,policy
dayjoy_master_intent_dataset_27,dayjoy_master_intent_dataset,27,Tell me about Seabuckthron Facial Kit (30g) (Pack of 6),This is a premium product under Wild Muse.,informational,product_discovery,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045,DJ-PER-0046,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about seabuckthron facial kit 30g pack,informational
dayjoy_master_intent_dataset_28,dayjoy_master_intent_dataset,28,"Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)?","Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for menstrual problems painful,recommendation
dayjoy_master_intent_dataset_29,dayjoy_master_intent_dataset,29,Which product is good for Skin Disorders?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for skin disorders,recommendation
dayjoy_master_intent_dataset_30,dayjoy_master_intent_dataset,30,"I have Worsened pain after sitting or standing for a long time, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have worsened pain after sitting or standing,health-condition
dayjoy_master_intent_dataset_31,dayjoy_master_intent_dataset,31,"I have Difficulty walking on your toes, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have difficulty walking on your toes what,health-condition
dayjoy_master_intent_dataset_32,dayjoy_master_intent_dataset,32,Tell me about Dayjoy Backpack Bag,This is a premium product under Dayjoy.,informational,product_discovery,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about dayjoy backpack bag,informational
dayjoy_master_intent_dataset_33,dayjoy_master_intent_dataset,33,Is Dayjoy FSSAI approved?,"Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",compliance,policy,,,,high,FSSAI / Social Media Policy / Income Disclaimer,,Dayjoy_Master_Intent_Dataset.csv,compliance,,intent_dataset,compliance;policy,is dayjoy fssai approved,compliance
dayjoy_master_intent_dataset_34,dayjoy_master_intent_dataset,34,How much BV for New Total Joy Rice Bran Oil (1 Litre)?,The Business Volume (BV) is 24.0.,pricing,bv,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;bv,how much bv for new total joy rice,pricing
dayjoy_master_intent_dataset_35,dayjoy_master_intent_dataset,35,How much is in one pack of Dayjoy Backpack Bag?,The pack size is nan.,informational,pack_size,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of dayjoy,informational
dayjoy_master_intent_dataset_36,dayjoy_master_intent_dataset,36,What is the MRP of Seabuckthron Scrub (30g)?,The MRP is ₹225.0.,pricing,mrp,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;mrp,what is the mrp of seabuckthron scrub 30g,pricing
dayjoy_master_intent_dataset_37,dayjoy_master_intent_dataset,37,"I have Nausea/Vomiting, what should I take?","Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have nausea vomiting what should i take,health-condition
dayjoy_master_intent_dataset_38,dayjoy_master_intent_dataset,38,Tell me about English One-Page Compensation Plan (Set of 50 Leaflets),This is a premium product under Dayjoy.,informational,product_discovery,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161,DJ-PRO-0162,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about english one page compensation plan,informational
dayjoy_master_intent_dataset_39,dayjoy_master_intent_dataset,39,How much is in one pack of Deep Cleansing Facewash (60ml)?,The pack size is 60ml.,informational,pack_size,Deep Cleansing Facewash (60ml),DJP1053,DJ-PER-0054,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of deep,informational
dayjoy_master_intent_dataset_40,dayjoy_master_intent_dataset,40,What is the MRP of Milk Bath Soap (Pack of 3) (100g)?,The MRP is ₹225.0.,pricing,mrp,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;mrp,what is the mrp of milk bath soap,pricing
dayjoy_master_intent_dataset_41,dayjoy_master_intent_dataset,41,Which product is good for Blurred Vision?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for blurred vision,recommendation
dayjoy_master_intent_dataset_42,dayjoy_master_intent_dataset,42,Which product is good for Premature Ejaculation?,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for premature ejaculation,recommendation
dayjoy_master_intent_dataset_43,dayjoy_master_intent_dataset,43,"I have Frequent Urination, what should I take?","Dayjoy suggests DIBEAT TABLETS for Frequent Urination. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have frequent urination what should i take,health-condition
dayjoy_master_intent_dataset_44,dayjoy_master_intent_dataset,44,Can I sell Dayjoy products part-time?,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,Dayjoy_Master_Intent_Dataset.csv,business,,intent_dataset,business;joining,can i sell dayjoy products part time,business
dayjoy_master_intent_dataset_45,dayjoy_master_intent_dataset,45,How much is in one pack of Perfect-Ion Leaflets (Set of 25)?,The pack size is Set of 25.,informational,pack_size,Perfect-Ion Leaflets (Set of 25),DJP1142,DJ-AQU-0143,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of perfect,informational
dayjoy_master_intent_dataset_46,dayjoy_master_intent_dataset,46,Tell me about Shatavari Extract (60 Veg Capsules),This is a premium product under Curind.,informational,product_discovery,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about shatavari extract 60 veg capsules,informational
dayjoy_master_intent_dataset_47,dayjoy_master_intent_dataset,47,What is Sunscreen SPF 50+ (50gm)?,Sunscreen SPF 50+ (50gm) is a SKIN CARE product by Dayjoy.,informational,product_info,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_info,what is sunscreen spf 50 50gm,informational
dayjoy_master_intent_dataset_48,dayjoy_master_intent_dataset,48,"I have Rapid Weight Gain, what should I take?","Dayjoy suggests AMPLE MEAL for Rapid Weight Gain. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have rapid weight gain what should i,health-condition
dayjoy_master_intent_dataset_49,dayjoy_master_intent_dataset,49,Which product is good for Anxiety?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for anxiety,recommendation
dayjoy_master_intent_dataset_50,dayjoy_master_intent_dataset,50,How much is in one pack of Daily Care Cream (60g)?,The pack size is 60g.,informational,pack_size,Daily Care Cream (60g),DJP1030,DJ-PER-0031,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of daily,informational
dayjoy_master_intent_dataset_51,dayjoy_master_intent_dataset,51,"I have High Blood Pressure, what should I take?","Dayjoy suggests ADILIPO TABLET for High Blood Pressure. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have high blood pressure what should i,health-condition
dayjoy_master_intent_dataset_52,dayjoy_master_intent_dataset,52,What is Organic Jeera (250g)?,Organic Jeera (250g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Organic Jeera (250g),DJP1014,DJ-FOO-0015,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_info,what is organic jeera 250g,informational
dayjoy_master_intent_dataset_53,dayjoy_master_intent_dataset,53,Tell me about Gas-O-Free (500ml),This is a premium product under Curind.,informational,product_discovery,Gas-O-Free (500ml),DJP1082,DJ-HEA-0083,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about gas o free 500ml,informational
dayjoy_master_intent_dataset_54,dayjoy_master_intent_dataset,54,Can I return it?,You may return marketable products within 30 days of invoice with original bill (5% handling charge applies).,policy,shipping_refund,,,,high,Shipping/Refund Policy,,Dayjoy_Master_Intent_Dataset.csv,policy,,intent_dataset,policy;shipping_refund,can i return it,policy
dayjoy_master_intent_dataset_55,dayjoy_master_intent_dataset,55,Which product is good for Photo Damage (UV Rays)?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for photo damage uv,recommendation
dayjoy_master_intent_dataset_56,dayjoy_master_intent_dataset,56,Which product is good for Itching around one or more of the veins?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for itching around one,recommendation
dayjoy_master_intent_dataset_57,dayjoy_master_intent_dataset,57,Tell me about Adicardial Syrup (500ml),This is a premium product under Curind.,informational,product_discovery,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about adicardial syrup 500ml,informational
dayjoy_master_intent_dataset_58,dayjoy_master_intent_dataset,58,Do you have L-Arginine++ - Energy Drink (100g)?,"Yes, L-Arginine++ - Energy Drink (100g) is available. Code: DJP1108",transactional,availability,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,transactional,,intent_dataset,transactional;availability,do you have l arginine energy drink 100g,transactional
dayjoy_master_intent_dataset_59,dayjoy_master_intent_dataset,59,How much BV for Garam Masala (100g)?,The Business Volume (BV) is 20.0.,pricing,bv,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;bv,how much bv for garam masala 100g,pricing
dayjoy_master_intent_dataset_60,dayjoy_master_intent_dataset,60,How much BV for HB+ (200ml)?,The Business Volume (BV) is 160.0.,pricing,bv,HB+ (200ml),DJP1088,DJ-HEA-0089,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;bv,how much bv for hb 200ml,pricing
dayjoy_master_intent_dataset_61,dayjoy_master_intent_dataset,61,"I have Headache, what should I take?","Dayjoy suggests ASTHPRASH OR N-ASTHEAL TABLET for Headache. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have headache what should i take,health-condition
dayjoy_master_intent_dataset_62,dayjoy_master_intent_dataset,62,What is the MRP of Ecofriendly Toothbrush (Pack of 2)?,The MRP is ₹149.0.,pricing,mrp,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;mrp,what is the mrp of ecofriendly toothbrush pack,pricing
dayjoy_master_intent_dataset_63,dayjoy_master_intent_dataset,63,"I have Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding), what should I take?","Dayjoy suggests ADICARDIAL TABLET for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding). This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have menstrual problems painful periods irregular periods,health-condition
dayjoy_master_intent_dataset_64,dayjoy_master_intent_dataset,64,"I have Mental Disorder, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Mental Disorder. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have mental disorder what should i take,health-condition
dayjoy_master_intent_dataset_65,dayjoy_master_intent_dataset,65,Who leads R&D at Dayjoy?,R&D is guided by Dr. Ram Pal Somani and Mr. Yogendra Kumar Choudhary.,company,info,,,,high,Dayjoy Brochure,,Dayjoy_Master_Intent_Dataset.csv,company,,intent_dataset,company;info,who leads r d at dayjoy,company
dayjoy_master_intent_dataset_66,dayjoy_master_intent_dataset,66,Do you have Face Serum (30ml)?,"Yes, Face Serum (30ml) is available. Code: DJP1057",transactional,availability,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,transactional,,intent_dataset,transactional;availability,do you have face serum 30ml,transactional
dayjoy_master_intent_dataset_67,dayjoy_master_intent_dataset,67,Which product is good for Loss of sensation or numbness?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for loss of sensation,recommendation
dayjoy_master_intent_dataset_68,dayjoy_master_intent_dataset,68,How much is in one pack of Shatavari Extract (60 Veg Capsules)?,The pack size is 60 Veg Capsules.,informational,pack_size,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of shatavari,informational
dayjoy_master_intent_dataset_69,dayjoy_master_intent_dataset,69,Tell me about Omega 3-6-9,This is a premium product under Curind.,informational,product_discovery,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_discovery,tell me about omega 3 6 9,informational
dayjoy_master_intent_dataset_70,dayjoy_master_intent_dataset,70,DP of DJP1024,The Distributor Price (DP) is ₹67.0.,pricing,dp,Poha with Bhujia,DJP1024,DJ-FOO-0025,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;dp,dp of djp1024,pricing
dayjoy_master_intent_dataset_71,dayjoy_master_intent_dataset,71,What is the MRP of Dayjoy Bike Sticker?,The MRP is ₹20.0.,pricing,mrp,Dayjoy Bike Sticker,DJP1150,DJ-PRO-0151,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;mrp,what is the mrp of dayjoy bike sticker,pricing
dayjoy_master_intent_dataset_72,dayjoy_master_intent_dataset,72,"I have Cough, Cold and Fever, what should I take?","Dayjoy suggests HIENERGY TABLETS for Cough, Cold and Fever. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have cough cold and fever what should,health-condition
dayjoy_master_intent_dataset_73,dayjoy_master_intent_dataset,73,"I have Shortness of Breath, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Shortness of Breath. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have shortness of breath what should i,health-condition
