relationship_id,product_a_id,product_a_name,product_b_id,product_b_name,relationship_type,co_occurrence_count,source,approved,notes
42,82,Gas-O-Free (200ml),73,Adiliv (60 Tab),recommended_combination,22.0,recommendation_chart,,
43,73,Adiliv (60 Tab),82,Gas-O-Free (200ml),recommended_combination,22.0,recommendation_chart,,
44,93,Liv-Ease (200ml),73,Adiliv (60 Tab),recommended_combination,22.0,recommendation_chart,,
45,93,Liv-Ease (200ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,22.0,recommendation_chart,,
46,82,Gas-O-Free (200ml),93,Liv-Ease (200ml),recommended_combination,22.0,recommendation_chart,,
47,67,Adicardial (120 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,20.0,recommendation_chart,,
48,67,Adicardial (120 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,20.0,recommendation_chart,,
49,103,Super Rich Berry Juice (1 Ltr.),67,Adicardial (120 Tab),recommended_combination,20.0,recommendation_chart,,
50,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),67,Adicardial (120 Tab),recommended_combination,20.0,recommendation_chart,,
51,71,Adilipo (120 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,19.0,recommendation_chart,,
52,103,Super Rich Berry Juice (1 Ltr.),71,Adilipo (120 Tab),recommended_combination,19.0,recommendation_chart,,
53,82,Gas-O-Free (200ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,18.0,recommendation_chart,,
54,73,Adiliv (60 Tab),96,Nonima (500ml),recommended_combination,18.0,recommendation_chart,,
55,96,Nonima (500ml),82,Gas-O-Free (200ml),recommended_combination,18.0,recommendation_chart,,
56,96,Nonima (500ml),73,Adiliv (60 Tab),recommended_combination,18.0,recommendation_chart,,
57,82,Gas-O-Free (200ml),96,Nonima (500ml),recommended_combination,18.0,recommendation_chart,,
58,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),82,Gas-O-Free (200ml),recommended_combination,18.0,recommendation_chart,,
59,91,Hi-Energy (60 Tab),106,Super Food Capsule,recommended_combination,16.0,recommendation_chart,,
60,91,Hi-Energy (60 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,16.0,recommendation_chart,,
61,91,Hi-Energy (60 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,16.0,recommendation_chart,,
62,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),91,Hi-Energy (60 Tab),recommended_combination,16.0,recommendation_chart,,
63,106,Super Food Capsule,91,Hi-Energy (60 Tab),recommended_combination,16.0,recommendation_chart,,
64,103,Super Rich Berry Juice (1 Ltr.),91,Hi-Energy (60 Tab),recommended_combination,16.0,recommendation_chart,,
65,66,Asthprash (300 grams),107,Premium Tulsi Max (30ml),recommended_combination,15.0,recommendation_chart,,
66,66,Asthprash (300 grams),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,15.0,recommendation_chart,,
67,66,Asthprash (300 grams),106,Super Food Capsule,recommended_combination,15.0,recommendation_chart,,
68,66,Asthprash (300 grams),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,15.0,recommendation_chart,,
69,66,Asthprash (300 grams),97,N-astheal (120 Tab),recommended_combination,15.0,recommendation_chart,,
70,97,N-astheal (120 Tab),107,Premium Tulsi Max (30ml),recommended_combination,15.0,recommendation_chart,,
71,103,Super Rich Berry Juice (1 Ltr.),66,Asthprash (300 grams),recommended_combination,15.0,recommendation_chart,,
72,103,Super Rich Berry Juice (1 Ltr.),97,N-astheal (120 Tab),recommended_combination,15.0,recommendation_chart,,
73,97,N-astheal (120 Tab),66,Asthprash (300 grams),recommended_combination,15.0,recommendation_chart,,
74,97,N-astheal (120 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,15.0,recommendation_chart,,
75,97,N-astheal (120 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,15.0,recommendation_chart,,
76,97,N-astheal (120 Tab),106,Super Food Capsule,recommended_combination,15.0,recommendation_chart,,
77,106,Super Food Capsule,66,Asthprash (300 grams),recommended_combination,15.0,recommendation_chart,,
78,106,Super Food Capsule,97,N-astheal (120 Tab),recommended_combination,15.0,recommendation_chart,,
79,107,Premium Tulsi Max (30ml),66,Asthprash (300 grams),recommended_combination,15.0,recommendation_chart,,
80,107,Premium Tulsi Max (30ml),97,N-astheal (120 Tab),recommended_combination,15.0,recommendation_chart,,
81,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),66,Asthprash (300 grams),recommended_combination,15.0,recommendation_chart,,
82,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),97,N-astheal (120 Tab),recommended_combination,15.0,recommendation_chart,,
83,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),78,Advanced Calcium Tablets,recommended_combination,14.0,recommendation_chart,,
84,78,Advanced Calcium Tablets,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,14.0,recommendation_chart,,
85,106,Super Food Capsule,93,Liv-Ease (200ml),recommended_combination,14.0,recommendation_chart,,
86,93,Liv-Ease (200ml),106,Super Food Capsule,recommended_combination,14.0,recommendation_chart,,
87,106,Super Food Capsule,67,Adicardial (120 Tab),recommended_combination,12.0,recommendation_chart,,
88,67,Adicardial (120 Tab),106,Super Food Capsule,recommended_combination,12.0,recommendation_chart,,
89,106,Super Food Capsule,78,Advanced Calcium Tablets,recommended_combination,12.0,recommendation_chart,,
90,78,Advanced Calcium Tablets,106,Super Food Capsule,recommended_combination,12.0,recommendation_chart,,
91,67,Adicardial (120 Tab),67,Adicardial (120 Tab),recommended_combination,12.0,recommendation_chart,,
92,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),99,Orthofix (60 Tab),recommended_combination,11.0,recommendation_chart,,
93,101,Omega 3-6-9,99,Orthofix (60 Tab),recommended_combination,11.0,recommendation_chart,,
94,106,Super Food Capsule,99,Orthofix (60 Tab),recommended_combination,11.0,recommendation_chart,,
95,99,Orthofix (60 Tab),106,Super Food Capsule,recommended_combination,11.0,recommendation_chart,,
96,99,Orthofix (60 Tab),101,Omega 3-6-9,recommended_combination,11.0,recommendation_chart,,
97,99,Orthofix (60 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,11.0,recommendation_chart,,
98,89,HB+ (200ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,10.0,recommendation_chart,,
99,88,Eye Health++ (60 Capsules),106,Super Food Capsule,recommended_combination,10.0,recommendation_chart,,
100,87,Eye Elixir Drops (10ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,10.0,recommendation_chart,,
101,87,Eye Elixir Drops (10ml),88,Eye Health++ (60 Capsules),recommended_combination,10.0,recommendation_chart,,
102,87,Eye Elixir Drops (10ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,10.0,recommendation_chart,,
103,88,Eye Health++ (60 Capsules),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,10.0,recommendation_chart,,
104,88,Eye Health++ (60 Capsules),87,Eye Elixir Drops (10ml),recommended_combination,10.0,recommendation_chart,,
105,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),73,Adiliv (60 Tab),recommended_combination,10.0,recommendation_chart,,
106,103,Super Rich Berry Juice (1 Ltr.),88,Eye Health++ (60 Capsules),recommended_combination,10.0,recommendation_chart,,
107,103,Super Rich Berry Juice (1 Ltr.),87,Eye Elixir Drops (10ml),recommended_combination,10.0,recommendation_chart,,
108,106,Super Food Capsule,87,Eye Elixir Drops (10ml),recommended_combination,10.0,recommendation_chart,,
109,73,Adiliv (60 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,10.0,recommendation_chart,,
110,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),88,Eye Health++ (60 Capsules),recommended_combination,10.0,recommendation_chart,,
111,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),87,Eye Elixir Drops (10ml),recommended_combination,10.0,recommendation_chart,,
112,88,Eye Health++ (60 Capsules),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,10.0,recommendation_chart,,
113,106,Super Food Capsule,88,Eye Health++ (60 Capsules),recommended_combination,10.0,recommendation_chart,,
114,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),89,HB+ (200ml),recommended_combination,10.0,recommendation_chart,,
115,89,HB+ (200ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,10.0,recommendation_chart,,
116,103,Super Rich Berry Juice (1 Ltr.),89,HB+ (200ml),recommended_combination,10.0,recommendation_chart,,
117,87,Eye Elixir Drops (10ml),106,Super Food Capsule,recommended_combination,10.0,recommendation_chart,,
118,106,Super Food Capsule,75,Astheal Cough Syrup (100ml),recommended_combination,9.0,recommendation_chart,,
119,78,Advanced Calcium Tablets,103,Super Rich Berry Juice (1 Ltr.),recommended_combination,9.0,recommendation_chart,,
120,103,Super Rich Berry Juice (1 Ltr.),78,Advanced Calcium Tablets,recommended_combination,9.0,recommendation_chart,,
121,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),75,Astheal Cough Syrup (100ml),recommended_combination,9.0,recommendation_chart,,
122,97,N-astheal (120 Tab),75,Astheal Cough Syrup (100ml),recommended_combination,9.0,recommendation_chart,,
123,66,Asthprash (300 grams),75,Astheal Cough Syrup (100ml),recommended_combination,9.0,recommendation_chart,,
124,75,Astheal Cough Syrup (100ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,9.0,recommendation_chart,,
125,75,Astheal Cough Syrup (100ml),97,N-astheal (120 Tab),recommended_combination,9.0,recommendation_chart,,
126,75,Astheal Cough Syrup (100ml),66,Asthprash (300 grams),recommended_combination,9.0,recommendation_chart,,
127,107,Premium Tulsi Max (30ml),75,Astheal Cough Syrup (100ml),recommended_combination,9.0,recommendation_chart,,
128,75,Astheal Cough Syrup (100ml),107,Premium Tulsi Max (30ml),recommended_combination,9.0,recommendation_chart,,
129,75,Astheal Cough Syrup (100ml),106,Super Food Capsule,recommended_combination,9.0,recommendation_chart,,
130,103,Super Rich Berry Juice (1 Ltr.),75,Astheal Cough Syrup (100ml),recommended_combination,9.0,recommendation_chart,,
131,75,Astheal Cough Syrup (100ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,9.0,recommendation_chart,,
132,73,Adiliv (60 Tab),79,Arogya Churn (100g),recommended_combination,8.0,recommendation_chart,,
133,79,Arogya Churn (100g),96,Nonima (500ml),recommended_combination,8.0,recommendation_chart,,
134,79,Arogya Churn (100g),73,Adiliv (60 Tab),recommended_combination,8.0,recommendation_chart,,
135,79,Arogya Churn (100g),82,Gas-O-Free (200ml),recommended_combination,8.0,recommendation_chart,,
136,79,Arogya Churn (100g),93,Liv-Ease (200ml),recommended_combination,8.0,recommendation_chart,,
137,79,Arogya Churn (100g),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,8.0,recommendation_chart,,
138,93,Liv-Ease (200ml),79,Arogya Churn (100g),recommended_combination,8.0,recommendation_chart,,
139,82,Gas-O-Free (200ml),79,Arogya Churn (100g),recommended_combination,8.0,recommendation_chart,,
140,80,Di-beat (60 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,8.0,recommendation_chart,,
141,80,Di-beat (60 Tab),106,Super Food Capsule,recommended_combination,8.0,recommendation_chart,,
142,82,Gas-O-Free (200ml),71,Adilipo (120 Tab),recommended_combination,8.0,recommendation_chart,,
143,82,Gas-O-Free (200ml),106,Super Food Capsule,recommended_combination,8.0,recommendation_chart,,
144,106,Super Food Capsule,80,Di-beat (60 Tab),recommended_combination,8.0,recommendation_chart,,
145,96,Nonima (500ml),80,Di-beat (60 Tab),recommended_combination,8.0,recommendation_chart,,
146,93,Liv-Ease (200ml),80,Di-beat (60 Tab),recommended_combination,8.0,recommendation_chart,,
147,80,Di-beat (60 Tab),96,Nonima (500ml),recommended_combination,8.0,recommendation_chart,,
148,80,Di-beat (60 Tab),93,Liv-Ease (200ml),recommended_combination,8.0,recommendation_chart,,
149,96,Nonima (500ml),79,Arogya Churn (100g),recommended_combination,8.0,recommendation_chart,,
150,96,Nonima (500ml),92,Kidney Kawach (300 g),recommended_combination,8.0,recommendation_chart,,
151,103,Super Rich Berry Juice (1 Ltr.),92,Kidney Kawach (300 g),recommended_combination,8.0,recommendation_chart,,
152,101,Omega 3-6-9,67,Adicardial (120 Tab),recommended_combination,8.0,recommendation_chart,,
153,106,Super Food Capsule,92,Kidney Kawach (300 g),recommended_combination,8.0,recommendation_chart,,
154,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),80,Di-beat (60 Tab),recommended_combination,8.0,recommendation_chart,,
155,92,Kidney Kawach (300 g),96,Nonima (500ml),recommended_combination,8.0,recommendation_chart,,
156,92,Kidney Kawach (300 g),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,8.0,recommendation_chart,,
157,82,Gas-O-Free (200ml),101,Omega 3-6-9,recommended_combination,8.0,recommendation_chart,,
158,101,Omega 3-6-9,82,Gas-O-Free (200ml),recommended_combination,8.0,recommendation_chart,,
159,106,Super Food Capsule,82,Gas-O-Free (200ml),recommended_combination,8.0,recommendation_chart,,
160,71,Adilipo (120 Tab),82,Gas-O-Free (200ml),recommended_combination,8.0,recommendation_chart,,
161,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),92,Kidney Kawach (300 g),recommended_combination,8.0,recommendation_chart,,
162,89,HB+ (200ml),67,Adicardial (120 Tab),recommended_combination,8.0,recommendation_chart,,
163,67,Adicardial (120 Tab),89,HB+ (200ml),recommended_combination,8.0,recommendation_chart,,
164,89,HB+ (200ml),101,Omega 3-6-9,recommended_combination,8.0,recommendation_chart,,
165,103,Super Rich Berry Juice (1 Ltr.),79,Arogya Churn (100g),recommended_combination,8.0,recommendation_chart,,
166,92,Kidney Kawach (300 g),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,8.0,recommendation_chart,,
167,101,Omega 3-6-9,89,HB+ (200ml),recommended_combination,8.0,recommendation_chart,,
168,67,Adicardial (120 Tab),101,Omega 3-6-9,recommended_combination,8.0,recommendation_chart,,
169,92,Kidney Kawach (300 g),106,Super Food Capsule,recommended_combination,8.0,recommendation_chart,,
170,110,Ample Meal - Meal Replacement Nutritional Shake (500g),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,7.0,recommendation_chart,,
171,110,Ample Meal - Meal Replacement Nutritional Shake (500g),96,Nonima (500ml),recommended_combination,7.0,recommendation_chart,,
172,106,Super Food Capsule,110,Ample Meal - Meal Replacement Nutritional Shake (500g),recommended_combination,7.0,recommendation_chart,,
173,106,Super Food Capsule,108,Vital Protein Powder (300gm),recommended_combination,7.0,recommendation_chart,,
174,103,Super Rich Berry Juice (1 Ltr.),110,Ample Meal - Meal Replacement Nutritional Shake (500g),recommended_combination,7.0,recommendation_chart,,
175,103,Super Rich Berry Juice (1 Ltr.),108,Vital Protein Powder (300gm),recommended_combination,7.0,recommendation_chart,,
176,108,Vital Protein Powder (300gm),110,Ample Meal - Meal Replacement Nutritional Shake (500g),recommended_combination,7.0,recommendation_chart,,
177,108,Vital Protein Powder (300gm),106,Super Food Capsule,recommended_combination,7.0,recommendation_chart,,
178,108,Vital Protein Powder (300gm),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,7.0,recommendation_chart,,
179,108,Vital Protein Powder (300gm),96,Nonima (500ml),recommended_combination,7.0,recommendation_chart,,
180,110,Ample Meal - Meal Replacement Nutritional Shake (500g),108,Vital Protein Powder (300gm),recommended_combination,7.0,recommendation_chart,,
181,110,Ample Meal - Meal Replacement Nutritional Shake (500g),106,Super Food Capsule,recommended_combination,7.0,recommendation_chart,,
182,96,Nonima (500ml),110,Ample Meal - Meal Replacement Nutritional Shake (500g),recommended_combination,7.0,recommendation_chart,,
183,96,Nonima (500ml),108,Vital Protein Powder (300gm),recommended_combination,7.0,recommendation_chart,,
184,91,Hi-Energy (60 Tab),107,Premium Tulsi Max (30ml),recommended_combination,7.0,recommendation_chart,,
185,107,Premium Tulsi Max (30ml),91,Hi-Energy (60 Tab),recommended_combination,7.0,recommendation_chart,,
186,103,Super Rich Berry Juice (1 Ltr.),99,Orthofix (60 Tab),recommended_combination,6.0,recommendation_chart,,
187,107,Premium Tulsi Max (30ml),93,Liv-Ease (200ml),recommended_combination,6.0,recommendation_chart,,
188,99,Orthofix (60 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,6.0,recommendation_chart,,
189,99,Orthofix (60 Tab),71,Adilipo (120 Tab),recommended_combination,6.0,recommendation_chart,,
190,96,Nonima (500ml),107,Premium Tulsi Max (30ml),recommended_combination,6.0,recommendation_chart,,
191,93,Liv-Ease (200ml),107,Premium Tulsi Max (30ml),recommended_combination,6.0,recommendation_chart,,
192,107,Premium Tulsi Max (30ml),96,Nonima (500ml),recommended_combination,6.0,recommendation_chart,,
193,99,Orthofix (60 Tab),99,Orthofix (60 Tab),recommended_combination,6.0,recommendation_chart,,
194,71,Adilipo (120 Tab),99,Orthofix (60 Tab),recommended_combination,6.0,recommendation_chart,,
195,101,Omega 3-6-9,78,Advanced Calcium Tablets,recommended_combination,5.0,recommendation_chart,,
196,78,Advanced Calcium Tablets,99,Orthofix (60 Tab),recommended_combination,5.0,recommendation_chart,,
197,78,Advanced Calcium Tablets,101,Omega 3-6-9,recommended_combination,5.0,recommendation_chart,,
198,71,Adilipo (120 Tab),107,Premium Tulsi Max (30ml),recommended_combination,5.0,recommendation_chart,,
199,101,Omega 3-6-9,107,Premium Tulsi Max (30ml),recommended_combination,5.0,recommendation_chart,,
200,107,Premium Tulsi Max (30ml),71,Adilipo (120 Tab),recommended_combination,5.0,recommendation_chart,,
201,107,Premium Tulsi Max (30ml),101,Omega 3-6-9,recommended_combination,5.0,recommendation_chart,,
202,99,Orthofix (60 Tab),78,Advanced Calcium Tablets,recommended_combination,5.0,recommendation_chart,,
203,84,GoPiles (60 Tab),82,Gas-O-Free (200ml),recommended_combination,4.0,recommendation_chart,,
204,84,GoPiles (60 Tab),79,Arogya Churn (100g),recommended_combination,4.0,recommendation_chart,,
205,84,GoPiles (60 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,4.0,recommendation_chart,,
206,73,Adiliv (60 Tab),84,GoPiles (60 Tab),recommended_combination,4.0,recommendation_chart,,
207,79,Arogya Churn (100g),84,GoPiles (60 Tab),recommended_combination,4.0,recommendation_chart,,
208,103,Super Rich Berry Juice (1 Ltr.),84,GoPiles (60 Tab),recommended_combination,4.0,recommendation_chart,,
209,84,GoPiles (60 Tab),73,Adiliv (60 Tab),recommended_combination,4.0,recommendation_chart,,
210,84,GoPiles (60 Tab),93,Liv-Ease (200ml),recommended_combination,4.0,recommendation_chart,,
211,93,Liv-Ease (200ml),84,GoPiles (60 Tab),recommended_combination,4.0,recommendation_chart,,
212,82,Gas-O-Free (200ml),84,GoPiles (60 Tab),recommended_combination,4.0,recommendation_chart,,
213,30,BR Rich Oil (200ml),108,Vital Protein Powder (300gm),recommended_combination,2.0,recommendation_chart,,
214,89,HB+ (200ml),78,Advanced Calcium Tablets,recommended_combination,2.0,recommendation_chart,,
215,108,Vital Protein Powder (300gm),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,2.0,recommendation_chart,,
216,108,Vital Protein Powder (300gm),78,Advanced Calcium Tablets,recommended_combination,2.0,recommendation_chart,,
217,108,Vital Protein Powder (300gm),89,HB+ (200ml),recommended_combination,2.0,recommendation_chart,,
218,78,Advanced Calcium Tablets,89,HB+ (200ml),recommended_combination,2.0,recommendation_chart,,
219,78,Advanced Calcium Tablets,30,BR Rich Oil (200ml),recommended_combination,2.0,recommendation_chart,,
220,78,Advanced Calcium Tablets,108,Vital Protein Powder (300gm),recommended_combination,2.0,recommendation_chart,,
221,108,Vital Protein Powder (300gm),30,BR Rich Oil (200ml),recommended_combination,2.0,recommendation_chart,,
222,30,BR Rich Oil (200ml),89,HB+ (200ml),recommended_combination,2.0,recommendation_chart,,
223,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),108,Vital Protein Powder (300gm),recommended_combination,2.0,recommendation_chart,,
224,103,Super Rich Berry Juice (1 Ltr.),30,BR Rich Oil (200ml),recommended_combination,2.0,recommendation_chart,,
225,89,HB+ (200ml),30,BR Rich Oil (200ml),recommended_combination,2.0,recommendation_chart,,
226,89,HB+ (200ml),108,Vital Protein Powder (300gm),recommended_combination,2.0,recommendation_chart,,
227,30,BR Rich Oil (200ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,2.0,recommendation_chart,,
228,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),30,BR Rich Oil (200ml),recommended_combination,2.0,recommendation_chart,,
229,30,BR Rich Oil (200ml),78,Advanced Calcium Tablets,recommended_combination,2.0,recommendation_chart,,
230,30,BR Rich Oil (200ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,2.0,recommendation_chart,,
231,133,JoySpread 80+ Gold (100ml),132,JoySpread 80+ Gold (250ml),similar_product,,category_bv_proximity,,
232,132,JoySpread 80+ Gold (250ml),133,JoySpread 80+ Gold (100ml),similar_product,,category_bv_proximity,,
233,132,JoySpread 80+ Gold (250ml),134,JoyGrow 2X (Granules) (2kg),similar_product,,category_bv_proximity,,
234,134,JoyGrow 2X (Granules) (2kg),132,JoySpread 80+ Gold (250ml),similar_product,,category_bv_proximity,,
235,134,JoyGrow 2X (Granules) (2kg),124,Happy Soil - Humic (500ml),similar_product,,category_bv_proximity,,
236,124,Happy Soil - Humic (500ml),134,JoyGrow 2X (Granules) (2kg),similar_product,,category_bv_proximity,,
237,124,Happy Soil - Humic (500ml),136,JoyCalcium (2 Litre),similar_product,,category_bv_proximity,,
238,136,JoyCalcium (2 Litre),124,Happy Soil - Humic (500ml),similar_product,,category_bv_proximity,,
