Recommendation_ID,Category,Category_Slug,Problem_or_Condition,Condition_Slug,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,All_Recommended_Products,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
REC-0011,DIABETES,diabetes,Slow Healing Sores,slow-healing-sores,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Slow Healing Sores
REC-0012,DIABETES,diabetes,Tingling Sensations and Numbness,tingling-sensations-and-numbness,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Tingling Sensations and Numbness
REC-0013,HEART DISEASES,heart-diseases,Abnormal Heart Rhythms,abnormal-heart-rhythms,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Abnormal Heart Rhythms
REC-0014,HEART DISEASES,heart-diseases,High Blood Pressure,high-blood-pressure,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,High Blood Pressure
REC-0015,HEART DISEASES,heart-diseases,Chest Pain,chest-pain,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Chest Pain
REC-0016,HEART DISEASES,heart-diseases,Shortness of Breath,shortness-of-breath,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Shortness of Breath
REC-0017,HEART DISEASES,heart-diseases,Swollen Ankles,swollen-ankles,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Swollen Ankles
REC-0018,HEART DISEASES,heart-diseases,Fatigue,fatigue,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Fatigue
REC-0019,HEART DISEASES,heart-diseases,Dizziness or Fainting,dizziness-or-fainting,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Dizziness or Fainting
REC-0020,HEART DISEASES,heart-diseases,Palpitations,palpitations,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,ADILIPO TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES | GAS-O-FREE SYRUP,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Palpitations
REC-0021,BONE & JOINT PROBLEMS,bone-joint-problems,Back Pain or Joints Pain,back-pain-or-joints-pain,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ORTHOFIX TABLET | ORTHOFIX OIL | CALCIUM TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Back Pain or Joints Pain
REC-0022,BONE & JOINT PROBLEMS,bone-joint-problems,Joint Stiffness & Noises (Crepitations),joint-stiffness-noises-crepitations,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ORTHOFIX TABLET | ORTHOFIX OIL | CALCIUM TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Joint Stiffness & Noises (Crepitations)
REC-0023,BONE & JOINT PROBLEMS,bone-joint-problems,Inflammation & Swelling,inflammation-swelling,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ORTHOFIX TABLET | ORTHOFIX OIL | CALCIUM TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Inflammation & Swelling
REC-0024,BONE & JOINT PROBLEMS,bone-joint-problems,Tenderness,tenderness,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ORTHOFIX TABLET | ORTHOFIX OIL | CALCIUM TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Tenderness
REC-0025,BONE & JOINT PROBLEMS,bone-joint-problems,Fatigue,fatigue,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ORTHOFIX TABLET | ORTHOFIX OIL | CALCIUM TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Fatigue
REC-0026,LIVER DISEASES,liver-diseases,Yellow Skin and Eyes,yellow-skin-and-eyes,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Yellow Skin and Eyes
REC-0027,LIVER DISEASES,liver-diseases,Dark Urine,dark-urine,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Dark Urine
REC-0028,LIVER DISEASES,liver-diseases,"Pale, Bloody, or Black Stool",pale-bloody-or-black-stool,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,"Pale, Bloody, or Black Stool"
REC-0029,LIVER DISEASES,liver-diseases,"Swollen Ankles, Legs or Abdomen",swollen-ankles-legs-or-abdomen,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,"Swollen Ankles, Legs or Abdomen"
REC-0030,LIVER DISEASES,liver-diseases,Nausea/Vomiting,nausea-vomiting,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Nausea/Vomiting
REC-0031,LIVER DISEASES,liver-diseases,Decreased Appetite,decreased-appetite,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Decreased Appetite
REC-0032,LIVER DISEASES,liver-diseases,Continuous Fatigue,continuous-fatigue,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Continuous Fatigue
REC-0033,LIVER DISEASES,liver-diseases,Itchy Skin,itchy-skin,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Itchy Skin
REC-0034,LIVER DISEASES,liver-diseases,Easy Bruising,easy-bruising,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Easy Bruising
REC-0035,LIVER DISEASES,liver-diseases,Indigestion,indigestion,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,ADILIV TABLETS | LIVEASE SYRUP | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE | GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Indigestion
REC-0036,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Excessive Production of Gastric Acid,excessive-production-of-gastric-acid,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Excessive Production of Gastric Acid
REC-0037,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Bloating,bloating,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Bloating
REC-0038,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Gas,gas,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Gas
REC-0039,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Vomiting,vomiting,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Vomiting
REC-0040,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Loss of Appetite,loss-of-appetite,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Loss of Appetite
REC-0041,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Heartburn,heartburn,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Heartburn
REC-0042,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Abdominal Pain,abdominal-pain,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Abdominal Pain
REC-0043,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),digestion-problems-indigestion-acidity,Constipation,constipation,,LIVEASE SYRUP OR GAS-O-FREE SYRUP,AROGYA CHURN OR ADILIV TABLETS,ALOE VERA GUAVA JUICE OR NONIMA JUICE,SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN | ADILIV TABLETS | ALOE VERA GUAVA JUICE | NONIMA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Arogya Churn: 8-10 gm at bedtime with lukewarm water.,High,65,High,Constipation
