edge_id,from_type,from_id,relationship_type,to_type,to_id,evidence_source
E000029,Product,DJP1001,FAQ,FAQ,1017,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000030,Product,DJP1001,FAQ,FAQ,1018,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000031,Product,DJP1001,FAQ,FAQ,1019,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000032,Product,DJP1001,FAQ,FAQ,1020,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000033,Product,DJP1001,FAQ,FAQ,1021,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000034,Product,DJP1001,SimilarProduct,Product,DJP1000,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000035,Product,DJP1001,SimilarProduct,Product,DJP1025,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000036,Product,DJP1001,Price,Price,MRP=75.0|DP=56.0|BV=10.0|PV=10.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000037,Product,DJP1001,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000038,Product,DJP1002,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000039,Product,DJP1002,Benefit,Benefit,"Crafted from premium, organically sourced spices, free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000040,Product,DJP1002,Benefit,Benefit,Enhances your dishes with rich aroma,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000041,Product,DJP1002,FAQ,FAQ,1022,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000042,Product,DJP1002,FAQ,FAQ,1023,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000043,Product,DJP1002,FAQ,FAQ,1024,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000044,Product,DJP1002,FAQ,FAQ,1025,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000045,Product,DJP1002,FAQ,FAQ,1026,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000046,Product,DJP1002,FAQ,FAQ,1027,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000047,Product,DJP1002,FAQ,FAQ,1028,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000048,Product,DJP1002,FAQ,FAQ,1029,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000049,Product,DJP1002,FAQ,FAQ,1030,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000050,Product,DJP1002,FAQ,FAQ,1031,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000051,Product,DJP1002,FAQ,FAQ,1032,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000052,Product,DJP1002,SimilarProduct,Product,DJP1013,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000053,Product,DJP1002,SimilarProduct,Product,DJP1023,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000054,Product,DJP1002,Price,Price,MRP=110.0|DP=90.0|BV=15.0|PV=15.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000055,Product,DJP1002,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000056,Product,DJP1003,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000057,Product,DJP1003,Benefit,Benefit,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000058,Product,DJP1003,Benefit,Benefit,Free from additives and preservatives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000059,Product,DJP1003,FAQ,FAQ,1033,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000060,Product,DJP1003,FAQ,FAQ,1034,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000061,Product,DJP1003,FAQ,FAQ,1035,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000062,Product,DJP1003,FAQ,FAQ,1036,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000063,Product,DJP1003,FAQ,FAQ,1037,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000064,Product,DJP1003,FAQ,FAQ,1038,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000065,Product,DJP1003,FAQ,FAQ,1039,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000066,Product,DJP1003,FAQ,FAQ,1040,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000067,Product,DJP1003,FAQ,FAQ,1041,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000068,Product,DJP1003,FAQ,FAQ,1042,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000069,Product,DJP1003,FAQ,FAQ,1043,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000070,Product,DJP1003,SimilarProduct,Product,DJP1008,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000071,Product,DJP1003,SimilarProduct,Product,DJP1020,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000072,Product,DJP1003,RelatedProduct,Product,DJP1004,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000073,Product,DJP1003,Price,Price,MRP=169.0|DP=125.0|BV=20.0|PV=20.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000074,Product,DJP1003,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000075,Product,DJP1004,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000076,Product,DJP1004,Benefit,Benefit,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000077,Product,DJP1004,Benefit,Benefit,Free from additives and preservatives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000078,Product,DJP1004,FAQ,FAQ,1044,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000079,Product,DJP1004,FAQ,FAQ,1045,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000080,Product,DJP1004,FAQ,FAQ,1046,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000081,Product,DJP1004,FAQ,FAQ,1047,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000082,Product,DJP1004,FAQ,FAQ,1048,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000083,Product,DJP1004,FAQ,FAQ,1049,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000084,Product,DJP1004,FAQ,FAQ,1050,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000085,Product,DJP1004,FAQ,FAQ,1051,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000086,Product,DJP1004,FAQ,FAQ,1052,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000087,Product,DJP1004,FAQ,FAQ,1053,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000088,Product,DJP1004,FAQ,FAQ,1054,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000089,Product,DJP1004,SimilarProduct,Product,DJP1014,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000090,Product,DJP1004,SimilarProduct,Product,DJP1022,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000091,Product,DJP1004,Price,Price,MRP=329.0|DP=245.0|BV=39.0|PV=39.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000092,Product,DJP1004,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000093,Product,DJP1005,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000094,Product,DJP1005,Benefit,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000095,Product,DJP1005,Benefit,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000096,Product,DJP1005,FAQ,FAQ,1055,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000097,Product,DJP1005,FAQ,FAQ,1056,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000098,Product,DJP1005,FAQ,FAQ,1057,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000099,Product,DJP1005,FAQ,FAQ,1058,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000100,Product,DJP1005,FAQ,FAQ,1059,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000101,Product,DJP1005,FAQ,FAQ,1060,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000102,Product,DJP1005,FAQ,FAQ,1061,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000103,Product,DJP1005,FAQ,FAQ,1062,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000104,Product,DJP1005,FAQ,FAQ,1063,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000105,Product,DJP1005,FAQ,FAQ,1064,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000106,Product,DJP1005,FAQ,FAQ,1065,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000107,Product,DJP1005,SimilarProduct,Product,DJP1009,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000108,Product,DJP1005,RelatedProduct,Product,DJP1006,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000109,Product,DJP1005,Price,Price,MRP=20.0|DP=15.0|BV=1.0|PV=1.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000110,Product,DJP1005,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000111,Product,DJP1006,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000112,Product,DJP1006,Benefit,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000113,Product,DJP1006,Benefit,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000114,Product,DJP1006,FAQ,FAQ,1066,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000115,Product,DJP1006,FAQ,FAQ,1067,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000116,Product,DJP1006,FAQ,FAQ,1068,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000117,Product,DJP1006,FAQ,FAQ,1069,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000118,Product,DJP1006,FAQ,FAQ,1070,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000119,Product,DJP1006,FAQ,FAQ,1071,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000120,Product,DJP1006,FAQ,FAQ,1072,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000121,Product,DJP1006,FAQ,FAQ,1073,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000122,Product,DJP1006,FAQ,FAQ,1074,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000123,Product,DJP1006,FAQ,FAQ,1075,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000124,Product,DJP1006,FAQ,FAQ,1076,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000125,Product,DJP1006,SimilarProduct,Product,DJP1012,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000126,Product,DJP1006,SimilarProduct,Product,DJP1013,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000127,Product,DJP1006,RelatedProduct,Product,DJP1007,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000128,Product,DJP1006,Price,Price,MRP=95.0|DP=75.0|BV=14.0|PV=14.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000129,Product,DJP1006,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000130,Product,DJP1007,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000131,Product,DJP1007,Benefit,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000132,Product,DJP1007,Benefit,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000133,Product,DJP1007,FAQ,FAQ,1077,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000134,Product,DJP1007,FAQ,FAQ,1078,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000135,Product,DJP1007,FAQ,FAQ,1079,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000136,Product,DJP1007,FAQ,FAQ,1080,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000137,Product,DJP1007,FAQ,FAQ,1081,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000138,Product,DJP1007,FAQ,FAQ,1082,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000139,Product,DJP1007,FAQ,FAQ,1083,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000140,Product,DJP1007,FAQ,FAQ,1084,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000141,Product,DJP1007,FAQ,FAQ,1085,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000142,Product,DJP1007,FAQ,FAQ,1086,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000143,Product,DJP1007,FAQ,FAQ,1087,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000144,Product,DJP1007,SimilarProduct,Product,DJP1011,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000145,Product,DJP1007,SimilarProduct,Product,DJP1014,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000146,Product,DJP1007,Price,Price,MRP=210.0|DP=170.0|BV=30.0|PV=30.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000147,Product,DJP1007,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000148,Product,DJP1008,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000149,Product,DJP1008,Benefit,Benefit,"Crafted from premium, organically sourced spices, free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000150,Product,DJP1008,Benefit,Benefit,Enhances your dishes with rich aroma,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000151,Product,DJP1008,FAQ,FAQ,1088,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000152,Product,DJP1008,FAQ,FAQ,1089,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000153,Product,DJP1008,FAQ,FAQ,1090,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000154,Product,DJP1008,FAQ,FAQ,1091,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000155,Product,DJP1008,FAQ,FAQ,1092,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000156,Product,DJP1008,FAQ,FAQ,1093,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000157,Product,DJP1008,FAQ,FAQ,1094,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000158,Product,DJP1008,FAQ,FAQ,1095,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000159,Product,DJP1008,FAQ,FAQ,1096,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000160,Product,DJP1008,FAQ,FAQ,1097,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000161,Product,DJP1008,FAQ,FAQ,1098,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000162,Product,DJP1008,SimilarProduct,Product,DJP1003,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000163,Product,DJP1008,SimilarProduct,Product,DJP1017,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000164,Product,DJP1008,Price,Price,MRP=110.0|DP=99.0|BV=20.0|PV=20.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000165,Product,DJP1008,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000166,Product,DJP1009,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000167,Product,DJP1009,Benefit,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000168,Product,DJP1009,Benefit,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000169,Product,DJP1009,FAQ,FAQ,1099,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000170,Product,DJP1009,FAQ,FAQ,1100,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000171,Product,DJP1009,FAQ,FAQ,1101,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000172,Product,DJP1009,FAQ,FAQ,1102,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000173,Product,DJP1009,FAQ,FAQ,1103,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000174,Product,DJP1009,FAQ,FAQ,1104,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000175,Product,DJP1009,FAQ,FAQ,1105,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000176,Product,DJP1009,FAQ,FAQ,1106,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000177,Product,DJP1009,FAQ,FAQ,1107,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000178,Product,DJP1009,FAQ,FAQ,1108,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000179,Product,DJP1009,FAQ,FAQ,1109,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000180,Product,DJP1009,SimilarProduct,Product,DJP1005,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000181,Product,DJP1009,SimilarProduct,Product,DJP1016,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000182,Product,DJP1009,RelatedProduct,Product,DJP1010,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000183,Product,DJP1009,Price,Price,MRP=20.0|DP=15.0|BV=1.0|PV=1.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000184,Product,DJP1009,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000185,Product,DJP1010,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000186,Product,DJP1010,Benefit,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000187,Product,DJP1010,Benefit,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000188,Product,DJP1010,FAQ,FAQ,1110,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000189,Product,DJP1010,FAQ,FAQ,1111,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000190,Product,DJP1010,FAQ,FAQ,1112,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000191,Product,DJP1010,FAQ,FAQ,1113,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000192,Product,DJP1010,FAQ,FAQ,1114,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000193,Product,DJP1010,FAQ,FAQ,1115,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000194,Product,DJP1010,FAQ,FAQ,1116,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000195,Product,DJP1010,FAQ,FAQ,1117,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000196,Product,DJP1010,FAQ,FAQ,1118,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000197,Product,DJP1010,FAQ,FAQ,1119,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000198,Product,DJP1010,FAQ,FAQ,1120,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000199,Product,DJP1010,SimilarProduct,Product,DJP1000,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000200,Product,DJP1010,SimilarProduct,Product,DJP1019,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000201,Product,DJP1010,RelatedProduct,Product,DJP1011,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000202,Product,DJP1010,Price,Price,MRP=135.0|DP=80.0|BV=12.0|PV=12.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000203,Product,DJP1010,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000204,Product,DJP1011,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000205,Product,DJP1011,Benefit,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000206,Product,DJP1011,Benefit,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000207,Product,DJP1011,FAQ,FAQ,1121,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000208,Product,DJP1011,FAQ,FAQ,1122,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000209,Product,DJP1011,FAQ,FAQ,1123,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000210,Product,DJP1011,FAQ,FAQ,1124,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000211,Product,DJP1011,FAQ,FAQ,1125,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000212,Product,DJP1011,FAQ,FAQ,1126,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000213,Product,DJP1011,FAQ,FAQ,1127,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000214,Product,DJP1011,FAQ,FAQ,1128,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000215,Product,DJP1011,FAQ,FAQ,1129,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000216,Product,DJP1011,FAQ,FAQ,1130,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000217,Product,DJP1011,FAQ,FAQ,1131,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000218,Product,DJP1011,SimilarProduct,Product,DJP1007,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000219,Product,DJP1011,SimilarProduct,Product,DJP1021,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000220,Product,DJP1011,Price,Price,MRP=320.0|DP=200.0|BV=28.0|PV=28.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000221,Product,DJP1011,Source,Source,Dayjoy Product Brochure - English July2026_11zon.pdf,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000222,Product,DJP1012,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000223,Product,DJP1012,Ingredient,Ingredient,Himalayan Pink Salt,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000224,Product,DJP1012,Benefit,Benefit,"Mineral-rich, naturally sourced, and free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000225,Product,DJP1012,Benefit,Benefit,"Support digestion, hydration, and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000226,Product,DJP1012,FAQ,FAQ,1132,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
