product_name,pricing_signal_count,insight_type,basis
Prosperous+ (1 L),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
JuniorJoy - Kids Nutritional Drink (300g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Kahwa Masala Chai (25 Pcs),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Designer Mask (Pack of 5),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Multivitamins Tablets,13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
N-SF 9.5 Mineraliser,13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
N-astheal (120 Tab),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
GoPiles Syrup (500ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
HB+ (200ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Marine Collagen (200g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Pin,13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Garam Masala (100g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dishwash Liquid Gel (500ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Ecofriendly Toothbrush (Pack of 2),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Total Joy Rice Bran Oil (2 Litre),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
All in 1 Surface Cleaner (500ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Amara Beauty Eyeliner,13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Amara Beauty Kajal,13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
AgeX Anti-Ageing Night Cream (50gm),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Aloevera with Guava Juice (1L),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Veg Biryani with Shahi Gravy,12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
AcneX Anti-Acne Foaming Cleanser (100ml),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Shatavari Extract (60 Veg Capsules),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dhaniya Powder (500g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Di-beat (60 Tab),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Gas-O-Free (200ml),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
N-astheal (60 Tab),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Nano Tech-50 (500ml),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Deep Cleansing Facewash (60ml),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Milk Bath Soap (100g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Omega 3-6-9,12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Mug,12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Haldi Powder (500g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
HerboSmile Herbal Toothpaste (100g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
L-Arginine++ - Energy Drink (100g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Liquid Detergent (1Ltr.),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Liv-Ease (200ml),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Daily Tea (250g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Neem & Tulsi Herbal Soap (100g) (Pack of 3),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
New Dayjoy Product Brochure (Telugu),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Quick 6 Pain Relief Gel (30g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Asthprash (300 grams),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Sanitary Pad (XL) (Pack of 10),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Product Leaflets (Set of 48 Leaflets),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Hindi One-Page Compensation Plan (Set of 25 Leaflets),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Jaljeera (100g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Scrub (30g),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adilipo (60 Tab),12,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Sunscreen SPF 50+ (50gm),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Massage Gel (30g),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Haldi Powder (200g),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Hindi One-Page Compensation Plan (Set of 50 Leaflets),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Hydra Max Moisturizer (50gm),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
LEGEND PACKAGE,11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Luxwash Handwash (250ml),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Happy Soil - Humic (500ml),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Aloevera Gel (100g),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Aqua Energiser (Single),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Chaat Masala (100g),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Poha with Bhujia,11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
PREMIUM PACKAGE,11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
New Total Joy Rice Bran Oil (1 Litre),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Bio-Germanium & Magnetic Mattress (Pack of 2),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Eye Elixir Drops (10ml),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Deep Cleansing Face Wash (100ml),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Face Serum (30ml),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Massage Cream (30g),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adila Forte (60 Tab),11,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Prosperous+ Tablets,10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Business Planner Book (English),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Joy-O-Zyme (500ml),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Apple Cider Vinegar (3X20 Tablets),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Haldi Chandan Facewash (60ml),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Hi-Energy (60 Tab),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Ample Meal - Meal Replacement Nutritional Shake (500g),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
AGRI PRO PACKAGE,10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Orthofix Oil (100ml),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
New Dayjoy Product Brochure (Hindi),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Necktie,10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
N-SF 10.5 Mineraliser,10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Giloe Extract (60 Veg Capsules),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
GoPiles (60 Tab),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Facial Kit (30g) (Pack of 6),10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Upma with Bhujia,10,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Amla Extract (60 Veg Capsules),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
JoyCalcium (2 Litre),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Mirchi Powder (200g),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
HB+ (500ml),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Mirchi Powder (25g),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Gas-O-Free (500ml),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Aqua Energiser (Pack of 3),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Perfect-Ion Leaflets (Set of 25),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Perfect-Ion Leaflets (Set of 50),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Juice (1 Ltr.),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Super Food Capsule,9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Toilet Bowl Cleaner (500ml),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
JoyProtect (500ml),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
JoySpread 80+ Gold (250ml),9,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Super Rich Berry Juice (1 Ltr.),8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Leather Bag,8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Arogya Churn (100g),8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
AGRI STARTER PACKAGE,8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
STANDARD PACKAGE,8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adila Forte (30 Tab),8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Anti Pollution Face Wash (150ml),8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Ashvagandha Extract (60 Veg Capsules),8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Sandalwood & Shahi Gulab Body Lotion (150ml),8,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
New Perfect-Ion,7,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Kasuri Methi (50g),7,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Gold Facial Kit,7,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
English One-Page Compensation Plan (Set of 50 Leaflets),7,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Business Planner Book (Hindi),7,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Bio-Germanium & Magnetic Mattress,7,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adiliv (60 Tab),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
JoyGrow 2X (Granules) (2kg),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Bike Sticker,6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Daily Care Cream (60g),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dhaniya Powder (200g),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Milk & Keratin Extracts Shampoo (100ml),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Sabji Masala (100g),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
English One-Page Compensation Plan (Set of 25 Leaflets),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Sanitary Pad (XXL) (Pack of 10),6,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Daily Tea (500g),5,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Chicken Masala (100g),5,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Orthofix (60 Tab),5,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
