faq_id,product_id,product_code,sku,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence,audience,verified
1011,2,DJP1001,DJ-FOO-0002,What is Chaat Masala (100g)?,"Chaat Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1012,2,DJP1001,DJ-FOO-0002,What is the price and business volume (BV) for Chaat Masala (100g)?,"The MRP is ₹75.0, Distributor Price (DP) is ₹56.0, and the Business Volume (BV) is 10.0.",pricing,2,Various Documents,,high,all,true
1013,2,DJP1001,DJ-FOO-0002,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1014,2,DJP1001,DJ-FOO-0002,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1015,2,DJP1001,DJ-FOO-0002,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1016,2,DJP1001,DJ-FOO-0002,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1017,2,DJP1001,DJ-FOO-0002,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1018,2,DJP1001,DJ-FOO-0002,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1019,2,DJP1001,DJ-FOO-0002,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1020,2,DJP1001,DJ-FOO-0002,What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium,all,true
1021,2,DJP1001,DJ-FOO-0002,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1022,3,DJP1002,DJ-FOO-0003,What is Chicken Masala (100g)?,"Chicken Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1023,3,DJP1002,DJ-FOO-0003,What is the price and business volume (BV) for Chicken Masala (100g)?,"The MRP is ₹110.0, Distributor Price (DP) is ₹90.0, and the Business Volume (BV) is 15.0.",pricing,2,Various Documents,,high,all,true
1024,3,DJP1002,DJ-FOO-0003,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1025,3,DJP1002,DJ-FOO-0003,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1026,3,DJP1002,DJ-FOO-0003,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1027,3,DJP1002,DJ-FOO-0003,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1028,3,DJP1002,DJ-FOO-0003,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1029,3,DJP1002,DJ-FOO-0003,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1030,3,DJP1002,DJ-FOO-0003,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1031,3,DJP1002,DJ-FOO-0003,What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium,all,true
1032,3,DJP1002,DJ-FOO-0003,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1033,4,DJP1003,DJ-FOO-0004,What is Daily Tea (250g)?,"Daily Tea (250g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1034,4,DJP1003,DJ-FOO-0004,What is the price and business volume (BV) for Daily Tea (250g)?,"The MRP is ₹169.0, Distributor Price (DP) is ₹125.0, and the Business Volume (BV) is 20.0.",pricing,2,Various Documents,,high,all,true
1035,4,DJP1003,DJ-FOO-0004,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1036,4,DJP1003,DJ-FOO-0004,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1037,4,DJP1003,DJ-FOO-0004,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1038,4,DJP1003,DJ-FOO-0004,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1039,4,DJP1003,DJ-FOO-0004,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1040,4,DJP1003,DJ-FOO-0004,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1041,4,DJP1003,DJ-FOO-0004,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1042,4,DJP1003,DJ-FOO-0004,What is the pack size?,This specific item comes in a 250g pack size.,dosage,10,Various Documents,,medium,all,true
1043,4,DJP1003,DJ-FOO-0004,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1044,5,DJP1004,DJ-FOO-0005,What is Daily Tea (500g)?,"Daily Tea (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1045,5,DJP1004,DJ-FOO-0005,What is the price and business volume (BV) for Daily Tea (500g)?,"The MRP is ₹329.0, Distributor Price (DP) is ₹245.0, and the Business Volume (BV) is 39.0.",pricing,2,Various Documents,,high,all,true
1046,5,DJP1004,DJ-FOO-0005,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1047,5,DJP1004,DJ-FOO-0005,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1048,5,DJP1004,DJ-FOO-0005,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1049,5,DJP1004,DJ-FOO-0005,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1050,5,DJP1004,DJ-FOO-0005,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1051,5,DJP1004,DJ-FOO-0005,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1052,5,DJP1004,DJ-FOO-0005,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1053,5,DJP1004,DJ-FOO-0005,What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium,all,true
1054,5,DJP1004,DJ-FOO-0005,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1055,6,DJP1005,DJ-FOO-0006,What is Dhaniya Powder (25g)?,"Dhaniya Powder (25g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1056,6,DJP1005,DJ-FOO-0006,What is the price and business volume (BV) for Dhaniya Powder (25g)?,"The MRP is ₹20.0, Distributor Price (DP) is ₹15.0, and the Business Volume (BV) is 1.0.",pricing,2,Various Documents,,high,all,true
1057,6,DJP1005,DJ-FOO-0006,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1058,6,DJP1005,DJ-FOO-0006,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1059,6,DJP1005,DJ-FOO-0006,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1060,6,DJP1005,DJ-FOO-0006,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1061,6,DJP1005,DJ-FOO-0006,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1062,6,DJP1005,DJ-FOO-0006,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1063,6,DJP1005,DJ-FOO-0006,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1064,6,DJP1005,DJ-FOO-0006,What is the pack size?,This specific item comes in a 25g pack size.,dosage,10,Various Documents,,medium,all,true
1065,6,DJP1005,DJ-FOO-0006,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1066,7,DJP1006,DJ-FOO-0007,What is Dhaniya Powder (200g)?,"Dhaniya Powder (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1067,7,DJP1006,DJ-FOO-0007,What is the price and business volume (BV) for Dhaniya Powder (200g)?,"The MRP is ₹95.0, Distributor Price (DP) is ₹75.0, and the Business Volume (BV) is 14.0.",pricing,2,Various Documents,,high,all,true
1068,7,DJP1006,DJ-FOO-0007,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1069,7,DJP1006,DJ-FOO-0007,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1070,7,DJP1006,DJ-FOO-0007,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1071,7,DJP1006,DJ-FOO-0007,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1072,7,DJP1006,DJ-FOO-0007,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1073,7,DJP1006,DJ-FOO-0007,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1074,7,DJP1006,DJ-FOO-0007,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1075,7,DJP1006,DJ-FOO-0007,What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium,all,true
1076,7,DJP1006,DJ-FOO-0007,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1077,8,DJP1007,DJ-FOO-0008,What is Dhaniya Powder (500g)?,"Dhaniya Powder (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1078,8,DJP1007,DJ-FOO-0008,What is the price and business volume (BV) for Dhaniya Powder (500g)?,"The MRP is ₹210.0, Distributor Price (DP) is ₹170.0, and the Business Volume (BV) is 30.0.",pricing,2,Various Documents,,high,all,true
1079,8,DJP1007,DJ-FOO-0008,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1080,8,DJP1007,DJ-FOO-0008,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1081,8,DJP1007,DJ-FOO-0008,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1082,8,DJP1007,DJ-FOO-0008,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1083,8,DJP1007,DJ-FOO-0008,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1084,8,DJP1007,DJ-FOO-0008,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1085,8,DJP1007,DJ-FOO-0008,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1086,8,DJP1007,DJ-FOO-0008,What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium,all,true
1087,8,DJP1007,DJ-FOO-0008,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1088,9,DJP1008,DJ-FOO-0009,What is Garam Masala (100g)?,"Garam Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1089,9,DJP1008,DJ-FOO-0009,What is the price and business volume (BV) for Garam Masala (100g)?,"The MRP is ₹110.0, Distributor Price (DP) is ₹99.0, and the Business Volume (BV) is 20.0.",pricing,2,Various Documents,,high,all,true
1090,9,DJP1008,DJ-FOO-0009,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1091,9,DJP1008,DJ-FOO-0009,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1092,9,DJP1008,DJ-FOO-0009,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1093,9,DJP1008,DJ-FOO-0009,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1094,9,DJP1008,DJ-FOO-0009,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1095,9,DJP1008,DJ-FOO-0009,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1096,9,DJP1008,DJ-FOO-0009,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1097,9,DJP1008,DJ-FOO-0009,What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium,all,true
1098,9,DJP1008,DJ-FOO-0009,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1099,10,DJP1009,DJ-FOO-0010,What is Haldi Powder (25g)?,"Haldi Powder (25g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1100,10,DJP1009,DJ-FOO-0010,What is the price and business volume (BV) for Haldi Powder (25g)?,"The MRP is ₹20.0, Distributor Price (DP) is ₹15.0, and the Business Volume (BV) is 1.0.",pricing,2,Various Documents,,high,all,true
1101,10,DJP1009,DJ-FOO-0010,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1102,10,DJP1009,DJ-FOO-0010,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1103,10,DJP1009,DJ-FOO-0010,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1104,10,DJP1009,DJ-FOO-0010,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1105,10,DJP1009,DJ-FOO-0010,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1106,10,DJP1009,DJ-FOO-0010,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1107,10,DJP1009,DJ-FOO-0010,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1108,10,DJP1009,DJ-FOO-0010,What is the pack size?,This specific item comes in a 25g pack size.,dosage,10,Various Documents,,medium,all,true
1109,10,DJP1009,DJ-FOO-0010,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1110,11,DJP1010,DJ-FOO-0011,What is Haldi Powder (200g)?,"Haldi Powder (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1111,11,DJP1010,DJ-FOO-0011,What is the price and business volume (BV) for Haldi Powder (200g)?,"The MRP is ₹135.0, Distributor Price (DP) is ₹80.0, and the Business Volume (BV) is 12.0.",pricing,2,Various Documents,,high,all,true
1112,11,DJP1010,DJ-FOO-0011,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1113,11,DJP1010,DJ-FOO-0011,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1114,11,DJP1010,DJ-FOO-0011,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1115,11,DJP1010,DJ-FOO-0011,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1116,11,DJP1010,DJ-FOO-0011,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1117,11,DJP1010,DJ-FOO-0011,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1118,11,DJP1010,DJ-FOO-0011,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1119,11,DJP1010,DJ-FOO-0011,What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium,all,true
1120,11,DJP1010,DJ-FOO-0011,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1121,12,DJP1011,DJ-FOO-0012,What is Haldi Powder (500g)?,"Haldi Powder (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1122,12,DJP1011,DJ-FOO-0012,What is the price and business volume (BV) for Haldi Powder (500g)?,"The MRP is ₹320.0, Distributor Price (DP) is ₹200.0, and the Business Volume (BV) is 28.0.",pricing,2,Various Documents,,high,all,true
1123,12,DJP1011,DJ-FOO-0012,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1124,12,DJP1011,DJ-FOO-0012,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1125,12,DJP1011,DJ-FOO-0012,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1126,12,DJP1011,DJ-FOO-0012,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1127,12,DJP1011,DJ-FOO-0012,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1128,12,DJP1011,DJ-FOO-0012,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1129,12,DJP1011,DJ-FOO-0012,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1130,12,DJP1011,DJ-FOO-0012,What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium,all,true
1131,12,DJP1011,DJ-FOO-0012,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1132,13,DJP1012,DJ-FOO-0013,What is Himalayan Pink Salt Sprinkler (200g)?,"Himalayan Pink Salt Sprinkler (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1133,13,DJP1012,DJ-FOO-0013,What is the price and business volume (BV) for Himalayan Pink Salt Sprinkler (200g)?,"The MRP is ₹75.0, Distributor Price (DP) is ₹60.0, and the Business Volume (BV) is 13.0.",pricing,2,Various Documents,,high,all,true
1134,13,DJP1012,DJ-FOO-0013,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1135,13,DJP1012,DJ-FOO-0013,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1136,13,DJP1012,DJ-FOO-0013,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1137,13,DJP1012,DJ-FOO-0013,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1138,13,DJP1012,DJ-FOO-0013,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1139,13,DJP1012,DJ-FOO-0013,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
1140,13,DJP1012,DJ-FOO-0013,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium,all,true
1141,13,DJP1012,DJ-FOO-0013,What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium,all,true
1142,13,DJP1012,DJ-FOO-0013,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium,all,true
1143,14,DJP1013,DJ-FOO-0014,What is Jaljeera (100g)?,"Jaljeera (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium,all,true
1144,14,DJP1013,DJ-FOO-0014,What is the price and business volume (BV) for Jaljeera (100g)?,"The MRP is ₹65.0, Distributor Price (DP) is ₹55.0, and the Business Volume (BV) is 15.0.",pricing,2,Various Documents,,high,all,true
1145,14,DJP1013,DJ-FOO-0014,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium,all,true
1146,14,DJP1013,DJ-FOO-0014,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium,all,true
1147,14,DJP1013,DJ-FOO-0014,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low,all,false
1148,14,DJP1013,DJ-FOO-0014,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low,all,false
1149,14,DJP1013,DJ-FOO-0014,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low,all,false
1150,14,DJP1013,DJ-FOO-0014,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low,all,false
