chunk_id,chunk_type,document_id,source_page,product_code,sku,category,role_scope,risk_level,confidence,effective_from,approval_status,text,title,section,subcategory,tags,keywords,source_url,document_version,created_at,updated_at
pricing_row::DJP1005::DJ-FOO-0006,pricing_row,India-BV-Price-May-2026,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Dhaniya Powder (25g): MRP INR 20; DP INR 15; BV 1; pack size 25g.,Pricing: Dhaniya Powder (25g),Pricing,pricing_row,pricing_row; safe_general; DJP1005,"dhaniya, powder, 25g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1006::DJ-FOO-0007,product_core,dayjoy-canonical-product-master-final,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Dhaniya Powder (200g). Code: DJP1006. SKU: DJ-FOO-0007. Pack size: 200g. MRP: 95.0. DP: 75.0. BV: 14.0.,Product Master: Dhaniya Powder (200g),Product Master,product_core,product_core; low; DJP1006,"dhaniya, powder, 200g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1006::DJ-FOO-0007,pricing_row,India-BV-Price-May-2026,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Dhaniya Powder (200g): MRP INR 95; DP INR 75; BV 14; pack size 200g.,Pricing: Dhaniya Powder (200g),Pricing,pricing_row,pricing_row; safe_general; DJP1006,"dhaniya, powder, 200g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1007::DJ-FOO-0008,product_core,dayjoy-canonical-product-master-final,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Dhaniya Powder (500g). Code: DJP1007. SKU: DJ-FOO-0008. Pack size: 500g. MRP: 210.0. DP: 170.0. BV: 30.0.,Product Master: Dhaniya Powder (500g),Product Master,product_core,product_core; low; DJP1007,"dhaniya, powder, 500g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1007::DJ-FOO-0008,pricing_row,India-BV-Price-May-2026,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Dhaniya Powder (500g): MRP INR 210; DP INR 170; BV 30; pack size 500g.,Pricing: Dhaniya Powder (500g),Pricing,pricing_row,pricing_row; safe_general; DJP1007,"dhaniya, powder, 500g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1008::DJ-FOO-0009,product_core,dayjoy-canonical-product-master-final,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Garam Masala (100g). Code: DJP1008. SKU: DJ-FOO-0009. Pack size: 100g. MRP: 110.0. DP: 99.0. BV: 20.0.,Product Master: Garam Masala (100g),Product Master,product_core,product_core; low; DJP1008,"garam, masala, 100g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1008::DJ-FOO-0009,pricing_row,India-BV-Price-May-2026,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Garam Masala (100g): MRP INR 110; DP INR 99; BV 20; pack size 100g.,Pricing: Garam Masala (100g),Pricing,pricing_row,pricing_row; safe_general; DJP1008,"garam, masala, 100g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1009::DJ-FOO-0010,product_core,dayjoy-canonical-product-master-final,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Haldi Powder (25g). Code: DJP1009. SKU: DJ-FOO-0010. Pack size: 25g. MRP: 20.0. DP: 15.0. BV: 1.0.,Product Master: Haldi Powder (25g),Product Master,product_core,product_core; low; DJP1009,"haldi, powder, 25g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1009::DJ-FOO-0010,pricing_row,India-BV-Price-May-2026,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Haldi Powder (25g): MRP INR 20; DP INR 15; BV 1; pack size 25g.,Pricing: Haldi Powder (25g),Pricing,pricing_row,pricing_row; safe_general; DJP1009,"haldi, powder, 25g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1010::DJ-FOO-0011,product_core,dayjoy-canonical-product-master-final,,DJP1010,DJ-FOO-0011,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Haldi Powder (200g). Code: DJP1010. SKU: DJ-FOO-0011. Pack size: 200g. MRP: 135.0. DP: 80.0. BV: 12.0.,Product Master: Haldi Powder (200g),Product Master,product_core,product_core; low; DJP1010,"haldi, powder, 200g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1010::DJ-FOO-0011,pricing_row,India-BV-Price-May-2026,,DJP1010,DJ-FOO-0011,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Haldi Powder (200g): MRP INR 135; DP INR 80; BV 12; pack size 200g.,Pricing: Haldi Powder (200g),Pricing,pricing_row,pricing_row; safe_general; DJP1010,"haldi, powder, 200g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1011::DJ-FOO-0012,product_core,dayjoy-canonical-product-master-final,,DJP1011,DJ-FOO-0012,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Haldi Powder (500g). Code: DJP1011. SKU: DJ-FOO-0012. Pack size: 500g. MRP: 320.0. DP: 200.0. BV: 28.0.,Product Master: Haldi Powder (500g),Product Master,product_core,product_core; low; DJP1011,"haldi, powder, 500g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1011::DJ-FOO-0012,pricing_row,India-BV-Price-May-2026,,DJP1011,DJ-FOO-0012,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Haldi Powder (500g): MRP INR 320; DP INR 200; BV 28; pack size 500g.,Pricing: Haldi Powder (500g),Pricing,pricing_row,pricing_row; safe_general; DJP1011,"haldi, powder, 500g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1012::DJ-FOO-0013,product_core,dayjoy-canonical-product-master-final,,DJP1012,DJ-FOO-0013,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Himalayan Pink Salt Sprinkler (200g). Code: DJP1012. SKU: DJ-FOO-0013. Pack size: 200g. MRP: 75.0. DP: 60.0. BV: 13.0.,Product Master: Himalayan Pink Salt Sprinkler (200g),Product Master,product_core,product_core; low; DJP1012,"himalayan, pink, salt, sprinkler, 200g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1012::DJ-FOO-0013,pricing_row,India-BV-Price-May-2026,,DJP1012,DJ-FOO-0013,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Himalayan Pink Salt Sprinkler (200g): MRP INR 75; DP INR 60; BV 13; pack size 200g.,Pricing: Himalayan Pink Salt Sprinkler (200g),Pricing,pricing_row,pricing_row; safe_general; DJP1012,"himalayan, pink, salt, sprinkler, 200g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1013::DJ-FOO-0014,product_core,dayjoy-canonical-product-master-final,,DJP1013,DJ-FOO-0014,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Jaljeera (100g). Code: DJP1013. SKU: DJ-FOO-0014. Pack size: 100g. MRP: 65.0. DP: 55.0. BV: 15.0.,Product Master: Jaljeera (100g),Product Master,product_core,product_core; low; DJP1013,"jaljeera, 100g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1013::DJ-FOO-0014,pricing_row,India-BV-Price-May-2026,,DJP1013,DJ-FOO-0014,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Jaljeera (100g): MRP INR 65; DP INR 55; BV 15; pack size 100g.,Pricing: Jaljeera (100g),Pricing,pricing_row,pricing_row; safe_general; DJP1013,"jaljeera, 100g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1014::DJ-FOO-0015,product_core,dayjoy-canonical-product-master-final,,DJP1014,DJ-FOO-0015,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Organic Jeera (250g). Code: DJP1014. SKU: DJ-FOO-0015. Pack size: 250g. MRP: 199.0. DP: 165.0. BV: 33.0.,Product Master: Organic Jeera (250g),Product Master,product_core,product_core; low; DJP1014,"organic, jeera, 250g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1014::DJ-FOO-0015,pricing_row,India-BV-Price-May-2026,,DJP1014,DJ-FOO-0015,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Organic Jeera (250g): MRP INR 199; DP INR 165; BV 33; pack size 250g.,Pricing: Organic Jeera (250g),Pricing,pricing_row,pricing_row; safe_general; DJP1014,"organic, jeera, 250g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1015::DJ-FOO-0016,product_core,dayjoy-canonical-product-master-final,,DJP1015,DJ-FOO-0016,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Kasuri Methi (50g). Code: DJP1015. SKU: DJ-FOO-0016. Pack size: 50g. MRP: 59.0. DP: 45.0. BV: 9.0.,Product Master: Kasuri Methi (50g),Product Master,product_core,product_core; low; DJP1015,"kasuri, methi, 50g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1015::DJ-FOO-0016,pricing_row,India-BV-Price-May-2026,,DJP1015,DJ-FOO-0016,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Kasuri Methi (50g): MRP INR 59; DP INR 45; BV 9; pack size 50g.,Pricing: Kasuri Methi (50g),Pricing,pricing_row,pricing_row; safe_general; DJP1015,"kasuri, methi, 50g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1016::DJ-FOO-0017,product_core,dayjoy-canonical-product-master-final,,DJP1016,DJ-FOO-0017,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Mirchi Powder (25g). Code: DJP1016. SKU: DJ-FOO-0017. Pack size: 25g. MRP: 20.0. DP: 15.0. BV: 1.0.,Product Master: Mirchi Powder (25g),Product Master,product_core,product_core; low; DJP1016,"mirchi, powder, 25g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1016::DJ-FOO-0017,pricing_row,India-BV-Price-May-2026,,DJP1016,DJ-FOO-0017,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Mirchi Powder (25g): MRP INR 20; DP INR 15; BV 1; pack size 25g.,Pricing: Mirchi Powder (25g),Pricing,pricing_row,pricing_row; safe_general; DJP1016,"mirchi, powder, 25g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1017::DJ-FOO-0018,product_core,dayjoy-canonical-product-master-final,,DJP1017,DJ-FOO-0018,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Mirchi Powder (200g). Code: DJP1017. SKU: DJ-FOO-0018. Pack size: 200g. MRP: 145.0. DP: 110.0. BV: 18.0.,Product Master: Mirchi Powder (200g),Product Master,product_core,product_core; low; DJP1017,"mirchi, powder, 200g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1017::DJ-FOO-0018,pricing_row,India-BV-Price-May-2026,,DJP1017,DJ-FOO-0018,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Mirchi Powder (200g): MRP INR 145; DP INR 110; BV 18; pack size 200g.,Pricing: Mirchi Powder (200g),Pricing,pricing_row,pricing_row; safe_general; DJP1017,"mirchi, powder, 200g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1018::DJ-FOO-0019,product_core,dayjoy-canonical-product-master-final,,DJP1018,DJ-FOO-0019,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Mirchi Powder (500g). Code: DJP1018. SKU: DJ-FOO-0019. Pack size: 500g. MRP: 335.0. DP: 275.0. BV: 50.0.,Product Master: Mirchi Powder (500g),Product Master,product_core,product_core; low; DJP1018,"mirchi, powder, 500g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1018::DJ-FOO-0019,pricing_row,India-BV-Price-May-2026,,DJP1018,DJ-FOO-0019,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Mirchi Powder (500g): MRP INR 335; DP INR 275; BV 50; pack size 500g.,Pricing: Mirchi Powder (500g),Pricing,pricing_row,pricing_row; safe_general; DJP1018,"mirchi, powder, 500g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1019::DJ-FOO-0020,product_core,dayjoy-canonical-product-master-final,,DJP1019,DJ-FOO-0020,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Rai (250g). Code: DJP1019. SKU: DJ-FOO-0020. Pack size: 250g. MRP: 99.0. DP: 80.0. BV: 13.0.,Product Master: Rai (250g),Product Master,product_core,product_core; low; DJP1019,"rai, 250g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1019::DJ-FOO-0020,pricing_row,India-BV-Price-May-2026,,DJP1019,DJ-FOO-0020,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Rai (250g): MRP INR 99; DP INR 80; BV 13; pack size 250g.,Pricing: Rai (250g),Pricing,pricing_row,pricing_row; safe_general; DJP1019,"rai, 250g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1020::DJ-FOO-0021,product_core,dayjoy-canonical-product-master-final,,DJP1020,DJ-FOO-0021,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Sabji Masala (100g). Code: DJP1020. SKU: DJ-FOO-0021. Pack size: 100g. MRP: 110.0. DP: 99.0. BV: 20.0.,Product Master: Sabji Masala (100g),Product Master,product_core,product_core; low; DJP1020,"sabji, masala, 100g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1020::DJ-FOO-0021,pricing_row,India-BV-Price-May-2026,,DJP1020,DJ-FOO-0021,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Sabji Masala (100g): MRP INR 110; DP INR 99; BV 20; pack size 100g.,Pricing: Sabji Masala (100g),Pricing,pricing_row,pricing_row; safe_general; DJP1020,"sabji, masala, 100g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1021::DJ-FOO-0022,product_core,dayjoy-canonical-product-master-final,,DJP1021,DJ-FOO-0022,,"public, distributor, internal",low,high,2026-05-05,approved,Product: New Total Joy Rice Bran Oil (1 Litre). Code: DJP1021. SKU: DJ-FOO-0022. Pack size: 1 L. MRP: 299.0. DP: 235.0. BV: 24.0.,Product Master: New Total Joy Rice Bran Oil (1 Litre),Product Master,product_core,product_core; low; DJP1021,"new, total, joy, rice, bran, oil, litre, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1021::DJ-FOO-0022,pricing_row,India-BV-Price-May-2026,,DJP1021,DJ-FOO-0022,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for New Total Joy Rice Bran Oil (1 Litre): MRP INR 299; DP INR 235; BV 24; pack size 1 L.,Pricing: New Total Joy Rice Bran Oil (1 Litre),Pricing,pricing_row,pricing_row; safe_general; DJP1021,"new, total, joy, rice, bran, oil, litre, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1022::DJ-FOO-0023,product_core,dayjoy-canonical-product-master-final,,DJP1022,DJ-FOO-0023,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Total Joy Rice Bran Oil (2 Litre). Code: DJP1022. SKU: DJ-FOO-0023. Pack size: 2 L. MRP: 599.0. DP: 470.0. BV: 40.0.,Product Master: Total Joy Rice Bran Oil (2 Litre),Product Master,product_core,product_core; low; DJP1022,"total, joy, rice, bran, oil, litre, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1022::DJ-FOO-0023,pricing_row,India-BV-Price-May-2026,,DJP1022,DJ-FOO-0023,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Total Joy Rice Bran Oil (2 Litre): MRP INR 599; DP INR 470; BV 40; pack size 2 L.,Pricing: Total Joy Rice Bran Oil (2 Litre),Pricing,pricing_row,pricing_row; safe_general; DJP1022,"total, joy, rice, bran, oil, litre, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1023::DJ-FOO-0024,product_core,dayjoy-canonical-product-master-final,,DJP1023,DJ-FOO-0024,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Veg Biryani with Shahi Gravy. Code: DJP1023. SKU: DJ-FOO-0024. Pack size: 1 serving. MRP: 199.0. DP: 135.0. BV: 17.0.,Product Master: Veg Biryani with Shahi Gravy,Product Master,product_core,product_core; low; DJP1023,"veg, biryani, with, shahi, gravy, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1023::DJ-FOO-0024,pricing_row,India-BV-Price-May-2026,,DJP1023,DJ-FOO-0024,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Veg Biryani with Shahi Gravy: MRP INR 199; DP INR 135; BV 17; pack size 1 serving.,Pricing: Veg Biryani with Shahi Gravy,Pricing,pricing_row,pricing_row; safe_general; DJP1023,"veg, biryani, with, shahi, gravy, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1024::DJ-FOO-0025,product_core,dayjoy-canonical-product-master-final,,DJP1024,DJ-FOO-0025,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Poha with Bhujia. Code: DJP1024. SKU: DJ-FOO-0025. Pack size: 1 serving. MRP: 99.0. DP: 67.0. BV: 9.0.,Product Master: Poha with Bhujia,Product Master,product_core,product_core; low; DJP1024,"poha, with, bhujia, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1024::DJ-FOO-0025,pricing_row,India-BV-Price-May-2026,,DJP1024,DJ-FOO-0025,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Poha with Bhujia: MRP INR 99; DP INR 67; BV 9; pack size 1 serving.,Pricing: Poha with Bhujia,Pricing,pricing_row,pricing_row; safe_general; DJP1024,"poha, with, bhujia, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1025::DJ-FOO-0026,product_core,dayjoy-canonical-product-master-final,,DJP1025,DJ-FOO-0026,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Upma with Bhujia. Code: DJP1025. SKU: DJ-FOO-0026. Pack size: 1 serving. MRP: 99.0. DP: 71.0. BV: 9.0.,Product Master: Upma with Bhujia,Product Master,product_core,product_core; low; DJP1025,"upma, with, bhujia, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1025::DJ-FOO-0026,pricing_row,India-BV-Price-May-2026,,DJP1025,DJ-FOO-0026,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Upma with Bhujia: MRP INR 99; DP INR 71; BV 9; pack size 1 serving.,Pricing: Upma with Bhujia,Pricing,pricing_row,pricing_row; safe_general; DJP1025,"upma, with, bhujia, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1026::DJ-PER-0027,product_core,dayjoy-canonical-product-master-final,,DJP1026,DJ-PER-0027,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Anti Pollution Face Wash (150ml). Code: DJP1026. SKU: DJ-PER-0027. Pack size: 150ml. MRP: 249.0. DP: 165.0. BV: 50.0.,Product Master: Anti Pollution Face Wash (150ml),Product Master,product_core,product_core; low; DJP1026,"anti, pollution, face, wash, 150ml, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1026::DJ-PER-0027,pricing_row,India-BV-Price-May-2026,,DJP1026,DJ-PER-0027,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Anti Pollution Face Wash (150ml): MRP INR 249; DP INR 165; BV 50; pack size 150ml.,Pricing: Anti Pollution Face Wash (150ml),Pricing,pricing_row,pricing_row; safe_general; DJP1026,"anti, pollution, face, wash, 150ml, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1027::DJ-PER-0028,product_core,dayjoy-canonical-product-master-final,,DJP1027,DJ-PER-0028,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Anti Pollution Aloevera Face Wash (100ml). Code: DJP1027. SKU: DJ-PER-0028. Pack size: 100ml. MRP: 135.0. DP: 94.0. BV: 23.0.,Product Master: Anti Pollution Aloevera Face Wash (100ml),Product Master,product_core,product_core; low; DJP1027,"anti, pollution, aloevera, face, wash, 100ml, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1027::DJ-PER-0028,pricing_row,India-BV-Price-May-2026,,DJP1027,DJ-PER-0028,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Anti Pollution Aloevera Face Wash (100ml): MRP INR 135; DP INR 94; BV 23; pack size 100ml.,Pricing: Anti Pollution Aloevera Face Wash (100ml),Pricing,pricing_row,pricing_row; safe_general; DJP1027,"anti, pollution, aloevera, face, wash, 100ml, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1028::DJ-PER-0029,product_core,dayjoy-canonical-product-master-final,,DJP1028,DJ-PER-0029,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Aloevera Gel (100g). Code: DJP1028. SKU: DJ-PER-0029. Pack size: 100g. MRP: 150.0. DP: 115.0. BV: 36.0.,Product Master: Aloevera Gel (100g),Product Master,product_core,product_core; low; DJP1028,"aloevera, gel, 100g, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1028::DJ-PER-0029,pricing_row,India-BV-Price-May-2026,,DJP1028,DJ-PER-0029,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Aloevera Gel (100g): MRP INR 150; DP INR 115; BV 36; pack size 100g.,Pricing: Aloevera Gel (100g),Pricing,pricing_row,pricing_row; safe_general; DJP1028,"aloevera, gel, 100g, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1029::DJ-PER-0030,product_core,dayjoy-canonical-product-master-final,,DJP1029,DJ-PER-0030,,"public, distributor, internal",low,high,2026-05-05,approved,Product: BR Rich Oil (200ml). Code: DJP1029. SKU: DJ-PER-0030. Pack size: 200ml. MRP: 249.0. DP: 165.0. BV: 44.0.,Product Master: BR Rich Oil (200ml),Product Master,product_core,product_core; low; DJP1029,"rich, oil, 200ml, product, core",,final,2026-05-05,2026-08-09
pricing_row::DJP1029::DJ-PER-0030,pricing_row,India-BV-Price-May-2026,,DJP1029,DJ-PER-0030,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for BR Rich Oil (200ml): MRP INR 249; DP INR 165; BV 44; pack size 200ml.,Pricing: BR Rich Oil (200ml),Pricing,pricing_row,pricing_row; safe_general; DJP1029,"rich, oil, 200ml, pricing, row",,2026-05,2026-05-05,2026-08-09
product_core::DJP1030::DJ-PER-0031,product_core,dayjoy-canonical-product-master-final,,DJP1030,DJ-PER-0031,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Daily Care Cream (60g). Code: DJP1030. SKU: DJ-PER-0031. Pack size: 60g. MRP: 149.0. DP: 95.0. BV: 30.0.,Product Master: Daily Care Cream (60g),Product Master,product_core,product_core; low; DJP1030,"daily, care, cream, 60g, product, core",,final,2026-05-05,2026-08-09
