filename,zip_path,matched_sku,matched_product_name,confidence,placed,stored_as
Premiumsuitlengthblack.webp,Dayjoy All Product Images/CLOTH/Premiumsuitlengthblack.webp,DJ-CLO-0120,Premium Suit Length (Black),auto_0.829,True,DJ-CLO-0120_1.webp
AmaraBeauty_Eyeliner.jpeg,Dayjoy All Product Images/COLOR AND COSMETICS/AmaraBeauty_Eyeliner.jpeg,DJ-COL-0065,Amara Beauty Eyeliner,auto_1.076,True,DJ-COL-0065_1.jpeg
KAJAL.jpeg,Dayjoy All Product Images/COLOR AND COSMETICS/KAJAL.jpeg,DJ-COL-0064,Amara Beauty Kajal,manual_review,True,DJ-COL-0064.jpeg
Agni Combo.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Agni Combo.jpeg,,,manual_review,False,
Diva Basic.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Diva Basic.jpeg,,,manual_review,False,
Diva Super.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Diva Super.jpeg,,,manual_review,False,
Master package.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Master package.jpeg,DJ-COM-0169,AGRI STARTER PACKAGE,auto_0.865,True,DJ-COM-0169_1.jpeg
Raftar package.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Raftar package.jpeg,DJ-COM-0165,STANDARD PACKAGE,auto_0.833,True,DJ-COM-0165_1.jpeg
Suit lenght Combo.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Suit lenght Combo.jpeg,,,manual_review,False,
Tez combo.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Tez combo.jpeg,,,manual_review,False,
Udaan.jpeg,Dayjoy All Product Images/COMBO PACKAGE/Udaan.jpeg,,,manual_review,False,
AdicardialTablets120.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/AdicardialTablets120.webp,DJ-HEA-0067,Adicardial (120 Tab),manual_review,True,DJ-HEA-0067_1.webp
Adilaforte_60Tab.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Adilaforte_60Tab.webp,DJ-HEA-0070,Adila Forte (60 Tab),auto_0.741,True,DJ-HEA-0070_1.webp
Adilipo_120Tab.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Adilipo_120Tab.webp,DJ-HEA-0072,Adilipo (60 Tab),auto_0.767,True,DJ-HEA-0072_1.webp
Adiliv_60Tab.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Adiliv_60Tab.webp,DJ-HEA-0073,Adiliv (60 Tab),auto_0.767,True,DJ-HEA-0073_1.webp
AloeVeraJuice1L.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/AloeVeraJuice1L.webp,DJ-HEA-0074,Aloevera with Guava Juice (1L),manual_review,True,DJ-HEA-0074.webp
Amla_Extract.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Amla_Extract.webp,DJ-HEA-0077,Amla Extract (60 Veg Capsules),auto_1.2,True,DJ-HEA-0077_1.webp
Ample meal.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Ample meal.jpeg,DJ-HEA-0110,Ample Meal - Meal Replacement Nutritional Shake (500g),manual_review,True,DJ-HEA-0110.jpeg
Apple Cider.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Apple Cider.jpeg,DJ-HEA-0114,Apple Cider Vinegar (3X20 Tablets),auto_0.933,True,DJ-HEA-0114_1.jpeg
ARGININE100g.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/ARGININE100g.webp,DJ-HEA-0109,L-Arginine++ - Energy Drink (100g),manual_review,True,DJ-HEA-0109.webp
ArogyaChurn100g.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/ArogyaChurn100g.webp,DJ-HEA-0079,Arogya Churn (100g),auto_0.957,True,DJ-HEA-0079_1.webp
Ashvagandha_Extract.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Ashvagandha_Extract.webp,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),auto_1.2,True,DJ-HEA-0076_1.webp
Astheal_CoughSyrup.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Astheal_CoughSyrup.webp,DJ-HEA-0075,Astheal Cough Syrup (100ml),auto_0.939,True,DJ-HEA-0075_1.webp
Asthprash_min.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Asthprash_min.webp,DJ-HEA-0066,Asthprash (300 grams),auto_1.1,True,DJ-HEA-0066_1.webp
CalciumTablets.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/CalciumTablets.webp,DJ-HEA-0078,Advanced Calcium Tablets,manual_review,True,DJ-HEA-0078.webp
Dibeat60tab.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Dibeat60tab.webp,DJ-HEA-0080,Di-beat (60 Tab),manual_review,True,DJ-HEA-0080.webp
Eye cap.01.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Eye cap.01.jpeg,DJ-HEA-0088,Eye Health++ (60 Capsules),manual_review,True,DJ-HEA-0088.jpeg
Eye drops 01.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Eye drops 01.jpeg,DJ-HEA-0087,Eye Elixir Drops (10ml),auto_0.843,True,DJ-HEA-0087_1.jpeg
GasOFree500ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/GasOFree500ml.webp,DJ-HEA-0083,Gas-O-Free (500ml),auto_0.889,True,DJ-HEA-0083_2.webp
GasOFree_200ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/GasOFree_200ml.webp,DJ-HEA-0083,Gas-O-Free (500ml),auto_0.889,True,DJ-HEA-0083_3.webp
Giloe60Veg.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Giloe60Veg.webp,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),manual_review,True,DJ-HEA-0086.webp
golden Elixir.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/golden Elixir.jpeg,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),auto_0.765,True,DJ-HEA-0081_1.jpeg
GoPilesSyrup.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/GoPilesSyrup.webp,DJ-HEA-0085,GoPiles Syrup (500ml),auto_0.737,True,DJ-HEA-0085_2.webp
GoPiles_60Tab.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/GoPiles_60Tab.webp,DJ-HEA-0085,GoPiles Syrup (500ml),auto_0.8,True,DJ-HEA-0085_3.webp
HBPlus500ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/HBPlus500ml.webp,DJ-HEA-0090,HB+ (500ml),manual_review,True,DJ-HEA-0090.webp
HBplus_200ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/HBplus_200ml.webp,DJ-HEA-0089,HB+ (200ml),manual_review,True,DJ-HEA-0089_1.webp
HiEnergy.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/HiEnergy.webp,DJ-HEA-0091,Hi-Energy (60 Tab),auto_0.941,True,DJ-HEA-0091_1.webp
Junior joy.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Junior joy.webp,DJ-HEA-0111,JuniorJoy - Kids Nutritional Drink (300g),manual_review,True,DJ-HEA-0111.webp
Kahwa Masala.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Kahwa Masala.jpeg,DJ-HEA-0112,Kahwa Masala Chai (25 Pcs),auto_1.028,True,DJ-HEA-0112_1.jpeg
Kidney_Kawach.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Kidney_Kawach.webp,DJ-HEA-0092,Kidney Kawach (300 g),auto_1.2,True,DJ-HEA-0092_1.webp
LivEaseSyrup_200ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/LivEaseSyrup_200ml.webp,DJ-HEA-0094,Liv-Ease (500ml),auto_0.7,True,DJ-HEA-0094_2.webp
LivEase_500ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/LivEase_500ml.webp,DJ-HEA-0094,Liv-Ease (500ml),auto_0.933,True,DJ-HEA-0094_3.webp
Marine_Collagen.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Marine_Collagen.jpeg,DJ-HEA-0115,Marine Collagen (200g),auto_1.2,True,DJ-HEA-0115_1.jpeg
MultivitaminsTablets.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/MultivitaminsTablets.webp,DJ-HEA-0095,Multivitamins Tablets,auto_0.788,True,DJ-HEA-0095_1.webp
Nastheal120N (1).webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Nastheal120N (1).webp,DJ-HEA-0098,N-astheal (60 Tab),auto_0.941,True,DJ-HEA-0098_2.webp
Nastheal120N.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Nastheal120N.webp,DJ-HEA-0098,N-astheal (60 Tab),auto_0.941,True,DJ-HEA-0098_3.webp
Nonima500ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Nonima500ml.webp,DJ-HEA-0096,Nonima (500ml),auto_1.1,True,DJ-HEA-0096_1.webp
Omega_369_Benefits.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Omega_369_Benefits.webp,DJ-HEA-0101,Omega 3-6-9,auto_0.721,True,DJ-HEA-0101_1.webp
orthofix60tab.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/orthofix60tab.webp,DJ-HEA-0100,Orthofix Oil (100ml),auto_0.762,True,DJ-HEA-0100_2.webp
Orthofixoil_100ml.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Orthofixoil_100ml.webp,DJ-HEA-0100,Orthofix Oil (100ml),auto_0.842,True,DJ-HEA-0100_3.webp
Prosperous1ltr.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Prosperous1ltr.webp,DJ-AGR-0129,Prosperous+ (1 L),manual_review,True,DJ-AGR-0129_3.webp
Quick6PainReliefGel.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/Quick6PainReliefGel.webp,DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),auto_0.905,True,DJ-HEA-0102_1.webp
SeabuckthronJuice_1L.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/SeabuckthronJuice_1L.webp,DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),auto_0.971,True,DJ-HEA-0104_1.webp
Shatavari.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Shatavari.jpeg,DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),auto_0.792,True,DJ-HEA-0105_1.jpeg
Shilajit Gummies.jpeg,Dayjoy All Product Images/Dayjoy Health Care Product images/Shilajit Gummies.jpeg,DJ-HEA-0113,Shilajit Gummies (60 Gummies),auto_1.2,True,DJ-HEA-0113_1.jpeg
SuperFood_Capsule.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/SuperFood_Capsule.webp,DJ-HEA-0106,Super Food Capsule,auto_0.947,True,DJ-HEA-0106_1.webp
SuperRichBerry_Juice1L.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/SuperRichBerry_Juice1L.webp,DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),auto_1.052,True,DJ-HEA-0103_1.webp
tulsi_1.jpg,Dayjoy All Product Images/Dayjoy Health Care Product images/tulsi_1.jpg,DJ-HEA-0107,Premium Tulsi Max (30ml),manual_review,True,DJ-HEA-0107.jpg
VitalVeganProtein300g.webp,Dayjoy All Product Images/Dayjoy Health Care Product images/VitalVeganProtein300g.webp,DJ-HEA-0108,Vital Protein Powder (300gm),auto_0.8,True,DJ-HEA-0108_1.webp
AloeveraGel100gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/AloeveraGel100gm.webp,DJ-PER-0029,Aloevera Gel (100g),auto_0.957,True,DJ-PER-0029_1.webp
Amla.Reetha Shampoo.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/Amla.Reetha Shampoo.jpeg,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),auto_1.126,True,DJ-PER-0056_1.jpeg
ANTI POLLUTION Aloe Vera.jpg,Dayjoy All Product Images/Dayjoy Personal care product images/ANTI POLLUTION Aloe Vera.jpg,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),auto_1.007,True,DJ-PER-0028_1.jpg
BamboToothbrushPack2.webp,Dayjoy All Product Images/Dayjoy Personal care product images/BamboToothbrushPack2.webp,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),manual_review,True,DJ-PER-0033.webp
BR_RichOil_200ml.webp,Dayjoy All Product Images/Dayjoy Personal care product images/BR_RichOil_200ml.webp,DJ-PER-0030,BR Rich Oil (200ml),auto_0.924,True,DJ-PER-0030_1.webp
Daily care cream 60ml.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/Daily care cream 60ml.jpeg,DJ-PER-0031,Daily Care Cream (60g),auto_1.3,True,DJ-PER-0031_1.jpeg
deep cleansing.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/deep cleansing.jpeg,DJ-PER-0054,Deep Cleansing Facewash (60ml),auto_0.957,True,DJ-PER-0054_1.jpeg
FacialFluid_10ml.webp,Dayjoy All Product Images/Dayjoy Personal care product images/FacialFluid_10ml.webp,DJ-PER-0052,Seabuckthron Facial Fluid (10ml),manual_review,True,DJ-PER-0052.webp
Gold_Facial_Kit.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/Gold_Facial_Kit.jpeg,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),auto_0.832,True,DJ-PER-0046_1.jpeg
"Haldi,chandan Facewash.jpeg","Dayjoy All Product Images/Dayjoy Personal care product images/Haldi,chandan Facewash.jpeg",DJ-PER-0057,Haldi Chandan Facewash (60ml),auto_1.3,True,DJ-PER-0057_1.jpeg
HerboSmile_Toothpaste.webp,Dayjoy All Product Images/Dayjoy Personal care product images/HerboSmile_Toothpaste.webp,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),auto_1.057,True,DJ-PER-0034_1.webp
HydraAloevera_BodyLotion.webp,Dayjoy All Product Images/Dayjoy Personal care product images/HydraAloevera_BodyLotion.webp,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),auto_0.96,True,DJ-PER-0035_1.webp
Kesham_100ml.webp,Dayjoy All Product Images/Dayjoy Personal care product images/Kesham_100ml.webp,DJ-PER-0036,Kesham (100ml),auto_1.1,True,DJ-PER-0036_1.webp
Luxwash_Handwash250ml.webp,Dayjoy All Product Images/Dayjoy Personal care product images/Luxwash_Handwash250ml.webp,DJ-PER-0037,Luxwash Handwash (250ml),auto_1.2,True,DJ-PER-0037_1.webp
MassageCream_30gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/MassageCream_30gm.webp,DJ-PER-0050,Seabuckthron Massage Cream (30g),manual_review,True,DJ-PER-0050.webp
MassageGel_30gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/MassageGel_30gm.webp,DJ-PER-0049,Seabuckthron Massage Gel (30g),manual_review,True,DJ-PER-0049.webp
Milk keretien 100ml.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/Milk keretien 100ml.jpeg,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),manual_review,True,DJ-PER-0038.jpeg
milkbathSoap_100gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/milkbathSoap_100gm.webp,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),auto_0.923,True,DJ-PER-0040_1.webp
Neem Soap.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/Neem Soap.jpeg,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),auto_0.781,True,DJ-PER-0041_1.jpeg
RegainAloeveraShampoo_300ml.webp,Dayjoy All Product Images/Dayjoy Personal care product images/RegainAloeveraShampoo_300ml.webp,DJ-PER-0042,Regain Aloevera Shampoo (300ml),auto_0.955,True,DJ-PER-0042_1.webp
SaffronSoap_100gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/SaffronSoap_100gm.webp,DJ-PER-0032,Luxury Saffron Soap (100g),auto_0.733,True,DJ-PER-0032_1.webp
Sanitary Pad XXL.jpeg,Dayjoy All Product Images/Dayjoy Personal care product images/Sanitary Pad XXL.jpeg,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),auto_1.057,True,DJ-PER-0045_1.jpeg
SanitaryPads_Pack.webp,Dayjoy All Product Images/Dayjoy Personal care product images/SanitaryPads_Pack.webp,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),auto_0.917,True,DJ-PER-0045_1.webp
SeabuckthornFacePack30gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/SeabuckthornFacePack30gm.webp,DJ-PER-0051,Seabuckthron Face Pack (30g),auto_0.811,True,DJ-PER-0051_1.webp
SeabuckthornScrub30gm.webp,Dayjoy All Product Images/Dayjoy Personal care product images/SeabuckthornScrub30gm.webp,DJ-PER-0048,Seabuckthron Scrub (30g),auto_0.914,True,DJ-PER-0048_1.webp
Seabuckthorn_Cleanser.webp,Dayjoy All Product Images/Dayjoy Personal care product images/Seabuckthorn_Cleanser.webp,DJ-PER-0047,Seabuckthron Cleanser (30g),auto_1.052,True,DJ-PER-0047_1.webp
Seabuckthorn_FacialKit.webp,Dayjoy All Product Images/Dayjoy Personal care product images/Seabuckthorn_FacialKit.webp,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),auto_0.933,True,DJ-PER-0046_1.webp
WildMuse_PremiumLoofah.webp,Dayjoy All Product Images/Dayjoy Personal care product images/WildMuse_PremiumLoofah.webp,DJ-PER-0055,WildMuse Premium Loofah,auto_1.078,True,DJ-PER-0055_1.webp
Black salt.jpg,Dayjoy All Product Images/FOOD PRODUCTS/Black salt.jpg,DJ-FOO-0001,Black Salt Sprinkler (200g),auto_0.867,True,DJ-FOO-0001_2.jpg
Black_salt_1.jpg,Dayjoy All Product Images/FOOD PRODUCTS/Black_salt_1.jpg,DJ-FOO-0001,Black Salt Sprinkler (200g),auto_0.887,True,DJ-FOO-0001_3.jpg
ChaatMasala_100gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/ChaatMasala_100gm.webp,DJ-FOO-0002,Chaat Masala (100g),auto_0.957,True,DJ-FOO-0002_1.webp
Chikenmasala_100gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Chikenmasala_100gm.webp,DJ-FOO-0003,Chicken Masala (100g),auto_0.923,True,DJ-FOO-0003_1.webp
DayjoyChai250gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/DayjoyChai250gm.webp,DJ-FOO-0004,Daily Tea (250g),manual_review,True,DJ-FOO-0004_1.webp
Dhaniya200gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Dhaniya200gm.webp,DJ-FOO-0008,Dhaniya Powder (500g),auto_1.1,True,DJ-FOO-0008_2.webp
Dhaniya30gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Dhaniya30gm.webp,DJ-FOO-0008,Dhaniya Powder (500g),auto_1.1,True,DJ-FOO-0008_3.webp
Garammasala100gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Garammasala100gm.webp,DJ-FOO-0009,Garam Masala (100g),auto_0.957,True,DJ-FOO-0009_1.webp
Haldi200gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Haldi200gm.webp,DJ-FOO-0012,Haldi Powder (500g),auto_1.1,True,DJ-FOO-0012_3.webp
Haldi30gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Haldi30gm.webp,DJ-FOO-0012,Haldi Powder (500g),auto_1.1,True,DJ-FOO-0012_4.webp
Haldi500gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/Haldi500gm.webp,DJ-FOO-0012,Haldi Powder (500g),auto_1.1,True,DJ-FOO-0012_5.webp
Jaljeera.webp,Dayjoy All Product Images/FOOD PRODUCTS/Jaljeera.webp,DJ-FOO-0014,Jaljeera (100g),auto_1.1,True,DJ-FOO-0014_1.webp
KasuriMethi50gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/KasuriMethi50gm.webp,DJ-FOO-0016,Kasuri Methi (50g),auto_0.957,True,DJ-FOO-0016_1.webp
MirchiPowder200gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/MirchiPowder200gm.webp,DJ-FOO-0018,Mirchi Powder (200g),manual_review,True,DJ-FOO-0018_1.webp
MirchiPowder500gm.webp,Dayjoy All Product Images/FOOD PRODUCTS/MirchiPowder500gm.webp,DJ-FOO-0019,Mirchi Powder (500g),manual_review,True,DJ-FOO-0019.webp
Poha.jpeg,Dayjoy All Product Images/FOOD PRODUCTS/Poha.jpeg,DJ-FOO-0025,Poha with Bhujia,manual_review,True,DJ-FOO-0025.jpeg
Rice Bran Oil.jpeg,Dayjoy All Product Images/FOOD PRODUCTS/Rice Bran Oil.jpeg,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),auto_0.843,True,DJ-FOO-0023_1.jpeg
Bio-GermaniumMattress_pack2.webp,Dayjoy All Product Images/Germaniam and Magentic/Bio-GermaniumMattress_pack2.webp,DJ-GER-0138,Bio-Germanium & Magnetic Mattress (Pack of 2),auto_0.824,True,DJ-GER-0138_1.webp
Magentic Braslet.png,Dayjoy All Product Images/Germaniam and Magentic/Magentic Braslet.png,,,manual_review,False,
All in 1 Surface Cleaner.jpg,Dayjoy All Product Images/HOME CARE/All in 1 Surface Cleaner.jpg,DJ-HOM-0119,All in 1 Surface Cleaner (500ml),auto_1.5,True,DJ-HOM-0119_1.jpg
Dishwash.jpg,Dayjoy All Product Images/HOME CARE/Dishwash.jpg,DJ-HOM-0116,Dishwash Liquid Gel (500ml),manual_review,True,DJ-HOM-0116.jpg
liquid detergent.jpeg,Dayjoy All Product Images/HOME CARE/liquid detergent.jpeg,DJ-HOM-0118,Liquid Detergent (1Ltr.),auto_1.2,True,DJ-HOM-0118_1.jpeg
Toilet Cleaner.jpg,Dayjoy All Product Images/HOME CARE/Toilet Cleaner.jpg,DJ-HOM-0117,Toilet Bowl Cleaner (500ml),auto_1.048,True,DJ-HOM-0117_1.jpg
AMARA_AcneX.jpeg,Dayjoy All Product Images/Skin care/AMARA_AcneX.jpeg,DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),manual_review,True,DJ-SKI-0063.jpeg
Anti_Aging_Night_Cream.jpg,Dayjoy All Product Images/Skin care/Anti_Aging_Night_Cream.jpg,DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),auto_1.18,True,DJ-SKI-0062_1.jpg
face serum.jpeg,Dayjoy All Product Images/Skin care/face serum.jpeg,DJ-SKI-0058,Face Serum (30ml),auto_1.2,True,DJ-SKI-0058_1.jpeg
hydra.jpeg,Dayjoy All Product Images/Skin care/hydra.jpeg,DJ-SKI-0061,Hydra Max Moisturizer (50gm),manual_review,True,DJ-SKI-0061.jpeg
Sunscreen.jpeg,Dayjoy All Product Images/Skin care/Sunscreen.jpeg,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),auto_0.82,True,DJ-SKI-0060_1.jpeg
