edge_id,source_node_id,target_node_id,relationship,evidence_source,verification_status
KGE000021,COMPANY:DAYJOY,PRODUCT:DJP1004,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000022,PRODUCT:DJP1004,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000023,COMPANY:DAYJOY,PRODUCT:DJP1005,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000024,PRODUCT:DJP1005,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000025,COMPANY:DAYJOY,PRODUCT:DJP1006,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000026,PRODUCT:DJP1006,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000027,COMPANY:DAYJOY,PRODUCT:DJP1007,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000028,PRODUCT:DJP1007,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000029,COMPANY:DAYJOY,PRODUCT:DJP1008,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000030,PRODUCT:DJP1008,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000031,COMPANY:DAYJOY,PRODUCT:DJP1009,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000032,PRODUCT:DJP1009,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000033,COMPANY:DAYJOY,PRODUCT:DJP1010,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000034,PRODUCT:DJP1010,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000035,COMPANY:DAYJOY,PRODUCT:DJP1011,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000036,PRODUCT:DJP1011,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000037,COMPANY:DAYJOY,PRODUCT:DJP1012,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000038,PRODUCT:DJP1012,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000039,COMPANY:DAYJOY,PRODUCT:DJP1013,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000040,PRODUCT:DJP1013,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000041,COMPANY:DAYJOY,PRODUCT:DJP1014,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000042,PRODUCT:DJP1014,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000043,COMPANY:DAYJOY,PRODUCT:DJP1015,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000044,PRODUCT:DJP1015,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000045,COMPANY:DAYJOY,PRODUCT:DJP1016,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000046,PRODUCT:DJP1016,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000047,COMPANY:DAYJOY,PRODUCT:DJP1017,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000048,PRODUCT:DJP1017,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000049,COMPANY:DAYJOY,PRODUCT:DJP1018,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000050,PRODUCT:DJP1018,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000051,COMPANY:DAYJOY,PRODUCT:DJP1019,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000052,PRODUCT:DJP1019,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000053,COMPANY:DAYJOY,PRODUCT:DJP1020,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000054,PRODUCT:DJP1020,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000055,COMPANY:DAYJOY,PRODUCT:DJP1021,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000056,PRODUCT:DJP1021,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000057,COMPANY:DAYJOY,PRODUCT:DJP1022,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000058,PRODUCT:DJP1022,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000059,COMPANY:DAYJOY,PRODUCT:DJP1023,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000060,PRODUCT:DJP1023,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000061,COMPANY:DAYJOY,PRODUCT:DJP1024,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000062,PRODUCT:DJP1024,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000063,COMPANY:DAYJOY,PRODUCT:DJP1025,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000064,PRODUCT:DJP1025,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000065,COMPANY:DAYJOY,PRODUCT:DJP1026,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000066,PRODUCT:DJP1026,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000067,COMPANY:DAYJOY,PRODUCT:DJP1027,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000068,PRODUCT:DJP1027,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000069,COMPANY:DAYJOY,PRODUCT:DJP1028,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000070,PRODUCT:DJP1028,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000071,COMPANY:DAYJOY,PRODUCT:DJP1029,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000072,PRODUCT:DJP1029,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000073,COMPANY:DAYJOY,PRODUCT:DJP1030,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000074,PRODUCT:DJP1030,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000075,COMPANY:DAYJOY,PRODUCT:DJP1031,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000076,PRODUCT:DJP1031,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000077,COMPANY:DAYJOY,PRODUCT:DJP1032,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000078,PRODUCT:DJP1032,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000079,COMPANY:DAYJOY,PRODUCT:DJP1033,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000080,PRODUCT:DJP1033,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000081,COMPANY:DAYJOY,PRODUCT:DJP1034,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000082,PRODUCT:DJP1034,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000083,COMPANY:DAYJOY,PRODUCT:DJP1035,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000084,PRODUCT:DJP1035,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000085,COMPANY:DAYJOY,PRODUCT:DJP1036,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000086,PRODUCT:DJP1036,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000087,COMPANY:DAYJOY,PRODUCT:DJP1037,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000088,PRODUCT:DJP1037,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000089,COMPANY:DAYJOY,PRODUCT:DJP1038,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000090,PRODUCT:DJP1038,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000091,COMPANY:DAYJOY,PRODUCT:DJP1039,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000092,PRODUCT:DJP1039,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000093,COMPANY:DAYJOY,PRODUCT:DJP1040,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000094,PRODUCT:DJP1040,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000095,COMPANY:DAYJOY,PRODUCT:DJP1041,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000096,PRODUCT:DJP1041,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000097,COMPANY:DAYJOY,PRODUCT:DJP1042,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000098,PRODUCT:DJP1042,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000099,COMPANY:DAYJOY,PRODUCT:DJP1043,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000100,PRODUCT:DJP1043,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000101,COMPANY:DAYJOY,PRODUCT:DJP1044,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000102,PRODUCT:DJP1044,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000103,COMPANY:DAYJOY,PRODUCT:DJP1045,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000104,PRODUCT:DJP1045,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000105,COMPANY:DAYJOY,PRODUCT:DJP1046,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000106,PRODUCT:DJP1046,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000107,COMPANY:DAYJOY,PRODUCT:DJP1047,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000108,PRODUCT:DJP1047,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000109,COMPANY:DAYJOY,PRODUCT:DJP1048,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000110,PRODUCT:DJP1048,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000111,COMPANY:DAYJOY,PRODUCT:DJP1049,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000112,PRODUCT:DJP1049,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000113,COMPANY:DAYJOY,PRODUCT:DJP1050,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000114,PRODUCT:DJP1050,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000115,COMPANY:DAYJOY,PRODUCT:DJP1051,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000116,PRODUCT:DJP1051,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000117,COMPANY:DAYJOY,PRODUCT:DJP1052,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000118,PRODUCT:DJP1052,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000119,COMPANY:DAYJOY,PRODUCT:DJP1053,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000120,PRODUCT:DJP1053,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000121,COMPANY:DAYJOY,PRODUCT:DJP1054,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000122,PRODUCT:DJP1054,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000123,COMPANY:DAYJOY,PRODUCT:DJP1055,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000124,PRODUCT:DJP1055,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000125,COMPANY:DAYJOY,PRODUCT:DJP1056,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000126,PRODUCT:DJP1056,CATEGORY:personal-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000127,COMPANY:DAYJOY,PRODUCT:DJP1057,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000128,PRODUCT:DJP1057,CATEGORY:skin-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000129,COMPANY:DAYJOY,PRODUCT:DJP1058,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000130,PRODUCT:DJP1058,CATEGORY:skin-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000131,COMPANY:DAYJOY,PRODUCT:DJP1059,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000132,PRODUCT:DJP1059,CATEGORY:skin-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000133,COMPANY:DAYJOY,PRODUCT:DJP1060,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000134,PRODUCT:DJP1060,CATEGORY:skin-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000135,COMPANY:DAYJOY,PRODUCT:DJP1061,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000136,PRODUCT:DJP1061,CATEGORY:skin-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000137,COMPANY:DAYJOY,PRODUCT:DJP1062,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000138,PRODUCT:DJP1062,CATEGORY:skin-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000139,COMPANY:DAYJOY,PRODUCT:DJP1063,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000140,PRODUCT:DJP1063,CATEGORY:color-cosmetics,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000141,COMPANY:DAYJOY,PRODUCT:DJP1064,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000142,PRODUCT:DJP1064,CATEGORY:color-cosmetics,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000143,COMPANY:DAYJOY,PRODUCT:DJP1065,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000144,PRODUCT:DJP1065,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000145,COMPANY:DAYJOY,PRODUCT:DJP1066,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000146,PRODUCT:DJP1066,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000147,COMPANY:DAYJOY,PRODUCT:DJP1067,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000148,PRODUCT:DJP1067,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000149,COMPANY:DAYJOY,PRODUCT:DJP1068,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000150,PRODUCT:DJP1068,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000151,COMPANY:DAYJOY,PRODUCT:DJP1069,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000152,PRODUCT:DJP1069,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000153,COMPANY:DAYJOY,PRODUCT:DJP1070,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000154,PRODUCT:DJP1070,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000155,COMPANY:DAYJOY,PRODUCT:DJP1071,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000156,PRODUCT:DJP1071,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000157,COMPANY:DAYJOY,PRODUCT:DJP1072,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000158,PRODUCT:DJP1072,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000159,COMPANY:DAYJOY,PRODUCT:DJP1073,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000160,PRODUCT:DJP1073,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000161,COMPANY:DAYJOY,PRODUCT:DJP1074,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000162,PRODUCT:DJP1074,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000163,COMPANY:DAYJOY,PRODUCT:DJP1075,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000164,PRODUCT:DJP1075,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000165,COMPANY:DAYJOY,PRODUCT:DJP1076,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000166,PRODUCT:DJP1076,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000167,COMPANY:DAYJOY,PRODUCT:DJP1077,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000168,PRODUCT:DJP1077,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000169,COMPANY:DAYJOY,PRODUCT:DJP1078,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000170,PRODUCT:DJP1078,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000171,COMPANY:DAYJOY,PRODUCT:DJP1079,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000172,PRODUCT:DJP1079,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000173,COMPANY:DAYJOY,PRODUCT:DJP1080,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000174,PRODUCT:DJP1080,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000175,COMPANY:DAYJOY,PRODUCT:DJP1081,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000176,PRODUCT:DJP1081,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000177,COMPANY:DAYJOY,PRODUCT:DJP1082,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000178,PRODUCT:DJP1082,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000179,COMPANY:DAYJOY,PRODUCT:DJP1083,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000180,PRODUCT:DJP1083,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000181,COMPANY:DAYJOY,PRODUCT:DJP1084,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000182,PRODUCT:DJP1084,CATEGORY:health-care,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000183,COMPANY:DAYJOY,PRODUCT:DJP1085,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
