node_id,node_type,label,source_id
PRODUCT:DJP1137,Product,Bio-Germanium & Magnetic Mattress (Pack of 2),DJP1137
PRODUCT:DJP1138,Product,Aqua Energiser (Pack of 3),DJP1138
PRODUCT:DJP1139,Product,Aqua Energiser (Single),DJP1139
PRODUCT:DJP1140,Product,New Perfect-Ion,DJP1140
PRODUCT:DJP1141,Product,Perfect-Ion Testing Solutions,DJP1141
PRODUCT:DJP1142,Product,Perfect-Ion Leaflets (Set of 25),DJP1142
PRODUCT:DJP1143,Product,Perfect-Ion Leaflets (Set of 50),DJP1143
PRODUCT:DJP1144,Product,N-SF 9.5 Mineraliser,DJP1144
PRODUCT:DJP1145,Product,N-SF 10.5 Mineraliser,DJP1145
PRODUCT:DJP1146,Product,Dayjoy Diary,DJP1146
PRODUCT:DJP1147,Product,Dayjoy Leather Bag,DJP1147
PRODUCT:DJP1148,Product,Dayjoy Cap,DJP1148
PRODUCT:DJP1149,Product,Dayjoy Mug,DJP1149
PRODUCT:DJP1150,Product,Dayjoy Bike Sticker,DJP1150
PRODUCT:DJP1151,Product,Dayjoy Car Sticker,DJP1151
PRODUCT:DJP1152,Product,Dayjoy Pin,DJP1152
PRODUCT:DJP1153,Product,Dayjoy Backpack Bag,DJP1153
PRODUCT:DJP1154,Product,New Dayjoy Product Brochure (Hindi),DJP1154
PRODUCT:DJP1155,Product,New Dayjoy Product Brochure (English),DJP1155
PRODUCT:DJP1156,Product,New Dayjoy Product Brochure (Telugu),DJP1156
PRODUCT:DJP1157,Product,Product Leaflets (Set of 48 Leaflets),DJP1157
PRODUCT:DJP1158,Product,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158
PRODUCT:DJP1159,Product,English One-Page Compensation Plan (Set of 25 Leaflets),DJP1159
PRODUCT:DJP1160,Product,Hindi One-Page Compensation Plan (Set of 50 Leaflets),DJP1160
PRODUCT:DJP1161,Product,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161
PRODUCT:DJP1162,Product,Dayjoy Business Planner Book (Hindi),DJP1162
PRODUCT:DJP1163,Product,Dayjoy Business Planner Book (English),DJP1163
PRODUCT:DJP1164,Product,STANDARD PACKAGE,DJP1164
PRODUCT:DJP1165,Product,PREMIUM PACKAGE,DJP1165
PRODUCT:DJP1166,Product,ELITE PACKAGE,DJP1166
PRODUCT:DJP1167,Product,AGRI PRO PACKAGE,DJP1167
PRODUCT:DJP1168,Product,AGRI STARTER PACKAGE,DJP1168
PRODUCT:DJP1169,Product,LEGEND PACKAGE,DJP1169
INGREDIENT:0001,Ingredient,Black Salt,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0001,Benefit,"Mineral-rich, naturally sourced, and free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0002,Benefit,"Support digestion, hydration, and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0003,Benefit,"Crafted from premium, organically sourced spices, free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0004,Benefit,Enhances your dishes with rich aroma,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0005,Benefit,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0006,Benefit,Free from additives and preservatives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0007,Benefit,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0008,Benefit,Free from chemicals and additives,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0002,Ingredient,Himalayan Pink Salt,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0003,Ingredient,Organic spices/herbs,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0009,Benefit,"Warm, earthy flavor for curries, dals, and spice blends",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0010,Benefit,Supporting digestion and overall wellness,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0004,Ingredient,Organic cumin seeds,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0005,Ingredient,Organic fenugreek leaves,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0011,Benefit,"Rich aroma and authentic taste for dals, curries, and breads",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0006,Ingredient,Organic mustard seeds,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0012,Benefit,"Bold, pungent flavor for pickles, curries, and tempering",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0013,Benefit,Light and less greasy for healthier meals,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0014,Benefit,Rich in Vitamins A & D,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0015,Benefit,High smoke point,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0016,Benefit,Strengthens immunity,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0007,Ingredient,Rice Bran Oil,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0008,Ingredient,Basmati rice,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0009,Ingredient,spices,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0017,Benefit,"Tasty, nutritious, and convenient",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0018,Benefit,"Free from preservatives and artificial flavors, they offer a pure, homemade taste",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0010,Ingredient,Flattened rice,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0011,Ingredient,bhujia,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0012,Ingredient,Semolina,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0019,Benefit,"Hydrates the Skin, Soothes and Calms, Fights Skin Pollution Damage, Restores Skin's Natural Glow",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0013,Ingredient,Aloe Vera,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0020,Benefit,"Reduces acne & pimple, Heals minor burns & wounds, Soothes sunburn & Skin Irritation",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0021,Benefit,"Detangles Hair, Improves Scalp Health, Promotes Hair Growth, Adds Shine and Luster, Moisturizes and Conditions",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0022,Benefit,"Evens Skin Tone, Soothes and Calms Skin, Prevents Premature Aging, Non-Greasy, Lightweight Formula",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0014,Ingredient,Saffron,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0023,Benefit,"Revitalizes Dull Skin, Enhances Skin Brightness, Suitable for All Skin Types, Cruelty-Free & Eco-Friendly",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0015,Ingredient,Bamboo,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0024,Benefit,"Biodegradable, Gentle on Gums, Non-Toxic and Safe, Reduces Plastic Waste",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0016,Ingredient,Herbal blend,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0025,Benefit,"Supports Gum Health, Safe for Sensitive Teeth, Naturally Whiten Teeth, Promotes Overall Oral Health",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0026,Benefit,"Soothes Irritated Skin, Maintains Skin Softness, Leaves Skin Feeling Refreshed, Provides intense moisture to dry skin",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0027,Benefit,"Reduces Frizz, Restores Scalp pH Balance, Promotes Healthy Hair Texture, Promotes Healthy Hair Follicles",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0028,Benefit,"Nourishes & Hydrates, Refreshing Experience, Long-Lasting Freshness, Suitable for All Skin Types",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0017,Ingredient,Milk,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0018,Ingredient,Keratin (paraben-free),01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0029,Benefit,"Smoothens Hair, Reduced frizz and breakage, Improved smoothness and shine, Deep nourishment and hydration",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0030,Benefit,"Anti-Aging Properties, Non-Irritating Formula, Deeply Moisturizes Skin, Rich In Essential Nutrients",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0019,Ingredient,Milk (78% TFM),01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0031,Benefit,"Natural Detoxification, Fights Acne & Pimples, Moisturizes & Hydrates, Gentle on Sensitive Skin",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0032,Benefit,Reduces hair fall,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0033,Benefit,balances scalp oil,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0034,Benefit,hair growth,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0035,Benefit,strengthens follicles,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0020,Ingredient,Organic cotton,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0021,Ingredient,biodegradable gel core,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0036,Benefit,"8-Layer Gel Technology locks in fluid and neutralizes odors, Ultra-soft surface for instant dry feel, Breathable Base Layer",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0022,Ingredient,Sea Buckthorn,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0037,Benefit,"Soothes and calms, Hydrates and nourishes, Repairs and rejuvenates skin, Brightens and evens skin tone",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0038,Benefit,"Balances Skin's Natural Oils, Supports a Healthy Skin Barrier, Deep Cleansing Without Drying",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0039,Benefit,"Refines Skin Texture, Brightens and Revives, Soothes Sensitive Skin, Promotes Skin Renewal",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0040,Benefit,"Soothes irritation and calms sensitive skin, Rich in antioxidants to protect against aging, Improves skin elasticity",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0041,Benefit,"Deeply Hydrates, Improves Skin Texture, Protects Against Aging, Promotes Skin Elasticity",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0042,Benefit,"Fights Signs of Aging, Repairs and Revitalizes, Nourishes and Hydrates",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0043,Benefit,"Anti-Aging, Intense Hydration, Brightens and Revitalizes, Protects and Replenishes",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0044,Benefit,"Improves Skin Texture, Soothes and Refreshes, Exfoliates Dead Skin Cells, Removes Dirt and Impurities",01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0045,Benefit,"Great for Detoxifying, Sustainable and Eco-Friendly, Hypoallergenic and Skin-Safe, Enhances Lathering",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0023,Ingredient,Amla,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0024,Ingredient,Reetha,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0025,Ingredient,Shikakai,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0026,Ingredient,Bhringraj,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0046,Benefit,"Helps Strengthen Hair Roots, Supports Healthy Hair Growth, Helps Reduce Hair Fall, Gently Cleanses Scalp & Hair",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0027,Ingredient,Haldi (Turmeric),01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0028,Ingredient,Chandan (Sandalwood),01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0029,Ingredient,Niacinamide,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0030,Ingredient,Hyaluronic Acid,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0031,Ingredient,Vitamin B5,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0032,Ingredient,Green Tea Extract,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0047,Benefit,"Deeply hydrates and plumps skin, fades dark spots and evens out skin tone, refines pores and controls excess oil",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0033,Ingredient,Squalane,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0034,Ingredient,Murumuru Butter,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0035,Ingredient,Licorice Extract,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0036,Ingredient,Witch Hazel,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0037,Ingredient,Gold Dust & Vitamin E,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0048,Benefit,"Deeply cleanses and removes impurities, Exfoliates dead skin cells, Hydrates and nourishes the skin",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0038,Ingredient,Vitamin C,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0039,Ingredient,Vitamin E,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0040,Ingredient,Glycerin,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0041,Ingredient,Zinc Oxide,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0049,Benefit,"Protects skin from harmful UVA & UVB rays, helps prevent sun-induced dark spots and tanning, brightens skin",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0042,Ingredient,Panthenol,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0050,Benefit,"Instantly hydrates and refreshes dull, tired skin, soothes and cools with aloe vera, balances oil without clogging pores",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0043,Ingredient,Retinol Palmitate,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0044,Ingredient,Ceramide-3,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0045,Ingredient,Copper Peptides,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0051,Benefit,"Reduces the appearance of fine lines and wrinkles, Deeply hydrates and plumps the skin overnight, Strengthens the skin barrier",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0046,Ingredient,Salicylic Acid 2%,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0047,Ingredient,Green Tea Extract 2%,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0048,Ingredient,Aloe Vera Extract,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0049,Ingredient,Allantoin,01_CANONICAL/products/dayjoy_product_master_canonical.csv
BENEFIT:0052,Benefit,"Helps reduce acne, pimples, and blemishes, Removes excess oil and deeply cleanses pores, Soothes redness and irritation",01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0050,Ingredient,Castor Oil,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0051,Ingredient,Carnauba Wax,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0052,Ingredient,Aloe Extract,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0053,Ingredient,Camphor,01_CANONICAL/products/dayjoy_product_master_canonical.csv
INGREDIENT:0054,Ingredient,Candelilla Wax,01_CANONICAL/products/dayjoy_product_master_canonical.csv
