catalog86_name,matched_sku,matched_canonical_name,match_confidence,ingredients_filled,benefits_filled,dosage_filled
Milk and Keratin Extracts Shampoo,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),1.085,False,False,False
Aloe Vera Gel,DJ-PER-0029,Aloevera Gel (100g),0.96,False,False,False
Deep Cleansing Face Wash,DJ-PER-0053,Deep Cleansing Face Wash (100ml),1.15,True,False,False
Daily Care Cream,DJ-PER-0031,Daily Care Cream (60g),1.15,True,False,False
Haldi Chandan Face Wash,DJ-PER-0057,Haldi Chandan Facewash (60ml),1.128,False,False,False
BR Rich Oil,DJ-PER-0030,BR Rich Oil (200ml),1.15,True,False,False
Kesham,DJ-PER-0036,Kesham (100ml),1.15,True,False,False
Premium Sanitary Pads,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),manual_verified,False,False,False
Premium Sanitary Pads,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),manual_verified,False,False,False
Sea Buckthorn Facial Kit (6 products),DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),0.936,False,False,False
Face Serum (Niacinamide & Hyaluronic Acid),DJ-SKI-0058,Face Serum (30ml),1.15,False,False,False
Hydra Max Gel Moisturizer,DJ-SKI-0061,Hydra Max Moisturizer (50gm),1.063,False,False,False
Sunscreen SPF 50+ & PA++++,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),1.064,False,False,False
Total Joy Rice Bran Oil,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),1.15,False,False,False
Jaljira,DJ-FOO-0014,Jaljeera (100g),0.8,False,False,False
Organic Jeera,DJ-FOO-0015,Organic Jeera (250g),1.15,False,False,False
Kasuri Methi,DJ-FOO-0016,Kasuri Methi (50g),1.15,False,False,False
Rai,DJ-FOO-0020,Rai (250g),1.15,False,False,False
YumDum Organic Black Salt,DJ-FOO-0001,Black Salt Sprinkler (200g),manual_verified,False,False,False
YumDum Himalayan Pink Salt,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),manual_verified,True,False,True
Veg Biryani with Shahi Gravy,DJ-FOO-0024,Veg Biryani with Shahi Gravy,1.15,False,False,False
Ghee Rava Upma with Bhujia,DJ-FOO-0026,Upma with Bhujia,0.762,False,False,False
Poha with Bhujia,DJ-FOO-0025,Poha with Bhujia,1.15,False,False,False
Dishwash Liquid Gel,DJ-HOM-0116,Dishwash Liquid Gel (500ml),1.15,False,False,False
Toilet Bowl Cleaner,DJ-HOM-0117,Toilet Bowl Cleaner (500ml),1.15,True,False,False
Surface Cleaner,DJ-HOM-0119,All in 1 Surface Cleaner (500ml),0.769,True,False,False
Liquid Detergent,DJ-HOM-0118,Liquid Detergent (1Ltr.),1.15,True,False,False
Premium Suit Length,DJ-CLO-0120,Premium Suit Length (Black),1.15,False,False,False
Dayjoy Necktie,DJ-CLO-0122,Dayjoy Necktie,1.15,False,False,False
Prosperous+,DJ-AGR-0130,Prosperous+ Tablets,1.15,False,False,False
Happy Soil,DJ-AGR-0124,Happy Soil - Humic (500ml),0.919,False,False,False
Joy Spread 80+ Gold,DJ-AGR-0133,JoySpread 80+ Gold (100ml),0.971,False,False,False
JoyProtect,DJ-AGR-0135,JoyProtect (500ml),1.15,False,False,False
Joy O-Zyme,DJ-AGR-0131,Joy-O-Zyme (500ml),1.15,False,False,False
Joygrow 2X (Granules),DJ-AGR-0134,JoyGrow 2X (Granules) (2kg),1.15,False,False,False
JoyCalcium,DJ-AGR-0136,JoyCalcium (2 Litre),1.15,False,False,False
Aqua Energiser,DJ-AQU-0140,Aqua Energiser (Single),1.15,False,False,False
Dayjoy T-shirt,DJ-CLO-0123,"T-shirt New Design (L, M, XL)","manual_corrected (auto-match to 'Dayjoy Diary' at 0.842 was WRONG, corrected after review)",True,False,True
