fact_id,category,field_name,value,source_id,source_document,source_page,verification_status,confidence,notes
CK043,certifications,Certification / accreditation claimed,HACCP,SRC-COMPPROFILE,dayjoy_company_profile.csv,N/A,UNVERIFIED,low,Claimed in dayjoy_company_profile.csv but not independently confirmed elsewhere in the repo.
CK044,certifications,"Certificate numbers, issuing dates, accrediting-body registration IDs","FSSAI License Number: 12224999000129. Issued On: 20-02-2025 (Renewal License), by FSSAI Delhi, Designated Officer. Current Validity: 12-03-2025 to 11-03-2030, Fee Paid Rs 44,250. Prior validity periods on record: 12-03-2024 to 11-03-2025 (New, issued 12-03-2024, fee Rs 8,850) and a Modification issued 03-05-2024 (fee Rs 1,180). Current Status of License: 'License Issued'. No suspension history recorded.",SRC-FSSAILICENSE,DayjoyMarketingFssaiLicense.pdf,PDF pages 1 and 7 (Validation and Renewal Annexure),VERIFIED,high,"[FIX2] Filled from NULL: DayjoyMarketingFssaiLicense.pdf is a real, dated, numbered FSSAI license with a full Validation And Renewal Annexure table giving exact validity windows, issue dates, and fees paid. This does NOT supply certificate numbers/dates for the other certifications named in CK033-CK040 (ISO 9001:2015, GMP, FICCI, Ayush, Startup India, FDA, State Registration, WHO-GMP) — those remain without certificate numbers/dates; only the FSSAI certificate itself was numbered/dated in any document found in this repo."
CK045,compliance,Legal name,Dayjoy Marketing Private Limited (also rendered 'Dayjoy Marketing Pvt. Ltd.'),SRC-COMPPROFILE;SRC-COMPOVERVIEW;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; dayjoy_company_overview.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,"N/A; N/A; OCR pages 11, 58",VERIFIED,high,Cross-verified across three independent sources including the primary GrowthX deck footer (page 58) and signature block (page 11).
CK046,compliance,CIN (Corporate Identification Number),U52600RJ2018PTC062258,SRC-NARRATIVE,company_research_narrative.md,"Section 2, 6 (citing external company-data sources)",UNVERIFIED,low,"Only sourced from the research narrative's citation of external, non-Dayjoy company-data websites (web:5/web:12/web:13) — not confirmed against a primary Dayjoy document or MCA filing held in this repo."
CK047,compliance,Registration number / ROC,62258 / ROC Jaipur,SRC-COMPOVERVIEW,dayjoy_company_overview.csv,N/A,UNVERIFIED,low,"Single-sourced to the overview CSV, which does not itself cite an underlying document."
CK048,compliance,Company status / type,Active; Private Limited Company (Non-government),SRC-COMPOVERVIEW,dayjoy_company_overview.csv,N/A,UNVERIFIED,low,Single-sourced to the overview CSV; consistent with company_research_narrative.md's characterization but not independently cross-checked against a primary filing in this repo.
CK049,compliance,Authorized / paid-up share capital,"Rs 100,000.00 (both authorized and paid-up)",SRC-COMPOVERVIEW;SRC-NARRATIVE,dayjoy_company_overview.csv; company_research_narrative.md,N/A; Section 6,UNVERIFIED,low,"Consistent between the two repo sources, but both ultimately trace to the same external third-party company-data lookups rather than a primary Dayjoy filing held in this repo."
CK050,compliance,GST registration,"GSTIN 08AAGCD8452J1ZA (per company_research_narrative.md, citing external web:12)",SRC-NARRATIVE,company_research_narrative.md,Section 6,UNVERIFIED,low,External-source citation only; no GST certificate document exists in this repo to cross-check.
CK051,compliance,Dedicated compliance/regulatory filings beyond the 3 policy PDFs,NULL,NONE,N/A,N/A,UNVERIFIED,none,"The repo holds only Income_Disclaimer_Dayjoy.pdf, PaymentGatewayPolicy_Dayjoy.pdf, and Social_Media_Policy_Dayjoy.pdf as primary compliance documents. No terms of service, privacy policy, refund policy, or distributor agreement document exists in the repo — see privacy_policy.md and escalation_policy.md in 08_GOVERNANCE/safety/ for how this gap is handled at answer time."
CK052,contact_information,Registered office address,"A-780, Indra Vihar, Kota, Rajasthan - 324005, India",SRC-COMPOVERVIEW;SRC-GROWTHX-OCR,dayjoy_company_overview.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 58,VERIFIED,high,Cross-verified between canonical CSV and primary OCR footer.
CK053,contact_information,Support email,support@dayjoy.in,SRC-COMPOVERVIEW;SRC-GROWTHX-OCR;SRC-PAYMENTPOLICY,dayjoy_company_overview.csv; GrowthX_Plan_Presentation_OCR_full_text.txt; PaymentGatewayPolicy_Dayjoy.pdf,N/A; OCR page 58; N/A (final page of PDF),VERIFIED,high,"Cross-verified across three independent sources: canonical overview CSV, the primary GrowthX deck footer, and the Payment Gateway Policy PDF's customer-care contact line."
CK054,contact_information,Phone number (variant A),07733990555 (also written +91-7733990555),SRC-GROWTHX-OCR;SRC-PAYMENTPOLICY,GrowthX_Plan_Presentation_OCR_full_text.txt; PaymentGatewayPolicy_Dayjoy.pdf,OCR page 58; N/A,VERIFIED,high,Cross-verified: appears identically (modulo formatting) in the primary GrowthX deck footer AND the Payment Gateway Policy PDF's customer-care contact line ('+91-7733990555').
CK055,contact_information,Phone number (variant B — CONFLICT),+91 74120 34387,SRC-COMPOVERVIEW,dayjoy_company_overview.csv,N/A,UNVERIFIED,low,"GENUINE CONFLICT with the phone number above: this number appears only once, in dayjoy_company_overview.csv, and does not match the number cross-verified in two independent primary sources (07733990555 / +91-7733990555). Do not treat either number as sole fact when answering — prefer the cross-verified number (07733990555) but flag the discrepancy if precision matters."
CK056,contact_information,Website,https://dayjoy.in (also referenced as www.dayjoy.in),SRC-COMPOVERVIEW;SRC-GROWTHX-OCR;SRC-PAYMENTPOLICY,dayjoy_company_overview.csv; GrowthX_Plan_Presentation_OCR_full_text.txt; PaymentGatewayPolicy_Dayjoy.pdf,N/A; OCR page 58; N/A,VERIFIED,high,"Cross-verified across canonical CSV, primary OCR footer, and the Payment Gateway Policy PDF."
CK057,support_channels,Customer Care / Business Support / WhatsApp Support / Dispatch / Franchise Manager / Grievance contact,Company research narrative reports the official contact page lists these six channels,SRC-NARRATIVE,company_research_narrative.md,Section 15,UNVERIFIED,low,"Sourced only from company_research_narrative.md's citation of the external official contact page (web:7), which is not itself captured as a document in this repo (website_snapshots/ is empty by design per PRODUCTION_READINESS_REPORT.md). Channel names are plausible and specific but not independently verified against a primary Dayjoy document held here."
CK058,support_channels,Doctor-on-call / free telephonic doctor consultation,Referenced in the GrowthX deck as a customer scheme ('FREE TELEPHONIC DOCTOR CONSULTATION') and as part of the internal support system ('DOCTOR ON CALL'),SRC-GROWTHX-OCR,GrowthX_Plan_Presentation_OCR_full_text.txt,"OCR pages 27, 56",VERIFIED,medium,"Appears twice in the primary OCR source, in a customer-facing schemes slide and an internal support-system slide."
CK059,support_channels,"Internal support systems (CRM, IT, Logistics, Business Development & Marcom)","GrowthX deck describes 'ROBUST CRM, IT, LOGISTIC & MARCOM SUPPORT' with sub-panels for Doctor on Call, IT Support, Logistics Support, and Business Development & Marcom Support",SRC-GROWTHX-OCR,GrowthX_Plan_Presentation_OCR_full_text.txt,OCR page 56,VERIFIED,medium,"Directly transcribed from the primary OCR source; this describes Dayjoy's internal distributor-support system, not a customer-facing SLA."
CK060,support_channels,Payment issue support route,"Customer care team reachable at +91-7733990555 or support@dayjoy.in for payment issues, quoting the order number",SRC-PAYMENTPOLICY,PaymentGatewayPolicy_Dayjoy.pdf,N/A (final clause of PDF),VERIFIED,high,"Directly stated in the Payment Gateway Policy PDF's 'KINDLY NOTE' section, clause 5."
CK061,support_channels,Support SLA / response-time commitments,NULL,NONE,N/A,N/A,UNVERIFIED,none,"No document in the repo states a response-time SLA for any support channel; see support_sla.csv in 01_CANONICAL/support/, which records this gap explicitly for the support team to fill in. [FIX2 RE-CHECK]: re-searched Dayjoy_Online_Shopping.pdf, DayjoyMarketingFssaiLicense.pdf, both 'Dayjoy AI Ecosystem' docx files, the recommendation-chart PDFs, and re-verified PaymentGatewayPolicy_Dayjoy.pdf/Social_Media_Policy_Dayjoy.pdf — still no genuine, corroborated SLA figure anywhere; see support_sla.csv SLA-07 for full detail on why the docx files' SLA-looking numbers are rejected as unreliable."
CK062,official_links,Official website,https://dayjoy.in / www.dayjoy.in,SRC-COMPOVERVIEW;SRC-GROWTHX-OCR,dayjoy_company_overview.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 58,VERIFIED,high,Cross-verified as above (see CK contact_information row for website).
CK063,official_links,Instagram handle,@dayjoy_india,SRC-COMPOVERVIEW,dayjoy_company_overview.csv,N/A,UNVERIFIED,low,Single-sourced to the overview CSV; not independently cross-checked against a live/archived social profile in this repo.
CK064,official_links,Terms of Use / Contact page URLs,https://www.dayjoy.in/TermsofUse ; https://www.dayjoy.in/Contact (as referenced in business_model_narrative.md source list),SRC-BUSINESSMODEL,business_model_narrative.md,Section 14 (Source List),UNVERIFIED,low,"These URLs are referenced as citations in the narrative doc but the pages themselves are not captured/snapshotted anywhere in this repo (00_SOURCE_DOCUMENTS/website_snapshots/ is empty by design). Treat as an unverified pointer, not a confirmed live-content source."
