product_code,sku,product_name,safety_class,allowed_direct,allowed_with_disclaimer,not_allowed,source_document_id,source_version,approval_status
DJP1020,DJ-FOO-0021,Sabji Masala (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1021,DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1022,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1023,DJ-FOO-0024,Veg Biryani with Shahi Gravy,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1024,DJ-FOO-0025,Poha with Bhujia,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1025,DJ-FOO-0026,Upma with Bhujia,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1026,DJ-PER-0027,Anti Pollution Face Wash (150ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1027,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1028,DJ-PER-0029,Aloevera Gel (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1029,DJ-PER-0030,BR Rich Oil (200ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1030,DJ-PER-0031,Daily Care Cream (60g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1031,DJ-PER-0032,Luxury Saffron Soap (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1032,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1033,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1034,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1035,DJ-PER-0036,Kesham (100ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1036,DJ-PER-0037,Luxwash Handwash (250ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1037,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1038,DJ-PER-0039,Milk Bath Soap (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1039,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1040,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1041,DJ-PER-0042,Regain Aloevera Shampoo (300ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1042,DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1043,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1044,DJ-PER-0045,Sanitary Pad (XXL) (Pack of 10),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1045,DJ-PER-0046,Seabuckthron Facial Kit (30g) (Pack of 6),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1046,DJ-PER-0047,Seabuckthron Cleanser (30g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1047,DJ-PER-0048,Seabuckthron Scrub (30g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1048,DJ-PER-0049,Seabuckthron Massage Gel (30g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1049,DJ-PER-0050,Seabuckthron Massage Cream (30g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1050,DJ-PER-0051,Seabuckthron Face Pack (30g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1051,DJ-PER-0052,Seabuckthron Facial Fluid (10ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1052,DJ-PER-0053,Deep Cleansing Face Wash (100ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1053,DJ-PER-0054,Deep Cleansing Facewash (60ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1054,DJ-PER-0055,WildMuse Premium Loofah,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1055,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1056,DJ-PER-0057,Haldi Chandan Facewash (60ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1057,DJ-SKI-0058,Face Serum (30ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1058,DJ-SKI-0059,Gold Facial Kit,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1059,DJ-SKI-0060,Sunscreen SPF 50+ (50gm),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1060,DJ-SKI-0061,Hydra Max Moisturizer (50gm),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1061,DJ-SKI-0062,AgeX Anti-Ageing Night Cream (50gm),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1062,DJ-SKI-0063,AcneX Anti-Acne Foaming Cleanser (100ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1063,DJ-COL-0064,Amara Beauty Kajal,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1064,DJ-COL-0065,Amara Beauty Eyeliner,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1065,DJ-HEA-0066,Asthprash (300 grams),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1066,DJ-HEA-0067,Adicardial (120 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1067,DJ-HEA-0068,Adicardial Syrup (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1068,DJ-HEA-0069,Adila Forte (30 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1069,DJ-HEA-0070,Adila Forte (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1070,DJ-HEA-0071,Adilipo (120 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1071,DJ-HEA-0072,Adilipo (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1072,DJ-HEA-0073,Adiliv (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1073,DJ-HEA-0074,Aloevera with Guava Juice (1L),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1074,DJ-HEA-0075,Astheal Cough Syrup (100ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1075,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1076,DJ-HEA-0077,Amla Extract (60 Veg Capsules),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1077,DJ-HEA-0078,Advanced Calcium Tablets,regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1078,DJ-HEA-0079,Arogya Churn (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1079,DJ-HEA-0080,Di-beat (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1080,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1081,DJ-HEA-0082,Gas-O-Free (200ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1082,DJ-HEA-0083,Gas-O-Free (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1083,DJ-HEA-0084,GoPiles (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1084,DJ-HEA-0085,GoPiles Syrup (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1085,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1086,DJ-HEA-0087,Eye Elixir Drops (10ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1087,DJ-HEA-0088,Eye Health++ (60 Capsules),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1088,DJ-HEA-0089,HB+ (200ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1089,DJ-HEA-0090,HB+ (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1090,DJ-HEA-0091,Hi-Energy (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1091,DJ-HEA-0092,Kidney Kawach (300 g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1092,DJ-HEA-0093,Liv-Ease (200ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1093,DJ-HEA-0094,Liv-Ease (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1094,DJ-HEA-0095,Multivitamins Tablets,regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1095,DJ-HEA-0096,Nonima (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1096,DJ-HEA-0097,N-astheal (120 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1097,DJ-HEA-0098,N-astheal (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1098,DJ-HEA-0099,Orthofix (60 Tab),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1099,DJ-HEA-0100,Orthofix Oil (100ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1100,DJ-HEA-0101,Omega 3-6-9,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1101,DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1102,DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1103,DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1104,DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1105,DJ-HEA-0106,Super Food Capsule,regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1106,DJ-HEA-0107,Premium Tulsi Max (30ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1107,DJ-HEA-0108,Vital Protein Powder (300gm),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1108,DJ-HEA-0109,L-Arginine++ - Energy Drink (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1109,DJ-HEA-0110,Ample Meal - Meal Replacement Nutritional Shake (500g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1110,DJ-HEA-0111,JuniorJoy - Kids Nutritional Drink (300g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1111,DJ-HEA-0112,Kahwa Masala Chai (25 Pcs),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1112,DJ-HEA-0113,Shilajit Gummies (60 Gummies),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1113,DJ-HEA-0114,Apple Cider Vinegar (3X20 Tablets),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1114,DJ-HEA-0115,Marine Collagen (200g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1115,DJ-HOM-0116,Dishwash Liquid Gel (500ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1116,DJ-HOM-0117,Toilet Bowl Cleaner (500ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1117,DJ-HOM-0118,Liquid Detergent (1Ltr.),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1118,DJ-HOM-0119,All in 1 Surface Cleaner (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1119,DJ-CLO-0120,Premium Suit Length (Black),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1120,DJ-CLO-0121,Designer Mask (Pack of 5),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1121,DJ-CLO-0122,Dayjoy Necktie,safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1122,DJ-CLO-0123,"T-shirt New Design (L, M, XL)",safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1123,DJ-AGR-0124,Happy Soil - Humic (500ml),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1124,DJ-AGR-0125,Nano Tech-19 (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1125,DJ-AGR-0126,Nano Tech-46 (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1126,DJ-AGR-0127,Nano Tech-50 (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1127,DJ-AGR-0128,Nano Tech-52 (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1128,DJ-AGR-0129,Prosperous+ (1 L),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1129,DJ-AGR-0130,Prosperous+ Tablets,regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1130,DJ-AGR-0131,Joy-O-Zyme (500ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1131,DJ-AGR-0132,JoySpread 80+ Gold (250ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1132,DJ-AGR-0133,JoySpread 80+ Gold (100ml),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1133,DJ-AGR-0134,JoyGrow 2X (Granules) (2kg),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
