conversation_id,turn_id,role,message,channel,scenario,category,subcategory,locale,sentiment,status,priority,source,message_clean,memory_type,tags,keywords,confidence,source_reference,notes
conv_1,1,customer,What is Multivitamins Tablets?,chat,support_ticket,informational,product_info,en-IN,neutral,open,medium,intent_dataset,What is Multivitamins Tablets?,ticket_memory,informational;product_info,what is multivitamins tablets,high,intent_dataset,synthetic or source-backed conversation example
conv_6,2,agent,It is categorized under FOOD PRODUCTS.,chat,support_ticket,informational,product_category,en-IN,positive,resolved,medium,intent_dataset,It is categorized under FOOD PRODUCTS.,ticket_memory,informational;product_category,it is categorized under food products,high,intent_dataset,synthetic or source-backed conversation example
conv_7,1,customer,What awards has Dayjoy won?,chat,support_ticket,company,info,en-IN,neutral,open,medium,intent_dataset,What awards has Dayjoy won?,ticket_memory,company;info,what awards has dayjoy won,high,intent_dataset,synthetic or source-backed conversation example
conv_7,2,agent,"Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",chat,support_ticket,company,info,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",ticket_memory,company;info,dayjoy won startup of the year 2020 4th,high,intent_dataset,synthetic or source-backed conversation example
conv_8,1,customer,Which product is good for Difficulty in Planning and Carrying out tasks?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Difficulty in Planning and Carrying out tasks?,ticket_memory,recommendation;health_need,which product is good for difficulty in planning,high,intent_dataset,synthetic or source-backed conversation example
conv_8,2,agent,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider golden,high,intent_dataset,synthetic or source-backed conversation example
conv_9,1,customer,How much is in one pack of Haldi Powder (500g)?,chat,support_ticket,informational,pack_size,en-IN,neutral,open,medium,intent_dataset,How much is in one pack of Haldi Powder (500g)?,ticket_memory,informational;pack_size,how much is in one pack of haldi,high,intent_dataset,synthetic or source-backed conversation example
conv_9,2,agent,The pack size is 500g.,chat,support_ticket,informational,pack_size,en-IN,positive,resolved,medium,intent_dataset,The pack size is 500g.,ticket_memory,informational;pack_size,the pack size is 500g,high,intent_dataset,synthetic or source-backed conversation example
conv_10,1,customer,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?",ticket_memory,health-condition;consultation,i have slimy mucus in your underwear or,high,intent_dataset,synthetic or source-backed conversation example
conv_10,2,agent,"Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests go piles tablets for slimy mucus,high,intent_dataset,synthetic or source-backed conversation example
conv_11,1,customer,Which product is good for Itchy Skin?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Itchy Skin?,ticket_memory,recommendation;health_need,which product is good for itchy skin,high,intent_dataset,synthetic or source-backed conversation example
conv_11,2,agent,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider adiliv,high,intent_dataset,synthetic or source-backed conversation example
conv_12,1,customer,How do I get a refund?,chat,support_ticket,policy,shipping_refund,en-IN,neutral,open,medium,intent_dataset,How do I get a refund?,ticket_memory,policy;shipping_refund,how do i get a refund,high,intent_dataset,synthetic or source-backed conversation example
conv_12,2,agent,Refunds for returned products are processed to the original bank account or payment method after inspection.,chat,support_ticket,policy,shipping_refund,en-IN,positive,resolved,medium,intent_dataset,Refunds for returned products are processed to the original bank account or payment method after inspection.,ticket_memory,policy;shipping_refund,refunds for returned products are processed to the,high,intent_dataset,synthetic or source-backed conversation example
conv_13,1,customer,Which product is good for Increased errors or accidents?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Increased errors or accidents?,ticket_memory,recommendation;health_need,which product is good for increased errors or,high,intent_dataset,synthetic or source-backed conversation example
conv_13,2,agent,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider golden,high,intent_dataset,synthetic or source-backed conversation example
conv_14,1,customer,Which product is good for Yellow Skin and Eyes?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Yellow Skin and Eyes?,ticket_memory,recommendation;health_need,which product is good for yellow skin and,high,intent_dataset,synthetic or source-backed conversation example
conv_14,2,agent,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider adiliv,high,intent_dataset,synthetic or source-backed conversation example
conv_15,1,customer,What is Garam Masala (100g)?,chat,support_ticket,informational,product_info,en-IN,neutral,open,medium,intent_dataset,What is Garam Masala (100g)?,ticket_memory,informational;product_info,what is garam masala 100g,high,intent_dataset,synthetic or source-backed conversation example
conv_15,2,agent,Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,chat,support_ticket,informational,product_info,en-IN,positive,resolved,medium,intent_dataset,Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,ticket_memory,informational;product_info,garam masala 100g is a food products product,high,intent_dataset,synthetic or source-backed conversation example
conv_16,1,customer,Which product is good for Pain?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Pain?,ticket_memory,recommendation;health_need,which product is good for pain,high,intent_dataset,synthetic or source-backed conversation example
conv_16,2,agent,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider asthprash,high,intent_dataset,synthetic or source-backed conversation example
conv_17,1,customer,How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)?,chat,support_ticket,informational,pack_size,en-IN,neutral,open,medium,intent_dataset,How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)?,ticket_memory,informational;pack_size,how much is in one pack of sandalwood,high,intent_dataset,synthetic or source-backed conversation example
conv_17,2,agent,The pack size is 150ml.,chat,support_ticket,informational,pack_size,en-IN,positive,resolved,medium,intent_dataset,The pack size is 150ml.,ticket_memory,informational;pack_size,the pack size is 150ml,high,intent_dataset,synthetic or source-backed conversation example
conv_18,1,customer,"I have Fatigue, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Fatigue, what should I take?",ticket_memory,health-condition;consultation,i have fatigue what should i take,high,intent_dataset,synthetic or source-backed conversation example
conv_18,2,agent,"Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests dibeat tablets for fatigue this is,high,intent_dataset,synthetic or source-backed conversation example
conv_19,1,customer,Which product is good for Shortness of Breath?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Shortness of Breath?,ticket_memory,recommendation;health_need,which product is good for shortness of breath,high,intent_dataset,synthetic or source-backed conversation example
conv_19,2,agent,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider ample,high,intent_dataset,synthetic or source-backed conversation example
conv_20,1,customer,What is the Loyalty Offer?,chat,support_ticket,business,joining,en-IN,neutral,open,medium,intent_dataset,What is the Loyalty Offer?,ticket_memory,business;joining,what is the loyalty offer,high,intent_dataset,synthetic or source-backed conversation example
conv_20,2,agent,Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,chat,support_ticket,business,joining,en-IN,positive,resolved,medium,intent_dataset,Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,ticket_memory,business;joining,distributors buying rs 2500 from 2nd 15th for,high,intent_dataset,synthetic or source-backed conversation example
conv_21,1,customer,"I have Constipation, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Constipation, what should I take?",ticket_memory,health-condition;consultation,i have constipation what should i take,high,intent_dataset,synthetic or source-backed conversation example
conv_21,2,agent,"Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests livease syrup or gas o free,high,intent_dataset,synthetic or source-backed conversation example
conv_22,1,customer,Can I sell Dayjoy products part-time?,chat,support_ticket,business,joining,en-IN,neutral,open,medium,intent_dataset,Can I sell Dayjoy products part-time?,ticket_memory,business;joining,can i sell dayjoy products part time,high,intent_dataset,synthetic or source-backed conversation example
conv_22,2,agent,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",chat,support_ticket,business,joining,en-IN,positive,resolved,medium,intent_dataset,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",ticket_memory,business;joining,yes you can set your own work hours,high,intent_dataset,synthetic or source-backed conversation example
conv_23,1,customer,Do you have Sanitary Pad (XXL) (Pack of 10)?,chat,support_ticket,transactional,availability,en-IN,neutral,open,medium,intent_dataset,Do you have Sanitary Pad (XXL) (Pack of 10)?,ticket_memory,transactional;availability,do you have sanitary pad xxl pack of,high,intent_dataset,synthetic or source-backed conversation example
conv_23,2,agent,"Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",chat,support_ticket,transactional,availability,en-IN,positive,resolved,medium,intent_dataset,"Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",ticket_memory,transactional;availability,yes sanitary pad xxl pack of 10 is,high,intent_dataset,synthetic or source-backed conversation example
conv_24,1,customer,"I have Focusing on tasks or remembering, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Focusing on tasks or remembering, what should I take?",ticket_memory,health-condition;consultation,i have focusing on tasks or remembering what,high,intent_dataset,synthetic or source-backed conversation example
conv_24,2,agent,"Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests golden elixir or sea buckthorn juice,high,intent_dataset,synthetic or source-backed conversation example
conv_25,1,customer,What is the Super Retailer Loyalty Program?,chat,support_ticket,business,joining,en-IN,neutral,open,medium,intent_dataset,What is the Super Retailer Loyalty Program?,ticket_memory,business;joining,what is the super retailer loyalty program,high,intent_dataset,synthetic or source-backed conversation example
conv_25,2,agent,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",chat,support_ticket,business,joining,en-IN,positive,resolved,medium,intent_dataset,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",ticket_memory,business;joining,purchasing rs 25 000 for 4 consecutive months,high,intent_dataset,synthetic or source-backed conversation example
conv_26,1,customer,Is cash refund available?,chat,support_ticket,policy,shipping_refund,en-IN,neutral,open,medium,intent_dataset,Is cash refund available?,ticket_memory,policy;shipping_refund,is cash refund available,high,intent_dataset,synthetic or source-backed conversation example
conv_26,2,agent,No cash refunds under any circumstances will be made.,chat,support_ticket,policy,shipping_refund,en-IN,positive,resolved,medium,intent_dataset,No cash refunds under any circumstances will be made.,ticket_memory,policy;shipping_refund,no cash refunds under any circumstances will be,high,intent_dataset,synthetic or source-backed conversation example
conv_27,1,customer,Tell me about Seabuckthron Facial Kit (30g) (Pack of 6),chat,support_ticket,informational,product_discovery,en-IN,neutral,open,medium,intent_dataset,Tell me about Seabuckthron Facial Kit (30g) (Pack of 6),ticket_memory,informational;product_discovery,tell me about seabuckthron facial kit 30g pack,high,intent_dataset,synthetic or source-backed conversation example
conv_27,2,agent,This is a premium product under Wild Muse.,chat,support_ticket,informational,product_discovery,en-IN,positive,resolved,medium,intent_dataset,This is a premium product under Wild Muse.,ticket_memory,informational;product_discovery,this is a premium product under wild muse,high,intent_dataset,synthetic or source-backed conversation example
conv_28,1,customer,"Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)?",chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,"Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)?",ticket_memory,recommendation;health_need,which product is good for menstrual problems painful,high,intent_dataset,synthetic or source-backed conversation example
conv_28,2,agent,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider adicardial,high,intent_dataset,synthetic or source-backed conversation example
conv_29,1,customer,Which product is good for Skin Disorders?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Skin Disorders?,ticket_memory,recommendation;health_need,which product is good for skin disorders,high,intent_dataset,synthetic or source-backed conversation example
conv_29,2,agent,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider golden,high,intent_dataset,synthetic or source-backed conversation example
conv_30,1,customer,"I have Worsened pain after sitting or standing for a long time, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Worsened pain after sitting or standing for a long time, what should I take?",ticket_memory,health-condition;consultation,i have worsened pain after sitting or standing,high,intent_dataset,synthetic or source-backed conversation example
conv_30,2,agent,"Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests golden elixir or sea buckthorn juice,high,intent_dataset,synthetic or source-backed conversation example
conv_31,1,customer,"I have Difficulty walking on your toes, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Difficulty walking on your toes, what should I take?",ticket_memory,health-condition;consultation,i have difficulty walking on your toes what,high,intent_dataset,synthetic or source-backed conversation example
conv_31,2,agent,"Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests golden elixir or sea buckthorn juice,high,intent_dataset,synthetic or source-backed conversation example
conv_32,1,customer,Tell me about Dayjoy Backpack Bag,chat,support_ticket,informational,product_discovery,en-IN,neutral,open,medium,intent_dataset,Tell me about Dayjoy Backpack Bag,ticket_memory,informational;product_discovery,tell me about dayjoy backpack bag,high,intent_dataset,synthetic or source-backed conversation example
conv_32,2,agent,This is a premium product under Dayjoy.,chat,support_ticket,informational,product_discovery,en-IN,positive,resolved,medium,intent_dataset,This is a premium product under Dayjoy.,ticket_memory,informational;product_discovery,this is a premium product under dayjoy,high,intent_dataset,synthetic or source-backed conversation example
conv_33,1,customer,Is Dayjoy FSSAI approved?,chat,support_ticket,compliance,policy,en-IN,neutral,open,medium,intent_dataset,Is Dayjoy FSSAI approved?,ticket_memory,compliance;policy,is dayjoy fssai approved,high,intent_dataset,synthetic or source-backed conversation example
conv_33,2,agent,"Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",chat,support_ticket,compliance,policy,en-IN,positive,resolved,medium,intent_dataset,"Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",ticket_memory,compliance;policy,yes dayjoy holds fssai license number 12224999000129 valid,high,intent_dataset,synthetic or source-backed conversation example
conv_34,1,customer,How much BV for New Total Joy Rice Bran Oil (1 Litre)?,chat,support_ticket,pricing,bv,en-IN,neutral,open,medium,intent_dataset,How much BV for New Total Joy Rice Bran Oil (1 Litre)?,ticket_memory,pricing;bv,how much bv for new total joy rice,high,intent_dataset,synthetic or source-backed conversation example
conv_34,2,agent,The Business Volume (BV) is 24.0.,chat,support_ticket,pricing,bv,en-IN,positive,resolved,medium,intent_dataset,The Business Volume (BV) is 24.0.,ticket_memory,pricing;bv,the business volume bv is 24 0,high,intent_dataset,synthetic or source-backed conversation example
conv_35,1,customer,How much is in one pack of Dayjoy Backpack Bag?,chat,support_ticket,informational,pack_size,en-IN,neutral,open,medium,intent_dataset,How much is in one pack of Dayjoy Backpack Bag?,ticket_memory,informational;pack_size,how much is in one pack of dayjoy,high,intent_dataset,synthetic or source-backed conversation example
conv_35,2,agent,The pack size is nan.,chat,support_ticket,informational,pack_size,en-IN,positive,resolved,medium,intent_dataset,The pack size is nan.,ticket_memory,informational;pack_size,the pack size is nan,high,intent_dataset,synthetic or source-backed conversation example
conv_36,1,customer,What is the MRP of Seabuckthron Scrub (30g)?,chat,support_ticket,pricing,mrp,en-IN,neutral,open,medium,intent_dataset,What is the MRP of Seabuckthron Scrub (30g)?,ticket_memory,pricing;mrp,what is the mrp of seabuckthron scrub 30g,high,intent_dataset,synthetic or source-backed conversation example
conv_36,2,agent,The MRP is ₹225.0.,chat,support_ticket,pricing,mrp,en-IN,positive,resolved,medium,intent_dataset,The MRP is ₹225.0.,ticket_memory,pricing;mrp,the mrp is 225 0,high,intent_dataset,synthetic or source-backed conversation example
conv_37,1,customer,"I have Nausea/Vomiting, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Nausea/Vomiting, what should I take?",ticket_memory,health-condition;consultation,i have nausea vomiting what should i take,high,intent_dataset,synthetic or source-backed conversation example
conv_37,2,agent,"Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests adiliv tablets for nausea vomiting this,high,intent_dataset,synthetic or source-backed conversation example
conv_38,1,customer,Tell me about English One-Page Compensation Plan (Set of 50 Leaflets),chat,support_ticket,informational,product_discovery,en-IN,neutral,open,medium,intent_dataset,Tell me about English One-Page Compensation Plan (Set of 50 Leaflets),ticket_memory,informational;product_discovery,tell me about english one page compensation plan,high,intent_dataset,synthetic or source-backed conversation example
conv_38,2,agent,This is a premium product under Dayjoy.,chat,support_ticket,informational,product_discovery,en-IN,positive,resolved,medium,intent_dataset,This is a premium product under Dayjoy.,ticket_memory,informational;product_discovery,this is a premium product under dayjoy,high,intent_dataset,synthetic or source-backed conversation example
conv_39,1,customer,How much is in one pack of Deep Cleansing Facewash (60ml)?,chat,support_ticket,informational,pack_size,en-IN,neutral,open,medium,intent_dataset,How much is in one pack of Deep Cleansing Facewash (60ml)?,ticket_memory,informational;pack_size,how much is in one pack of deep,high,intent_dataset,synthetic or source-backed conversation example
conv_39,2,agent,The pack size is 60ml.,chat,support_ticket,informational,pack_size,en-IN,positive,resolved,medium,intent_dataset,The pack size is 60ml.,ticket_memory,informational;pack_size,the pack size is 60ml,high,intent_dataset,synthetic or source-backed conversation example
conv_40,1,customer,What is the MRP of Milk Bath Soap (Pack of 3) (100g)?,chat,support_ticket,pricing,mrp,en-IN,neutral,open,medium,intent_dataset,What is the MRP of Milk Bath Soap (Pack of 3) (100g)?,ticket_memory,pricing;mrp,what is the mrp of milk bath soap,high,intent_dataset,synthetic or source-backed conversation example
conv_40,2,agent,The MRP is ₹225.0.,chat,support_ticket,pricing,mrp,en-IN,positive,resolved,medium,intent_dataset,The MRP is ₹225.0.,ticket_memory,pricing;mrp,the mrp is 225 0,high,intent_dataset,synthetic or source-backed conversation example
conv_41,1,customer,Which product is good for Blurred Vision?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Blurred Vision?,ticket_memory,recommendation;health_need,which product is good for blurred vision,high,intent_dataset,synthetic or source-backed conversation example
conv_41,2,agent,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider dibeat,high,intent_dataset,synthetic or source-backed conversation example
conv_42,1,customer,Which product is good for Premature Ejaculation?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Premature Ejaculation?,ticket_memory,recommendation;health_need,which product is good for premature ejaculation,high,intent_dataset,synthetic or source-backed conversation example
conv_42,2,agent,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider adilaforte,high,intent_dataset,synthetic or source-backed conversation example
