conversation_id,persona,topic,turns,data_type,notes
conv_labeled_011,Distributor,joining_process,"[{""role"": ""distributor"", ""text"": ""How do I join Dayjoy?""}, {""role"": ""assistant"", ""text"": ""You can join by purchasing products through an existing Independent Distributor or via the official website.""}, {""role"": ""distributor"", ""text"": ""Do I need to pay a joining fee?""}, {""role"": ""assistant"", ""text"": ""No, there are no expensive start-up costs or burdening overheads.""}, {""role"": ""distributor"", ""text"": ""Do I need to maintain inventory?""}, {""role"": ""assistant"", ""text"": ""No large investments in inventory or stock management are required.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",All three answers match dayjoy_intents_CANONICAL.csv business rows verbatim.
conv_labeled_012,Distributor,loyalty_offer,"[{""role"": ""distributor"", ""text"": ""What is the Loyalty Offer?""}, {""role"": ""assistant"", ""text"": ""Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.""}, {""role"": ""distributor"", ""text"": ""And the Super Retailer Loyalty Program?""}, {""role"": ""assistant"", ""text"": ""Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Both figures match dayjoy_intents_CANONICAL.csv business rows verbatim.
conv_labeled_013,Distributor,dp_bv_restock,"[{""role"": ""distributor"", ""text"": ""DP of DJP1158?""}, {""role"": ""assistant"", ""text"": ""The Distributor Price (DP) is ₹75.0.""}, {""role"": ""distributor"", ""text"": ""How much BV for New Total Joy Rice Bran Oil (1 Litre)?""}, {""role"": ""assistant"", ""text"": ""The Business Volume (BV) is 24.0.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Both figures match dayjoy_intents_CANONICAL.csv pricing rows verbatim.
conv_labeled_014,Distributor,rank_progression_verified,"[{""role"": ""distributor"", ""text"": ""What do I need to reach Club 1, Star Executive?""}, {""role"": ""assistant"", ""text"": ""Club 1 (Star Executive) requires BV matching criteria of 15,000:7,500 or 7,500:15,000, with a Rs 750 business matching incentive and a Rs 1,000 lifetime reward — a total income base of Rs 1,750 at that level, per Dayjoy's GrowthX Plan Presentation.""}, {""role"": ""distributor"", ""text"": ""What about Club 2?""}, {""role"": ""assistant"", ""text"": ""Club 2 (Super Star Executive) requires 22,500:22,500 BV matching, with Rs 2,250 business matching incentive, Rs 1,125 mentorship incentive, and Rs 3,000 lifetime reward — total income base Rs 6,375.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Figures match dayjoy_plan_ranks_rewards_VERIFIED.csv rows for Club 1 and Club 2 exactly (VERIFIED tier, cross-checked against GrowthX PDF pages 36-51)."
conv_labeled_015,Distributor,compensation_conflict_abstain,"[{""role"": ""distributor"", ""text"": ""Is Dayjoy's retail profit really up to 100%?""}, {""role"": ""assistant"", ""text"": ""This is actually one of our known unresolved figures — one internal document says 30–50% and another says up to 100% depending on framing. I don't want to guess between them, so I'm flagging this for the Dayjoy compensation team to confirm before giving you a definitive number.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_compensation_conflicts.csv CONFLICT_UNRESOLVED row (Retail Profit rate) and the mandatory abstain framing from ABSTAIN_AND_LABELING_POLICY.md.
conv_labeled_016,Distributor,damaged_shipment,"[{""role"": ""distributor"", ""text"": ""What if my product arrives damaged?""}, {""role"": ""assistant"", ""text"": ""Notify Dayjoy within 24 hours of receipt of the shipment.""}, {""role"": ""distributor"", ""text"": ""Who pays for return shipping?""}, {""role"": ""assistant"", ""text"": ""You are responsible for paying your own shipping cost for returning your items.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Both answers match dayjoy_intents_CANONICAL.csv policy rows verbatim.
conv_labeled_017,Distributor,part_time_work,"[{""role"": ""distributor"", ""text"": ""Can I sell Dayjoy products part-time?""}, {""role"": ""assistant"", ""text"": ""Yes, you can set your own work hours and commitment levels, full-time or part-time.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv business row verbatim.
conv_labeled_018,Distributor,fb_ads_compliance,"[{""role"": ""distributor"", ""text"": ""Can I run Facebook ads for Dayjoy?""}, {""role"": ""assistant"", ""text"": ""Paid internet advertising like Facebook ads cannot use the company logo/trademark. Links must direct to your personal ID website.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv compliance row verbatim.
conv_labeled_019,Distributor,income_guarantee_question,"[{""role"": ""distributor"", ""text"": ""Do you guarantee income?""}, {""role"": ""assistant"", ""text"": ""No, earnings are estimates and not guaranteed. Success depends on individual effort and dedication.""}, {""role"": ""distributor"", ""text"": ""So if I show the GrowthX plan example to a prospect, can I say they'll definitely earn that amount?""}, {""role"": ""assistant"", ""text"": ""No — worked examples from the GrowthX plan are illustrative only, not guarantees. Income results vary, and the Income Disclaimer should always be shared alongside any compensation-plan example.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",First answer matches dayjoy_intents_CANONICAL.csv compliance row verbatim. Second answer follows ABSTAIN_AND_LABELING_POLICY.md category 5 (business/income claims) exactly.
conv_labeled_020,Distributor,order_cancellation,"[{""role"": ""distributor"", ""text"": ""Can I cancel my order?""}, {""role"": ""assistant"", ""text"": ""Orders can be cancelled before dispatch. Processed orders cannot be cancelled.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv policy row verbatim.
conv_labeled_021,Leader,team_performance_abstain,"[{""role"": ""leader"", ""text"": ""How is my downline team performing this month compared to last month?""}, {""role"": ""assistant"", ""text"": ""I don't have access to live sales or team-performance data in my knowledge base — I only have static reference material like product, pricing, and compensation-plan facts. For your team's actual performance numbers, you'd need to check your distributor back-office dashboard or ask Dayjoy support to pull that report.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","No team/sales performance data exists in the canonical KB, so the assistant abstains rather than inventing figures — consistent with 'requested fact has no matching row in any canonical file' abstain trigger."
conv_labeled_022,Leader,mentorship_bonus_conflict,"[{""role"": ""leader"", ""text"": ""Is the mentorship bonus really 100% of the binary like some old materials say?""}, {""role"": ""assistant"", ""text"": ""That number is one of our known conflicting fields — an older file says 100% of binary while the GrowthX plan presentation describes 50% of the direct-introduced distributor's business matching incentive instead. I can't confirm either as final without the compensation team resolving it.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_compensation_conflicts.csv CONFLICT_UNRESOLVED row (Mentorship Bonus rate) exactly.
conv_labeled_023,Leader,gmp_quality_training,"[{""role"": ""leader"", ""text"": ""When I'm training new distributors, can I tell them Dayjoy has WHO-GMP certification?""}, {""role"": ""assistant"", ""text"": ""Yes — Dayjoy operates under strict WHO-GMP compliance with a valid Certificate of GMP, so that's safe to share as-is.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv compliance row verbatim.
conv_labeled_024,Leader,best_selling_inferred_framing,"[{""role"": ""leader"", ""text"": ""What should I tell my team is our best-selling product?""}, {""role"": ""assistant"", ""text"": ""I can't confirm an actual sales ranking — Dayjoy hasn't supplied real sales or order data. Based on how often products come up in our internal materials, some products are mentioned more frequently than others, but that's a mention-frequency proxy, not a confirmed sales ranking. I'd frame it that way to your team rather than calling it 'best-selling.'""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches ABSTAIN_AND_LABELING_POLICY.md category 4 (best-selling/popularity claims) — mention-frequency proxy framing, not real sales data."
conv_labeled_025,Leader,business_matching_conflict,"[{""role"": ""leader"", ""text"": ""Is the business matching incentive really a flat Rs 500 per pair, paid daily?""}, {""role"": ""assistant"", ""text"": ""That's actually under review — one source describes a flat, daily-paid structure, while Dayjoy's GrowthX plan presentation describes a tiered structure (Rs 250/250 up to Rs 1000/1000 depending on BV ratio) with weekly closing every Wednesday and weekly payout every Friday. I don't want to state either as confirmed fact, so I'm flagging this for the compensation team to resolve.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches dayjoy_compensation_conflicts.csv CONFLICT_UNRESOLVED row (Business Matching Incentive structure) exactly, including the specific tiered figures and weekly cadence from the PDF-value column."
conv_labeled_026,Leader,income_disclaimer_usage,"[{""role"": ""leader"", ""text"": ""Can I show a prospect a worked earnings example from the GrowthX deck during a presentation?""}, {""role"": ""assistant"", ""text"": ""Yes, but only as an illustrative example — always cite the source page and state clearly that income results vary and aren't guaranteed, per the Income Disclaimer. Don't present it as a promise of what they personally will earn.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches ABSTAIN_AND_LABELING_POLICY.md category 5 rule on worked examples being illustrative-only.
conv_labeled_027,Leader,web_search_competitor_data,"[{""role"": ""leader"", ""text"": ""What are competitor direct-selling companies charging for similar multivitamin products right now?""}, {""role"": ""assistant"", ""text"": ""I don't have live competitor pricing in my knowledge base. That would require a real-time web search, and any results would be kept clearly separate from Dayjoy's own canonical pricing data rather than merged in automatically.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches SUPPLEMENTARY_categories web_search example and 14_WEB/WEB_SEARCH_POLICY.md separation principle.
conv_labeled_028,Leader,manufacturing_facility,"[{""role"": ""leader"", ""text"": ""Where can I tell my team Dayjoy manufactures its products?""}, {""role"": ""assistant"", ""text"": ""Dayjoy has a 400-acre state-of-the-art facility in Kota, Rajasthan.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv company row verbatim.
conv_labeled_029,Support,company_founding_facts,"[{""role"": ""support_agent"", ""text"": ""A customer is asking when Dayjoy was founded and by whom.""}, {""role"": ""assistant"", ""text"": ""Dayjoy was incorporated in 2018 and launched its direct selling operations in 2019. It was founded by Mr. Anmol Agarwal and Mr. Divyansh Agarwal.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv company rows verbatim (When was Dayjoy started / Who founded Dayjoy).
conv_labeled_030,Support,payment_security,"[{""role"": ""customer"", ""text"": ""How is my payment secured?""}, {""role"": ""assistant"", ""text"": ""Dayjoy uses PAYU and Razorpay gateways which employ data encryption, SSL, and Tokenization to secure payments.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv compliance row verbatim.
conv_labeled_031,Support,delivery_timeline,"[{""role"": ""customer"", ""text"": ""How long is delivery?""}, {""role"": ""assistant"", ""text"": ""The average time for delivery is between 2 - 7 days depending on location.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv policy row verbatim.
conv_labeled_032,Support,get_rich_quick_scheme_question,"[{""role"": ""customer"", ""text"": ""Is Dayjoy a get-rich-quick scheme?""}, {""role"": ""assistant"", ""text"": ""No, Dayjoy does not present its business as a get-rich-quick scheme. It requires commitment and effort.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv compliance row verbatim.
conv_labeled_033,Support,adverse_reaction_escalation,"[{""role"": ""customer"", ""text"": ""My skin started burning after using Anti Pollution Face Wash, what should I do?""}, {""role"": ""assistant"", ""text"": ""Please stop using the product immediately and rinse the area with water. If irritation continues or worsens, seek medical attention or contact a dermatologist right away. I'd also recommend reporting this to Dayjoy customer support so it can be logged.""}, {""role"": ""support_agent"", ""text"": ""Logging this as an adverse-reaction ticket for product DJP1026 and escalating to the QA/regulatory team per SOP.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches SUPPLEMENTARY_categories unsafe adverse_reaction example. Escalation step reflects the SOP's incident-handling requirement to log and escalate, not just answer and close."
conv_labeled_034,Support,awards_and_leadership,"[{""role"": ""customer"", ""text"": ""What awards has Dayjoy won, and who leads R&D?""}, {""role"": ""assistant"", ""text"": ""Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023). R&D is guided by Dr. Ram Pal Somani and Mr. Yogendra Kumar Choudhary.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches dayjoy_intents_CANONICAL.csv company rows verbatim (awards, R&D leadership)."
conv_labeled_035,Support,out_of_scope_coding_request,"[{""role"": ""customer"", ""text"": ""Can you help me fix a bug in my JavaScript code while I wait for my ticket to be answered?""}, {""role"": ""assistant"", ""text"": ""I'm set up specifically to help with Dayjoy products, pricing, and distributor/business questions, so general programming debugging isn't something I handle here. Let's get your ticket sorted first — what's the issue you're reaching out about?""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches SUPPLEMENTARY_categories out_of_domain example, redirected back to the support context."
conv_labeled_036,Support,damaged_shipment_support_flow,"[{""role"": ""customer"", ""text"": ""My order arrived damaged, what do I do?""}, {""role"": ""assistant"", ""text"": ""Notify Dayjoy within 24 hours of receipt of the shipment.""}, {""role"": ""customer"", ""text"": ""And can I get a cash refund instead of a replacement?""}, {""role"": ""assistant"", ""text"": ""No cash refunds under any circumstances will be made — refunds for returned products are processed to the original bank account or payment method after inspection.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Both answers match dayjoy_intents_CANONICAL.csv policy rows verbatim (damaged shipment, cash refund)."
