Product Name,Sub-Brand,Category/Type,Key Benefits,Ingredients,How to Consume/Use,Pack Size,MRP (INR)
Total Joy Rice Bran Oil,Aayushmaan,Cooking oil,Light/less greasy; Vitamins A&D; high smoke point; antioxidants; heart health (Oryzanol),Rice Bran Oil,Cooking use,1L/2L Pouch,299 / 599
Jaljira,Aayushmaan,Organic spice blend,Cooling; digestion aid; tangy zesty flavor,Organic spices/herbs,Culinary use,100g,65
Organic Jeera,Aayushmaan,Organic spice,Digestion support; warm earthy flavor,Organic cumin seeds,Culinary use,250g,199
Kasuri Methi,Aayushmaan,Organic spice,Rich aroma; digestion support,Organic fenugreek leaves,Culinary use,50g,59
Rai,Aayushmaan,Organic spice,Bold pungent flavor; digestion support,Organic mustard seeds,Culinary use,250g,99
YumDum Organic Black Salt,YumDum,Organic salt,Digestion; hydration; tangy chatpata flavor,Black Salt,Culinary use,Sprinkler 200g,59
YumDum Himalayan Pink Salt,YumDum,Organic salt,Digestion; hydration; clean subtle taste,Himalayan Pink Salt,Culinary use,Sprinkler 200g,75
Veg Biryani with Shahi Gravy,YumDum,Ready-to-eat meal,Convenient; authentic taste; no preservatives,"Basmati rice, spices",Heat & eat,140g pack,199
Ghee Rava Upma with Bhujia,YumDum,Ready-to-eat meal,Light yet satisfying; South Indian semolina dish,"Semolina, spices, bhujia",Heat & eat,75g pack,99
Poha with Bhujia,YumDum,Ready-to-eat meal,Quick healthy breakfast/snack,"Flattened rice, spices, bhujia",Heat & eat,80g pack,99
Dishwash Liquid Gel,HomeShine,Home care,Grease-fighting; gentle on hands; removes odors; refreshing fragrance,Natural ingredients,Household use,500ml Bottle,189
Toilet Bowl Cleaner,HomeShine,Home care,Removes stains; kills germs; eliminates odor; long-lasting freshness,NA,Household use,500ml Bottle,149
Surface Cleaner,HomeShine,Home care,Multi-purpose; removes dirt/stains/germs; fresh fragrance,NA,Household use,500ml Bottle,179
Liquid Detergent,HomeShine,Home care,Removes tough stains; keeps fabric soft; colorfast; long-lasting freshness,NA,Household use,1L Bottle,449
Premium Suit Length,Domatti,Clothing fabric,Sweat/odor/stain resistance; elasticity; UV protection; mosquito repelling; breathable,Nano fabric technology,Tailoring use,NA,10000
Dayjoy T-shirt,Domatti,Clothing,Comfort; durability; perfect fit; moisture-wicking,Breathable fabric,Wear daily,Sizes M/L/XL,699
Dayjoy Necktie,Domatti,Accessory,Premium fabric; sleek finish; elegance,Premium fabric,Wear as needed,NA,499
Prosperous+,HappyGrow,Agri growth booster,Faster plant growth; stress/pest/disease resistance; more flowering/fruiting; better fruit quality; nutrient absorption,Liquid bio-formula,5ml/L water general; 1L in 200L water per acre,1L Bottle,1499
Happy Soil,HappyGrow,Soil conditioner,Moisture/nutrient retention; soil wetting; buffers fertilizer leaching; seedling vigor; root development,"Humic Acid, Fulvic Acid",1L in 200L water/acre every 15-20 days,500ml Bottle,849
Joy Spread 80+ Gold,HappyGrow,Spray adjuvant,Enhances pest wetting; adjusts spray pH; uniform deposits; boosts pesticide penetration,Surfactant blend,5ml (insecticide)/15ml (herbicide) per 15L tank,100/250ml Bottle,249 / 499
JoyProtect,HappyGrow,Pest control,Resists insect attacks; improves plant health; defends against sucking pests; reduces pesticide use,Neem & natural compounds,30-50ml per 15L tank every 15 days,500ml Bottle,1499
Joy O-Zyme,HappyGrow,Bio-stimulant,Enhances germination; improves soil health; boosts pigments; stress tolerance; nutrient chelation,Plant-based amino acids/enzymes,1-2ml/L foliar spray; 500ml/acre soil application,500ml Bottle,1499
Joygrow 2X (Granules),HappyGrow,Organic soil amendment,Increases crop yield; improves soil health; boosts root formation; nutrient uptake,Organic matter granules,"2kg/acre, twice at 15-20 day intervals",Pack of 2kg,999
JoyCalcium,HappyGrow,Animal calcium supplement,Boosts milk production; improves fat content; bone/teeth strength; digestion/immunity; reproductive health,"Calcium, Phosphorus, Zinc, Magnesium, Vitamins A/D3/E/B12, Biotin, Protein",60-70ml/day lactating cattle; 50ml dry cattle; 20-30ml calves; 10ml/bird poultry,2L Bottle,1049
Aqua Energiser,Aqua Essentials,Wellness pad,Improves circulation/hydration; boosts oxygen absorption; calmness; mood/mental clarity; immunity support,Quantum/electron affinity technology,Facial massage / water treatment use,Pack of 3,9000
