Product_Name,Mentioned_For,Category,Source_Page,Recommendation_ID
ALOE VERA GUAVA JUICE,Frequent Urination,DIABETES,61,REC-0006
ALOE VERA GUAVA JUICE,Increased Thirst,DIABETES,61,REC-0005
ALOE VERA GUAVA JUICE,Slow Healing Sores,DIABETES,61,REC-0011
ALOE VERA GUAVA JUICE,Tingling Sensations and Numbness,DIABETES,61,REC-0012
ALOE VERA GUAVA JUICE,Unexplained Weight loss,DIABETES,61,REC-0007
ALOE VERA GUAVA JUICE,Abdominal Pain,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0042
ALOE VERA GUAVA JUICE,Bloating,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0037
ALOE VERA GUAVA JUICE,Constipation,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0043
ALOE VERA GUAVA JUICE,Excessive Production of Gastric Acid,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0036
ALOE VERA GUAVA JUICE,Gas,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0038
ALOE VERA GUAVA JUICE,Heartburn,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0041
ALOE VERA GUAVA JUICE,Loss of Appetite,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0040
ALOE VERA GUAVA JUICE,Vomiting,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0039
ALOE VERA GUAVA JUICE,Decreased Immunity,GENERAL HEALTH & WELL-BEING,60,REC-0004
ALOE VERA GUAVA JUICE,Burning Urination,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0116
ALOE VERA GUAVA JUICE,Excessive drowsiness,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0111
ALOE VERA GUAVA JUICE,Frequent Urination,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0115
ALOE VERA GUAVA JUICE,Pain or pressure in your chest,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0114
ALOE VERA GUAVA JUICE,Persistent nausea,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0113
ALOE VERA GUAVA JUICE,Reduced amount of urine,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0109
ALOE VERA GUAVA JUICE,Shortness of breath,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0112
ALOE VERA GUAVA JUICE,Swelling in legs ankles and feet from retention of fluids,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",77,REC-0110
ALOE VERA GUAVA JUICE,Continuous Fatigue,LIVER DISEASES,64,REC-0032
ALOE VERA GUAVA JUICE,Dark Urine,LIVER DISEASES,64,REC-0027
ALOE VERA GUAVA JUICE,Decreased Appetite,LIVER DISEASES,64,REC-0031
ALOE VERA GUAVA JUICE,Easy Bruising,LIVER DISEASES,64,REC-0034
ALOE VERA GUAVA JUICE,Indigestion,LIVER DISEASES,64,REC-0035
ALOE VERA GUAVA JUICE,Itchy Skin,LIVER DISEASES,64,REC-0033
ALOE VERA GUAVA JUICE,Nausea/Vomiting,LIVER DISEASES,64,REC-0030
ALOE VERA GUAVA JUICE,"Pale, Bloody, or Black Stool",LIVER DISEASES,64,REC-0028
ALOE VERA GUAVA JUICE,"Swollen Ankles, Legs or Abdomen",LIVER DISEASES,64,REC-0029
ALOE VERA GUAVA JUICE,Yellow Skin and Eyes,LIVER DISEASES,64,REC-0026
ALOE VERA GUAVA JUICE,"Acne, Psoriasis",SKIN PROBLEMS,73,REC-0092
ALOE VERA GUAVA JUICE,Aging,SKIN PROBLEMS,73,REC-0090
ALOE VERA GUAVA JUICE,Dry Skin,SKIN PROBLEMS,73,REC-0088
ALOE VERA GUAVA JUICE,Photo Damage (UV Rays),SKIN PROBLEMS,73,REC-0087
ALOE VERA GUAVA JUICE,Skin Disorders,SKIN PROBLEMS,73,REC-0091
ALOE VERA GUAVA JUICE,Slow Wound Healing,SKIN PROBLEMS,73,REC-0089
AMPLE MEAL,Changes in Vision,WEIGHT MANAGEMENT,72,REC-0085
AMPLE MEAL,Difficulty in Breathing,WEIGHT MANAGEMENT,72,REC-0082
AMPLE MEAL,Heart Palpitations,WEIGHT MANAGEMENT,72,REC-0083
AMPLE MEAL,Rapid Weight Gain,WEIGHT MANAGEMENT,72,REC-0086
AMPLE MEAL,Shortness of Breath,WEIGHT MANAGEMENT,72,REC-0081
AMPLE MEAL,Skin Sensitivity,WEIGHT MANAGEMENT,72,REC-0080
AMPLE MEAL,Sweating,WEIGHT MANAGEMENT,72,REC-0084
AROGYA CHURN,Abdominal Pain,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0042
AROGYA CHURN,Bloating,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0037
AROGYA CHURN,Constipation,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0043
AROGYA CHURN,Excessive Production of Gastric Acid,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0036
AROGYA CHURN,Gas,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0038
AROGYA CHURN,Heartburn,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0041
AROGYA CHURN,Loss of Appetite,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0040
AROGYA CHURN,Vomiting,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0039
AROGYA CHURN + ALOE VERA GUAVA JUICE,Bright Red Blood in Stools an Itchy Anus,PILES/FISSURE,66,REC-0044
AROGYA CHURN + ALOE VERA GUAVA JUICE,Feeling Like You Still Need To Poo After going to the Toilet,PILES/FISSURE,66,REC-0045
AROGYA CHURN + ALOE VERA GUAVA JUICE,Pain Around Your Anus,PILES/FISSURE,66,REC-0047
AROGYA CHURN + ALOE VERA GUAVA JUICE,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom,PILES/FISSURE,66,REC-0046
ASTHEAL COUGH SYRUP,Breathlessness,RESPIRATORY HEALTH,68,REC-0059
ASTHEAL COUGH SYRUP,"Cough, Sore Throat",RESPIRATORY HEALTH,68,REC-0058
ASTHEAL COUGH SYRUP,Fatigue,RESPIRATORY HEALTH,68,REC-0061
ASTHEAL COUGH SYRUP,Fever,RESPIRATORY HEALTH,68,REC-0057
ASTHEAL COUGH SYRUP,Headache,RESPIRATORY HEALTH,68,REC-0056
ASTHEAL COUGH SYRUP,Irritability,RESPIRATORY HEALTH,68,REC-0062
ASTHEAL COUGH SYRUP,Pneumonia,RESPIRATORY HEALTH,68,REC-0060
ASTHEAL COUGH SYRUP,Running Nose,RESPIRATORY HEALTH,68,REC-0055
ASTHEAL COUGH SYRUP,Sleep Disturbances,RESPIRATORY HEALTH,68,REC-0063
ASTHPRASH,Breathlessness,RESPIRATORY HEALTH,68,REC-0059
ASTHPRASH,"Cough, Sore Throat",RESPIRATORY HEALTH,68,REC-0058
ASTHPRASH,Fatigue,RESPIRATORY HEALTH,68,REC-0061
ASTHPRASH,Fever,RESPIRATORY HEALTH,68,REC-0057
ASTHPRASH,Headache,RESPIRATORY HEALTH,68,REC-0056
ASTHPRASH,Irritability,RESPIRATORY HEALTH,68,REC-0062
ASTHPRASH,Pneumonia,RESPIRATORY HEALTH,68,REC-0060
ASTHPRASH,Running Nose,RESPIRATORY HEALTH,68,REC-0055
ASTHPRASH,Sleep Disturbances,RESPIRATORY HEALTH,68,REC-0063
ASTHPRASH,Blocked or stuffy (congested) nose causing difficulty breathing through nose,SINUSITIS,81,REC-0145
ASTHPRASH,Drainage down the back of the throat,SINUSITIS,81,REC-0144
ASTHPRASH,Nasal inflammation,SINUSITIS,81,REC-0142
ASTHPRASH,Pain,SINUSITIS,81,REC-0146
ASTHPRASH,Reduced sense of smell and taste,SINUSITIS,81,REC-0147
ASTHPRASH,Runny nose,SINUSITIS,81,REC-0143
CALCIUM TABLET,Back Pain or Joints Pain,BONE & JOINT PROBLEMS,63,REC-0021
CALCIUM TABLET,Fatigue,BONE & JOINT PROBLEMS,63,REC-0025
CALCIUM TABLET,Inflammation & Swelling,BONE & JOINT PROBLEMS,63,REC-0023
CALCIUM TABLET,Joint Stiffness & Noises (Crepitations),BONE & JOINT PROBLEMS,63,REC-0022
CALCIUM TABLET,Tenderness,BONE & JOINT PROBLEMS,63,REC-0024
CALCIUM TABLET,Dementia,ELDERLY PEOPLE HEALTH,80,REC-0135
CALCIUM TABLET,Difficult in healing physical injuries,ELDERLY PEOPLE HEALTH,80,REC-0137
CALCIUM TABLET,Generalised Pain,ELDERLY PEOPLE HEALTH,80,REC-0141
CALCIUM TABLET,Malnutrition,ELDERLY PEOPLE HEALTH,80,REC-0138
CALCIUM TABLET,Mental Disorder,ELDERLY PEOPLE HEALTH,80,REC-0136
CALCIUM TABLET,Oral Health Problems,ELDERLY PEOPLE HEALTH,80,REC-0140
CALCIUM TABLET,Sensory Impairment,ELDERLY PEOPLE HEALTH,80,REC-0139
CALCIUM TABLET,Poor Hair Health,HAIR/NAIL HEALTH,83,REC-0157
CALCIUM TABLET,Poor Nail Health,HAIR/NAIL HEALTH,83,REC-0158
DIBEAT TABLETS,Blurred Vision,DIABETES,61,REC-0010
DIBEAT TABLETS,Extreme Hunger,DIABETES,61,REC-0008
DIBEAT TABLETS,Fatigue,DIABETES,61,REC-0009
DIBEAT TABLETS,Frequent Urination,DIABETES,61,REC-0006
DIBEAT TABLETS,Increased Thirst,DIABETES,61,REC-0005
DIBEAT TABLETS,Slow Healing Sores,DIABETES,61,REC-0011
DIBEAT TABLETS,Tingling Sensations and Numbness,DIABETES,61,REC-0012
DIBEAT TABLETS,Unexplained Weight loss,DIABETES,61,REC-0007
EYE ELIXIR DROPS,Allergic Conjunctivitis,EYE HEALTH,79,REC-0133
EYE ELIXIR DROPS,Blurred Vision,EYE HEALTH,79,REC-0132
EYE ELIXIR DROPS,Dry Eye,EYE HEALTH,79,REC-0127
EYE ELIXIR DROPS,Eye Cancer & Tumors,EYE HEALTH,79,REC-0129
EYE ELIXIR DROPS,Eye Floaters,EYE HEALTH,79,REC-0128
EYE ELIXIR DROPS,Night Blindness,EYE HEALTH,79,REC-0134
EYE ELIXIR DROPS,Red Eyes,EYE HEALTH,79,REC-0131
EYE ELIXIR DROPS,Strain in the Eyes,EYE HEALTH,79,REC-0125
EYE ELIXIR DROPS,Tears in the Eyes,EYE HEALTH,79,REC-0126
EYE ELIXIR DROPS,Tired Eyes,EYE HEALTH,79,REC-0130
EYE HEALTH++ TABLETS,Allergic Conjunctivitis,EYE HEALTH,79,REC-0133
EYE HEALTH++ TABLETS,Blurred Vision,EYE HEALTH,79,REC-0132
EYE HEALTH++ TABLETS,Dry Eye,EYE HEALTH,79,REC-0127
EYE HEALTH++ TABLETS,Eye Cancer & Tumors,EYE HEALTH,79,REC-0129
EYE HEALTH++ TABLETS,Eye Floaters,EYE HEALTH,79,REC-0128
EYE HEALTH++ TABLETS,Night Blindness,EYE HEALTH,79,REC-0134
EYE HEALTH++ TABLETS,Red Eyes,EYE HEALTH,79,REC-0131
EYE HEALTH++ TABLETS,Strain in the Eyes,EYE HEALTH,79,REC-0125
EYE HEALTH++ TABLETS,Tears in the Eyes,EYE HEALTH,79,REC-0126
EYE HEALTH++ TABLETS,Tired Eyes,EYE HEALTH,79,REC-0130
GAS-O-FREE SYRUP,Abdominal Pain,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0042
GAS-O-FREE SYRUP,Bloating,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0037
GAS-O-FREE SYRUP,Constipation,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0043
GAS-O-FREE SYRUP,Excessive Production of Gastric Acid,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0036
GAS-O-FREE SYRUP,Gas,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0038
GAS-O-FREE SYRUP,Heartburn,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0041
GAS-O-FREE SYRUP,Loss of Appetite,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0040
GAS-O-FREE SYRUP,Vomiting,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0039
GAS-O-FREE SYRUP,Abnormal Heart Rhythms,HEART DISEASES,62,REC-0013
GAS-O-FREE SYRUP,Chest Pain,HEART DISEASES,62,REC-0015
GAS-O-FREE SYRUP,Dizziness or Fainting,HEART DISEASES,62,REC-0019
GAS-O-FREE SYRUP,Fatigue,HEART DISEASES,62,REC-0018
GAS-O-FREE SYRUP,High Blood Pressure,HEART DISEASES,62,REC-0014
GAS-O-FREE SYRUP,Palpitations,HEART DISEASES,62,REC-0020
GAS-O-FREE SYRUP,Shortness of Breath,HEART DISEASES,62,REC-0016
GAS-O-FREE SYRUP,Swollen Ankles,HEART DISEASES,62,REC-0017
GAS-O-FREE SYRUP,Continuous Fatigue,LIVER DISEASES,64,REC-0032
GAS-O-FREE SYRUP,Dark Urine,LIVER DISEASES,64,REC-0027
GAS-O-FREE SYRUP,Decreased Appetite,LIVER DISEASES,64,REC-0031
GAS-O-FREE SYRUP,Easy Bruising,LIVER DISEASES,64,REC-0034
GAS-O-FREE SYRUP,Indigestion,LIVER DISEASES,64,REC-0035
GAS-O-FREE SYRUP,Itchy Skin,LIVER DISEASES,64,REC-0033
GAS-O-FREE SYRUP,Nausea/Vomiting,LIVER DISEASES,64,REC-0030
GAS-O-FREE SYRUP,"Pale, Bloody, or Black Stool",LIVER DISEASES,64,REC-0028
GAS-O-FREE SYRUP,"Swollen Ankles, Legs or Abdomen",LIVER DISEASES,64,REC-0029
GAS-O-FREE SYRUP,Yellow Skin and Eyes,LIVER DISEASES,64,REC-0026
GAS-O-FREE SYRUP,Bright Red Blood in Stools an Itchy Anus,PILES/FISSURE,66,REC-0044
GAS-O-FREE SYRUP,Feeling Like You Still Need To Poo After going to the Toilet,PILES/FISSURE,66,REC-0045
GAS-O-FREE SYRUP,Pain Around Your Anus,PILES/FISSURE,66,REC-0047
GAS-O-FREE SYRUP,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom,PILES/FISSURE,66,REC-0046
GO PILES TABLETS,Bright Red Blood in Stools an Itchy Anus,PILES/FISSURE,66,REC-0044
GO PILES TABLETS,Feeling Like You Still Need To Poo After going to the Toilet,PILES/FISSURE,66,REC-0045
GO PILES TABLETS,Pain Around Your Anus,PILES/FISSURE,66,REC-0047
GO PILES TABLETS,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom,PILES/FISSURE,66,REC-0046
GOLDEN ELIXIR,Back Pain or Joints Pain,BONE & JOINT PROBLEMS,63,REC-0021
GOLDEN ELIXIR,Fatigue,BONE & JOINT PROBLEMS,63,REC-0025
GOLDEN ELIXIR,Inflammation & Swelling,BONE & JOINT PROBLEMS,63,REC-0023
GOLDEN ELIXIR,Joint Stiffness & Noises (Crepitations),BONE & JOINT PROBLEMS,63,REC-0022
GOLDEN ELIXIR,Tenderness,BONE & JOINT PROBLEMS,63,REC-0024
GOLDEN ELIXIR,Difficulty in Planning and Carrying out tasks,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0097
GOLDEN ELIXIR,Disturbed Concentration,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0093
GOLDEN ELIXIR,Memory loss,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0095
GOLDEN ELIXIR,Sleeplessness,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0094
GOLDEN ELIXIR,Trouble in Exercising Judgment,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0096
GOLDEN ELIXIR,Blurred Vision,DIABETES,61,REC-0010
GOLDEN ELIXIR,Extreme Hunger,DIABETES,61,REC-0008
GOLDEN ELIXIR,Fatigue,DIABETES,61,REC-0009
GOLDEN ELIXIR,Frequent Urination,DIABETES,61,REC-0006
GOLDEN ELIXIR,Increased Thirst,DIABETES,61,REC-0005
GOLDEN ELIXIR,Slow Healing Sores,DIABETES,61,REC-0011
GOLDEN ELIXIR,Tingling Sensations and Numbness,DIABETES,61,REC-0012
GOLDEN ELIXIR,Unexplained Weight loss,DIABETES,61,REC-0007
GOLDEN ELIXIR,Dementia,ELDERLY PEOPLE HEALTH,80,REC-0135
GOLDEN ELIXIR,Difficult in healing physical injuries,ELDERLY PEOPLE HEALTH,80,REC-0137
GOLDEN ELIXIR,Generalised Pain,ELDERLY PEOPLE HEALTH,80,REC-0141
GOLDEN ELIXIR,Malnutrition,ELDERLY PEOPLE HEALTH,80,REC-0138
GOLDEN ELIXIR,Mental Disorder,ELDERLY PEOPLE HEALTH,80,REC-0136
GOLDEN ELIXIR,Oral Health Problems,ELDERLY PEOPLE HEALTH,80,REC-0140
GOLDEN ELIXIR,Sensory Impairment,ELDERLY PEOPLE HEALTH,80,REC-0139
GOLDEN ELIXIR,Allergic Conjunctivitis,EYE HEALTH,79,REC-0133
GOLDEN ELIXIR,Blurred Vision,EYE HEALTH,79,REC-0132
GOLDEN ELIXIR,Dry Eye,EYE HEALTH,79,REC-0127
GOLDEN ELIXIR,Eye Cancer & Tumors,EYE HEALTH,79,REC-0129
GOLDEN ELIXIR,Eye Floaters,EYE HEALTH,79,REC-0128
GOLDEN ELIXIR,Night Blindness,EYE HEALTH,79,REC-0134
GOLDEN ELIXIR,Red Eyes,EYE HEALTH,79,REC-0131
GOLDEN ELIXIR,Strain in the Eyes,EYE HEALTH,79,REC-0125
GOLDEN ELIXIR,Tears in the Eyes,EYE HEALTH,79,REC-0126
GOLDEN ELIXIR,Tired Eyes,EYE HEALTH,79,REC-0130
GOLDEN ELIXIR,Depression & Anxiety,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0070
GOLDEN ELIXIR,Hormonal Imbalance,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0071
GOLDEN ELIXIR,"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)",FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0069
GOLDEN ELIXIR,Stress,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0068
GOLDEN ELIXIR,Chest Pain,FEMALE HEALTH (WEAKNESS),71,REC-0078
GOLDEN ELIXIR,Cold Hands and Feet,FEMALE HEALTH (WEAKNESS),71,REC-0079
GOLDEN ELIXIR,Dizziness or Light Headedness,FEMALE HEALTH (WEAKNESS),71,REC-0076
GOLDEN ELIXIR,Fatigue,FEMALE HEALTH (WEAKNESS),71,REC-0072
