gap_id,phase,category,description,affected_files,requires_human_decision,fix_type,status
G013,Phase2,product_master,warnings populated 1/170 and contraindications populated 1/170 - near-total content gap for safety-relevant fields,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Yes,needs_new_source_material,"RE-INVESTIGATED 2026-08-10 — the product brochure PDF was discovered to be a scanned/image-based file never fully OCR'd in any prior pass; all 78 pages rendered and OCR'd (Tesseract), recovering 14 dosage cells, 1 contraindications cell (JuniorJoy), 1 ingredients cell. Warnings still 1/170 and contraindications now 2/170 — confirmed via full-text re-read that the brochure is marketing collateral and genuinely contains per-product safety language for only ~2 of 170 products. This is now a confirmed source-material ceiling, not an extraction gap — see 01_CANONICAL/products/T002_BROCHURE_REEXTRACTION_SUMMARY.md. remains_open, needs a new document from Dayjoy (e.g. product labels/regulatory data sheet)"
G014,Phase2,product_master,3 pricing conflicts from the 86-item catalog merge remain unresolved by design,01_CANONICAL/products/catalog86_pricing_crosscheck_conflicts.csv,Yes,needs_human_decision,"FIXED 2026-08-10 — all 3 (Deep Cleansing Face Wash, Prosperous+, Aqua Energiser) re-investigated and found to be wrong-SKU cross-check errors, not real pricing disagreements; corrected SKUs applied, status changed to RESOLVED_NOT_A_CONFLICT_WRONG_SKU_MATCH"
G015,Phase3,pricing_master,sku is 0% populated in dayjoy_price_list_may2026.csv (CSV/JSON/SQL) - no durable join key to product master,01_CANONICAL/pricing/dayjoy_price_list_may2026.*,No,structural_fix,FIXED — sku backfilled 170/170 via verified name-join
G016,Phase3,pricing_master,No product_id column exists in the pricing file at all,01_CANONICAL/pricing/dayjoy_price_list_may2026.*,No,structural_fix,"FIXED — product_id column added, 170/170 populated"
G017,Phase3,pricing_master,pv is 0% populated in the pricing file despite existing as a column and being fully populated in the product master,01_CANONICAL/pricing/dayjoy_price_list_may2026.*,No,structural_fix,FIXED — pv backfilled 170/170
G018,Phase3,pricing_master,19/170 rows missing bv in the pricing CSV where the product master has a value,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv,No,structural_fix,FIXED — bv backfilled 19/19 previously-missing rows
G019,Phase3,pricing_master,dayjoy_price_list_extracted_from_pdf.csv is a corrupted superseded draft sitting unlabeled next to the authoritative file,01_CANONICAL/pricing/dayjoy_price_list_extracted_from_pdf.csv,No,structural_fix_label_and_archive,"FIXED — labeled superseded via 01_CANONICAL/pricing/README.md, archived copy in 99_ARCHIVE/superseded/, original left untouched in place"
G020,Phase3,pricing_master,No effective_to / price-history mechanism exists anywhere - only a single current price is ever stored,01_CANONICAL/pricing/,Yes,needs_schema_design_not_a_data_fix,remains_open
G021,Phase3,pricing_master,No documented authority statement naming which pricing representation is canonical if they ever diverge,08_GOVERNANCE/source_registry/,No,structural_fix,FIXED — PRICING_AUTHORITY_STATEMENT.md written naming dayjoy_price_list_may2026.csv authoritative
G022,Phase3,pricing_master,source_page is a coarse 4-page range not a per-product page citation; source_file string has a filename-formatting mismatch vs the actual file on disk,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv,No,not_fixed_low_priority,remains_open
G023,CrossData,linkage,FAQ file's product_id column is a meaningless row-sequence number unrelated to the product master's product_id; sku or product_code is the real join key,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv,No,documentation_fix,FIXED — documented in 04_CROSS_DATA_VALIDATION.md and source_registry README; sku/product_code confirmed as the safe join key
G024,CrossData,linkage,Pricing conflict-tracking file uses a different schema (no status column) than the compensation conflict-tracking file,01_CANONICAL/products/catalog86_pricing_crosscheck_conflicts.csv,No,structural_fix,FIXED — status column added to catalog86_pricing_crosscheck_conflicts.csv matching compensation conflicts schema
G025,CrossData,relationships,02_RELATIONSHIPS/product_relationships/dayjoy_product_relationships.csv exists but is not wired into the product master's similar_product_ids/related_product_ids columns,02_RELATIONSHIPS/product_relationships/dayjoy_product_relationships.csv,No,deferred_needs_verification,"FIXED — wired into product master (similar_product_ids 170/170, related_product_ids 46/170) using relationship_type/recommended_combination/budget_to_premium_variant fields; documented mapping choice in fix agent report"
G026,CarriedOver,compensation,3 compensation figures remain CONFLICT_UNRESOLVED between an unsourced legacy file and the OCR-verified GrowthX PDF,01_CANONICAL/compensation/dayjoy_compensation_conflicts.csv,Yes,needs_human_decision,"RE-INVESTIGATED 2026-08-10 — GrowthX PDF pages 30/33/34 re-read a second time specifically for disambiguating context; none found. additional_context_found_on_reinvestigation column added documenting the re-check. All 3 correctly remain CONFLICT_UNRESOLVED — this is a genuine source-material ceiling requiring a Dayjoy human decision, confirmed by active re-investigation, not an unexamined gap."
G026B,CarriedOver,compensation,"New finding (documented in prior pass, resolved this pass): a second, uncorroborated compensation document (distributor_system_narrative_UNSTRUCTURED.md) described materially different bonus structures than the verified GrowthX PDF",01_CANONICAL/compensation/compensation_gap_report.csv,No,structural_fix,"FIXED 2026-08-10 — traced via file_inventory.csv and the archived 05_RESEARCH_LOG.md to its true origin: it is Mission 4 output of a 12-mission AI web-research pipeline (artifacts.zip), never an official Dayjoy document. Its own Section 21.4 doesn't include the Business_compensation_plan.pdf it cites (only an unfetched URL). Risk downgraded from 'real conflicting source' to 'confirmed non-authoritative, informational only.' compensation_gap_report.csv and 01_CANONICAL/compensation/README.md updated."
G027,CarriedOver,catalog,"1 of 86 catalog items (""Neem & Aloevera Herbal Soap"") has no confident match to the canonical product master",01_CANONICAL/products/dayjoy_products_catalog_86items_UNMATCHED.csv,Yes,needs_human_decision,"RE-CHECKED 2026-08-10, still remains_open — best candidate DJ-PER-0041 Neem & Tulsi Herbal Soap now additionally corroborated by exact price/pack match (MRP 147, Pack of 3 100g, Wild Muse) but ingredient name conflicts (Aloe Vera vs Tulsi); NOT auto-merged, flagged for human decision in dayjoy_products_catalog_86items_UNMATCHED.csv"
G028,CarriedOver,embeddings,Embeddings are deliberately not generated pending resolution of the gate items above,04_RAG/embeddings_manifest/,No,gated_by_design,remains_open
G029,CarriedOver,website,No website snapshot has been captured yet,00_SOURCE_DOCUMENTS/website_snapshots/,No,needs_new_source_material,remains_open
G030,NewThisPass,rag,"2,242 RAG chunks contained 1,360 (61%) duplicate/near-duplicate rows, mostly redundant 'information not available' placeholder text",04_RAG/chunks/dayjoy_rag_chunks_CANONICAL.csv,No,structural_fix,"FIXED 2026-08-10 — deduplicated 77 duplicate-text groups, dropped 1,360 redundant rows, kept the most metadata-complete representative per group. 2,242 -> 882 rows. Verified 0 content lost, 0 orphan SKU references post-dedup. Pre-dedup version archived to 99_ARCHIVE/superseded/dayjoy_rag_chunks_CANONICAL_PRE_DEDUP_2026-08-09.csv. See 04_RAG/chunks/RAG_DEDUP_SUMMARY.md"
G031,NewThisPass,company,"Company knowledge had real, findable gaps that had not yet been mined from source PDFs (FSSAI registration details, manufacturer addresses, tax IDs)",01_CANONICAL/company/dayjoy_company_knowledge.csv,No,structural_fix,"FIXED 2026-08-10 — deep-mined previously-underused PDFs; added real FSSAI License No. 12224999000129 (valid 12-03-2025 to 11-03-2030), 4 manufacturer addresses, PAN/IEC AAGCD8452J. Rows grew 65 -> 69 (43 VERIFIED / 26 UNVERIFIED). One new claim (a named VP leadership figure) added but heavily flagged UNVERIFIED due to weak third-party-only sourcing — not presented as fact."
G032,NewThisPass,support,"Shipping/Refund Policy gap had been reported as missing but not exhaustively re-verified against every candidate source in the most recent pass",01_CANONICAL/support/,No,documentation_only,"RE-VERIFIED 2026-08-10 — Dayjoy_Online_Shopping.pdf checked directly and confirmed to be a pure order-placement UI walkthrough with zero shipping/return policy content; two docx files that cite shipping/return numbers checked at their source and found to trace to third-party sites (Scribd/YouTube), not Dayjoy. Confirmed genuinely absent, not un-searched-for. New SLA-07 row added documenting this re-check. remains_open, needs Dayjoy to supply the real document."
