search_type,query,answer,product_id,confidence
product,Veg Biryani with Shahi Gravy category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",24.0,high
product,Poha with Bhujia price,"MRP 99.0, DP 67.0, BV 9.0",25.0,high
product,Poha with Bhujia category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",25.0,high
product,Upma with Bhujia price,"MRP 99.0, DP 71.0, BV 9.0",26.0,high
product,Upma with Bhujia category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",26.0,high
product,Anti Pollution Face Wash (150ml) price,"MRP 249.0, DP 165.0, BV 50.0",27.0,high
product,Anti Pollution Face Wash (150ml) category,"Category PERSONAL CARE, Brand Wild Muse",27.0,high
product,Anti Pollution Aloevera Face Wash (100ml) price,"MRP 135.0, DP 94.0, BV 23.0",28.0,high
product,Anti Pollution Aloevera Face Wash (100ml) category,"Category PERSONAL CARE, Brand Wild Muse",28.0,high
product,Aloevera Gel (100g) price,"MRP 150.0, DP 115.0, BV 36.0",29.0,high
product,Aloevera Gel (100g) category,"Category PERSONAL CARE, Brand Wild Muse",29.0,high
product,BR Rich Oil (200ml) price,"MRP 249.0, DP 165.0, BV 44.0",30.0,high
product,BR Rich Oil (200ml) category,"Category PERSONAL CARE, Brand Wild Muse",30.0,high
product,Daily Care Cream (60g) price,"MRP 149.0, DP 95.0, BV 30.0",31.0,high
product,Daily Care Cream (60g) category,"Category PERSONAL CARE, Brand Wild Muse",31.0,high
product,Luxury Saffron Soap (100g) price,"MRP 125.0, DP 82.0, BV 20.0",32.0,high
product,Luxury Saffron Soap (100g) category,"Category PERSONAL CARE, Brand Wild Muse",32.0,high
product,Ecofriendly Toothbrush (Pack of 2) price,"MRP 149.0, DP 100.0, BV 30.0",33.0,high
product,Ecofriendly Toothbrush (Pack of 2) category,"Category PERSONAL CARE, Brand Wild Muse",33.0,high
product,HerboSmile Herbal Toothpaste (100g) price,"MRP 125.0, DP 82.0, BV 20.0",34.0,high
product,HerboSmile Herbal Toothpaste (100g) category,"Category PERSONAL CARE, Brand Wild Muse",34.0,high
product,Hydra Aloevera Body Lotion (300ml) price,"MRP 349.0, DP 245.0, BV 76.0",35.0,high
product,Hydra Aloevera Body Lotion (300ml) category,"Category PERSONAL CARE, Brand Wild Muse",35.0,high
product,Kesham (100ml) price,"MRP 149.0, DP 91.0, BV 24.0",36.0,high
product,Kesham (100ml) category,"Category PERSONAL CARE, Brand Wild Muse",36.0,high
product,Luxwash Handwash (250ml) price,"MRP 150.0, DP 95.0, BV 17.0",37.0,high
product,Luxwash Handwash (250ml) category,"Category PERSONAL CARE, Brand Wild Muse",37.0,high
product,Milk & Keratin Extracts Shampoo (100ml) price,"MRP 175.0, DP 118.0, BV 33.0",38.0,high
product,Milk & Keratin Extracts Shampoo (100ml) category,"Category PERSONAL CARE, Brand Wild Muse",38.0,high
product,Milk Bath Soap (100g) price,"MRP 75.0, DP 52.0, BV 9.0",39.0,high
product,Milk Bath Soap (100g) category,"Category PERSONAL CARE, Brand Wild Muse",39.0,high
product,Milk Bath Soap (Pack of 3) (100g) price,"MRP 225.0, DP 150.0, BV 25.0",40.0,high
product,Milk Bath Soap (Pack of 3) (100g) category,"Category PERSONAL CARE, Brand Wild Muse",40.0,high
product,Neem & Tulsi Herbal Soap (100g) (Pack of 3) price,"MRP 147.0, DP 107.0, BV 19.0",41.0,high
product,Neem & Tulsi Herbal Soap (100g) (Pack of 3) category,"Category PERSONAL CARE, Brand Wild Muse",41.0,high
product,Regain Aloevera Shampoo (300ml) price,"MRP 349.0, DP 245.0, BV 76.0",42.0,high
product,Regain Aloevera Shampoo (300ml) category,"Category PERSONAL CARE, Brand Wild Muse",42.0,high
product,Sandalwood & Shahi Gulab Body Lotion (150ml) price,"MRP 249.0, DP 169.0, BV 56.0",43.0,high
product,Sandalwood & Shahi Gulab Body Lotion (150ml) category,"Category PERSONAL CARE, Brand Wild Muse",43.0,high
product,Sanitary Pad (XL) (Pack of 10) price,"MRP 249.0, DP 130.0, BV 40.0",44.0,high
product,Sanitary Pad (XL) (Pack of 10) category,"Category PERSONAL CARE, Brand Wild Muse",44.0,high
product,Sanitary Pad (XXL) (Pack of 10) price,"MRP 275.0, DP 150.0, BV 45.0",45.0,high
product,Sanitary Pad (XXL) (Pack of 10) category,"Category PERSONAL CARE, Brand Wild Muse",45.0,high
product,Seabuckthron Facial Kit (30g) (Pack of 6) price,"MRP 1349.0, DP 799.0, BV 290.0",46.0,high
product,Seabuckthron Facial Kit (30g) (Pack of 6) category,"Category PERSONAL CARE, Brand Wild Muse",46.0,high
product,Seabuckthron Cleanser (30g) price,"MRP 225.0, DP 145.0, BV 52.0",47.0,high
product,Seabuckthron Cleanser (30g) category,"Category PERSONAL CARE, Brand Wild Muse",47.0,high
product,Seabuckthron Scrub (30g) price,"MRP 225.0, DP 145.0, BV 52.0",48.0,high
product,Seabuckthron Scrub (30g) category,"Category PERSONAL CARE, Brand Wild Muse",48.0,high
product,Seabuckthron Massage Gel (30g) price,"MRP 225.0, DP 145.0, BV 52.0",49.0,high
product,Seabuckthron Massage Gel (30g) category,"Category PERSONAL CARE, Brand Wild Muse",49.0,high
product,Seabuckthron Massage Cream (30g) price,"MRP 225.0, DP 145.0, BV 52.0",50.0,high
product,Seabuckthron Massage Cream (30g) category,"Category PERSONAL CARE, Brand Wild Muse",50.0,high
product,Seabuckthron Face Pack (30g) price,"MRP 225.0, DP 145.0, BV 52.0",51.0,high
product,Seabuckthron Face Pack (30g) category,"Category PERSONAL CARE, Brand Wild Muse",51.0,high
product,Seabuckthron Facial Fluid (10ml) price,"MRP 225.0, DP 145.0, BV 52.0",52.0,high
product,Seabuckthron Facial Fluid (10ml) category,"Category PERSONAL CARE, Brand Wild Muse",52.0,high
product,Deep Cleansing Face Wash (100ml) price,"MRP 199.0, DP 139.0, BV 48.0",53.0,high
product,Deep Cleansing Face Wash (100ml) category,"Category PERSONAL CARE, Brand Wild Muse",53.0,high
product,Deep Cleansing Facewash (60ml) price,"MRP 125.0, DP 82.0, BV 21.0",54.0,high
product,Deep Cleansing Facewash (60ml) category,"Category PERSONAL CARE, Brand Wild Muse",54.0,high
product,WildMuse Premium Loofah price,"MRP 125.0, DP 99.0, BV 36.0",55.0,high
product,WildMuse Premium Loofah category,"Category PERSONAL CARE, Brand Wild Muse",55.0,high
product,Amla Reetha Sikakai Shampoo (100ml) price,"MRP 130.0, DP 110.0, BV 34.0",56.0,high
product,Amla Reetha Sikakai Shampoo (100ml) category,"Category PERSONAL CARE, Brand Wild Muse",56.0,high
product,Haldi Chandan Facewash (60ml) price,"MRP 85.0, DP 68.0, BV 18.0",57.0,high
product,Haldi Chandan Facewash (60ml) category,"Category PERSONAL CARE, Brand Wild Muse",57.0,high
product,Face Serum (30ml) price,"MRP 699.0, DP 499.0, BV 170.0",58.0,high
product,Face Serum (30ml) category,"Category SKIN CARE, Brand Amara Beauty",58.0,high
product,Gold Facial Kit price,"MRP 449.0, DP 310.0, BV 100.0",59.0,high
product,Gold Facial Kit category,"Category SKIN CARE, Brand Amara Beauty",59.0,high
product,Sunscreen SPF 50+ (50gm) price,"MRP 349.0, DP 299.0, BV 92.0",60.0,high
product,Sunscreen SPF 50+ (50gm) category,"Category SKIN CARE, Brand Amara Beauty",60.0,high
product,Hydra Max Moisturizer (50gm) price,"MRP 449.0, DP 369.0, BV 110.0",61.0,high
product,Hydra Max Moisturizer (50gm) category,"Category SKIN CARE, Brand Amara Beauty",61.0,high
product,AgeX Anti-Ageing Night Cream (50gm) price,"MRP 799.0, DP 599.0, BV 225.0",62.0,high
product,AgeX Anti-Ageing Night Cream (50gm) category,"Category SKIN CARE, Brand Amara Beauty",62.0,high
product,AcneX Anti-Acne Foaming Cleanser (100ml) price,"MRP 399.0, DP 299.0, BV 98.0",63.0,high
product,AcneX Anti-Acne Foaming Cleanser (100ml) category,"Category SKIN CARE, Brand Amara Beauty",63.0,high
product,Amara Beauty Kajal price,"MRP 299.0, DP 199.0, BV 65.0",64.0,high
product,Amara Beauty Kajal category,"Category COLOR COSMETICS, Brand Amara Beauty",64.0,high
product,Amara Beauty Eyeliner price,"MRP 399.0, DP 299.0, BV 105.0",65.0,high
product,Amara Beauty Eyeliner category,"Category COLOR COSMETICS, Brand Amara Beauty",65.0,high
product,Asthprash (300 grams) price,"MRP 2999.0, DP 1499.0, BV 720.0",66.0,high
product,Asthprash (300 grams) category,"Category HEALTH CARE, Brand Asthprash",66.0,high
product,Adicardial (120 Tab) price,"MRP 2099.0, DP 1325.0, BV 620.0",67.0,high
product,Adicardial (120 Tab) category,"Category HEALTH CARE, Brand Curind",67.0,high
product,Adicardial Syrup (500ml) price,"MRP 1399.0, DP 865.0, BV 400.0",68.0,high
product,Adicardial Syrup (500ml) category,"Category HEALTH CARE, Brand Curind",68.0,high
product,Adila Forte (30 Tab) price,"MRP 1499.0, DP 1030.0, BV 480.0",69.0,high
product,Adila Forte (30 Tab) category,"Category HEALTH CARE, Brand Curind",69.0,high
product,Adila Forte (60 Tab) price,"MRP 2999.0, DP 1875.0, BV 880.0",70.0,high
product,Adila Forte (60 Tab) category,"Category HEALTH CARE, Brand Curind",70.0,high
product,Adilipo (120 Tab) price,"MRP 2699.0, DP 1725.0, BV 840.0",71.0,high
product,Adilipo (120 Tab) category,"Category HEALTH CARE, Brand Curind",71.0,high
product,Adilipo (60 Tab) price,"MRP 1499.0, DP 950.0, BV 450.0",72.0,high
product,Adilipo (60 Tab) category,"Category HEALTH CARE, Brand Curind",72.0,high
product,Adiliv (60 Tab) price,"MRP 1199.0, DP 825.0, BV 375.0",73.0,high
product,Adiliv (60 Tab) category,"Category HEALTH CARE, Brand Curind",73.0,high
product,Aloevera with Guava Juice (1L) price,"MRP 1499.0, DP 710.0, BV 285.0",74.0,high
product,Aloevera with Guava Juice (1L) category,"Category HEALTH CARE, Brand Curind",74.0,high
product,Astheal Cough Syrup (100ml) price,"MRP 199.0, DP 99.0, BV 32.0",75.0,high
product,Astheal Cough Syrup (100ml) category,"Category HEALTH CARE, Brand Curind",75.0,high
product,Ashvagandha Extract (60 Veg Capsules) price,"MRP 499.0, DP 299.0, BV 110.0",76.0,high
product,Ashvagandha Extract (60 Veg Capsules) category,"Category HEALTH CARE, Brand Curind",76.0,high
product,Amla Extract (60 Veg Capsules) price,"MRP 499.0, DP 275.0, BV 100.0",77.0,high
product,Amla Extract (60 Veg Capsules) category,"Category HEALTH CARE, Brand Curind",77.0,high
product,Advanced Calcium Tablets price,"MRP 999.0, DP 325.0, BV 130.0",78.0,high
product,Advanced Calcium Tablets category,"Category HEALTH CARE, Brand Curind",78.0,high
product,Arogya Churn (100g) price,"MRP 189.0, DP 115.0, BV 40.0",79.0,high
product,Arogya Churn (100g) category,"Category HEALTH CARE, Brand Curind",79.0,high
product,Di-beat (60 Tab) price,"MRP 1199.0, DP 825.0, BV 375.0",80.0,high
product,Di-beat (60 Tab) category,"Category HEALTH CARE, Brand Curind",80.0,high
product,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml) price,"MRP 4999.0, DP 2849.0, BV 1320.0",81.0,high
product,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml) category,"Category HEALTH CARE, Brand Curind",81.0,high
product,Gas-O-Free (200ml) price,"MRP 599.0, DP 375.0, BV 160.0",82.0,high
product,Gas-O-Free (200ml) category,"Category HEALTH CARE, Brand Curind",82.0,high
product,Gas-O-Free (500ml) price,"MRP 1399.0, DP 865.0, BV 400.0",83.0,high
product,Gas-O-Free (500ml) category,"Category HEALTH CARE, Brand Curind",83.0,high
product,GoPiles (60 Tab) price,"MRP 1199.0, DP 825.0, BV 375.0",84.0,high
product,GoPiles (60 Tab) category,"Category HEALTH CARE, Brand Curind",84.0,high
product,GoPiles Syrup (500ml) price,"MRP 1399.0, DP 865.0, BV 400.0",85.0,high
product,GoPiles Syrup (500ml) category,"Category HEALTH CARE, Brand Curind",85.0,high
product,Giloe Extract (60 Veg Capsules) price,"MRP 499.0, DP 275.0, BV 100.0",86.0,high
product,Giloe Extract (60 Veg Capsules) category,"Category HEALTH CARE, Brand Curind",86.0,high
product,Eye Elixir Drops (10ml) price,"MRP 149.0, DP 100.0, BV 42.0",87.0,high
product,Eye Elixir Drops (10ml) category,"Category HEALTH CARE, Brand Curind",87.0,high
product,Eye Health++ (60 Capsules) price,"MRP 1799.0, DP 1099.0, BV 480.0",88.0,high
product,Eye Health++ (60 Capsules) category,"Category HEALTH CARE, Brand Curind",88.0,high
product,HB+ (200ml) price,"MRP 599.0, DP 375.0, BV 160.0",89.0,high
product,HB+ (200ml) category,"Category HEALTH CARE, Brand Curind",89.0,high
product,HB+ (500ml) price,"MRP 1399.0, DP 865.0, BV 400.0",90.0,high
product,HB+ (500ml) category,"Category HEALTH CARE, Brand Curind",90.0,high
product,Hi-Energy (60 Tab) price,"MRP 1199.0, DP 825.0, BV 375.0",91.0,high
product,Hi-Energy (60 Tab) category,"Category HEALTH CARE, Brand Curind",91.0,high
product,Kidney Kawach (300 g) price,"MRP 2999.0, DP 1799.0, BV 840.0",92.0,high
product,Kidney Kawach (300 g) category,"Category HEALTH CARE, Brand Curind",92.0,high
product,Liv-Ease (200ml) price,"MRP 599.0, DP 375.0, BV 160.0",93.0,high
product,Liv-Ease (200ml) category,"Category HEALTH CARE, Brand Curind",93.0,high
product,Liv-Ease (500ml) price,"MRP 1399.0, DP 865.0, BV 400.0",94.0,high
product,Liv-Ease (500ml) category,"Category HEALTH CARE, Brand Curind",94.0,high
product,Multivitamins Tablets price,"MRP 999.0, DP 425.0, BV 180.0",95.0,high
product,Multivitamins Tablets category,"Category HEALTH CARE, Brand Curind",95.0,high
product,Nonima (500ml) price,"MRP 1499.0, DP 949.0, BV 400.0",96.0,high
product,Nonima (500ml) category,"Category HEALTH CARE, Brand Curind",96.0,high
product,N-astheal (120 Tab) price,"MRP 2699.0, DP 1725.0, BV 865.0",97.0,high
product,N-astheal (120 Tab) category,"Category HEALTH CARE, Brand Curind",97.0,high
product,N-astheal (60 Tab) price,"MRP 1499.0, DP 960.0, BV 465.0",98.0,high
product,N-astheal (60 Tab) category,"Category HEALTH CARE, Brand Curind",98.0,high
product,Orthofix (60 Tab) price,"MRP 1199.0, DP 825.0, BV 375.0",99.0,high
product,Orthofix (60 Tab) category,"Category HEALTH CARE, Brand Curind",99.0,high
product,Orthofix Oil (100ml) price,"MRP 525.0, DP 325.0, BV 112.0",100.0,high
product,Orthofix Oil (100ml) category,"Category HEALTH CARE, Brand Curind",100.0,high
product,Omega 3-6-9 price,"MRP 999.0, DP 500.0, BV 200.0",101.0,high
product,Omega 3-6-9 category,"Category HEALTH CARE, Brand Curind",101.0,high
product,Quick 6 Pain Relief Gel (30g) price,"MRP 149.0, DP 99.0, BV 32.0",102.0,high
product,Quick 6 Pain Relief Gel (30g) category,"Category HEALTH CARE, Brand Curind",102.0,high
product,Super Rich Berry Juice (1 Ltr.) price,"MRP 2999.0, DP 1660.0, BV 740.0",103.0,high
product,Super Rich Berry Juice (1 Ltr.) category,"Category HEALTH CARE, Brand Curind",103.0,high
product,Seabuckthron Juice (1 Ltr.) price,"MRP 2999.0, DP 1490.0, BV 640.0",104.0,high
product,Seabuckthron Juice (1 Ltr.) category,"Category HEALTH CARE, Brand Curind",104.0,high
product,Shatavari Extract (60 Veg Capsules) price,"MRP 499.0, DP 299.0, BV 110.0",105.0,high
product,Shatavari Extract (60 Veg Capsules) category,"Category HEALTH CARE, Brand Curind",105.0,high
product,Super Food Capsule price,"MRP 1999.0, DP 999.0, BV 420.0",106.0,high
product,Super Food Capsule category,"Category HEALTH CARE, Brand Curind",106.0,high
product,Premium Tulsi Max (30ml) price,"MRP 299.0, DP 178.0, BV 58.0",107.0,high
product,Premium Tulsi Max (30ml) category,"Category HEALTH CARE, Brand Curind",107.0,high
product,Vital Protein Powder (300gm) price,"MRP 1999.0, DP 1199.0, BV 430.0",108.0,high
product,Vital Protein Powder (300gm) category,"Category HEALTH CARE, Brand Curind",108.0,high
product,L-Arginine++ - Energy Drink (100g) price,"MRP 1499.0, DP 799.0, BV 300.0",109.0,high
product,L-Arginine++ - Energy Drink (100g) category,"Category HEALTH CARE, Brand Curind",109.0,high
product,Ample Meal - Meal Replacement Nutritional Shake (500g) price,"MRP 2699.0, DP 1799.0, BV 650.0",110.0,high
product,Ample Meal - Meal Replacement Nutritional Shake (500g) category,"Category HEALTH CARE, Brand Curind",110.0,high
product,JuniorJoy - Kids Nutritional Drink (300g) price,"MRP 1499.0, DP 899.0, BV 325.0",111.0,high
product,JuniorJoy - Kids Nutritional Drink (300g) category,"Category HEALTH CARE, Brand Curind",111.0,high
product,Kahwa Masala Chai (25 Pcs) price,"MRP 399.0, DP 295.0, BV 95.0",112.0,high
product,Kahwa Masala Chai (25 Pcs) category,"Category HEALTH CARE, Brand Curind",112.0,high
product,Shilajit Gummies (60 Gummies) price,"MRP 1499.0, DP 999.0, BV 400.0",113.0,high
product,Shilajit Gummies (60 Gummies) category,"Category HEALTH CARE, Brand Curind",113.0,high
product,Apple Cider Vinegar (3X20 Tablets) price,"MRP 1425.0, DP 875.0, BV 350.0",114.0,high
product,Apple Cider Vinegar (3X20 Tablets) category,"Category HEALTH CARE, Brand Curind",114.0,high
product,Marine Collagen (200g) price,"MRP 1799.0, DP 999.0, BV 380.0",115.0,high
product,Marine Collagen (200g) category,"Category HEALTH CARE, Brand Curind",115.0,high
product,Dishwash Liquid Gel (500ml) price,"MRP 189.0, DP 149.0, BV 29.0",116.0,high
product,Dishwash Liquid Gel (500ml) category,"Category HOME CARE, Brand HomeShine",116.0,high
product,Toilet Bowl Cleaner (500ml) price,"MRP 149.0, DP 115.0, BV 21.0",117.0,high
product,Toilet Bowl Cleaner (500ml) category,"Category HOME CARE, Brand HomeShine",117.0,high
product,Liquid Detergent (1Ltr.) price,"MRP 449.0, DP 370.0, BV 74.0",118.0,high
product,Liquid Detergent (1Ltr.) category,"Category HOME CARE, Brand HomeShine",118.0,high
product,All in 1 Surface Cleaner (500ml) price,"MRP 179.0, DP 140.0, BV 27.0",119.0,high
product,All in 1 Surface Cleaner (500ml) category,"Category HOME CARE, Brand HomeShine",119.0,high
product,Premium Suit Length (Black) price,"MRP 10000.0, DP 5999.0, BV 2800.0",120.0,high
product,Premium Suit Length (Black) category,"Category CLOTHING, Brand Domatti",120.0,high
product,Designer Mask (Pack of 5) price,"MRP 220.0, DP 180.0, BV 55.0",121.0,high
product,Designer Mask (Pack of 5) category,"Category CLOTHING, Brand Domatti",121.0,high
product,Dayjoy Necktie price,"MRP 499.0, DP 299.0, BV 50.0",122.0,high
product,Dayjoy Necktie category,"Category CLOTHING, Brand Domatti",122.0,high
product,"T-shirt New Design (L, M, XL) price","MRP 699.0, DP 599.0, BV 100.0",123.0,high
product,"T-shirt New Design (L, M, XL) category","Category CLOTHING, Brand Domatti",123.0,high
product,Happy Soil - Humic (500ml) price,"MRP 849.0, DP 575.0, BV 200.0",124.0,high
product,Happy Soil - Humic (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",124.0,high
product,Nano Tech-19 (500ml) price,"MRP 1499.0, DP 949.0, BV 425.0",125.0,high
product,Nano Tech-19 (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",125.0,high
product,Nano Tech-46 (500ml) price,"MRP 1499.0, DP 949.0, BV 425.0",126.0,high
product,Nano Tech-46 (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",126.0,high
product,Nano Tech-50 (500ml) price,"MRP 1499.0, DP 949.0, BV 425.0",127.0,high
product,Nano Tech-50 (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",127.0,high
product,Nano Tech-52 (500ml) price,"MRP 1499.0, DP 949.0, BV 425.0",128.0,high
product,Nano Tech-52 (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",128.0,high
product,Prosperous+ (1 L) price,"MRP 1499.0, DP 999.0, BV 340.0",129.0,high
product,Prosperous+ (1 L) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",129.0,high
product,Prosperous+ Tablets price,"MRP 1049.0, DP 599.0, BV 310.0",130.0,high
product,Prosperous+ Tablets category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",130.0,high
product,Joy-O-Zyme (500ml) price,"MRP 1499.0, DP 949.0, BV 335.0",131.0,high
product,Joy-O-Zyme (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",131.0,high
product,JoySpread 80+ Gold (250ml) price,"MRP 499.0, DP 329.0, BV 75.0",132.0,high
product,JoySpread 80+ Gold (250ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",132.0,high
product,JoySpread 80+ Gold (100ml) price,"MRP 249.0, DP 155.0, BV 37.0",133.0,high
product,JoySpread 80+ Gold (100ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",133.0,high
product,JoyGrow 2X (Granules) (2kg) price,"MRP 999.0, DP 499.0, BV 180.0",134.0,high
product,JoyGrow 2X (Granules) (2kg) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",134.0,high
product,JoyProtect (500ml) price,"MRP 1499.0, DP 949.0, BV 390.0",135.0,high
product,JoyProtect (500ml) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",135.0,high
product,JoyCalcium (2 Litre) price,"MRP 1049.0, DP 699.0, BV 250.0",136.0,high
product,JoyCalcium (2 Litre) category,"Category AGRICULTURE & VETERINARY, Brand HappyGrow",136.0,high
product,Bio-Germanium & Magnetic Mattress price,"MRP 15000.0, DP 9999.0, BV 4250.0",137.0,high
product,Bio-Germanium & Magnetic Mattress category,"Category GERMANIUM & MAGNETIC, Brand Dayjoy",137.0,high
product,Bio-Germanium & Magnetic Mattress (Pack of 2) price,"MRP 30000.0, DP 14999.0, BV 5000.0",138.0,high
product,Bio-Germanium & Magnetic Mattress (Pack of 2) category,"Category GERMANIUM & MAGNETIC, Brand Dayjoy",138.0,high
product,Aqua Energiser (Pack of 3) price,"MRP 9000.0, DP 5499.0, BV 2500.0",139.0,high
product,Aqua Energiser (Pack of 3) category,"Category AQUA ESSENTIALS, Brand Dayjoy",139.0,high
product,Aqua Energiser (Single) price,"MRP 3499.0, DP 2000.0, BV 1100.0",140.0,high
product,Aqua Energiser (Single) category,"Category AQUA ESSENTIALS, Brand Dayjoy",140.0,high
product,New Perfect-Ion price,"MRP 23999.0, DP 14999.0, BV 5000.0",141.0,high
product,New Perfect-Ion category,"Category AQUA ESSENTIALS, Brand Dayjoy",141.0,high
product,Perfect-Ion Testing Solutions price,"MRP 1399.0, DP 699.0, BV 280.0",142.0,high
product,Perfect-Ion Testing Solutions category,"Category AQUA ESSENTIALS, Brand Dayjoy",142.0,high
