lesson_id,level,title,objective,content,examples,do_not_say,quiz,source_ids,prerequisites,estimated_minutes,learning_outcomes,scenario,practice_task,common_mistakes,compliance_notes,related_lessons,content_provenance
L11,Beginner,"Ethics, Compliance & Code of Conduct",Ground every distributor in Dayjoy's core conduct rules before they represent the company to anyone.,"Distributors must carry identity cards, not visit prospective customers without a prior appointment, and truthfully and clearly identify themselves and Dayjoy at the start of any representation (distributor_system_narrative_UNSTRUCTURED.md section 6.1, citing web:69 — UNVERIFIED in this repo but non-monetary policy content). They must give accurate, complete explanations of products, prices, payment terms, and any buyback/refund/guarantee policy, and must never make false, deceptive, or unfair claims — including any misrepresentation of actual or potential sales or earnings (same source; reinforces compensation_rules.csv COMM-002). Distributors must comply with the Direct Selling Guidelines (Govt. of India, Ministry of Consumer Affairs, 2016) and the Indian Contract Act, 1872, and must not sell or promote any other direct-selling company's products during their Dayjoy agreement (JOIN-007 in compensation_rules.csv).",None.,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",Q: A prospect asks 'how much will I earn if I join?' What must you never do? A: Never state a specific guaranteed or 'typical' income figure — direct them to the plan's own disclaimer that income varies and is not guaranteed (COMM-002).,"distributor_system_narrative_UNSTRUCTURED.md sections 6.1-6.5 (citing web:69); compensation_rules.csv (COMM-002, JOIN-007); F00030 (Income_Disclaimer_Dayjoy.pdf, not yet OCR-extracted)",L01,25,Distributor can list at least 4 code-of-conduct obligations and explain why income-claim discipline matters legally and ethically.,A new distributor is excited and wants to tell everyone 'you can easily make lakhs with this.',Rewrite that excited claim into a compliant version using only what this lesson and COMM-002 permit.,Treating enthusiasm as a license to exaggerate; assuming verbal claims 'don't count' the way written claims do.,"The specific code-of-conduct rules cited here are UNVERIFIED in this repo (sourced only via the narrative document's website citation to Dayjoy's Terms & Conditions page, not independently OCR-confirmed against a PDF in this repo) but are non-monetary policy content with low risk of enabling an earnings calculation. The official Income Disclaimer (F00030) exists in 01_CANONICAL/policies/ but has not been OCR-extracted; this lesson should be re-verified against it directly once that extraction is done.","L10,L03,G-001",DAYJOY_SOURCED
L12,Intermediate,RASCI Direct Selling Certification Program & Its Benefits,This is a named Dayjoy certification program (per the DAYJOY DRIVE curriculum list) related to direct-selling professional certification.,NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Must Learn for All Distributors)",L11,NULL,NULL,NULL,NULL,NULL,"Named Dayjoy program from page 54; RASCI likely refers to an external/industry direct-selling certification body, but this repo contains no further detail on its curriculum, benefits, or how Dayjoy administers it. content=NULL. See compensation_gap_report.csv G-004.","L09,L19",DAYJOY_SOURCED
L13,Advanced,Business Plan Calculation & Strategy (LMP),"Teach senior distributors (Ruby Director and above) how to reason about the business plan structurally, while enforcing the hard rule that no earnings figure may be calculated from unverified or conflicted data.","This is a named Dayjoy program ('Business Plan Calculation & Strategy (LMP)', page 54, tier: Ruby Director & Above). Because 3 core compensation fields remain unresolved conflicts (CONF-001 Retail Profit %, CONF-002 Mentorship %, CONF-003 Business Matching structure) and roughly a third of all rows in compensation_rules.csv are UNVERIFIED, this lesson's actual content cannot legitimately teach a working income calculator — doing so would require picking a value for at least one CONFLICT row, which is explicitly forbidden. What CAN be taught with confidence: the confirmed rank ladder and BV-matching TARGETS (RANK-001 to RANK-017), the qualification gates (QUAL-001 to QUAL-004), and the payout timing rules (COMM-001, COMM-002). Any leader-level 'strategy' training must be built around these confirmed structural facts only, until the 3 conflicts are resolved by the Dayjoy compensation team.",None — deliberately no calculation walkthrough is provided in this lesson.,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: Why can't this lesson teach you to calculate 'if I sponsor X people at Y rank, I'll earn Z rupees'? A: Because 3 of the inputs needed for that calculation (retail profit %, mentorship %, business-matching structure) are unresolved conflicts in compensation_rules.csv and must never be combined into a projected earnings figure.","F00003 page 54; compensation_rules.csv (CONF-001, CONF-002, CONF-003, RANK-001 to RANK-017, QUAL-001 to QUAL-004, COMM-001, COMM-002)",L07,NULL,"Leader can explain WHY a full income calculator cannot yet be built for distributors, and can teach the confirmed rank/qualification structure without it.",A Ruby Director asks for 'the real math' behind the compensation plan to train their team.,NULL,Building or sharing an unofficial spreadsheet 'income calculator' that fills the 3 conflicted fields with a guessed number.,"This is the highest-compliance-risk lesson in the curriculum because its named topic (business plan CALCULATION) is exactly where the CONFLICT rows in compensation_rules.csv create the most danger of an AI or leader computing an unverified earnings figure. content intentionally stops short of any numeric walkthrough. estimated_minutes/practice_task left NULL because a safe, complete version of this lesson cannot be built until the Dayjoy compensation team resolves CONF-001/002/003 — see compensation_gap_report.csv G-001.","L07,G-001,L20",DAYJOY_SOURCED
L14,Intermediate,Career @ Dayjoy,This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list) describing the rank-advancement career path within Dayjoy.,"The 'Career @ Dayjoy' concept maps directly to the 17-club rank ladder: a distributor's career progression is the sequential achievement of Club 1 (Star Executive) through Club 17 (Universal Ambassador) (compensation_rules.csv PROMO-001, PROMO-002, RANK-001 to RANK-017). Each club has a defined BV-matching target and lifetime reward (see rank_structure rows), but this lesson presents the ladder as a structural career path, not an income projection — no specific timeline or guaranteed outcome should be attached.",None (see L07 for the qualification-mechanics version of this same content).,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: How many clubs make up the Dayjoy 'career path,' and what determines a distributor's rank? A: 17 clubs; rank equals the highest Lifetime Reward Club achieved (PROMO-001).","F00003 page 54 (program name, tier: Ruby Director & Above); compensation_rules.csv (PROMO-001, PROMO-002, RANK-001 to RANK-017)",L07,15,Distributor/leader can present the 17-club ladder as a career narrative without implying a guaranteed timeline or income.,A leader is asked by a downline member 'what's my career path here?',Present the 17-club ladder as a career narrative in under 2 minutes without naming a single Rupee figure or timeline.,Implying a typical time-to-rank (e.g. 'most people reach Gold Director in 6 months') — no such timeline data exists anywhere in this repo.,DAYJOY_SOURCED — reuses the fully verified rank_structure rows; safe as written because it avoids timelines and income framing.,"L07,L13",DAYJOY_SOURCED
L15,Advanced,Team Building and Retention @ Leadership Execution,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Emerald & Above) on building and retaining a distributor team.","Two structural facts from the compensation plan are directly relevant and confirmed: a distributor needs two directly-introduced active distributors to qualify for Business Plan Payout and Lifetime Rewards (compensation_rules.csv QUAL-002), and Mentorship Income can be earned from a single business group, which the plan itself calls a 'unique advantage' (REWARD-008). Beyond these two structural facts, this repo contains no further Dayjoy-specific team-building or retention curriculum content — the rest of this named program's material is unavailable.",None.,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",Q: What is the minimum direct-team requirement to qualify for Business Plan Payout? A: Two directly-introduced active distributors (QUAL-002).,"F00003 page 54 (program name, tier: Emerald & Above); compensation_rules.csv (QUAL-002, REWARD-008)","L07,L14",15,Leader can state the minimum direct-team qualification requirement accurately.,NULL,NULL,"Assuming team-building 'best practices' taught generically (see G-008, Coaching and Mentoring) are Dayjoy-official content rather than general methodology.","Partially DAYJOY_SOURCED (2 confirmed structural facts) with the remainder of this named program's content unavailable — see compensation_gap_report.csv G-004. For general team-building/coaching technique, see the GENERIC_METHODOLOGY lesson G-008, which must be reviewed by the Dayjoy training team before use.","G-008,L07",DAYJOY_SOURCED
L16,Advanced,Business Strategic Session & Action Planning,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Emerald & Above) on strategic planning sessions for leaders.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Emerald & Above)","L13,L15",NULL,NULL,NULL,NULL,NULL,"Named Dayjoy program; no lesson-level content exists in this repo. content=NULL. See compensation_gap_report.csv G-004. Interim fallback: GENERIC_METHODOLOGY lesson G-007 (Business Planning, Goal Setting & Analytics) covers general planning technique and must be reviewed by the Dayjoy training team before use.",G-007,DAYJOY_SOURCED
L17,Advanced,A to Z — Leadership Qualities Mastery Program,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Ruby Director & Above) on leadership qualities.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Ruby Director & Above)",L07,NULL,NULL,NULL,NULL,NULL,Named Dayjoy program; no lesson-level content exists in this repo. content=NULL. See compensation_gap_report.csv G-004.,"L18,L19",DAYJOY_SOURCED
L18,Advanced,Driving the Leadership,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Ruby Director & Above) on leadership execution.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Ruby Director & Above)",L17,NULL,NULL,NULL,NULL,NULL,Named Dayjoy program; no lesson-level content exists in this repo. content=NULL. See compensation_gap_report.csv G-004.,"L17,L15",DAYJOY_SOURCED
L19,Advanced,Behavioral Skills Certification Program,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Ruby Director & Above) on behavioral/soft-skills certification.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Ruby Director & Above)",L12,NULL,NULL,NULL,NULL,NULL,Named Dayjoy program; no lesson-level content exists in this repo. content=NULL. See compensation_gap_report.csv G-004.,"L12,L21",DAYJOY_SOURCED
L20,Advanced,Millionaires Mindset Program (LEAP),"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Ruby Director & Above) on mindset development.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED. This lesson's program NAME itself ('Millionaires Mindset') is a common income-claim risk point — never rephrase the name into a statement like 'this program will make you a millionaire.'",NULL,"F00003 page 54 (program name only, tier: Ruby Director & Above)",L13,NULL,NULL,NULL,NULL,NULL,"Named Dayjoy program; no lesson-level content exists in this repo. content=NULL. IMPORTANT compliance note: the program's own branded name ('Millionaires Mindset') must never be used or paraphrased in a way that implies a guaranteed or typical income outcome for participants — the name describes a mindset-development program, not an earnings promise. See compensation_gap_report.csv G-004 and compensation_rules.csv COMM-002.","L13,L21",DAYJOY_SOURCED
L21,Advanced,Neuro Linguistic Programming (NLP) & Belief System,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Ruby Director & Above) on NLP and belief-system training.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Ruby Director & Above)",L19,NULL,NULL,NULL,NULL,NULL,Named Dayjoy program; no lesson-level content exists in this repo. content=NULL. See compensation_gap_report.csv G-004.,"L19,L20",DAYJOY_SOURCED
L22,Intermediate,Cell Rejuvenation & Product Therapy (Business Boot Camp),"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list, tier: Must Learn for All Distributors, delivered as part of 'Business Boot Camp (BBC)') on product-related physiological concepts.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED. This lesson touches product/health topics directly — an extra reminder: never diagnose a customer's condition, never promise a cure, and always route symptom-specific or contraindication questions to the escalation path defined in 01_CANONICAL/policies/dayjoy_canonical_answer_policy.csv (diagnosis/cure claims/contraindication advice = 'not allowed without escalation').",NULL,"F00003 page 54 (program name only, tier: Must Learn for All Distributors)",L05,NULL,NULL,NULL,NULL,NULL,"Named Dayjoy program; no lesson-level content exists in this repo, and — given the topic name references cell rejuvenation and product 'therapy' — any future content must be reviewed extremely carefully against dayjoy_canonical_answer_policy.csv before use, since 'therapy' framing sits close to medical-claim territory (diagnosis/cure claims/disease-specific treatment language = 'not allowed without escalation'). content=NULL. See compensation_gap_report.csv G-004.","L05,L04",DAYJOY_SOURCED
G-001,Beginner,Customer Communication Fundamentals,"Teach general best practices for clear, honest, customer-first communication that any direct seller can apply.","[Generic sales training content — not Dayjoy-specific, needs Dayjoy training team review before use] Effective customer communication rests on active listening, asking open questions before pitching, and matching your explanation to what the customer actually asked. Confirm understanding by summarizing back what the customer said before responding. Avoid jargon; explain product benefits in the customer's own language. Always be transparent about price, and never rush a customer toward a purchase decision.","Generic example: customer says 'I'm not sure this is worth the price' — a good response restates their concern in your own words before addressing it, rather than immediately defending the price.","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: Before responding to an objection, what should you do first? A: Listen fully and reflect the concern back to confirm you understood it correctly.","None — generic sales/communication methodology, not sourced to Dayjoy materials.",None,20,Learner can demonstrate active listening and reflective responses in a mock customer conversation.,A customer hesitates after hearing the price of a product.,Role-play a 3-turn conversation using only reflective listening before making any product claim.,Interrupting the customer to pitch before they finish explaining their need.,"GENERIC_METHODOLOGY — general communication best practice, not sourced to any Dayjoy-specific document. Must be reviewed by the Dayjoy training team before deployment, and any product claims used inside role-plays must be checked against the actual product master / approved literature, not invented.","L05,L11",GENERIC_METHODOLOGY
G-002,Beginner,Prospecting: Finding and Qualifying Leads,Teach a general framework for identifying and qualifying potential customers or recruits.,"[Generic sales training content — not Dayjoy-specific, needs Dayjoy training team review before use] A simple qualifying framework: does this person have a need the product/opportunity could address, do they have the means to act, and are they open to a conversation right now. Warm-market prospecting (people you already know) and referral-based prospecting are lower-friction starting points than cold approaches. Always prioritize permission — ask before pitching, and respect a 'not now.'","Generic example: a distributor keeps a simple list of contacts noting 'need,' 'interest level,' and 'best time to follow up' rather than mass-messaging everyone the same script.","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: What are the three things a basic lead-qualification framework checks for? A: Need, means, and openness to the conversation.",None — generic sales methodology.,None,20,Learner can qualify a hypothetical contact using the need/means/openness framework.,A distributor has a list of 20 acquaintances and isn't sure who to approach first.,Qualify 5 hypothetical contacts using the need/means/openness framework and rank them.,Treating every contact as equally 'ready' and using one identical script for all of them regardless of fit.,"GENERIC_METHODOLOGY — general prospecting technique, not Dayjoy-specific. Must be reviewed by the Dayjoy training team before deployment; must not be paired with any Dayjoy income-claim language per compensation_rules.csv COMM-002.","G-003,L01",GENERIC_METHODOLOGY
G-003,Intermediate,Follow-Up Systems That Convert,"Teach a general, disciplined follow-up cadence so leads and customers are not lost after the first conversation.","[Generic sales training content — not Dayjoy-specific, needs Dayjoy training team review before use] Most sales are lost not from a bad pitch but from no follow-up at all. A simple cadence: follow up within 24-48 hours of first contact, then on a spaced schedule (e.g. day 3, day 7, day 14) rather than daily pressure. Each follow-up should add value (answer a question, share relevant information) rather than just 'checking in.' Track follow-ups in a simple list or CRM so nothing is forgotten.","Generic example: after a customer says 'let me think about it,' a good follow-up 3 days later references their specific stated concern rather than sending a generic 'just checking in' message.","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: Why is a spaced follow-up cadence generally better than daily contact? A: Daily contact can feel like pressure and damage trust; spaced, value-adding follow-ups respect the customer's decision timeline while staying present.",None — generic sales methodology.,G-002,15,Learner can design a 3-touch follow-up cadence for a hypothetical lead.,A promising lead went quiet after an initial product conversation.,"Draft 3 follow-up messages (day 2, day 7, day 14) for a hypothetical lead, each adding a different piece of value.","Following up with the same generic message repeatedly, or giving up after one unanswered message.","GENERIC_METHODOLOGY — general follow-up discipline, not Dayjoy-specific. Must be reviewed by the Dayjoy training team before deployment. Any follow-up message templates built from this lesson must comply with the social-media/promotion approval rules in L10.","L10,G-004",GENERIC_METHODOLOGY
G-004,Intermediate,Handling Objections with Confidence,"Teach a general, honest framework for responding to common objections without pressure tactics or overpromising.","[Generic sales training content — not Dayjoy-specific, needs Dayjoy training team review before use] A simple objection-handling framework: acknowledge the concern genuinely, ask a clarifying question if the objection is vague, respond with relevant facts (not pressure), and check if the concern is resolved before moving on. Never argue with an objection or dismiss it. If you don't know the answer, say so and follow up rather than guessing — especially for price, ingredient, or health-related questions, which must be answered from verified sources only.","Generic example objection: 'It's too expensive.' Generic non-pressuring response pattern: acknowledge, ask what 'too expensive' is relative to (another product? their budget?), then address the specific comparison with facts, not persuasion tactics.","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: What should you do if you don't actually know the answer to an objection (e.g. a specific ingredient question)? A: Say you don't know and will find out, rather than guessing — then check the verified source (e.g. product master) before responding.",None — generic sales methodology.,G-001,20,"Learner can respond to 3 common objection types (price, timing, skepticism) using the acknowledge-clarify-respond-check framework.",A customer says 'I've heard mixed things about direct selling companies.',"Write a compliant response to the skepticism objection above using the 4-step framework, without disparaging any competitor.",Getting defensive or dismissive when hearing an objection; making up an answer to a factual question rather than checking a verified source.,"GENERIC_METHODOLOGY — general objection-handling technique, not Dayjoy-specific. Must be reviewed by the Dayjoy training team before deployment. Any factual claims used to resolve an objection must be checked against verified Dayjoy sources (product master, compensation_rules.csv), not invented in the moment.","L11,G-005",GENERIC_METHODOLOGY
