intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by,governance_reviewed,entities,required_tool,answer_source,category_type
SUPP-011,"Thank you, that was helpful!",You're welcome! Let me know if you have any other questions about Dayjoy products or your account.,general_ai,closing,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Conversational closing remark.,"thank you, that was helpful!",,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-012,What time zone is India in?,"India follows Indian Standard Time (IST), which is UTC+5:30.",general_ai,general_fact,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General world-knowledge fact unrelated to Dayjoy.,what time zone is india in,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-013,Can you summarize this paragraph for me?,"Sure, please paste the paragraph you'd like summarized and I'll condense it for you.",general_ai,writing_help,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General text-processing capability request.,can you summarize this paragraph for me,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-014,"What does FSSAI stand for, in general?","FSSAI stands for the Food Safety and Standards Authority of India, the regulatory body overseeing food safety in India. For Dayjoy's specific FSSAI license number, I can pull that from our compliance records.",general_ai,term_definition,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General regulatory-body definition; Dayjoy's specific license number is a canonical/faq fact, not invented here.","what does fssai stand for, in general",,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-015,How many days are there between 1 January and 15 August?,There are 226 days between 1 January and 15 August in a common (non-leap) year.,general_ai,calendar_utility,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General date-math calculation.,how many days are there between 1 january and 15 august,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-016,What's a polite way to decline a distributor's request for a discount outside policy?,"You could say: ""I understand your request, but I'm not able to offer pricing outside our standard distributor terms. I'd be happy to walk you through the current DP and any active offers.""",general_ai,writing_help,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General communication template; doesn't state a specific Dayjoy discount figure.,what's a polite way to decline a distributor's request for a discount outside policy,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-017,What is the boiling point of water at sea level?,Water boils at 100°C (212°F) at sea level under standard atmospheric pressure.,general_ai,general_fact,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General science fact, unrelated to Dayjoy.",what is the boiling point of water at sea level,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-018,Can you help me draft a to-do list for my week?,Sure — tell me your main tasks or goals for the week and I'll help organize them into a prioritized list.,general_ai,productivity_help,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General productivity assistance.,can you help me draft a to-do list for my week,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-019,What does 'MLM' mean in general business terms?,"MLM stands for Multi-Level Marketing, a business model where distributors earn from their own sales and from the sales of people they recruit into their downline. Dayjoy operates a direct-selling/network-marketing model — for specifics of Dayjoy's plan, I can pull the compensation details.",general_ai,term_definition,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General business-model definition; Dayjoy-specific compensation figures come from compensation_database.,what does 'mlm' mean in general business terms,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-020,How do I calculate percentage growth between two numbers?,"Percentage growth = ((New Value − Old Value) / Old Value) × 100. For example, growth from 100 to 120 is ((120-100)/100)×100 = 20%.",general_ai,math_utility,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General formula explanation, no Dayjoy figures used.",how do i calculate percentage growth between two numbers,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-021,What is today's gold price in Delhi?,"I don't have live market data in my knowledge base. This would require a real-time web search, and any result would be treated as CURRENT WEB information — separate from Dayjoy's own canonical data — per our web-knowledge separation policy.",web_search,live_data,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Requires live/current external data not present in canonical KB; routes to web_search per 14_WEB/WEB_SEARCH_POLICY.md.,what is today's gold price in delhi,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-022,What's the current USD to INR exchange rate?,"I don't have a live feed for currency rates. I'd need to run a web search for the current rate, and that result would be labeled as web-sourced, not a Dayjoy canonical fact.",web_search,live_data,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Live financial data outside the canonical KB scope.,what's the current usd to inr exchange rate,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-023,Are there any new government regulations on direct selling in India this year?,"I don't have a regulatory feed in my knowledge base. This needs a current web search, and any finding would be flagged as external/web information requiring human review before it's treated as fact for Dayjoy's policies.",web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Regulatory/current-events question; must be web-sourced and flagged, never silently merged into canonical compliance data.",are there any new government regulations on direct selling in india this year,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-024,What are competitor direct-selling companies charging for similar multivitamin products right now?,"I don't have live competitor pricing in my knowledge base. That would require a real-time web search, and any results would be kept separate from Dayjoy's own canonical pricing data.",web_search,competitor_check,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Competitive intelligence question requiring current external data.,what are competitor direct-selling companies charging for similar multivitamin products right now,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-025,Is there a public holiday in India tomorrow?,I don't have a live calendar feed. I'd need to check current sources on the web for tomorrow's holiday status.,web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Time-sensitive factual question outside static canonical KB.,is there a public holiday in india tomorrow,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-026,What's the latest news about Adila Group?,"I don't have a live news feed in my knowledge base. This requires a web search, and any results would be labeled as current web information, not verified Dayjoy canonical data.",web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,News/current-events question about the parent company; requires web search and flagging.,what's the latest news about adila group,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-027,What's the weather like in Mumbai today?,I don't have live weather data. That would need a real-time web search.,web_search,live_data,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Live external data unrelated to Dayjoy KB.,what's the weather like in mumbai today,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-028,Has Dayjoy been in the news recently?,"I don't have a live news feed. I'd need to run a web search to check for recent coverage, and I'd flag anything found as external web information pending verification, not treat it as a Dayjoy canonical fact.",web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Requires current web search; results must not silently override canonical company facts.,has dayjoy been in the news recently,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-029,What is the current repo rate set by the RBI?,I don't have live financial/regulatory rate data. This would need a current web search.,web_search,live_data,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Live macroeconomic data unrelated to Dayjoy KB.,what is the current repo rate set by the rbi,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-030,Are there any recent customer reviews of Dayjoy products online?,"I don't have a live web-review feed. I'd need to search the web for current reviews, and any results would be treated as external, unverified web information — not Dayjoy's own canonical claims.",web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,External sentiment/review data; requires web search and must stay separate from canonical facts.,are there any recent customer reviews of dayjoy products online,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-031,What's the population of India as of this year?,I don't have a live demographic data feed. That would require a current web search for the latest estimate.,web_search,live_data,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General current-data lookup, unrelated to Dayjoy KB.",what's the population of india as of this year,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-032,Is there a new direct-selling guideline notification from the Ministry of Consumer Affairs?,"I don't have a live regulatory feed. This needs a web search, and any finding must be flagged for human review before being applied to Dayjoy's compliance answers.",web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Regulatory monitoring question; web-sourced results require flagging, not silent adoption.",is there a new direct-selling guideline notification from the ministry of consumer affairs,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-033,What's trending on social media about wellness products this week?,I don't have a live social-media feed. That would need a web search for current trends.,web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Live social trend data outside canonical KB.,what's trending on social media about wellness products this week,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-034,Can you check if Dayjoy's website is currently online?,I can't perform a live connectivity check from here — that would require an actual web request to the live site.,web_search,live_data,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Live status check, not a static canonical fact.",can you check if dayjoy's website is currently online,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-035,What is the latest GST rate applicable to FMCG wellness products?,"I don't have a live tax-rate feed. This requires a current web search, and any figure found should be verified against an official source before being used in a Dayjoy answer.",web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Tax/regulatory rate that changes over time; requires web verification, not static KB.",what is the latest gst rate applicable to fmcg wellness products,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-036,Are there any Dayjoy events happening near me this month?,I don't have a live events calendar. I'd need a web search or a check with your local Dayjoy office for the current schedule.,web_search,current_events,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Time-sensitive event info not in static canonical KB.,are there any dayjoy events happening near me this month,,,customer_safe_intent,,False,,web_search,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-037,How much is it?,"Could you tell me the name of the product you're asking about? Dayjoy has many products, and prices vary by item, so I need the product name or code to give you the correct MRP/DP.",ambiguous,missing_product_reference,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,No product specified; cannot resolve to a single canonical pricing row without clarification.,how much is it,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-038,Is it good for me?,Could you clarify which product and which health concern you're asking about? That'll help me point you to the right information.,ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,No product or symptom named; question can't be routed to rag_retrieval or product_database without clarification.,is it good for me,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-039,Does it work?,"Could you share which specific Dayjoy product you mean? There are many products across categories, so I'll need the name to answer accurately.",ambiguous,missing_product_reference,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Pronoun 'it' has no antecedent in this turn; needs clarification before routing.,does it work,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-040,What's the BV?,"Which product would you like the BV for? BV varies by product, so I'll need the product name, code, or SKU.",ambiguous,missing_product_reference,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,BV is a per-product pricing field; cannot answer without a product identifier.,what's the bv,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-041,Can I join?,"Could you clarify — are you asking about becoming a Dayjoy distributor, or something else, like a specific offer or club level? Let me know so I can point you to the right details.",ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Ambiguous between distributor joining, event registration, or offer enrollment; needs clarification.",can i join,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-042,Is this better?,"Better than what, specifically? If you let me know which two products you're comparing, I can walk you through the differences.",ambiguous,missing_comparison_target,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Comparison question with no named products; cannot be routed to product_database without clarification.,is this better,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-043,How long does it last?,"Could you tell me which product you mean, and whether you're asking about shelf life, pack duration of use, or delivery time? That'll help me give an accurate answer.",ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Question is ambiguous across shelf-life, usage-duration, and shipping-time interpretations.",how long does it last,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-044,What's the price difference?,Price difference between which two products? Please share both product names or codes and I can compare their MRP/DP/BV.,ambiguous,missing_comparison_target,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Comparison requested without naming the two products being compared.,what's the price difference,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-045,Can I get a discount?,"Could you clarify what you mean — are you asking about becoming a distributor to access DP pricing, or about a specific ongoing offer? I want to point you to the right information.",ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Ambiguous between distributor pricing and promotional discounts; needs clarification.,can i get a discount,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-046,Where do I find it?,Could you tell me which product or document you're looking for? That'll help me point you in the right direction.,ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,No referent for 'it'; needs clarification before any lookup.,where do i find it,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-047,Is that safe?,Could you tell me which specific product or ingredient you're asking about? Safety information depends on the exact product.,ambiguous,missing_product_reference,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Safety question with no named product; must clarify before routing to rag_retrieval, especially given health-safety stakes.",is that safe,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-048,How do I upgrade?,"Could you clarify — do you mean upgrading your distributor rank/club level, or upgrading a product pack size? Let me know so I can give the right steps.",ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Ambiguous between compensation-plan rank upgrade and a product-related request.,how do i upgrade,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-049,What's included?,"Included in what, specifically — a particular product pack, a kit, or a distributor starter offer? Let me know which one you mean.",ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,No named subject for 'included'; requires clarification before lookup.,what's included,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-050,Can you compare them?,"Compare which two (or more) products? Please share the names so I can pull up their category, price, and BV for comparison.",ambiguous,missing_comparison_target,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Plural 'them' with no antecedent products named.,can you compare them,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-051,Is it worth it?,"Could you tell me which specific product or business decision you're asking about? That'll help me give you relevant, accurate information instead of a generic answer.",ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Highly ambiguous value-judgment question with no clear referent.,is it worth it,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-052,When will it arrive?,Could you share your order number or the product name? That'll help route you to the right shipping/availability information.,ambiguous,missing_context,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Delivery-timing question with no order or product reference.,when will it arrive,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-053,Is Dayjoy's Multivitamins Tablets clinically proven to cure diabetes?,"I can't confirm that claim. Dayjoy's own materials describe Multivitamins Tablets as a general supplement, and I don't have a clinical study on file linking it to curing diabetes. Please consult a qualified physician for diagnosis or treatment of diabetes.",unsupported_claims,cure_claim,Multivitamins Tablets,DJP1094,DJ-HEA-0095,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Cure claim not covered by an approved source; must abstain per ABSTAIN_AND_LABELING_POLICY.md, health benefits section.",is dayjoy's multivitamins tablets clinically proven to cure diabetes,,,customer_safe_intent,,False,product_name=Multivitamins Tablets; product_code=DJP1094,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-054,Is Dayjoy really the best direct-selling company in India?,"I don't have independent, verified data ranking Dayjoy against every other direct-selling company in India, so I can't confirm that as fact. I can share Dayjoy's own company profile and any awards on record if that's helpful.",unsupported_claims,superlative_claim,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Unverifiable superlative/ranking claim; must not be stated as fact without an independent verified source.,is dayjoy really the best direct-selling company in india,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-055,"Will I definitely earn ₹50,000 a month if I join Dayjoy as a distributor?","I can't promise a specific income figure — Dayjoy's compensation materials include worked examples that are illustrative only, and actual earnings vary and aren't guaranteed. I'd recommend reviewing the official income disclaimer alongside any compensation-plan example.",unsupported_claims,income_guarantee_claim,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Specific guaranteed-earnings claim; per ABSTAIN policy category 5, never state or imply a specific person will earn a specific amount.","will i definitely earn ₹50,000 a month if i join dayjoy as a distributor",,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-056,Is Shilajit Gummies scientifically proven to boost testosterone?,"I don't have a clinical study on file confirming that specific claim for Shilajit Gummies. Dayjoy's materials describe it as a general wellness supplement — for anything related to hormone levels, please consult a qualified physician.",unsupported_claims,cure_claim,Shilajit Gummies (60 Gummies),DJP1112,DJ-HEA-0113,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Unverified health-benefit claim; requires disclaimer and cannot be confirmed as medically proven.,is shilajit gummies scientifically proven to boost testosterone,,,customer_safe_intent,,False,product_name=Shilajit Gummies (60 Gummies); product_code=DJP1112,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-057,Is Dayjoy's retail profit really up to 100%?,"This is actually one of our known unresolved figures — one internal document says 30–50% and another says up to 100% depending on framing. I don't want to guess between them, so I'm flagging this for the Dayjoy compensation team to confirm before giving you a definitive number.",unsupported_claims,compensation_conflict,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Matches a CONFLICT_UNRESOLVED row (Retail Profit rate) in dayjoy_compensation_conflicts.csv; must abstain per policy, not average or guess.",is dayjoy's retail profit really up to 100%,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-058,Are Dayjoy's skincare products dermatologist-recommended?,"I don't have a dermatologist endorsement on file for Dayjoy's skincare range in my knowledge base, so I can't confirm that claim as stated.",unsupported_claims,endorsement_claim,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Unverified third-party endorsement claim not present in canonical sources.,are dayjoy's skincare products dermatologist-recommended,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-059,Is Adila Forte guaranteed to lower blood pressure within a week?,I can't confirm a specific timeframe or guaranteed outcome like that. Adila Forte is listed in Dayjoy's materials as a supplement; any claim about treating or curing a medical condition within a set time isn't something I can verify or confirm — please speak with a physician.,unsupported_claims,cure_claim,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Time-bound cure/treatment guarantee; blocked per SOP 'Block or escalate' section (cure claims, disease-treatment claims).",is adila forte guaranteed to lower blood pressure within a week,,,customer_safe_intent,,False,product_name=Adila Forte (30 Tab); product_code=DJP1068,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-060,Is Dayjoy's business matching incentive really paid daily with flat Rs 500 per pair?,"That figure is actually under internal review — one source describes a flat daily structure, while Dayjoy's GrowthX plan presentation describes a tiered, weekly-closing structure instead. I don't want to state either as confirmed fact, so I'm flagging this for the compensation team.",unsupported_claims,compensation_conflict,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Matches CONFLICT_UNRESOLVED row (Business Matching Incentive structure); must abstain, not pick a side.",is dayjoy's business matching incentive really paid daily with flat rs 500 per pair,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-061,Is Dayjoy's mentorship bonus 100% of the binary as some documents say?,That number is one of our known conflicting fields — an older file says 100% of binary while the GrowthX plan presentation describes 50% of the direct-introduced distributor's business matching incentive instead. I can't confirm either as final without the compensation team resolving it.,unsupported_claims,compensation_conflict,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Matches CONFLICT_UNRESOLVED row (Mentorship Bonus rate); must abstain and flag, per ABSTAIN_AND_LABELING_POLICY.md.",is dayjoy's mentorship bonus 100% of the binary as some documents say,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-062,Is Multivitamins Tablets Dayjoy's best-selling product ever?,"I can't confirm that as an actual sales ranking — Dayjoy hasn't supplied real sales/order data to me. Based on how often it comes up in our internal materials, Multivitamins Tablets is mentioned frequently, but that's a mention-frequency proxy, not a confirmed sales ranking.",unsupported_claims,popularity_claim,Multivitamins Tablets,DJP1094,DJ-HEA-0095,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Best-selling claim must use the INFERRED mention-frequency framing per ABSTAIN policy category 4, never stated as real sales data.",is multivitamins tablets dayjoy's best-selling product ever,,,customer_safe_intent,,False,product_name=Multivitamins Tablets; product_code=DJP1094,rag_retrieval,rag_chunk,SUPPLEMENTARY_SYNTHETIC
SUPP-063,Can Giloe Extract cure viral fever completely?,"I can't confirm that. Giloe Extract is listed as a general wellness supplement in Dayjoy's materials, not a treatment for viral fever — please see a doctor for diagnosis and treatment of any fever.",unsupported_claims,cure_claim,Giloe Extract (60 Veg Capsules),DJP1085,DJ-HEA-0086,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Cure claim for a specific illness; must be blocked/escalated, not answered directly.",can giloe extract cure viral fever completely,,,customer_safe_intent,,False,product_name=Giloe Extract (60 Veg Capsules); product_code=DJP1085,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-064,Has Dayjoy been rated #1 wellness brand by any government body?,"I don't have a verified government rating or ranking for Dayjoy on file, so I can't confirm that claim.",unsupported_claims,endorsement_claim,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Unverified official-ranking claim, no canonical source.",has dayjoy been rated #1 wellness brand by any government body,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-065,Will using Hydra Aloevera Body Lotion remove all my scars permanently?,"I can't confirm a permanent-results claim like that. Dayjoy's materials describe it as a general moisturizing lotion — for scar treatment, I'd recommend consulting a dermatologist.",unsupported_claims,cure_claim,Hydra Aloevera Body Lotion (300ml),DJP1034,DJ-PER-0035,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Absolute/permanent cosmetic-outcome claim; must be disclaimed and not confirmed.,will using hydra aloevera body lotion remove all my scars permanently,,,customer_safe_intent,,False,product_name=Hydra Aloevera Body Lotion (300ml); product_code=DJP1034,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
