intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by
27,Tell me about Seabuckthron Facial Kit (30g) (Pack of 6),This is a premium product under Wild Muse.,informational,product_discovery,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045,DJ-PER-0046,high,Products Master,,tell about seabuckthron facial kit 30g pack 6,tell about seabuckthron facial kit 30g pack 6,Seabuckthron Facial Kit (30g) (Pack of 6),customer_safe_intent,
28,"Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)?","Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,menstrual problems painful periods irregular periods dysfunctional uterine bleeding,menstrual problems painful periods irregular periods dysfunctional uterine bleeding,,customer_safe_intent,
29,Which product is good for Skin Disorders?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,skin disorders,skin disorders,,customer_safe_intent,
30,"I have Worsened pain after sitting or standing for a long time, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have worsened pain after sitting or standing long time,have worsened pain after sitting or standing long time,,customer_safe_intent,
31,"I have Difficulty walking on your toes, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have difficulty walking on your toes,have difficulty walking on your toes,,customer_safe_intent,
32,Tell me about Dayjoy Backpack Bag,This is a premium product under Dayjoy.,informational,product_discovery,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,tell about dayjoy backpack bag,tell about dayjoy backpack bag,Dayjoy Backpack Bag,customer_safe_intent,
33,Is Dayjoy FSSAI approved?,"Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",compliance,policy,,,,high,FSSAI / Social Media Policy / Income Disclaimer,,dayjoy fssai approved,dayjoy fssai approved,,customer_safe_intent,
36,What is the MRP of Seabuckthron Scrub (30g)?,The MRP is ₹225.0.,pricing,mrp,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,high,Price List,,mrp seabuckthron scrub 30g,mrp seabuckthron scrub 30g,Seabuckthron Scrub (30g),customer_safe_intent,
37,"I have Nausea/Vomiting, what should I take?","Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have nausea vomiting,have nausea vomiting,,customer_safe_intent,
38,Tell me about English One-Page Compensation Plan (Set of 50 Leaflets),This is a premium product under Dayjoy.,informational,product_discovery,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161,DJ-PRO-0162,high,Products Master,,tell about english one page compensation plan set 50 leaflets,tell about english one page compensation plan set 50 leaflets,English One-Page Compensation Plan (Set of 50 Leaflets),customer_safe_intent,
40,What is the MRP of Milk Bath Soap (Pack of 3) (100g)?,The MRP is ₹225.0.,pricing,mrp,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Price List,,mrp milk bath soap pack 3 100g,mrp milk bath soap pack 3 100g,Milk Bath Soap (Pack of 3) (100g),customer_safe_intent,
41,Which product is good for Blurred Vision?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,blurred vision,blurred vision,,customer_safe_intent,
42,Which product is good for Premature Ejaculation?,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,premature ejaculation,premature ejaculation,,customer_safe_intent,
43,"I have Frequent Urination, what should I take?","Dayjoy suggests DIBEAT TABLETS for Frequent Urination. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have frequent urination,have frequent urination,,customer_safe_intent,
46,Tell me about Shatavari Extract (60 Veg Capsules),This is a premium product under Curind.,informational,product_discovery,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,,tell about shatavari extract 60 veg capsules,tell about shatavari extract 60 veg capsules,Shatavari Extract (60 Veg Capsules),customer_safe_intent,
47,What is Sunscreen SPF 50+ (50gm)?,Sunscreen SPF 50+ (50gm) is a SKIN CARE product by Dayjoy.,informational,product_info,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Products Master,,sunscreen spf 50 50gm,sunscreen spf 50 50gm,Sunscreen SPF 50+ (50gm),customer_safe_intent,
48,"I have Rapid Weight Gain, what should I take?","Dayjoy suggests AMPLE MEAL for Rapid Weight Gain. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have rapid weight gain,have rapid weight gain,,customer_safe_intent,
49,Which product is good for Anxiety?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,anxiety,anxiety,,customer_safe_intent,
52,What is Organic Jeera (250g)?,Organic Jeera (250g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Organic Jeera (250g),DJP1014,DJ-FOO-0015,high,Products Master,,organic jeera 250g,organic jeera 250g,Organic Jeera (250g),customer_safe_intent,
53,Tell me about Gas-O-Free (500ml),This is a premium product under Curind.,informational,product_discovery,Gas-O-Free (500ml),DJP1082,DJ-HEA-0083,high,Products Master,,tell about gas o free 500ml,tell about gas o free 500ml,Gas-O-Free (500ml),customer_safe_intent,
54,Can I return it?,You may return marketable products within 30 days of invoice with original bill (5% handling charge applies).,policy,shipping_refund,,,,high,Shipping/Refund Policy,,can return it,can return it,,customer_safe_intent,
55,Which product is good for Photo Damage (UV Rays)?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,photo damage uv rays,photo damage uv rays,,customer_safe_intent,
56,Which product is good for Itching around one or more of the veins?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,itching around one or more veins,itching around one or more veins,,customer_safe_intent,
57,Tell me about Adicardial Syrup (500ml),This is a premium product under Curind.,informational,product_discovery,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,,tell about adicardial syrup 500ml,tell about adicardial syrup 500ml,Adicardial Syrup (500ml),customer_safe_intent,
58,Do you have L-Arginine++ - Energy Drink (100g)?,"Yes, L-Arginine++ - Energy Drink (100g) is available. Code: DJP1108",transactional,availability,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Products Master,,do you have l arginine energy drink 100g,do you have l arginine energy drink 100g,L-Arginine++ - Energy Drink (100g),customer_safe_intent,
61,"I have Headache, what should I take?","Dayjoy suggests ASTHPRASH OR N-ASTHEAL TABLET for Headache. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have headache,have headache,,customer_safe_intent,
62,What is the MRP of Ecofriendly Toothbrush (Pack of 2)?,The MRP is ₹149.0.,pricing,mrp,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Price List,,mrp ecofriendly toothbrush pack 2,mrp ecofriendly toothbrush pack 2,Ecofriendly Toothbrush (Pack of 2),customer_safe_intent,
63,"I have Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding), what should I take?","Dayjoy suggests ADICARDIAL TABLET for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding). This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have menstrual problems painful periods irregular periods dysfunctional uterine bleeding,have menstrual problems painful periods irregular periods dysfunctional uterine bleeding,,customer_safe_intent,
64,"I have Mental Disorder, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Mental Disorder. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have mental disorder,have mental disorder,,customer_safe_intent,
65,Who leads R&D at Dayjoy?,R&D is guided by Dr. Ram Pal Somani and Mr. Yogendra Kumar Choudhary.,company,info,,,,high,Dayjoy Brochure,,who leads r d at dayjoy,who leads r d at dayjoy,,customer_safe_intent,
66,Do you have Face Serum (30ml)?,"Yes, Face Serum (30ml) is available. Code: DJP1057",transactional,availability,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Products Master,,do you have face serum 30ml,do you have face serum 30ml,Face Serum (30ml),customer_safe_intent,
67,Which product is good for Loss of sensation or numbness?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,loss sensation or numbness,loss sensation or numbness,,customer_safe_intent,
69,Tell me about Omega 3-6-9,This is a premium product under Curind.,informational,product_discovery,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Products Master,,tell about omega 3 6 9,tell about omega 3 6 9,Omega 3-6-9,customer_safe_intent,
71,What is the MRP of Dayjoy Bike Sticker?,The MRP is ₹20.0.,pricing,mrp,Dayjoy Bike Sticker,DJP1150,DJ-PRO-0151,high,Price List,,mrp dayjoy bike sticker,mrp dayjoy bike sticker,Dayjoy Bike Sticker,customer_safe_intent,
72,"I have Cough, Cold and Fever, what should I take?","Dayjoy suggests HIENERGY TABLETS for Cough, Cold and Fever. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have cough cold and fever,have cough cold and fever,,customer_safe_intent,
73,"I have Shortness of Breath, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Shortness of Breath. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have shortness breath,have shortness breath,,customer_safe_intent,
74,Are New Dayjoy Product Brochure (Hindi) and Orthofix Oil (100ml) the same?,"No, New Dayjoy Product Brochure (Hindi) is in PROMOTION TOOLS while Orthofix Oil (100ml) is in HEALTH CARE.",comparison,category_difference,,,,high,Products Master,,new dayjoy brochure hindi and orthofix oil 100ml same,new dayjoy brochure hindi and orthofix oil 100ml same,,customer_safe_intent,
76,Tell me about Orthofix Oil (100ml),This is a premium product under Curind.,informational,product_discovery,Orthofix Oil (100ml),DJP1099,DJ-HEA-0100,high,Products Master,,tell about orthofix oil 100ml,tell about orthofix oil 100ml,Orthofix Oil (100ml),customer_safe_intent,
77,"I have Tenderness, what should I take?","Dayjoy suggests ORTHOFIX TABLET for Tenderness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have tenderness,have tenderness,,customer_safe_intent,
78,Is Quick 6 Pain Relief Gel (30g) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,high,Products Master,,quick 6 pain relief gel 30g food,quick 6 pain relief gel 30g food,Quick 6 Pain Relief Gel (30g),customer_safe_intent,
80,Which product is good for Palpitations?,"Based on Dayjoy recommendations, you may consider ADILIPO TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,palpitations,palpitations,,customer_safe_intent,
82,Which product is good for Dry Skin?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,dry skin,dry skin,,customer_safe_intent,
83,"I have Difficulty bending the foot, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty bending the foot. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have difficulty bending foot,have difficulty bending foot,,customer_safe_intent,
84,Tell me about Adila Forte (30 Tab),This is a premium product under Curind.,informational,product_discovery,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,high,Products Master,,tell about adila forte 30 tab,tell about adila forte 30 tab,Adila Forte (30 Tab),customer_safe_intent,
88,Which product is good for Lack of Energy?,"Based on Dayjoy recommendations, you may consider HIENERGY TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,lack energy,lack energy,,customer_safe_intent,
89,Is Adicardial (120 Tab) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Adicardial (120 Tab),DJP1066,DJ-HEA-0067,high,Products Master,,adicardial 120 tab food,adicardial 120 tab food,Adicardial (120 Tab),customer_safe_intent,
91,Tell me about Nano Tech-19 (500ml),This is a premium product under HappyGrow.,informational,product_discovery,Nano Tech-19 (500ml),DJP1124,DJ-AGR-0125,high,Products Master,,tell about nano tech 19 500ml,tell about nano tech 19 500ml,Nano Tech-19 (500ml),customer_safe_intent,
92,"I have Joint Stiffness & Noises (Crepitations), what should I take?","Dayjoy suggests ORTHOFIX TABLET for Joint Stiffness & Noises (Crepitations). This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have joint stiffness noises crepitations,have joint stiffness noises crepitations,,customer_safe_intent,
93,Do you have Milk Bath Soap (Pack of 3) (100g)?,"Yes, Milk Bath Soap (Pack of 3) (100g) is available. Code: DJP1039",transactional,availability,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Products Master,,do you have milk bath soap pack 3 100g,do you have milk bath soap pack 3 100g,Milk Bath Soap (Pack of 3) (100g),customer_safe_intent,
94,What is the MRP of Gold Facial Kit?,The MRP is ₹449.0.,pricing,mrp,Gold Facial Kit,DJP1058,DJ-SKI-0059,high,Price List,,mrp gold facial kit,mrp gold facial kit,Gold Facial Kit,customer_safe_intent,
98,"I have Disturbed Concentration, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Disturbed Concentration. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have disturbed concentration,have disturbed concentration,,customer_safe_intent,
100,Is Milk Bath Soap (100g) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Milk Bath Soap (100g),DJP1038,DJ-PER-0039,high,Products Master,,milk bath soap 100g food,milk bath soap 100g food,Milk Bath Soap (100g),customer_safe_intent,
102,Which product is good for Poor Nail Health?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,poor nail health,poor nail health,,customer_safe_intent,
103,Is Dayjoy Pin a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,Dayjoy Pin,DJP1152,DJ-PRO-0153,high,Products Master,,dayjoy pin food,dayjoy pin food,Dayjoy Pin,customer_safe_intent,
105,Which product is good for Skin Sensitivity?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,skin sensitivity,skin sensitivity,,customer_safe_intent,
106,Is New Dayjoy Product Brochure (Telugu) a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,New Dayjoy Product Brochure (Telugu),DJP1156,DJ-PRO-0157,high,Products Master,,new dayjoy brochure telugu food,new dayjoy brochure telugu food,New Dayjoy Product Brochure (Telugu),customer_safe_intent,
108,Which product is good for Dizziness or Light Headedness?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,dizziness or light headedness,dizziness or light headedness,,customer_safe_intent,
109,What is Ecofriendly Toothbrush (Pack of 2)?,Ecofriendly Toothbrush (Pack of 2) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Products Master,,ecofriendly toothbrush pack 2,ecofriendly toothbrush pack 2,Ecofriendly Toothbrush (Pack of 2),customer_safe_intent,
110,Do you have Astheal Cough Syrup (100ml)?,"Yes, Astheal Cough Syrup (100ml) is available. Code: DJP1074",transactional,availability,Astheal Cough Syrup (100ml),DJP1074,DJ-HEA-0075,high,Products Master,,do you have astheal cough syrup 100ml,do you have astheal cough syrup 100ml,Astheal Cough Syrup (100ml),customer_safe_intent,
111,Which product is good for Extreme Hunger?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,extreme hunger,extreme hunger,,customer_safe_intent,
114,What if my product arrives damaged?,Notify Dayjoy within 24 hours of receipt of the shipment.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,if arrives damaged,if arrives damaged,,customer_safe_intent,
115,Is Dayjoy Car Sticker a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,Dayjoy Car Sticker,DJP1151,DJ-PRO-0152,high,Products Master,,dayjoy car sticker food,dayjoy car sticker food,Dayjoy Car Sticker,customer_safe_intent,
116,Is Daily Tea (250g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Daily Tea (250g),DJP1003,DJ-FOO-0004,high,Products Master,,daily tea 250g food,daily tea 250g food,Daily Tea (250g),customer_safe_intent,
117,Tell me about Luxwash Handwash (250ml),This is a premium product under Wild Muse.,informational,product_discovery,Luxwash Handwash (250ml),DJP1036,DJ-PER-0037,high,Products Master,,tell about luxwash handwash 250ml,tell about luxwash handwash 250ml,Luxwash Handwash (250ml),customer_safe_intent,
119,Do you have JoyProtect (500ml)?,"Yes, JoyProtect (500ml) is available. Code: DJP1134",transactional,availability,JoyProtect (500ml),DJP1134,DJ-AGR-0135,high,Products Master,,do you have joyprotect 500ml,do you have joyprotect 500ml,JoyProtect (500ml),customer_safe_intent,
120,"I have Dry Eye, what should I take?","Dayjoy suggests EYE ELIXIR DROPS for Dry Eye. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have dry eye,have dry eye,,customer_safe_intent,
121,Is Adicardial Syrup (500ml) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,,adicardial syrup 500ml food,adicardial syrup 500ml food,Adicardial Syrup (500ml),customer_safe_intent,
123,Is Haldi Chandan Facewash (60ml) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Haldi Chandan Facewash (60ml),DJP1056,DJ-PER-0057,high,Products Master,,haldi chandan facewash 60ml food,haldi chandan facewash 60ml food,Haldi Chandan Facewash (60ml),customer_safe_intent,
124,Do you have Seabuckthron Cleanser (30g)?,"Yes, Seabuckthron Cleanser (30g) is available. Code: DJP1046",transactional,availability,Seabuckthron Cleanser (30g),DJP1046,DJ-PER-0047,high,Products Master,,do you have seabuckthron cleanser 30g,do you have seabuckthron cleanser 30g,Seabuckthron Cleanser (30g),customer_safe_intent,
126,Do you have HB+ (500ml)?,"Yes, HB+ (500ml) is available. Code: DJP1089",transactional,availability,HB+ (500ml),DJP1089,DJ-HEA-0090,high,Products Master,,do you have hb 500ml,do you have hb 500ml,HB+ (500ml),customer_safe_intent,
127,"I have Pale, Bloody, or Black Stool, what should I take?","Dayjoy suggests ADILIV TABLETS for Pale, Bloody, or Black Stool. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have pale bloody or black stool,have pale bloody or black stool,,customer_safe_intent,
129,Is Advanced Calcium Tablets a food product?,It is categorized under HEALTH CARE.,informational,product_category,Advanced Calcium Tablets,DJP1077,DJ-HEA-0078,high,Products Master,,advanced calcium tablets food,advanced calcium tablets food,Advanced Calcium Tablets,customer_safe_intent,
132,Tell me about AcneX Anti-Acne Foaming Cleanser (100ml),This is a premium product under Amara Beauty.,informational,product_discovery,AcneX Anti-Acne Foaming Cleanser (100ml),DJP1062,DJ-SKI-0063,high,Products Master,,tell about acnex anti acne foaming cleanser 100ml,tell about acnex anti acne foaming cleanser 100ml,AcneX Anti-Acne Foaming Cleanser (100ml),customer_safe_intent,
134,Which product is good for Back Pain or Joints Pain?,"Based on Dayjoy recommendations, you may consider ORTHOFIX TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,back pain or joints pain,back pain or joints pain,,customer_safe_intent,
135,Are Multivitamins Tablets and Dayjoy Pin the same?,"No, Multivitamins Tablets is in HEALTH CARE while Dayjoy Pin is in PROMOTION TOOLS.",comparison,category_difference,,,,high,Products Master,,multivitamins tablets and dayjoy pin same,multivitamins tablets and dayjoy pin same,,customer_safe_intent,
136,Do you have Milk Bath Soap (100g)?,"Yes, Milk Bath Soap (100g) is available. Code: DJP1038",transactional,availability,Milk Bath Soap (100g),DJP1038,DJ-PER-0039,high,Products Master,,do you have milk bath soap 100g,do you have milk bath soap 100g,Milk Bath Soap (100g),customer_safe_intent,
139,How many days do I have to return an item?,Returns are accepted within 30 days from the invoice date.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,how many days do have return item,how many days do have return item,,customer_safe_intent,
141,Which product is good for Difficult in healing physical injuries?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,difficult healing physical injuries,difficult healing physical injuries,,customer_safe_intent,
142,Tell me about Jaljeera (100g),This is a premium product under Aayushmaan / YumDum / Total Joy.,informational,product_discovery,Jaljeera (100g),DJP1013,DJ-FOO-0014,high,Products Master,,tell about jaljeera 100g,tell about jaljeera 100g,Jaljeera (100g),customer_safe_intent,
144,Do I need to pay a joining fee?,"No, there are no expensive start-up costs or burdening overheads.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,do need pay joining fee,do need pay joining fee,,customer_safe_intent,
