intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by,governance_reviewed,entities,required_tool,answer_source
11,Which product is good for Itchy Skin?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,itchy skin,itchy skin,,customer_safe_intent,,False,symptom=itchy skin,rag_retrieval,rag_chunk
12,How do I get a refund?,Refunds for returned products are processed to the original bank account or payment method after inspection.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,how do get refund,how do get refund,,customer_safe_intent,,False,,faq_lookup,faq
13,Which product is good for Increased errors or accidents?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,increased errors or accidents,increased errors or accidents,,customer_safe_intent,,False,symptom=increased errors or accidents,rag_retrieval,rag_chunk
14,Which product is good for Yellow Skin and Eyes?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,yellow skin and eyes,yellow skin and eyes,,customer_safe_intent,,False,symptom=yellow skin and eyes,rag_retrieval,rag_chunk
15,What is Garam Masala (100g)?,Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Products Master,,garam masala 100g,garam masala 100g,Garam Masala (100g),customer_safe_intent,,False,product_name=Garam Masala (100g); product_code=DJP1008; sku=DJ-FOO-0009; recommended_product=Garam Masala (100g),product_database,canonical_product
16,Which product is good for Pain?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,pain,pain,,customer_safe_intent,,False,symptom=pain,rag_retrieval,rag_chunk
17,How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)?,The pack size is 150ml.,informational,pack_size,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042,DJ-PER-0043,high,Products Master,,how much one pack sandalwood shahi gulab body lotion 150ml,how much one pack sandalwood shahi gulab body lotion 150ml,Sandalwood & Shahi Gulab Body Lotion (150ml),internal_distributor_intent,,False,product_name=Sandalwood & Shahi Gulab Body Lotion (150ml); product_code=DJP1042; sku=DJ-PER-0043; recommended_product=Sandalwood & Shahi Gulab Body Lotion (150ml),product_database,canonical_product
18,"I have Fatigue, what should I take?","Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have fatigue,have fatigue,,customer_safe_intent_approved,Dayjoy approved,True,symptom=have fatigue,rag_retrieval,rag_chunk
19,Which product is good for Shortness of Breath?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,shortness breath,shortness breath,,customer_safe_intent,,False,symptom=shortness breath,rag_retrieval,rag_chunk
20,What is the Loyalty Offer?,Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,loyalty offer,loyalty offer,,internal_distributor_intent,,False,,compensation_database,canonical_compensation
21,"I have Constipation, what should I take?","Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have constipation,have constipation,,customer_safe_intent,,False,symptom=have constipation,rag_retrieval,rag_chunk
22,Can I sell Dayjoy products part-time?,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,can sell dayjoy products part time,can sell dayjoy products part time,,customer_safe_intent,,False,,compensation_database,canonical_compensation
23,Do you have Sanitary Pad (XXL) (Pack of 10)?,"Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",transactional,availability,Sanitary Pad (XXL) (Pack of 10),DJP1044,DJ-PER-0045,high,Products Master,,do you have sanitary pad xxl pack 10,do you have sanitary pad xxl pack 10,Sanitary Pad (XXL) (Pack of 10),customer_safe_intent,,False,product_name=Sanitary Pad (XXL) (Pack of 10); product_code=DJP1044; sku=DJ-PER-0045; recommended_product=Sanitary Pad (XXL) (Pack of 10),product_database,canonical_product
24,"I have Focusing on tasks or remembering, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have focusing on tasks or remembering,have focusing on tasks or remembering,,customer_safe_intent,,False,symptom=have focusing on tasks or remembering,rag_retrieval,rag_chunk
25,What is the Super Retailer Loyalty Program?,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,super retailer loyalty program,super retailer loyalty program,,internal_distributor_intent,,False,,compensation_database,canonical_compensation
26,Is cash refund available?,No cash refunds under any circumstances will be made.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,cash refund available,cash refund available,,customer_safe_intent,,False,,faq_lookup,faq
27,Tell me about Seabuckthron Facial Kit (30g) (Pack of 6),This is a premium product under Wild Muse.,informational,product_discovery,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045,DJ-PER-0046,high,Products Master,,tell about seabuckthron facial kit 30g pack 6,tell about seabuckthron facial kit 30g pack 6,Seabuckthron Facial Kit (30g) (Pack of 6),customer_safe_intent,,False,product_name=Seabuckthron Facial Kit (30g) (Pack of 6); product_code=DJP1045; sku=DJ-PER-0046; recommended_product=Seabuckthron Facial Kit (30g) (Pack of 6),product_database,canonical_product
28,"Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)?","Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,menstrual problems painful periods irregular periods dysfunctional uterine bleeding,menstrual problems painful periods irregular periods dysfunctional uterine bleeding,,customer_safe_intent,,False,symptom=menstrual problems painful periods irregular periods dysfunctional uterine bleeding,rag_retrieval,rag_chunk
29,Which product is good for Skin Disorders?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,skin disorders,skin disorders,,customer_safe_intent,,False,symptom=skin disorders,rag_retrieval,rag_chunk
30,"I have Worsened pain after sitting or standing for a long time, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have worsened pain after sitting or standing long time,have worsened pain after sitting or standing long time,,customer_safe_intent,,False,symptom=have worsened pain after sitting or standing long time,rag_retrieval,rag_chunk
31,"I have Difficulty walking on your toes, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have difficulty walking on your toes,have difficulty walking on your toes,,customer_safe_intent,,False,symptom=have difficulty walking on your toes,rag_retrieval,rag_chunk
32,Tell me about Dayjoy Backpack Bag,This is a premium product under Dayjoy.,informational,product_discovery,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,tell about dayjoy backpack bag,tell about dayjoy backpack bag,Dayjoy Backpack Bag,customer_safe_intent,,False,product_name=Dayjoy Backpack Bag; product_code=DJP1153; sku=DJ-PRO-0154; recommended_product=Dayjoy Backpack Bag,product_database,canonical_product
33,Is Dayjoy FSSAI approved?,"Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",compliance,policy,,,,high,FSSAI / Social Media Policy / Income Disclaimer,,dayjoy fssai approved,dayjoy fssai approved,,customer_safe_intent,,False,,faq_lookup,faq
34,How much BV for New Total Joy Rice Bran Oil (1 Litre)?,The Business Volume (BV) is 24.0.,pricing,bv,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Price List,,how much bv new total joy rice bran oil 1 litre,how much bv new total joy rice bran oil 1 litre,New Total Joy Rice Bran Oil (1 Litre),internal_distributor_intent,,False,product_name=New Total Joy Rice Bran Oil (1 Litre); product_code=DJP1021; sku=DJ-FOO-0022; recommended_product=New Total Joy Rice Bran Oil (1 Litre),pricing_database,canonical_pricing
35,How much is in one pack of Dayjoy Backpack Bag?,The pack size is nan.,informational,pack_size,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,how much one pack dayjoy backpack bag,how much one pack dayjoy backpack bag,Dayjoy Backpack Bag,internal_distributor_intent,,False,product_name=Dayjoy Backpack Bag; product_code=DJP1153; sku=DJ-PRO-0154; recommended_product=Dayjoy Backpack Bag,product_database,canonical_product
36,What is the MRP of Seabuckthron Scrub (30g)?,The MRP is ₹225.0.,pricing,mrp,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,high,Price List,,mrp seabuckthron scrub 30g,mrp seabuckthron scrub 30g,Seabuckthron Scrub (30g),customer_safe_intent,,False,product_name=Seabuckthron Scrub (30g); product_code=DJP1047; sku=DJ-PER-0048; recommended_product=Seabuckthron Scrub (30g),pricing_database,canonical_pricing
37,"I have Nausea/Vomiting, what should I take?","Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have nausea vomiting,have nausea vomiting,,customer_safe_intent,,False,symptom=have nausea vomiting,rag_retrieval,rag_chunk
38,Tell me about English One-Page Compensation Plan (Set of 50 Leaflets),This is a premium product under Dayjoy.,informational,product_discovery,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161,DJ-PRO-0162,high,Products Master,,tell about english one page compensation plan set 50 leaflets,tell about english one page compensation plan set 50 leaflets,English One-Page Compensation Plan (Set of 50 Leaflets),customer_safe_intent,,False,product_name=English One-Page Compensation Plan (Set of 50 Leaflets); product_code=DJP1161; sku=DJ-PRO-0162; recommended_product=English One-Page Compensation Plan (Set of 50 Leaflets),product_database,canonical_product
39,How much is in one pack of Deep Cleansing Facewash (60ml)?,The pack size is 60ml.,informational,pack_size,Deep Cleansing Facewash (60ml),DJP1053,DJ-PER-0054,high,Products Master,,how much one pack deep cleansing facewash 60ml,how much one pack deep cleansing facewash 60ml,Deep Cleansing Facewash (60ml),internal_distributor_intent,,False,product_name=Deep Cleansing Facewash (60ml); product_code=DJP1053; sku=DJ-PER-0054; recommended_product=Deep Cleansing Facewash (60ml),product_database,canonical_product
40,What is the MRP of Milk Bath Soap (Pack of 3) (100g)?,The MRP is ₹225.0.,pricing,mrp,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Price List,,mrp milk bath soap pack 3 100g,mrp milk bath soap pack 3 100g,Milk Bath Soap (Pack of 3) (100g),customer_safe_intent,,False,product_name=Milk Bath Soap (Pack of 3) (100g); product_code=DJP1039; sku=DJ-PER-0040; recommended_product=Milk Bath Soap (Pack of 3) (100g),pricing_database,canonical_pricing
41,Which product is good for Blurred Vision?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,blurred vision,blurred vision,,customer_safe_intent,,False,symptom=blurred vision,rag_retrieval,rag_chunk
42,Which product is good for Premature Ejaculation?,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,premature ejaculation,premature ejaculation,,customer_safe_intent,,False,symptom=premature ejaculation,rag_retrieval,rag_chunk
43,"I have Frequent Urination, what should I take?","Dayjoy suggests DIBEAT TABLETS for Frequent Urination. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have frequent urination,have frequent urination,,customer_safe_intent,,False,symptom=have frequent urination,rag_retrieval,rag_chunk
45,How much is in one pack of Perfect-Ion Leaflets (Set of 25)?,The pack size is Set of 25.,informational,pack_size,Perfect-Ion Leaflets (Set of 25),DJP1142,DJ-AQU-0143,high,Products Master,,how much one pack perfect ion leaflets set 25,how much one pack perfect ion leaflets set 25,Perfect-Ion Leaflets (Set of 25),internal_distributor_intent,,False,product_name=Perfect-Ion Leaflets (Set of 25); product_code=DJP1142; sku=DJ-AQU-0143; recommended_product=Perfect-Ion Leaflets (Set of 25),product_database,canonical_product
46,Tell me about Shatavari Extract (60 Veg Capsules),This is a premium product under Curind.,informational,product_discovery,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,,tell about shatavari extract 60 veg capsules,tell about shatavari extract 60 veg capsules,Shatavari Extract (60 Veg Capsules),customer_safe_intent,,False,product_name=Shatavari Extract (60 Veg Capsules); product_code=DJP1104; sku=DJ-HEA-0105; recommended_product=Shatavari Extract (60 Veg Capsules),product_database,canonical_product
47,What is Sunscreen SPF 50+ (50gm)?,Sunscreen SPF 50+ (50gm) is a SKIN CARE product by Dayjoy.,informational,product_info,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Products Master,,sunscreen spf 50 50gm,sunscreen spf 50 50gm,Sunscreen SPF 50+ (50gm),customer_safe_intent,,False,product_name=Sunscreen SPF 50+ (50gm); product_code=DJP1059; sku=DJ-SKI-0060; recommended_product=Sunscreen SPF 50+ (50gm),product_database,canonical_product
48,"I have Rapid Weight Gain, what should I take?","Dayjoy suggests AMPLE MEAL for Rapid Weight Gain. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have rapid weight gain,have rapid weight gain,,customer_safe_intent,,False,symptom=have rapid weight gain,rag_retrieval,rag_chunk
49,Which product is good for Anxiety?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,anxiety,anxiety,,customer_safe_intent,,False,symptom=anxiety,rag_retrieval,rag_chunk
50,How much is in one pack of Daily Care Cream (60g)?,The pack size is 60g.,informational,pack_size,Daily Care Cream (60g),DJP1030,DJ-PER-0031,high,Products Master,,how much one pack daily care cream 60g,how much one pack daily care cream 60g,Daily Care Cream (60g),internal_distributor_intent,,False,product_name=Daily Care Cream (60g); product_code=DJP1030; sku=DJ-PER-0031; recommended_product=Daily Care Cream (60g),product_database,canonical_product
51,"I have High Blood Pressure, what should I take?","Dayjoy suggests ADILIPO TABLET for High Blood Pressure. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have high blood pressure,have high blood pressure,,customer_safe_intent_approved,Dayjoy approved,True,symptom=have high blood pressure,rag_retrieval,rag_chunk
52,What is Organic Jeera (250g)?,Organic Jeera (250g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Organic Jeera (250g),DJP1014,DJ-FOO-0015,high,Products Master,,organic jeera 250g,organic jeera 250g,Organic Jeera (250g),customer_safe_intent,,False,product_name=Organic Jeera (250g); product_code=DJP1014; sku=DJ-FOO-0015; recommended_product=Organic Jeera (250g),product_database,canonical_product
53,Tell me about Gas-O-Free (500ml),This is a premium product under Curind.,informational,product_discovery,Gas-O-Free (500ml),DJP1082,DJ-HEA-0083,high,Products Master,,tell about gas o free 500ml,tell about gas o free 500ml,Gas-O-Free (500ml),customer_safe_intent,,False,product_name=Gas-O-Free (500ml); product_code=DJP1082; sku=DJ-HEA-0083; recommended_product=Gas-O-Free (500ml),product_database,canonical_product
54,Can I return it?,You may return marketable products within 30 days of invoice with original bill (5% handling charge applies).,policy,shipping_refund,,,,high,Shipping/Refund Policy,,can return it,can return it,,customer_safe_intent,,False,,faq_lookup,faq
55,Which product is good for Photo Damage (UV Rays)?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,photo damage uv rays,photo damage uv rays,,customer_safe_intent,,False,symptom=photo damage uv rays,rag_retrieval,rag_chunk
56,Which product is good for Itching around one or more of the veins?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,itching around one or more veins,itching around one or more veins,,customer_safe_intent,,False,symptom=itching around one or more veins,rag_retrieval,rag_chunk
57,Tell me about Adicardial Syrup (500ml),This is a premium product under Curind.,informational,product_discovery,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,,tell about adicardial syrup 500ml,tell about adicardial syrup 500ml,Adicardial Syrup (500ml),customer_safe_intent,,False,product_name=Adicardial Syrup (500ml); product_code=DJP1067; sku=DJ-HEA-0068; recommended_product=Adicardial Syrup (500ml),product_database,canonical_product
58,Do you have L-Arginine++ - Energy Drink (100g)?,"Yes, L-Arginine++ - Energy Drink (100g) is available. Code: DJP1108",transactional,availability,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Products Master,,do you have l arginine energy drink 100g,do you have l arginine energy drink 100g,L-Arginine++ - Energy Drink (100g),customer_safe_intent,,False,product_name=L-Arginine++ - Energy Drink (100g); product_code=DJP1108; sku=DJ-HEA-0109; recommended_product=L-Arginine++ - Energy Drink (100g),product_database,canonical_product
59,How much BV for Garam Masala (100g)?,The Business Volume (BV) is 20.0.,pricing,bv,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Price List,,how much bv garam masala 100g,how much bv garam masala 100g,Garam Masala (100g),internal_distributor_intent,,False,product_name=Garam Masala (100g); product_code=DJP1008; sku=DJ-FOO-0009; recommended_product=Garam Masala (100g),pricing_database,canonical_pricing
60,How much BV for HB+ (200ml)?,The Business Volume (BV) is 160.0.,pricing,bv,HB+ (200ml),DJP1088,DJ-HEA-0089,high,Price List,,how much bv hb 200ml,how much bv hb 200ml,HB+ (200ml),internal_distributor_intent,,False,product_name=HB+ (200ml); product_code=DJP1088; sku=DJ-HEA-0089; recommended_product=HB+ (200ml),pricing_database,canonical_pricing
61,"I have Headache, what should I take?","Dayjoy suggests ASTHPRASH OR N-ASTHEAL TABLET for Headache. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have headache,have headache,,customer_safe_intent,,False,symptom=have headache,rag_retrieval,rag_chunk
62,What is the MRP of Ecofriendly Toothbrush (Pack of 2)?,The MRP is ₹149.0.,pricing,mrp,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Price List,,mrp ecofriendly toothbrush pack 2,mrp ecofriendly toothbrush pack 2,Ecofriendly Toothbrush (Pack of 2),customer_safe_intent,,False,product_name=Ecofriendly Toothbrush (Pack of 2); product_code=DJP1032; sku=DJ-PER-0033; recommended_product=Ecofriendly Toothbrush (Pack of 2),pricing_database,canonical_pricing
63,"I have Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding), what should I take?","Dayjoy suggests ADICARDIAL TABLET for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding). This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have menstrual problems painful periods irregular periods dysfunctional uterine bleeding,have menstrual problems painful periods irregular periods dysfunctional uterine bleeding,,customer_safe_intent,,False,symptom=have menstrual problems painful periods irregular periods dysfunctional uterine bleeding,rag_retrieval,rag_chunk
64,"I have Mental Disorder, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Mental Disorder. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have mental disorder,have mental disorder,,customer_safe_intent,,False,symptom=have mental disorder,rag_retrieval,rag_chunk
65,Who leads R&D at Dayjoy?,R&D is guided by Dr. Ram Pal Somani and Mr. Yogendra Kumar Choudhary.,company,info,,,,high,Dayjoy Brochure,,who leads r d at dayjoy,who leads r d at dayjoy,,customer_safe_intent,,False,,faq_lookup,faq
66,Do you have Face Serum (30ml)?,"Yes, Face Serum (30ml) is available. Code: DJP1057",transactional,availability,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Products Master,,do you have face serum 30ml,do you have face serum 30ml,Face Serum (30ml),customer_safe_intent,,False,product_name=Face Serum (30ml); product_code=DJP1057; sku=DJ-SKI-0058; recommended_product=Face Serum (30ml),product_database,canonical_product
67,Which product is good for Loss of sensation or numbness?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,loss sensation or numbness,loss sensation or numbness,,customer_safe_intent,,False,symptom=loss sensation or numbness,rag_retrieval,rag_chunk
68,How much is in one pack of Shatavari Extract (60 Veg Capsules)?,The pack size is 60 Veg Capsules.,informational,pack_size,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,,how much one pack shatavari extract 60 veg capsules,how much one pack shatavari extract 60 veg capsules,Shatavari Extract (60 Veg Capsules),internal_distributor_intent,,False,product_name=Shatavari Extract (60 Veg Capsules); product_code=DJP1104; sku=DJ-HEA-0105; recommended_product=Shatavari Extract (60 Veg Capsules),product_database,canonical_product
69,Tell me about Omega 3-6-9,This is a premium product under Curind.,informational,product_discovery,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Products Master,,tell about omega 3 6 9,tell about omega 3 6 9,Omega 3-6-9,customer_safe_intent,,False,product_name=Omega 3-6-9; product_code=DJP1100; sku=DJ-HEA-0101; recommended_product=Omega 3-6-9,product_database,canonical_product
70,DP of DJP1024,The Distributor Price (DP) is ₹67.0.,pricing,dp,Poha with Bhujia,DJP1024,DJ-FOO-0025,high,Price List,,dp djp1024,dp djp1024,Poha with Bhujia,internal_distributor_intent,,False,product_name=Poha with Bhujia; product_code=DJP1024; sku=DJ-FOO-0025; recommended_product=Poha with Bhujia,pricing_database,canonical_pricing
71,What is the MRP of Dayjoy Bike Sticker?,The MRP is ₹20.0.,pricing,mrp,Dayjoy Bike Sticker,DJP1150,DJ-PRO-0151,high,Price List,,mrp dayjoy bike sticker,mrp dayjoy bike sticker,Dayjoy Bike Sticker,customer_safe_intent,,False,product_name=Dayjoy Bike Sticker; product_code=DJP1150; sku=DJ-PRO-0151; recommended_product=Dayjoy Bike Sticker,pricing_database,canonical_pricing
72,"I have Cough, Cold and Fever, what should I take?","Dayjoy suggests HIENERGY TABLETS for Cough, Cold and Fever. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have cough cold and fever,have cough cold and fever,,customer_safe_intent,,False,symptom=have cough cold and fever,rag_retrieval,rag_chunk
73,"I have Shortness of Breath, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Shortness of Breath. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have shortness breath,have shortness breath,,customer_safe_intent,,False,symptom=have shortness breath,rag_retrieval,rag_chunk
