intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket
107,How much is in one pack of Bio-Germanium & Magnetic Mattress (Pack of 2)?,The pack size is Pack of 2.,informational,pack_size,Bio-Germanium & Magnetic Mattress (Pack of 2),DJP1137,DJ-GER-0138,high,Products Master,,how much one pack bio germanium magnetic mattress pack 2,how much one pack bio germanium magnetic mattress pack 2,Bio-Germanium & Magnetic Mattress (Pack of 2),internal_distributor_intent
112,How much is in one pack of AgeX Anti-Ageing Night Cream (50gm)?,The pack size is 50gm.,informational,pack_size,AgeX Anti-Ageing Night Cream (50gm),DJP1061,DJ-SKI-0062,high,Products Master,,how much one pack agex anti ageing night cream 50gm,how much one pack agex anti ageing night cream 50gm,AgeX Anti-Ageing Night Cream (50gm),internal_distributor_intent
113,How much BV for Mirchi Powder (500g)?,The Business Volume (BV) is 50.0.,pricing,bv,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Price List,,how much bv mirchi powder 500g,how much bv mirchi powder 500g,Mirchi Powder (500g),internal_distributor_intent
125,How much is in one pack of ELITE PACKAGE?,The pack size is nan.,informational,pack_size,ELITE PACKAGE,DJP1166,DJ-COM-0167,high,Products Master,,how much one pack elite package,how much one pack elite package,ELITE PACKAGE,internal_distributor_intent
130,How much BV for Super Rich Berry Juice (1 Ltr.)?,The Business Volume (BV) is 740.0.,pricing,bv,Super Rich Berry Juice (1 Ltr.),DJP1102,DJ-HEA-0103,high,Price List,,how much bv super rich berry juice 1 ltr,how much bv super rich berry juice 1 ltr,Super Rich Berry Juice (1 Ltr.),internal_distributor_intent
131,How much BV for Dayjoy Diary?,The Business Volume (BV) is 0.0.,pricing,bv,Dayjoy Diary,DJP1146,DJ-PRO-0147,high,Price List,,how much bv dayjoy diary,how much bv dayjoy diary,Dayjoy Diary,internal_distributor_intent
137,DP of DJP1160,The Distributor Price (DP) is ₹135.0.,pricing,dp,Hindi One-Page Compensation Plan (Set of 50 Leaflets),DJP1160,DJ-PRO-0161,high,Price List,,dp djp1160,dp djp1160,Hindi One-Page Compensation Plan (Set of 50 Leaflets),internal_distributor_intent
140,How much BV for JoySpread 80+ Gold (100ml)?,The Business Volume (BV) is 37.0.,pricing,bv,JoySpread 80+ Gold (100ml),DJP1132,DJ-AGR-0133,high,Price List,,how much bv joyspread 80 gold 100ml,how much bv joyspread 80 gold 100ml,JoySpread 80+ Gold (100ml),internal_distributor_intent
145,DP of DJP1089,The Distributor Price (DP) is ₹865.0.,pricing,dp,HB+ (500ml),DJP1089,DJ-HEA-0090,high,Price List,,dp djp1089,dp djp1089,HB+ (500ml),internal_distributor_intent
146,DP of DJP1027,The Distributor Price (DP) is ₹94.0.,pricing,dp,Anti Pollution Aloevera Face Wash (100ml),DJP1027,DJ-PER-0028,high,Price List,,dp djp1027,dp djp1027,Anti Pollution Aloevera Face Wash (100ml),internal_distributor_intent
147,DP of DJP1029,The Distributor Price (DP) is ₹165.0.,pricing,dp,BR Rich Oil (200ml),DJP1029,DJ-PER-0030,high,Price List,,dp djp1029,dp djp1029,BR Rich Oil (200ml),internal_distributor_intent
152,How much BV for Dayjoy Leather Bag?,The Business Volume (BV) is 550.0.,pricing,bv,Dayjoy Leather Bag,DJP1147,DJ-PRO-0148,high,Price List,,how much bv dayjoy leather bag,how much bv dayjoy leather bag,Dayjoy Leather Bag,internal_distributor_intent
158,DP of DJP1018,The Distributor Price (DP) is ₹275.0.,pricing,dp,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Price List,,dp djp1018,dp djp1018,Mirchi Powder (500g),internal_distributor_intent
160,How much is in one pack of Hydra Aloevera Body Lotion (300ml)?,The pack size is 300ml.,informational,pack_size,Hydra Aloevera Body Lotion (300ml),DJP1034,DJ-PER-0035,high,Products Master,,how much one pack hydra aloevera body lotion 300ml,how much one pack hydra aloevera body lotion 300ml,Hydra Aloevera Body Lotion (300ml),internal_distributor_intent
162,How much BV for Seabuckthron Facial Fluid (10ml)?,The Business Volume (BV) is 52.0.,pricing,bv,Seabuckthron Facial Fluid (10ml),DJP1051,DJ-PER-0052,high,Price List,,how much bv seabuckthron facial fluid 10ml,how much bv seabuckthron facial fluid 10ml,Seabuckthron Facial Fluid (10ml),internal_distributor_intent
163,How much is in one pack of Daily Tea (250g)?,The pack size is 250g.,informational,pack_size,Daily Tea (250g),DJP1003,DJ-FOO-0004,high,Products Master,,how much one pack daily tea 250g,how much one pack daily tea 250g,Daily Tea (250g),internal_distributor_intent
175,How much BV for Shilajit Gummies (60 Gummies)?,The Business Volume (BV) is 400.0.,pricing,bv,Shilajit Gummies (60 Gummies),DJP1112,DJ-HEA-0113,high,Price List,,how much bv shilajit gummies 60 gummies,how much bv shilajit gummies 60 gummies,Shilajit Gummies (60 Gummies),internal_distributor_intent
176,How much is in one pack of GoPiles Syrup (500ml)?,The pack size is 500ml.,informational,pack_size,GoPiles Syrup (500ml),DJP1084,DJ-HEA-0085,high,Products Master,,how much one pack gopiles syrup 500ml,how much one pack gopiles syrup 500ml,GoPiles Syrup (500ml),internal_distributor_intent
177,DP of DJP1017,The Distributor Price (DP) is ₹110.0.,pricing,dp,Mirchi Powder (200g),DJP1017,DJ-FOO-0018,high,Price List,,dp djp1017,dp djp1017,Mirchi Powder (200g),internal_distributor_intent
182,How much is in one pack of Kahwa Masala Chai (25 Pcs)?,The pack size is 25 Pcs.,informational,pack_size,Kahwa Masala Chai (25 Pcs),DJP1111,DJ-HEA-0112,high,Products Master,,how much one pack kahwa masala chai 25 pcs,how much one pack kahwa masala chai 25 pcs,Kahwa Masala Chai (25 Pcs),internal_distributor_intent
183,How much is in one pack of Prosperous+ Tablets?,The pack size is nan.,informational,pack_size,Prosperous+ Tablets,DJP1129,DJ-AGR-0130,high,Products Master,,how much one pack prosperous tablets,how much one pack prosperous tablets,Prosperous+ Tablets,internal_distributor_intent
184,How much is in one pack of Liv-Ease (200ml)?,The pack size is 200ml.,informational,pack_size,Liv-Ease (200ml),DJP1092,DJ-HEA-0093,high,Products Master,,how much one pack liv ease 200ml,how much one pack liv ease 200ml,Liv-Ease (200ml),internal_distributor_intent
199,DP of DJP1036,The Distributor Price (DP) is ₹95.0.,pricing,dp,Luxwash Handwash (250ml),DJP1036,DJ-PER-0037,high,Price List,,dp djp1036,dp djp1036,Luxwash Handwash (250ml),internal_distributor_intent
202,DP of DJP1120,The Distributor Price (DP) is ₹180.0.,pricing,dp,Designer Mask (Pack of 5),DJP1120,DJ-CLO-0121,high,Price List,,dp djp1120,dp djp1120,Designer Mask (Pack of 5),internal_distributor_intent
207,How much is in one pack of JuniorJoy - Kids Nutritional Drink (300g)?,The pack size is 300g.,informational,pack_size,JuniorJoy - Kids Nutritional Drink (300g),DJP1110,DJ-HEA-0111,high,Products Master,,how much one pack juniorjoy kids nutritional drink 300g,how much one pack juniorjoy kids nutritional drink 300g,JuniorJoy - Kids Nutritional Drink (300g),internal_distributor_intent
219,How much is in one pack of Seabuckthron Facial Kit (30g) (Pack of 6)?,The pack size is Pack of 6.,informational,pack_size,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045,DJ-PER-0046,high,Products Master,,how much one pack seabuckthron facial kit 30g pack 6,how much one pack seabuckthron facial kit 30g pack 6,Seabuckthron Facial Kit (30g) (Pack of 6),internal_distributor_intent
238,How much is in one pack of AcneX Anti-Acne Foaming Cleanser (100ml)?,The pack size is 100ml.,informational,pack_size,AcneX Anti-Acne Foaming Cleanser (100ml),DJP1062,DJ-SKI-0063,high,Products Master,,how much one pack acnex anti acne foaming cleanser 100ml,how much one pack acnex anti acne foaming cleanser 100ml,AcneX Anti-Acne Foaming Cleanser (100ml),internal_distributor_intent
248,DP of DJP1063,The Distributor Price (DP) is ₹199.0.,pricing,dp,Amara Beauty Kajal,DJP1063,DJ-COL-0064,high,Price List,,dp djp1063,dp djp1063,Amara Beauty Kajal,internal_distributor_intent
254,How much is in one pack of English One-Page Compensation Plan (Set of 25 Leaflets)?,The pack size is Set of 25 Leaflets.,informational,pack_size,English One-Page Compensation Plan (Set of 25 Leaflets),DJP1159,DJ-PRO-0160,high,Products Master,,how much one pack english one page compensation plan set 25 leaflets,how much one pack english one page compensation plan set 25 leaflets,English One-Page Compensation Plan (Set of 25 Leaflets),internal_distributor_intent
257,How much BV for Aloevera Gel (100g)?,The Business Volume (BV) is 36.0.,pricing,bv,Aloevera Gel (100g),DJP1028,DJ-PER-0029,high,Price List,,how much bv aloevera gel 100g,how much bv aloevera gel 100g,Aloevera Gel (100g),internal_distributor_intent
258,How much BV for Daily Tea (250g)?,The Business Volume (BV) is 20.0.,pricing,bv,Daily Tea (250g),DJP1003,DJ-FOO-0004,high,Price List,,how much bv daily tea 250g,how much bv daily tea 250g,Daily Tea (250g),internal_distributor_intent
279,How much BV for Luxwash Handwash (250ml)?,The Business Volume (BV) is 17.0.,pricing,bv,Luxwash Handwash (250ml),DJP1036,DJ-PER-0037,high,Price List,,how much bv luxwash handwash 250ml,how much bv luxwash handwash 250ml,Luxwash Handwash (250ml),internal_distributor_intent
292,How much is in one pack of Premium Tulsi Max (30ml)?,The pack size is 30ml.,informational,pack_size,Premium Tulsi Max (30ml),DJP1106,DJ-HEA-0107,high,Products Master,,how much one pack premium tulsi max 30ml,how much one pack premium tulsi max 30ml,Premium Tulsi Max (30ml),internal_distributor_intent
293,How much BV for Haldi Powder (500g)?,The Business Volume (BV) is 28.0.,pricing,bv,Haldi Powder (500g),DJP1011,DJ-FOO-0012,high,Price List,,how much bv haldi powder 500g,how much bv haldi powder 500g,Haldi Powder (500g),internal_distributor_intent
294,DP of DJP1094,The Distributor Price (DP) is ₹425.0.,pricing,dp,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Price List,,dp djp1094,dp djp1094,Multivitamins Tablets,internal_distributor_intent
296,DP of DJP1065,The Distributor Price (DP) is ₹1499.0.,pricing,dp,Asthprash (300 grams),DJP1065,DJ-HEA-0066,high,Price List,,dp djp1065,dp djp1065,Asthprash (300 grams),internal_distributor_intent
303,How much BV for Daily Care Cream (60g)?,The Business Volume (BV) is 30.0.,pricing,bv,Daily Care Cream (60g),DJP1030,DJ-PER-0031,high,Price List,,how much bv daily care cream 60g,how much bv daily care cream 60g,Daily Care Cream (60g),internal_distributor_intent
305,DP of DJP1105,The Distributor Price (DP) is ₹999.0.,pricing,dp,Super Food Capsule,DJP1105,DJ-HEA-0106,high,Price List,,dp djp1105,dp djp1105,Super Food Capsule,internal_distributor_intent
308,How much is in one pack of Mirchi Powder (25g)?,The pack size is 25g.,informational,pack_size,Mirchi Powder (25g),DJP1016,DJ-FOO-0017,high,Products Master,,how much one pack mirchi powder 25g,how much one pack mirchi powder 25g,Mirchi Powder (25g),internal_distributor_intent
309,How much BV for Omega 3-6-9?,The Business Volume (BV) is 200.0.,pricing,bv,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Price List,,how much bv omega 3 6 9,how much bv omega 3 6 9,Omega 3-6-9,internal_distributor_intent
310,DP of DJP1122,The Distributor Price (DP) is ₹599.0.,pricing,dp,"T-shirt New Design (L, M, XL)",DJP1122,DJ-CLO-0123,high,Price List,,dp djp1122,dp djp1122,"T-shirt New Design (L, M, XL)",internal_distributor_intent
319,How much is in one pack of Chaat Masala (100g)?,The pack size is 100g.,informational,pack_size,Chaat Masala (100g),DJP1001,DJ-FOO-0002,high,Products Master,,how much one pack chaat masala 100g,how much one pack chaat masala 100g,Chaat Masala (100g),internal_distributor_intent
321,How much is in one pack of Himalayan Pink Salt Sprinkler (200g)?,The pack size is 200g.,informational,pack_size,Himalayan Pink Salt Sprinkler (200g),DJP1012,DJ-FOO-0013,high,Products Master,,how much one pack himalayan pink salt sprinkler 200g,how much one pack himalayan pink salt sprinkler 200g,Himalayan Pink Salt Sprinkler (200g),internal_distributor_intent
325,How much BV for Sunscreen SPF 50+ (50gm)?,The Business Volume (BV) is 92.0.,pricing,bv,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Price List,,how much bv sunscreen spf 50 50gm,how much bv sunscreen spf 50 50gm,Sunscreen SPF 50+ (50gm),internal_distributor_intent
338,How much BV for Liv-Ease (500ml)?,The Business Volume (BV) is 400.0.,pricing,bv,Liv-Ease (500ml),DJP1093,DJ-HEA-0094,high,Price List,,how much bv liv ease 500ml,how much bv liv ease 500ml,Liv-Ease (500ml),internal_distributor_intent
345,DP of DJP1010,The Distributor Price (DP) is ₹80.0.,pricing,dp,Haldi Powder (200g),DJP1010,DJ-FOO-0011,high,Price List,,dp djp1010,dp djp1010,Haldi Powder (200g),internal_distributor_intent
352,How much is in one pack of Adilipo (120 Tab)?,The pack size is 120 Tab.,informational,pack_size,Adilipo (120 Tab),DJP1070,DJ-HEA-0071,high,Products Master,,how much one pack adilipo 120 tab,how much one pack adilipo 120 tab,Adilipo (120 Tab),internal_distributor_intent
366,How much is in one pack of Designer Mask (Pack of 5)?,The pack size is Pack of 5.,informational,pack_size,Designer Mask (Pack of 5),DJP1120,DJ-CLO-0121,high,Products Master,,how much one pack designer mask pack 5,how much one pack designer mask pack 5,Designer Mask (Pack of 5),internal_distributor_intent
369,How much BV for Seabuckthron Scrub (30g)?,The Business Volume (BV) is 52.0.,pricing,bv,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,high,Price List,,how much bv seabuckthron scrub 30g,how much bv seabuckthron scrub 30g,Seabuckthron Scrub (30g),internal_distributor_intent
375,DP of DJP1148,The Distributor Price (DP) is ₹95.0.,pricing,dp,Dayjoy Cap,DJP1148,DJ-PRO-0149,high,Price List,,dp djp1148,dp djp1148,Dayjoy Cap,internal_distributor_intent
386,How much is in one pack of Mirchi Powder (200g)?,The pack size is 200g.,informational,pack_size,Mirchi Powder (200g),DJP1017,DJ-FOO-0018,high,Products Master,,how much one pack mirchi powder 200g,how much one pack mirchi powder 200g,Mirchi Powder (200g),internal_distributor_intent
392,How much is in one pack of Aloevera with Guava Juice (1L)?,The pack size is 1L.,informational,pack_size,Aloevera with Guava Juice (1L),DJP1073,DJ-HEA-0074,high,Products Master,,how much one pack aloevera guava juice 1l,how much one pack aloevera guava juice 1l,Aloevera with Guava Juice (1L),internal_distributor_intent
397,DP of DJP1126,The Distributor Price (DP) is ₹949.0.,pricing,dp,Nano Tech-50 (500ml),DJP1126,DJ-AGR-0127,high,Price List,,dp djp1126,dp djp1126,Nano Tech-50 (500ml),internal_distributor_intent
436,DP of DJP1114,The Distributor Price (DP) is ₹999.0.,pricing,dp,Marine Collagen (200g),DJP1114,DJ-HEA-0115,high,Price List,,dp djp1114,dp djp1114,Marine Collagen (200g),internal_distributor_intent
449,How much BV for Dayjoy Backpack Bag?,The Business Volume (BV) is 0.0.,pricing,bv,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Price List,,how much bv dayjoy backpack bag,how much bv dayjoy backpack bag,Dayjoy Backpack Bag,internal_distributor_intent
453,How much is in one pack of Liv-Ease (500ml)?,The pack size is 500ml.,informational,pack_size,Liv-Ease (500ml),DJP1093,DJ-HEA-0094,high,Products Master,,how much one pack liv ease 500ml,how much one pack liv ease 500ml,Liv-Ease (500ml),internal_distributor_intent
457,How much BV for Dhaniya Powder (25g)?,The Business Volume (BV) is 1.0.,pricing,bv,Dhaniya Powder (25g),DJP1005,DJ-FOO-0006,high,Price List,,how much bv dhaniya powder 25g,how much bv dhaniya powder 25g,Dhaniya Powder (25g),internal_distributor_intent
464,How much is in one pack of Perfect-Ion Leaflets (Set of 50)?,The pack size is Set of 50.,informational,pack_size,Perfect-Ion Leaflets (Set of 50),DJP1143,DJ-AQU-0144,high,Products Master,,how much one pack perfect ion leaflets set 50,how much one pack perfect ion leaflets set 50,Perfect-Ion Leaflets (Set of 50),internal_distributor_intent
469,How much BV for Milk Bath Soap (Pack of 3) (100g)?,The Business Volume (BV) is 25.0.,pricing,bv,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Price List,,how much bv milk bath soap pack 3 100g,how much bv milk bath soap pack 3 100g,Milk Bath Soap (Pack of 3) (100g),internal_distributor_intent
472,How much BV for Eye Elixir Drops (10ml)?,The Business Volume (BV) is 42.0.,pricing,bv,Eye Elixir Drops (10ml),DJP1086,DJ-HEA-0087,high,Price List,,how much bv eye elixir drops 10ml,how much bv eye elixir drops 10ml,Eye Elixir Drops (10ml),internal_distributor_intent
480,How much is in one pack of Kesham (100ml)?,The pack size is 100ml.,informational,pack_size,Kesham (100ml),DJP1035,DJ-PER-0036,high,Products Master,,how much one pack kesham 100ml,how much one pack kesham 100ml,Kesham (100ml),internal_distributor_intent
485,How much is in one pack of LEGEND PACKAGE?,The pack size is nan.,informational,pack_size,LEGEND PACKAGE,DJP1169,DJ-COM-0170,high,Products Master,,how much one pack legend package,how much one pack legend package,LEGEND PACKAGE,internal_distributor_intent
491,How much BV for STANDARD PACKAGE?,The Business Volume (BV) is 2500.0.,pricing,bv,STANDARD PACKAGE,DJP1164,DJ-COM-0165,high,Price List,,how much bv standard package,how much bv standard package,STANDARD PACKAGE,internal_distributor_intent
504,DP of DJP1138,The Distributor Price (DP) is ₹5499.0.,pricing,dp,Aqua Energiser (Pack of 3),DJP1138,DJ-AQU-0139,high,Price List,,dp djp1138,dp djp1138,Aqua Energiser (Pack of 3),internal_distributor_intent
513,DP of DJP1040,The Distributor Price (DP) is ₹107.0.,pricing,dp,Neem & Tulsi Herbal Soap (100g) (Pack of 3),DJP1040,DJ-PER-0041,high,Price List,,dp djp1040,dp djp1040,Neem & Tulsi Herbal Soap (100g) (Pack of 3),internal_distributor_intent
518,How much BV for Gas-O-Free (200ml)?,The Business Volume (BV) is 160.0.,pricing,bv,Gas-O-Free (200ml),DJP1081,DJ-HEA-0082,high,Price List,,how much bv gas o free 200ml,how much bv gas o free 200ml,Gas-O-Free (200ml),internal_distributor_intent
525,How much BV for Ecofriendly Toothbrush (Pack of 2)?,The Business Volume (BV) is 30.0.,pricing,bv,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Price List,,how much bv ecofriendly toothbrush pack 2,how much bv ecofriendly toothbrush pack 2,Ecofriendly Toothbrush (Pack of 2),internal_distributor_intent
526,DP of DJP1092,The Distributor Price (DP) is ₹375.0.,pricing,dp,Liv-Ease (200ml),DJP1092,DJ-HEA-0093,high,Price List,,dp djp1092,dp djp1092,Liv-Ease (200ml),internal_distributor_intent
536,How much is in one pack of Liquid Detergent (1Ltr.)?,The pack size is 1Ltr..,informational,pack_size,Liquid Detergent (1Ltr.),DJP1117,DJ-HOM-0118,high,Products Master,,how much one pack liquid detergent 1ltr,how much one pack liquid detergent 1ltr,Liquid Detergent (1Ltr.),internal_distributor_intent
543,DP of DJP1038,The Distributor Price (DP) is ₹52.0.,pricing,dp,Milk Bath Soap (100g),DJP1038,DJ-PER-0039,high,Price List,,dp djp1038,dp djp1038,Milk Bath Soap (100g),internal_distributor_intent
555,DP of DJP1005,The Distributor Price (DP) is ₹15.0.,pricing,dp,Dhaniya Powder (25g),DJP1005,DJ-FOO-0006,high,Price List,,dp djp1005,dp djp1005,Dhaniya Powder (25g),internal_distributor_intent
559,How much is in one pack of Upma with Bhujia?,The pack size is nan.,informational,pack_size,Upma with Bhujia,DJP1025,DJ-FOO-0026,high,Products Master,,how much one pack upma bhujia,how much one pack upma bhujia,Upma with Bhujia,internal_distributor_intent
563,DP of DJP1107,The Distributor Price (DP) is ₹1199.0.,pricing,dp,Vital Protein Powder (300gm),DJP1107,DJ-HEA-0108,high,Price List,,dp djp1107,dp djp1107,Vital Protein Powder (300gm),internal_distributor_intent
564,"How much BV for T-shirt New Design (L, M, XL)?",The Business Volume (BV) is 100.0.,pricing,bv,"T-shirt New Design (L, M, XL)",DJP1122,DJ-CLO-0123,high,Price List,,how much bv t shirt new design l m xl,how much bv t shirt new design l m xl,"T-shirt New Design (L, M, XL)",internal_distributor_intent
566,How much BV for Deep Cleansing Facewash (60ml)?,The Business Volume (BV) is 21.0.,pricing,bv,Deep Cleansing Facewash (60ml),DJP1053,DJ-PER-0054,high,Price List,,how much bv deep cleansing facewash 60ml,how much bv deep cleansing facewash 60ml,Deep Cleansing Facewash (60ml),internal_distributor_intent
569,How much is in one pack of Adilipo (60 Tab)?,The pack size is 60 Tab.,informational,pack_size,Adilipo (60 Tab),DJP1071,DJ-HEA-0072,high,Products Master,,how much one pack adilipo 60 tab,how much one pack adilipo 60 tab,Adilipo (60 Tab),internal_distributor_intent
576,How much is in one pack of Black Salt Sprinkler (200g)?,The pack size is 200g.,informational,pack_size,Black Salt Sprinkler (200g),DJP1000,DJ-FOO-0001,high,Products Master,,how much one pack black salt sprinkler 200g,how much one pack black salt sprinkler 200g,Black Salt Sprinkler (200g),internal_distributor_intent
581,DP of DJP1157,The Distributor Price (DP) is ₹130.0.,pricing,dp,Product Leaflets (Set of 48 Leaflets),DJP1157,DJ-PRO-0158,high,Price List,,dp djp1157,dp djp1157,Product Leaflets (Set of 48 Leaflets),internal_distributor_intent
590,How much is in one pack of WildMuse Premium Loofah?,The pack size is nan.,informational,pack_size,WildMuse Premium Loofah,DJP1054,DJ-PER-0055,high,Products Master,,how much one pack wildmuse premium loofah,how much one pack wildmuse premium loofah,WildMuse Premium Loofah,internal_distributor_intent
592,DP of DJP1066,The Distributor Price (DP) is ₹1325.0.,pricing,dp,Adicardial (120 Tab),DJP1066,DJ-HEA-0067,high,Price List,,dp djp1066,dp djp1066,Adicardial (120 Tab),internal_distributor_intent
