intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes
24,"I have Focusing on tasks or remembering, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
25,What is the Super Retailer Loyalty Program?,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
26,Is cash refund available?,No cash refunds under any circumstances will be made.,policy,shipping_refund,,,,high,Shipping/Refund Policy,
27,Tell me about Seabuckthron Facial Kit (30g) (Pack of 6),This is a premium product under Wild Muse.,informational,product_discovery,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045,DJ-PER-0046,high,Products Master,
28,"Which product is good for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)?","Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
29,Which product is good for Skin Disorders?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
30,"I have Worsened pain after sitting or standing for a long time, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Worsened pain after sitting or standing for a long time. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
31,"I have Difficulty walking on your toes, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty walking on your toes. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
32,Tell me about Dayjoy Backpack Bag,This is a premium product under Dayjoy.,informational,product_discovery,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,
33,Is Dayjoy FSSAI approved?,"Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.",compliance,policy,,,,high,FSSAI / Social Media Policy / Income Disclaimer,
34,How much BV for New Total Joy Rice Bran Oil (1 Litre)?,The Business Volume (BV) is 24.0.,pricing,bv,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Price List,
35,How much is in one pack of Dayjoy Backpack Bag?,The pack size is nan.,informational,pack_size,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,
36,What is the MRP of Seabuckthron Scrub (30g)?,The MRP is ₹225.0.,pricing,mrp,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,high,Price List,
37,"I have Nausea/Vomiting, what should I take?","Dayjoy suggests ADILIV TABLETS for Nausea/Vomiting. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
38,Tell me about English One-Page Compensation Plan (Set of 50 Leaflets),This is a premium product under Dayjoy.,informational,product_discovery,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161,DJ-PRO-0162,high,Products Master,
39,How much is in one pack of Deep Cleansing Facewash (60ml)?,The pack size is 60ml.,informational,pack_size,Deep Cleansing Facewash (60ml),DJP1053,DJ-PER-0054,high,Products Master,
40,What is the MRP of Milk Bath Soap (Pack of 3) (100g)?,The MRP is ₹225.0.,pricing,mrp,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Price List,
41,Which product is good for Blurred Vision?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
42,Which product is good for Premature Ejaculation?,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
43,"I have Frequent Urination, what should I take?","Dayjoy suggests DIBEAT TABLETS for Frequent Urination. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
44,Can I sell Dayjoy products part-time?,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
45,How much is in one pack of Perfect-Ion Leaflets (Set of 25)?,The pack size is Set of 25.,informational,pack_size,Perfect-Ion Leaflets (Set of 25),DJP1142,DJ-AQU-0143,high,Products Master,
46,Tell me about Shatavari Extract (60 Veg Capsules),This is a premium product under Curind.,informational,product_discovery,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,
47,What is Sunscreen SPF 50+ (50gm)?,Sunscreen SPF 50+ (50gm) is a SKIN CARE product by Dayjoy.,informational,product_info,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Products Master,
48,"I have Rapid Weight Gain, what should I take?","Dayjoy suggests AMPLE MEAL for Rapid Weight Gain. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
49,Which product is good for Anxiety?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
50,How much is in one pack of Daily Care Cream (60g)?,The pack size is 60g.,informational,pack_size,Daily Care Cream (60g),DJP1030,DJ-PER-0031,high,Products Master,
51,"I have High Blood Pressure, what should I take?","Dayjoy suggests ADILIPO TABLET for High Blood Pressure. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
52,What is Organic Jeera (250g)?,Organic Jeera (250g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Organic Jeera (250g),DJP1014,DJ-FOO-0015,high,Products Master,
53,Tell me about Gas-O-Free (500ml),This is a premium product under Curind.,informational,product_discovery,Gas-O-Free (500ml),DJP1082,DJ-HEA-0083,high,Products Master,
54,Can I return it?,You may return marketable products within 30 days of invoice with original bill (5% handling charge applies).,policy,shipping_refund,,,,high,Shipping/Refund Policy,
55,Which product is good for Photo Damage (UV Rays)?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
56,Which product is good for Itching around one or more of the veins?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
57,Tell me about Adicardial Syrup (500ml),This is a premium product under Curind.,informational,product_discovery,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,
58,Do you have L-Arginine++ - Energy Drink (100g)?,"Yes, L-Arginine++ - Energy Drink (100g) is available. Code: DJP1108",transactional,availability,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Products Master,
59,How much BV for Garam Masala (100g)?,The Business Volume (BV) is 20.0.,pricing,bv,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Price List,
60,How much BV for HB+ (200ml)?,The Business Volume (BV) is 160.0.,pricing,bv,HB+ (200ml),DJP1088,DJ-HEA-0089,high,Price List,
61,"I have Headache, what should I take?","Dayjoy suggests ASTHPRASH OR N-ASTHEAL TABLET for Headache. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
62,What is the MRP of Ecofriendly Toothbrush (Pack of 2)?,The MRP is ₹149.0.,pricing,mrp,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Price List,
63,"I have Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding), what should I take?","Dayjoy suggests ADICARDIAL TABLET for Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding). This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
64,"I have Mental Disorder, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Mental Disorder. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
65,Who leads R&D at Dayjoy?,R&D is guided by Dr. Ram Pal Somani and Mr. Yogendra Kumar Choudhary.,company,info,,,,high,Dayjoy Brochure,
66,Do you have Face Serum (30ml)?,"Yes, Face Serum (30ml) is available. Code: DJP1057",transactional,availability,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Products Master,
67,Which product is good for Loss of sensation or numbness?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
68,How much is in one pack of Shatavari Extract (60 Veg Capsules)?,The pack size is 60 Veg Capsules.,informational,pack_size,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,
69,Tell me about Omega 3-6-9,This is a premium product under Curind.,informational,product_discovery,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Products Master,
70,DP of DJP1024,The Distributor Price (DP) is ₹67.0.,pricing,dp,Poha with Bhujia,DJP1024,DJ-FOO-0025,high,Price List,
71,What is the MRP of Dayjoy Bike Sticker?,The MRP is ₹20.0.,pricing,mrp,Dayjoy Bike Sticker,DJP1150,DJ-PRO-0151,high,Price List,
72,"I have Cough, Cold and Fever, what should I take?","Dayjoy suggests HIENERGY TABLETS for Cough, Cold and Fever. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
73,"I have Shortness of Breath, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Shortness of Breath. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
74,Are New Dayjoy Product Brochure (Hindi) and Orthofix Oil (100ml) the same?,"No, New Dayjoy Product Brochure (Hindi) is in PROMOTION TOOLS while Orthofix Oil (100ml) is in HEALTH CARE.",comparison,category_difference,,,,high,Products Master,
75,DP of DJP1035,The Distributor Price (DP) is ₹91.0.,pricing,dp,Kesham (100ml),DJP1035,DJ-PER-0036,high,Price List,
76,Tell me about Orthofix Oil (100ml),This is a premium product under Curind.,informational,product_discovery,Orthofix Oil (100ml),DJP1099,DJ-HEA-0100,high,Products Master,
77,"I have Tenderness, what should I take?","Dayjoy suggests ORTHOFIX TABLET for Tenderness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
78,Is Quick 6 Pain Relief Gel (30g) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,high,Products Master,
79,How much is in one pack of Daily Tea (500g)?,The pack size is 500g.,informational,pack_size,Daily Tea (500g),DJP1004,DJ-FOO-0005,high,Products Master,
80,Which product is good for Palpitations?,"Based on Dayjoy recommendations, you may consider ADILIPO TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
81,Which product is good for Reduced amount of urine?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
82,Which product is good for Dry Skin?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
83,"I have Difficulty bending the foot, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Difficulty bending the foot. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
84,Tell me about Adila Forte (30 Tab),This is a premium product under Curind.,informational,product_discovery,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,high,Products Master,
85,How do I join Dayjoy?,You can join by purchasing products through an existing Independent Distributor or via the official website.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
86,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?","Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
87,How much BV for Dhaniya Powder (500g)?,The Business Volume (BV) is 30.0.,pricing,bv,Dhaniya Powder (500g),DJP1007,DJ-FOO-0008,high,Price List,
88,Which product is good for Lack of Energy?,"Based on Dayjoy recommendations, you may consider HIENERGY TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
89,Is Adicardial (120 Tab) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Adicardial (120 Tab),DJP1066,DJ-HEA-0067,high,Products Master,
90,DP of DJP1074,The Distributor Price (DP) is ₹99.0.,pricing,dp,Astheal Cough Syrup (100ml),DJP1074,DJ-HEA-0075,high,Price List,
91,Tell me about Nano Tech-19 (500ml),This is a premium product under HappyGrow.,informational,product_discovery,Nano Tech-19 (500ml),DJP1124,DJ-AGR-0125,high,Products Master,
92,"I have Joint Stiffness & Noises (Crepitations), what should I take?","Dayjoy suggests ORTHOFIX TABLET for Joint Stiffness & Noises (Crepitations). This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
93,Do you have Milk Bath Soap (Pack of 3) (100g)?,"Yes, Milk Bath Soap (Pack of 3) (100g) is available. Code: DJP1039",transactional,availability,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Products Master,
94,What is the MRP of Gold Facial Kit?,The MRP is ₹449.0.,pricing,mrp,Gold Facial Kit,DJP1058,DJ-SKI-0059,high,Price List,
95,How much is in one pack of N-SF 10.5 Mineraliser?,The pack size is nan.,informational,pack_size,N-SF 10.5 Mineraliser,DJP1145,DJ-AQU-0146,high,Products Master,
96,DP of DJP1127,The Distributor Price (DP) is ₹949.0.,pricing,dp,Nano Tech-52 (500ml),DJP1127,DJ-AGR-0128,high,Price List,
97,Which product is good for Fatigue?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
98,"I have Disturbed Concentration, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Disturbed Concentration. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
99,How much BV for Face Serum (30ml)?,The Business Volume (BV) is 170.0.,pricing,bv,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Price List,
100,Is Milk Bath Soap (100g) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Milk Bath Soap (100g),DJP1038,DJ-PER-0039,high,Products Master,
101,Which product is good for Weakness?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
102,Which product is good for Poor Nail Health?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
103,Is Dayjoy Pin a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,Dayjoy Pin,DJP1152,DJ-PRO-0153,high,Products Master,
104,"I have Cough, Cold and Fever, what should I take?","Dayjoy suggests HIENERGY TABLETS for Cough, Cold and Fever. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
105,Which product is good for Skin Sensitivity?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
106,Is New Dayjoy Product Brochure (Telugu) a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,New Dayjoy Product Brochure (Telugu),DJP1156,DJ-PRO-0157,high,Products Master,
107,How much is in one pack of Bio-Germanium & Magnetic Mattress (Pack of 2)?,The pack size is Pack of 2.,informational,pack_size,Bio-Germanium & Magnetic Mattress (Pack of 2),DJP1137,DJ-GER-0138,high,Products Master,
108,Which product is good for Dizziness or Light Headedness?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
109,What is Ecofriendly Toothbrush (Pack of 2)?,Ecofriendly Toothbrush (Pack of 2) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Products Master,
110,Do you have Astheal Cough Syrup (100ml)?,"Yes, Astheal Cough Syrup (100ml) is available. Code: DJP1074",transactional,availability,Astheal Cough Syrup (100ml),DJP1074,DJ-HEA-0075,high,Products Master,
111,Which product is good for Extreme Hunger?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
112,How much is in one pack of AgeX Anti-Ageing Night Cream (50gm)?,The pack size is 50gm.,informational,pack_size,AgeX Anti-Ageing Night Cream (50gm),DJP1061,DJ-SKI-0062,high,Products Master,
113,How much BV for Mirchi Powder (500g)?,The Business Volume (BV) is 50.0.,pricing,bv,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Price List,
114,What if my product arrives damaged?,Notify Dayjoy within 24 hours of receipt of the shipment.,policy,shipping_refund,,,,high,Shipping/Refund Policy,
115,Is Dayjoy Car Sticker a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,Dayjoy Car Sticker,DJP1151,DJ-PRO-0152,high,Products Master,
116,Is Daily Tea (250g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Daily Tea (250g),DJP1003,DJ-FOO-0004,high,Products Master,
117,Tell me about Luxwash Handwash (250ml),This is a premium product under Wild Muse.,informational,product_discovery,Luxwash Handwash (250ml),DJP1036,DJ-PER-0037,high,Products Master,
118,How do I get a refund?,Refunds for returned products are processed to the original bank account or payment method after inspection.,policy,shipping_refund,,,,high,Shipping/Refund Policy,
119,Do you have JoyProtect (500ml)?,"Yes, JoyProtect (500ml) is available. Code: DJP1134",transactional,availability,JoyProtect (500ml),DJP1134,DJ-AGR-0135,high,Products Master,
120,"I have Dry Eye, what should I take?","Dayjoy suggests EYE ELIXIR DROPS for Dry Eye. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
121,Is Adicardial Syrup (500ml) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,
122,How long is delivery?,The average time for delivery is between 2 - 7 days depending on location.,policy,shipping_refund,,,,high,Shipping/Refund Policy,
123,Is Haldi Chandan Facewash (60ml) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Haldi Chandan Facewash (60ml),DJP1056,DJ-PER-0057,high,Products Master,
124,Do you have Seabuckthron Cleanser (30g)?,"Yes, Seabuckthron Cleanser (30g) is available. Code: DJP1046",transactional,availability,Seabuckthron Cleanser (30g),DJP1046,DJ-PER-0047,high,Products Master,
125,How much is in one pack of ELITE PACKAGE?,The pack size is nan.,informational,pack_size,ELITE PACKAGE,DJP1166,DJ-COM-0167,high,Products Master,
126,Do you have HB+ (500ml)?,"Yes, HB+ (500ml) is available. Code: DJP1089",transactional,availability,HB+ (500ml),DJP1089,DJ-HEA-0090,high,Products Master,
127,"I have Pale, Bloody, or Black Stool, what should I take?","Dayjoy suggests ADILIV TABLETS for Pale, Bloody, or Black Stool. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
128,Which product is good for Blurred Vision?,"Based on Dayjoy recommendations, you may consider EYE ELIXIR DROPS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
129,Is Advanced Calcium Tablets a food product?,It is categorized under HEALTH CARE.,informational,product_category,Advanced Calcium Tablets,DJP1077,DJ-HEA-0078,high,Products Master,
130,How much BV for Super Rich Berry Juice (1 Ltr.)?,The Business Volume (BV) is 740.0.,pricing,bv,Super Rich Berry Juice (1 Ltr.),DJP1102,DJ-HEA-0103,high,Price List,
131,How much BV for Dayjoy Diary?,The Business Volume (BV) is 0.0.,pricing,bv,Dayjoy Diary,DJP1146,DJ-PRO-0147,high,Price List,
132,Tell me about AcneX Anti-Acne Foaming Cleanser (100ml),This is a premium product under Amara Beauty.,informational,product_discovery,AcneX Anti-Acne Foaming Cleanser (100ml),DJP1062,DJ-SKI-0063,high,Products Master,
133,"I have Shortness of Breath, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Shortness of Breath. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
134,Which product is good for Back Pain or Joints Pain?,"Based on Dayjoy recommendations, you may consider ORTHOFIX TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
135,Are Multivitamins Tablets and Dayjoy Pin the same?,"No, Multivitamins Tablets is in HEALTH CARE while Dayjoy Pin is in PROMOTION TOOLS.",comparison,category_difference,,,,high,Products Master,
136,Do you have Milk Bath Soap (100g)?,"Yes, Milk Bath Soap (100g) is available. Code: DJP1038",transactional,availability,Milk Bath Soap (100g),DJP1038,DJ-PER-0039,high,Products Master,
137,DP of DJP1160,The Distributor Price (DP) is ₹135.0.,pricing,dp,Hindi One-Page Compensation Plan (Set of 50 Leaflets),DJP1160,DJ-PRO-0161,high,Price List,
138,"I have Swelling in legs ankles and feet from retention of fluids, what should I take?","Dayjoy suggests KIDNEY KAWACH for Swelling in legs ankles and feet from retention of fluids. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
139,How many days do I have to return an item?,Returns are accepted within 30 days from the invoice date.,policy,shipping_refund,,,,high,Shipping/Refund Policy,
140,How much BV for JoySpread 80+ Gold (100ml)?,The Business Volume (BV) is 37.0.,pricing,bv,JoySpread 80+ Gold (100ml),DJP1132,DJ-AGR-0133,high,Price List,
141,Which product is good for Difficult in healing physical injuries?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
142,Tell me about Jaljeera (100g),This is a premium product under Aayushmaan / YumDum / Total Joy.,informational,product_discovery,Jaljeera (100g),DJP1013,DJ-FOO-0014,high,Products Master,
143,What is the Super Retailer Loyalty Program?,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
144,Do I need to pay a joining fee?,"No, there are no expensive start-up costs or burdening overheads.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
145,DP of DJP1089,The Distributor Price (DP) is ₹865.0.,pricing,dp,HB+ (500ml),DJP1089,DJ-HEA-0090,high,Price List,
146,DP of DJP1027,The Distributor Price (DP) is ₹94.0.,pricing,dp,Anti Pollution Aloevera Face Wash (100ml),DJP1027,DJ-PER-0028,high,Price List,
147,DP of DJP1029,The Distributor Price (DP) is ₹165.0.,pricing,dp,BR Rich Oil (200ml),DJP1029,DJ-PER-0030,high,Price List,
