sno,product_name,mrp,distributor_price,bv,normalized_name
100,Orthofix Oil (100ml),525,325,112,orthofix oil 100ml
101,Omega 3-6-9,999,500,200,omega 3 6 9
102,Quick 6 Pain Relief Gel (30g),149,99,32,quick 6 pain relief gel 30g
103,Super Rich Berry Juice (1 Ltr.),2999,1660,740,super rich berry juice 1 ltr
104,Seabuckthron Juice (1 Ltr.),2999,1490,640,seabuckthron juice 1 ltr
105,Shatavari Extract (60 Veg Capsules),499,299,110,shatavari extract 60 veg capsules
106,Super Food Capsule,1999,999,420,super food capsule
107,Premium Tulsi Max (30ml),299,178,58,premium tulsi max 30ml
108,Vital Protein Powder (300gm),1999,1199,430,vital protein powder 300gm
109,L-Arginine++ - Energy Drink (100g),1499,799,300,l arginine energy drink 100g
110,Ample Meal - Meal Replacement Nutritional Shake (500g),2699,1799,650,ample meal meal replacement nutritional shake 500g
111,JuniorJoy - Kids Nutritional Drink (300g),1499,899,325,juniorjoy kids nutritional drink 300g
112,Kahwa Masala Chai (25 Pcs),399,295,95,kahwa masala chai 25 pcs
113,Shilajit Gummies (60 Gummies),1499,999,400,shilajit gummies 60 gummies
114,Apple Cider Vinegar (3X20 Tablets),1425,875,350,apple cider vinegar 3x20 tablets
115,Marine Collagen (200g) 1799 999 380 (F) HOME CARE 116 Dishwash Liquid Gel (500ml),189,149,29,marine collagen 200g 1799 999 380 f home care 116 dishwash liquid gel 500ml
117,Toilet Bowl Cleaner (500ml),149,115,21,toilet bowl cleaner 500ml
118,Liquid Detergent (1Ltr.),449,370,74,liquid detergent 1ltr
119,All in 1 Surface Cleaner (500ml) 179 140 27 (G) CLOTHING 120 Premium Suit Length (Black),10000,5999,2800,all in 1 surface cleaner 500ml 179 140 27 g clothing 120 premium suit length black
121,Designer Mask (Pack of 5),220,180,55,designer mask pack of 5
122,Dayjoy Necktie,499,299,50,dayjoy necktie
123,"T-shirt New Design (L, M, XL) 699 599 100 (H) AGRICULTURE & VETERINARY 124 Happy Soil - Humic (500ml)",849,575,200,t shirt new design l m xl 699 599 100 h agriculture veterinary 124 happy soil humic 500ml
125,Nano Tech-19 (500ml),1499,949,425,nano tech 19 500ml
126,Nano Tech-46 (500ml),1499,949,425,nano tech 46 500ml
127,Nano Tech-50 (500ml),1499,949,425,nano tech 50 500ml
128,Nano Tech-52 (500ml),1499,949,425,nano tech 52 500ml
129,Prosperous+ (1 L),1499,999,340,prosperous 1 l
130,Prosperous+ Tablets,1049,599,310,prosperous tablets
131,Joy-O-Zyme (500ml),1499,949,335,joy o zyme 500ml
132,JoySpread 80+ Gold (250ml),499,329,75,joyspread 80 gold 250ml
133,JoySpread 80+ Gold (100ml),249,155,37,joyspread 80 gold 100ml
134,JoyGrow 2X (Granules) (2kg),999,499,180,joygrow 2x granules 2kg
135,JoyProtect (500ml),1499,949,390,joyprotect 500ml
136,JoyCalcium (2 Litre) 1049 699 250 (I) GERMANIUM & MAGNETIC 137 Bio-Germanium & Magnetic Mattress,15000,9999,4250,joycalcium 2 litre 1049 699 250 i germanium magnetic 137 bio germanium magnetic mattress
143,Perfect-Ion Testing Solutions,1399,699,280,perfect ion testing solutions
144,Perfect-Ion Leaflets (Set of 25) 36 36 145 Perfect-Ion Leaflets (Set of 50) 66 66 146 N-SF 9.5 Mineraliser,1999,1499,450,perfect ion leaflets set of 25 36 36 145 perfect ion leaflets set of 50 66 66 146 n sf 9 5 mineraliser
147,N-SF 10.5 Mineraliser 1999 1499 450 (K) PROMOTION TOOLS 148 Dayjoy Diary 299 275 149 Dayjoy Leather Bag,2999,1599,550,n sf 10 5 mineraliser 1999 1499 450 k promotion tools 148 dayjoy diary 299 275 149 dayjoy leather bag
150,Dayjoy Cap 95 95 151 Dayjoy Mug 125 125 152 Dayjoy Bike Sticker 20 20 153 Dayjoy Car Sticker 40 40 154 Dayjoy Pin 150 150 155 Dayjoy Backpack Bag 1100 1100 156 New Dayjoy Product Brochure (Hindi) 250 250 157 New Dayjoy Product Brochure (English) 250 250 158 New Dayjoy Product Brochure (Telugu) 250 250 159 Product Leaflets (Set of 48 Leaflets) 130 130 160 Hindi One-Page Compensation Plan (Set of 25 Leaflets) 75 75 161 English One-Page Compensation Plan (Set of 25 Leaflets) 75 75 162 Hindi One-Page Compensation Plan (Set of 50 Leaflets) 135 135 163 English One-Page Compensation Plan (Set of 50 Leaflets) 135 135 164 Dayjoy Business Planner Book (Hindi) 250 250 165 Dayjoy Business Planner Book (English) 250 250 (L) COMBO PACKAGES 166 STANDARD PACKAGE (Direct income =Rs.250),10997,5499,2500,dayjoy cap 95 95 151 dayjoy mug 125 125 152 dayjoy bike sticker 20 20 153 dayjoy car sticker 40 40 154 dayjoy pin 150 150 155 dayjoy backpack bag 1100 1100 156 new dayjoy product brochure hindi 250 250 157 new dayjoy product brochure english 250 250 158 new dayjoy product brochure telugu 250 250 159 product leaflets set of 48 leaflets 130 130 160 hindi one page compensation plan set of 25 leaflets 75 75 161 english one page compensation plan set of 25 leaflets 75 75 162 hindi one page compensation plan set of 50 leaflets 135 135 163 english one page compensation plan set of 50 leaflets 135 135 164 dayjoy business planner book hindi 250 250 165 dayjoy business planner book english 250 250 l combo packages 166 standard package direct income rs 250
167,PREMIUM PACKAGE(Direct income = Rs.500),17592,10499,5000,premium package direct income rs 500
168,ELITE PACKAGE (Direct income = Rs.750),28286,15999,7500,elite package direct income rs 750
169,AGRI PRO PACKAGE,29076,22650,10000,agri pro package
170,AGRI STARTER PACKAGE,15587,11499,5000,agri starter package
171,LEGEND PACKAGE,27687,18999,10000,legend package
