source_product_no,product_name,category,mrp_inr,dp_inr,bv,pv,pack_size,product_id,sku,ingredients,benefits,usage,dosage,warnings,certifications,product_image_url,source_file,source_page,effective_date,confidence,data_status
11,Haldi Powder 200g,Food Products,135,80,12,12.0,200g,DJP1010,DJ-FOO-0011,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
12,Haldi Powder 500g,Food Products,320,200,28,28.0,500g,DJP1011,DJ-FOO-0012,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
13,Himalayan Pink Salt Sprinkler 200g,Food Products,75,60,13,13.0,200g,DJP1012,DJ-FOO-0013,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
14,Jaljeera 100g,Food Products,65,55,15,15.0,100g,DJP1013,DJ-FOO-0014,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
15,Organic Jeera 250g,Food Products,199,165,33,33.0,250g,DJP1014,DJ-FOO-0015,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
16,Kasuri Methi 50g,Food Products,59,45,9,9.0,50g,DJP1015,DJ-FOO-0016,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
17,Mirchi Powder 25g,Food Products,20,15,1,1.0,25g,DJP1016,DJ-FOO-0017,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
18,Mirchi Powder 200g,Food Products,145,110,18,18.0,200g,DJP1017,DJ-FOO-0018,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
19,Mirchi Powder 500g,Food Products,335,275,50,50.0,500g,DJP1018,DJ-FOO-0019,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
20,Rai 250g,Food Products,99,80,13,13.0,250g,DJP1019,DJ-FOO-0020,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
21,Sabji Masala 100g,Food Products,110,99,20,20.0,100g,DJP1020,DJ-FOO-0021,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
22,New Total Joy Rice Bran Oil 1 Litre,Food Products,299,235,24,24.0,1 L,DJP1021,DJ-FOO-0022,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
23,Total Joy Rice Bran Oil 2 Litre,Food Products,599,470,40,40.0,2 L,DJP1022,DJ-FOO-0023,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
24,Veg Biryani with Shahi Gravy,Food Products,199,135,17,17.0,,DJP1023,DJ-FOO-0024,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
25,Poha with Bhujia,Food Products,99,67,9,9.0,,DJP1024,DJ-FOO-0025,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
26,Upma with Bhujia,Food Products,99,71,9,9.0,,DJP1025,DJ-FOO-0026,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
27,Anti Pollution Face Wash 150ml,Personal Care,249,165,50,50.0,150ml,DJP1026,DJ-PER-0027,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
28,Anti Pollution Aloevera Face Wash 100ml,Personal Care,135,94,23,23.0,100ml,DJP1027,DJ-PER-0028,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
29,Aloevera Gel 100g,Personal Care,150,115,36,36.0,100g,DJP1028,DJ-PER-0029,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
30,BR Rich Oil 200ml,Personal Care,249,165,44,44.0,200ml,DJP1029,DJ-PER-0030,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
31,Daily Care Cream 60g,Personal Care,149,95,30,30.0,60g,DJP1030,DJ-PER-0031,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
32,Luxury Saffron Soap 100g,Personal Care,125,82,20,20.0,100g,DJP1031,DJ-PER-0032,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
33,Ecofriendly Toothbrush Pack of 2,Personal Care,149,100,30,30.0,Pack of 2,DJP1032,DJ-PER-0033,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
34,HerboSmile Herbal Toothpaste 100g,Personal Care,125,82,20,20.0,100g,DJP1033,DJ-PER-0034,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
35,Hydra Aloevera Body Lotion 300ml,Personal Care,349,245,76,76.0,300ml,DJP1034,DJ-PER-0035,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
36,Kesham 100ml,Personal Care,149,91,24,24.0,100ml,DJP1035,DJ-PER-0036,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
37,Luxwash Handwash 250ml,Personal Care,150,95,17,17.0,250ml,DJP1036,DJ-PER-0037,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
38,Milk Keratin Extracts Shampoo 100ml,Personal Care,175,118,33,33.0,100ml,DJP1037,DJ-PER-0038,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
39,Milk Bath Soap 100g,Personal Care,75,52,9,9.0,100g,DJP1038,DJ-PER-0039,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
40,Milk Bath Soap Pack of 3 100g,Personal Care,225,150,25,25.0,Pack of 3,DJP1039,DJ-PER-0040,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
41,Neem Tulsi Herbal Soap 100g Pack of 3,Personal Care,147,107,19,19.0,100g,DJP1040,DJ-PER-0041,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
42,Regain Aloevera Shampoo 300ml,Personal Care,349,245,76,76.0,300ml,DJP1041,DJ-PER-0042,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
43,Sandalwood Shahi Gulab Body Lotion 150ml,Personal Care,249,169,56,56.0,150ml,DJP1042,DJ-PER-0043,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
44,Sanitary Pad XL Pack of 10,Personal Care,249,130,40,40.0,Pack of 10,DJP1043,DJ-PER-0044,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
45,Sanitary Pad XXL Pack of 10,Personal Care,275,150,45,45.0,Pack of 10,DJP1044,DJ-PER-0045,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
46,Seabuckthron Facial Kit 30g Pack of 6,Personal Care,1349,799,290,290.0,30g,DJP1045,DJ-PER-0046,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
47,Seabuckthron Cleanser 30g,Personal Care,225,145,52,52.0,30g,DJP1046,DJ-PER-0047,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
48,Seabuckthron Scrub 30g,Personal Care,225,145,52,52.0,30g,DJP1047,DJ-PER-0048,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
49,Seabuckthron Massage Gel 30g,Personal Care,225,145,52,52.0,30g,DJP1048,DJ-PER-0049,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
50,Seabuckthron Massage Cream 30g,Personal Care,225,145,52,52.0,30g,DJP1049,DJ-PER-0050,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
51,Seabuckthron Face Pack 30g,Personal Care,225,145,52,52.0,30g,DJP1050,DJ-PER-0051,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
52,Seabuckthron Facial Fluid 10ml,Personal Care,225,145,52,52.0,10ml,DJP1051,DJ-PER-0052,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
53,Deep Cleansing Face Wash 100ml,Personal Care,199,139,48,48.0,100ml,DJP1052,DJ-PER-0053,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
54,Deep Cleansing Facewash 60ml,Personal Care,125,82,21,21.0,60ml,DJP1053,DJ-PER-0054,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
55,WildMuse Premium Loofah,Personal Care,125,99,36,36.0,,DJP1054,DJ-PER-0055,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
56,Amla Reetha Sikakai Shampoo 100ml,Personal Care,130,110,34,34.0,100ml,DJP1055,DJ-PER-0056,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
57,Haldi Chandan Facewash 60ml,Personal Care,85,68,18,18.0,60ml,DJP1056,DJ-PER-0057,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
58,Face Serum 30ml,Skin Care,699,499,170,170.0,30ml,DJP1057,DJ-SKI-0058,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
59,Gold Facial Kit,Skin Care,449,310,100,100.0,,DJP1058,DJ-SKI-0059,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
60,Sunscreen SPF 50 50gm,Skin Care,349,299,92,92.0,50g,DJP1059,DJ-SKI-0060,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
61,Hydra Max Moisturizer 50gm,Skin Care,449,369,110,110.0,50g,DJP1060,DJ-SKI-0061,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
62,AgeX Anti-Ageing Night Cream 50gm,Skin Care,799,599,225,225.0,50g,DJP1061,DJ-SKI-0062,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
63,AcneX Anti-Acne Foaming Cleanser 100ml,Skin Care,399,299,98,98.0,100ml,DJP1062,DJ-SKI-0063,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
64,Amara Beauty Kajal,Color Cosmetics,299,199,65,65.0,,DJP1063,DJ-COL-0064,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
65,Amara Beauty Eyeliner,Color Cosmetics,399,299,105,105.0,,DJP1064,DJ-COL-0065,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
66,Asthprash 300 grams,Health Care,2999,1499,720,720.0,300 g,DJP1065,DJ-HEA-0066,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
67,Adicardial 120 Tab,Health Care,2099,1325,620,620.0,120 Tab,DJP1066,DJ-HEA-0067,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
68,Adicardial Syrup 500ml,Health Care,1399,865,400,400.0,500ml,DJP1067,DJ-HEA-0068,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
69,Adila Forte 30 Tab,Health Care,1499,1030,480,480.0,30 Tab,DJP1068,DJ-HEA-0069,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
70,Adila Forte 60 Tab,Health Care,2999,1875,880,880.0,60 Tab,DJP1069,DJ-HEA-0070,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
71,Adilipo 120 Tab,Health Care,2699,1725,840,840.0,120 Tab,DJP1070,DJ-HEA-0071,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
72,Adilipo 60 Tab,Health Care,1499,950,450,450.0,60 Tab,DJP1071,DJ-HEA-0072,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
73,Adiliv 60 Tab,Health Care,1199,825,375,375.0,60 Tab,DJP1072,DJ-HEA-0073,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
74,Aloevera with Guava Juice 1L,Health Care,1499,710,285,285.0,1L,DJP1073,DJ-HEA-0074,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
75,Astheal Cough Syrup 100ml,Health Care,199,99,32,32.0,100ml,DJP1074,DJ-HEA-0075,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
76,Ashvagandha Extract 60 Veg Capsules,Health Care,499,299,110,110.0,,DJP1075,DJ-HEA-0076,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
77,Amla Extract 60 Veg Capsules,Health Care,499,275,100,100.0,,DJP1076,DJ-HEA-0077,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
78,Advanced Calcium Tablets,Health Care,999,325,130,130.0,,DJP1077,DJ-HEA-0078,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
79,Arogya Churn 100g,Health Care,189,115,40,40.0,100g,DJP1078,DJ-HEA-0079,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
80,Di-beat 60 Tab,Health Care,1199,825,375,375.0,60 Tab,DJP1079,DJ-HEA-0080,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
81,Golden Elixir - Nano Curcumin Drops Pack of 2 Bottles - each 25ml,Health Care,4999,2849,1320,1320.0,Pack of 2,DJP1080,DJ-HEA-0081,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
82,Gas-O-Free 200ml,Health Care,599,375,160,160.0,200ml,DJP1081,DJ-HEA-0082,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
83,Gas-O-Free 500ml,Health Care,1399,865,400,400.0,500ml,DJP1082,DJ-HEA-0083,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
84,GoPiles 60 Tab,Health Care,1199,825,375,375.0,60 Tab,DJP1083,DJ-HEA-0084,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
85,GoPiles Syrup 500ml,Health Care,1399,865,400,400.0,500ml,DJP1084,DJ-HEA-0085,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
86,Giloe Extract 60 Veg Capsules,Health Care,499,275,100,100.0,,DJP1085,DJ-HEA-0086,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
87,Eye Elixir Drops 10ml,Health Care,149,100,42,42.0,10ml,DJP1086,DJ-HEA-0087,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
88,Eye Health 60 Capsules,Health Care,1799,1099,480,480.0,60 Capsules,DJP1087,DJ-HEA-0088,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
89,HB 200ml,Health Care,599,375,160,160.0,200ml,DJP1088,DJ-HEA-0089,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
90,HB 500ml,Health Care,1399,865,400,400.0,500ml,DJP1089,DJ-HEA-0090,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
91,Hi-Energy 60 Tab,Health Care,1199,825,375,375.0,60 Tab,DJP1090,DJ-HEA-0091,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
92,Kidney Kawach 300 g,Health Care,2999,1799,840,840.0,300 g,DJP1091,DJ-HEA-0092,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
93,Liv-Ease 200ml,Health Care,599,375,160,160.0,200ml,DJP1092,DJ-HEA-0093,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
94,Liv-Ease 500ml,Health Care,1399,865,400,400.0,500ml,DJP1093,DJ-HEA-0094,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
95,Multivitamins Tablets,Health Care,999,425,180,180.0,,DJP1094,DJ-HEA-0095,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
96,Nonima 500ml,Health Care,1499,949,400,400.0,500ml,DJP1095,DJ-HEA-0096,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
97,N-astheal 120 Tab,Health Care,2699,1725,865,865.0,120 Tab,DJP1096,DJ-HEA-0097,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
98,N-astheal 60 Tab,Health Care,1499,960,465,465.0,60 Tab,DJP1097,DJ-HEA-0098,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
99,Orthofix 60 Tab,Health Care,1199,825,375,375.0,60 Tab,DJP1098,DJ-HEA-0099,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
100,Orthofix Oil 100ml,Health Care,525,325,112,112.0,100ml,DJP1099,DJ-HEA-0100,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
101,Omega 3-6-9,Health Care,999,500,200,200.0,,DJP1100,DJ-HEA-0101,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
102,Quick 6 Pain Relief Gel 30g,Health Care,149,99,32,32.0,30g,DJP1101,DJ-HEA-0102,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
103,Super Rich Berry Juice 1 Ltr.,Health Care,2999,1660,740,740.0,1 L,DJP1102,DJ-HEA-0103,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
104,Seabuckthron Juice 1 Ltr.,Health Care,2999,1490,640,640.0,1 L,DJP1103,DJ-HEA-0104,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
105,Shatavari Extract 60 Veg Capsules,Health Care,499,299,110,110.0,,DJP1104,DJ-HEA-0105,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
106,Super Food Capsule,Health Care,1999,999,420,420.0,,DJP1105,DJ-HEA-0106,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
107,Premium Tulsi Max 30ml,Health Care,299,178,58,58.0,30ml,DJP1106,DJ-HEA-0107,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
108,Vital Protein Powder 300gm,Health Care,1999,1199,430,430.0,300g,DJP1107,DJ-HEA-0108,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
109,L-Arginine - Energy Drink 100g,Health Care,1499,799,300,300.0,100g,DJP1108,DJ-HEA-0109,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
110,Ample Meal - Meal Replacement Nutritional Shake 500g,Health Care,2699,1799,650,650.0,500g,DJP1109,DJ-HEA-0110,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
111,JuniorJoy - Kids Nutritional Drink 300g,Health Care,1499,899,325,325.0,300g,DJP1110,DJ-HEA-0111,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
112,Kahwa Masala Chai 25 Pcs,Health Care,399,295,95,95.0,25 Pcs,DJP1111,DJ-HEA-0112,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
113,Shilajit Gummies 60 Gummies,Health Care,1499,999,400,400.0,60 G,DJP1112,DJ-HEA-0113,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
114,Apple Cider Vinegar 3X20 Tablets,Health Care,1425,875,350,350.0,3X20 Tablets,DJP1113,DJ-HEA-0114,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
115,Marine Collagen 200g,Health Care,1799,999,380,380.0,200g,DJP1114,DJ-HEA-0115,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
116,Dishwash Liquid Gel 500ml,Home Care,189,149,29,29.0,500ml,DJP1115,DJ-HOM-0116,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
117,Toilet Bowl Cleaner 500ml,Home Care,149,115,21,21.0,500ml,DJP1116,DJ-HOM-0117,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
118,Liquid Detergent 1Ltr.,Home Care,449,370,74,74.0,1L,DJP1117,DJ-HOM-0118,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
119,All in 1 Surface Cleaner 500ml,Home Care,179,140,27,27.0,500ml,DJP1118,DJ-HOM-0119,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
120,Premium Suit Length Black,Clothing,10000,5999,2800,2800.0,,DJP1119,DJ-CLO-0120,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
121,Designer Mask Pack of 5,Clothing,220,180,55,55.0,Pack of 5,DJP1120,DJ-CLO-0121,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
122,Dayjoy Necktie,Clothing,499,299,50,50.0,,DJP1121,DJ-CLO-0122,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
123,"T-shirt New Design L, M, XL",Clothing,699,599,100,100.0,,DJP1122,DJ-CLO-0123,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
