file,size,file_type,sha256,original_provenance,reason,replacement_file,physically_archived,archive_location,date_archived
06_FAQs.md,61704,md,e164d072f9194933733ac83ea2b6ddb74b4c78e4fb276389a79996fb2de17e63,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/06_FAQs.md,2026-08-09
07_Customer_Journey (2).md,14893,md,9f805383d2f6a6eae7dbcf22181cbe8df1c6b346c8d838fd3a521b2263b8b478,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/07_Customer_Journey (2).md,2026-08-09
07_Customer_Journey (3).md,81,md,fe2359015169f086b2b271fea647923586885fd9e39f336e2913aa574f3a6ffc,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/07_Customer_Journey (3).md,2026-08-09
08_Business_Processes (2).md,12426,md,9b230f4597b797279a8607bb972a324979e3a920ba719b0a018419b5456234f7,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/08_Business_Processes (2).md,2026-08-09
08_Business_Processes.md,479,md,febfb966967e56a7936abf1864514c9832d57f61ca3772fb34cc6f7878a55be0,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/08_Business_Processes.md,2026-08-09
09_Competitor_Analysis.md,33169,md,abf03d8c492c388a9c8621c90c8e469addff0c9adcb761a5e84f4d86816a4a4a,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/09_Competitor_Analysis.md,2026-08-09
10_Pain_Points.md,33049,md,10522cd2fe3f0348601900d5d6775b5dc8d36089abf08925e35b4e468fc89b5e,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/10_Pain_Points.md,2026-08-09
11_AI_Opportunities.md,22136,md,f62d86fd1b3312b104c62105a3b18c18593944580997b21f024e7a0bda32440d,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/11_AI_Opportunities.md,2026-08-09
12_Research_Gap_Analysis.md,30175,md,01ecd4fda65e1c39241767d8ec6fc591b32973d376e07d7e642588d8efc13a55,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/12_Research_Gap_Analysis.md,2026-08-09
Company_Research (2).md,320,md,70be5a747294fda71e4324604ec307ce40645b673c7db1faf91b4246c3230052,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/Company_Research (2).md,2026-08-09
DAYJOY_UPDATED_PACKAGE_README.md,3047,md,28c812cea6ec1a0f6cb1ccc6599241b0b9dc7b1fb18dc4790208eb555cb2bd39,ORIGINAL:some updated file/Dayjoy_Complete_Verified_Data.zip > Dayjoy_Complete_Verified_Data.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/DAYJOY_UPDATED_PACKAGE_README.md,2026-08-09
DAYJOY_UPDATED_PACKAGE_README.md,1365,md,3adf4bad45b593ecaf1f4432c08a93189ddeafc1e96b5c31058f9b5c5564b088,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/DAYJOY_UPDATED_PACKAGE_README__dup1.md,2026-08-09
Dayjoy-GrowthX-Plan-Presentation_choladeck.pptx,28362237,pptx,741c9301665e1fa9db0648ad42dec733a4d9ba2d9a97b2bbb3fbece8690b70f0,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip > dayjoy-phase1-baseline.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
MANIFEST.txt,537,txt,39b2fdeba02fb01058ec1d12efd7dc9e10491b1a67939989d00749e883b937f5,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/MANIFEST.txt,2026-08-09
Project_Context 00_MASTER_CONTEXT (2).md,14412,md,9962d199833f9bcd397c7bad9a91a75e4925522376bb84ddf2addf72a028e39b,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/Project_Context 00_MASTER_CONTEXT (2).md,2026-08-09
README.md,599,md,c0f74b8865a0f6f33d66e14ff1b9a9939c1c1615b9520a7607c79ed45bd92e45,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip > dayjoy-phase1-baseline.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/README.md,2026-08-09
README.txt,469,txt,a5df59fd381722cf696ece32477169d997888d48a4bf0b2218e7ab4bd1c8451d,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/README.txt,2026-08-09
README_JULY2026_UPDATE.md,2037,md,dff07214bc0995e416e393ce7ac21685ab8163bdba754e4e71b8028c78f2d8ec,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/README_JULY2026_UPDATE.md,2026-08-09
README_Summary.md,752,md,3319f64968dedd6d1815cdb8e9958e882e7dd17a9a7b41d7d7aae17c6ab9eb35,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/README_Summary.md,2026-08-09
RELEASE_MANIFEST.csv,810,csv,a85ad4999ad4d11f59b12cc186609273b665c29880ef046d975b017bdf57d009,ORIGINAL:some updated file/RELEASE_MANIFEST.csv,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/RELEASE_MANIFEST.csv,2026-08-09
audit-summary.csv,102,csv,bd980aa0d82fd9606c597fbd71c31f50e71023b354bca9a51de33b6c671b7b60,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/audit-summary.csv,2026-08-09
baseline_manifest.csv,1563,csv,58b2b249c3b8d016914281204b1cd2b9ea14cd0c31096b2f2c1112286e53b0cf,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip > dayjoy-phase1-baseline.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/baseline_manifest.csv,2026-08-09
baseline_summary.json,433,json,5780281a30d22ba80e76e574a66dece4d1f5acd503731a28f703217688bab1b8,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip > dayjoy-phase1-baseline.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/baseline_summary.json,2026-08-09
canonical-product-master (2).csv,26383,csv,ed8a0f75dd11398877548924b5dd727cac2db59d2809e0a4cec4e47a3a03a482,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/canonical-product-master (2).csv,2026-08-09
canonical-product-master (2).xlsx,19463,xlsx,b4c46bb64f5383f495c0e178e09cff142d9ab50eabf75776cc5edf667ed484cc,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
canonical-product-master-final.csv,58671,csv,caa010837cb6d7458244286e8abdbb7fc681c317380f30cb18f036b8304feefe,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/canonical-product-master-final.csv,2026-08-09
canonical-product-master-final.xlsx,39987,xlsx,35bf409e3d5a6579106fdcadfb796e92a91540127027b7a6d9b45ebf4398e83d,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
canonical-product-master.csv,30160,csv,4ee8d0dc0e4926f26407fcb832b2c8f021bc403931de9a5e42b8cf0c49cfa261,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/canonical-product-master.csv,2026-08-09
canonical-product-master.xlsx,19186,xlsx,a25b60e3b44dd653f7dd9f13156a972e7aaf8c9eb44fb17273341b2d613d4367,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy-canonical-product-master-final (1).csv,36077,csv,2d1490adfd0f296a32f990ce1ed5c1aa7d180fc1a12d3a48c1dd3640fec009a4,ORIGINAL:some updated file/dayjoy-canonical-product-master-final (1).csv,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy-canonical-product-master-final (1).csv,2026-08-09
dayjoy-intent-cleaned.xlsx,167642,xlsx,bd8db868f8a6b06348ecef0e85bc5c53135efe83486910aa9291718cb013ee83,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy-intent-master-final.xlsx,339965,xlsx,1c5d472f9746cc5378099612373b006a157bae52ac352495e97dbf491c00c227,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy-product-master.csv,18213,csv,f6794931ebfc4264f51a3ef902c1b3ecb11db639a9663974239da6cfd3097af5,ORIGINAL:some updated file/dayjoy-product-master.csv,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy-product-master.csv,2026-08-09
dayjoy-product-master.xlsx,21457,xlsx,ab60f35967d42c89e88eef7caed82db73e47549a1664d84fb57690f4da26cbff,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy-rag-chunks.csv,619357,csv,1cb484a26f03b07a6003a928decb230f6bc8fdf8f3b3eee72fc98f97ebf91c5e,ORIGINAL:artifacts-3of3.zip > artifacts-3of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy-rag-chunks.csv,2026-08-09
dayjoy-rag-layer.xlsx,148459,xlsx,c444576503d8761d2d411579c4381381967783da638fa9a12fbb756692f7c671,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_NEW_products_from_July2026_brochure.csv,6551,csv,5b64442ee70de7a17eb428408c208669da5a9466e7312b9fe08c6f07f34d4ea0,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_NEW_products_from_July2026_brochure.csv,2026-08-09
dayjoy_ai_intent_dataset_1000.csv,97856,csv,094e1b3aeef5e2c8a5039e1b228a5c014827e185c897eee45010d2c528f7e376,ORIGINAL:some updated file/dayjoy_ai_intent_dataset_1000.csv,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_intent_dataset_1000.csv,2026-08-09
dayjoy_ai_intent_dataset_1000.json,226795,json,319f1a78ebf30fa3769b73470fb566961f9778a1eca5d902c6b19379901900c0,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_intent_dataset_1000.json,2026-08-09
dayjoy_ai_intent_dataset_1000.md,5719,md,95cc50d0a07a668da13d18b84b6961692aad41a3554d69f14a8cc97690da9e24,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_intent_dataset_1000.md,2026-08-09
dayjoy_ai_intent_dataset_1000.sql,117900,sql,4bc061deb54bf57335aefaa0bce33c5e1ede35e608040bcc0af809d940d98ea6,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_intent_dataset_1000.sql,2026-08-09
dayjoy_ai_intent_dataset_1000.xlsx,30104,xlsx,40b64347495f7ce3e7b72ffe00028fe337d3f56c56c30ad3fb586dca47645646,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_ai_memory_dataset.json,450088,json,19d63ef755e25192f91032db96fd5bedf477a51fd257ba9d4b9d62ebb803064d,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_memory_dataset.json,2026-08-09
dayjoy_ai_memory_dataset.md,17606,md,0a463e8ca21d454ab3d41dd3cf3f659f635ffbb4c3afb8b87cd9d8bdc297f693,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_memory_dataset.md,2026-08-09
dayjoy_ai_memory_dataset.sql,261072,sql,976073f488fd41c48eeed4879f95634ff0e59b24c6a2e90fdc385f12e5f9b4c7,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_memory_dataset.sql,2026-08-09
dayjoy_ai_memory_dataset.xlsx,69180,xlsx,2de7afd32c2ffdbf62e86c8eeb5786f5c3b6fd3cd8dbbbc0e9d455de4b574370,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_ai_memory_sharegpt.json,155055,json,9f246e846ada7b77e65574599eb1a16ae31d7f17b4c6e9568ac5dd0acba72525,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_memory_sharegpt.json,2026-08-09
dayjoy_ai_memory_sharegpt.md,2569,md,138dafe8687eed1cbfa1a33bfb406756677937ba208e296b4813e96e9f7eabe9,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_ai_memory_sharegpt.md,2026-08-09
dayjoy_all_extracted_knowledge_master.csv,11555,csv,67b59dcbabb25dab1c17d0d3cfd786e2de93c92a60b513a19ab1ab7d52b4e0e3,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_all_extracted_knowledge_master.csv,2026-08-09
dayjoy_business_insights.md,6756,md,2956e809a1eea335367b24761e1558ad29eed1a7d946dae351353b1a9df6c06b,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_business_insights.md,2026-08-09
dayjoy_business_insights.xlsx,13818,xlsx,53815d8a73cc85f292dc68e660c732fadf40ce2e19b134f7b51df8436ca9f22c,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_business_matching_matrix.csv,1236,csv,a82244c2fd51593d399a5d3c3131bac2e628113776cd5497e28c3846d3d3940f,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_business_matching_matrix.csv,2026-08-09
dayjoy_company_overview.csv,1021,csv,5951a7a6cf2133312c9e8e6983d7bbcc616dfae873284c3f2a50e4ca8323f95c,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_company_overview.csv,2026-08-09
dayjoy_compensation_plan.csv,972,csv,552500a7ff5ceecedad871e2c9f2b0e15e660c6e0e97d9f664ddbf6c01606a44,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_compensation_plan.csv,2026-08-09
dayjoy_extraction_confirmation.txt,1033,txt,64d1b5501672f5b94c0ca43fc20ee0aa60e84fb09f1cd1da2885b3f8563b9e62,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_extraction_confirmation.txt,2026-08-09
dayjoy_faq.csv,3759,csv,5948738eaef824e50fd3eb754282aff9fad01554bdc775b5f0f54617fca8932a,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_faq.csv,2026-08-09
dayjoy_faq.csv,5996,csv,fc1001bd16f1bb4d9c5e318319e096266bdb825f87b5ad5aad2f253c90cd6521,ORIGINAL:some updated file/Dayjoy_Complete_Verified_Data.zip > Dayjoy_Complete_Verified_Data.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_faq__dup1.csv,2026-08-09
dayjoy_gpt_implementation_plan.txt,4440,txt,6bcc0e647c79a4278eef0d4837ea560422e7017819cedf7a4d1a2c8c7b56f4af,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_gpt_implementation_plan.txt,2026-08-09
dayjoy_gpt_knowledge_base.txt,17924,txt,82a3a431499d43f4821bd2a6c3229ec7d8c9db34b71235390c8351c25cd158f4,ORIGINAL:some updated file/Dayjoy_Complete_Verified_Data.zip > Dayjoy_Complete_Verified_Data.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_gpt_knowledge_base.txt,2026-08-09
dayjoy_gpt_knowledge_base.txt,6916,txt,fe5a3856d475acc853a49f5a32393fbbde9d1d58096bd4f9722a255584bc6246,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_gpt_knowledge_base__dup1.txt,2026-08-09
dayjoy_gpt_knowledge_base_price_update_may_2026.md,13355,md,b8052761f6b14ade1caf30e50eec85646bae6502cacae5b0c8eca9da7fe7adfc,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_gpt_knowledge_base_price_update_may_2026.md,2026-08-09
dayjoy_image_metadata.xlsx,7707,xlsx,1ab8021709826ca6669a6eddc2ed36a4e4bdff20f3d0456582b055d1018a83f2,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_image_metadata_master.xlsx,9344,xlsx,c670540c4ae7a04a1143f1938a1d6b7d5f2156a9af0cf35b6e98627da8f0f4b8,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_knowledge_base.json,15891,json,e509fa0ab00be52cfafbf5b6656695efb53b8b17e16bbe0aa806db00f3c64ea8,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_knowledge_base.json,2026-08-09
dayjoy_knowledge_base.json,47788,json,799becc8800f9dffc8227010284494feeac5f45c38691d5fe4769da456182a7a,ORIGINAL:some updated file/Dayjoy_Complete_Verified_Data.zip > Dayjoy_Complete_Verified_Data.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_knowledge_base__dup1.json,2026-08-09
dayjoy_master_intent_dataset_updated.json,1554866,json,e1a0f54cf3252518ec9675388eb35c5d900741b1831082f16ec3b9cf684abde4,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_master_intent_dataset_updated.json,2026-08-09
dayjoy_master_intent_dataset_updated.md,12447,md,06f9375b8a136d05dff6f3176554ecb92d7a4eaa9231bfb21157957eda3f71a9,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_master_intent_dataset_updated.md,2026-08-09
dayjoy_master_intent_dataset_updated.sql,968423,sql,4ab0767fed672042c1a4a0ad43fb9156eec1d568cd9243c22b7cb6fd5ee3b05a,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_master_intent_dataset_updated.sql,2026-08-09
dayjoy_master_intent_dataset_updated.xlsx,330723,xlsx,732c197ca1fd9702b1cf1ea6d3182d25f0e39fb669da5096a5c2213bccda9b40,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_master_upload_schema.xlsx,12247,xlsx,caf5868d98af6e162fa1f5fd0d2631993bfd9d779b9850554476cd17895f9528,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip > dayjoy_master_everything_updated.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_master_upload_schema.xlsx,31539,xlsx,b9ed1a46dcad2465cdeb9bace1c21463c5d24b7dfa6e2b4244e314b72d855a00,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_postgresql_inserts.sql,2595665,sql,b13ea3cf92bd50721d66af74020629b8e85bc176b35679ea3ad55cec7d280d9b,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_postgresql_inserts.sql,2026-08-09
dayjoy_postgresql_rag_bundle_README.md,612,md,162a58d662312ff699fa0c1ca717651bbad46177fcf2fe835bacf0879eb3c7a2,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_postgresql_rag_bundle_README.md,2026-08-09
dayjoy_postgresql_ready_corpus.json,4457307,json,1a2f082462efa9433ca842f531e18b44f32ff3325632f5cd5e056ac4c6c7110b,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_postgresql_ready_corpus.md,17169,md,1f28318c9062efd91dc420e3ce361b2dd3d05e808ecac4a9f54571b66d595363,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_postgresql_ready_corpus.md,2026-08-09
dayjoy_postgresql_ready_corpus.xlsx,715020,xlsx,42b50bbf59641edaad5d6941175be86230cd8dea54f3c27e768a057059a85c78,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,False,"NOT physically copied (large/binary) — original preserved at source location, see provenance_chain",2026-08-09
dayjoy_product_faqs_master.csv,427862,csv,f1db7c66c06b391cca5964810801115655f8694c2f7c1238a9db15a230be7615,ORIGINAL:artifacts-2of3.zip > artifacts-2of3.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/dayjoy_product_faqs_master.csv,2026-08-09
